Season,Player,OEPM,DEPM,EPM,Estimated Wins
2023-24,Joel Embiid,6.88507,3.64811,10.5332,12.111
2023-24,Shai Gilgeous-Alexander,6.19582,2.58436,8.78018,20.5404
2023-24,Luka Doncic,7.55455,0.394118,7.94867,19.6181
2023-24,Giannis Antetokounmpo,5.74054,1.78148,7.52202,18.4395
2023-24,Nikola Jokic,7.43034,-0.44914,6.9812,18.6432
2023-24,Jalen Brunson,6.42471,-0.488558,5.93616,16.6177
2023-24,LeBron James,4.83349,1.06191,5.8954,15.1919
2023-24,Paul George,3.96516,1.7236,5.68876,14.8256
2023-24,Kawhi Leonard,3.38515,2.27364,5.65878,13.76
2023-24,Donovan Mitchell,4.0121,1.53546,5.54756,11.3243
2023-24,Tyrese Haliburton,6.315,-0.844938,5.47007,12.8431
2023-24,Stephen Curry,5.26502,-0.18775,5.07727,13.3343
2023-24,Devin Booker,4.89358,-0.131901,4.76167,12.9428
2023-24,Isaiah Hartenstein,0.739238,3.93202,4.67126,9.91442
2023-24,Jayson Tatum,3.99238,0.65139,4.64377,13.7794
2023-24,Damian Lillard,3.76044,0.860963,4.6214,13.39
2023-24,DeAaron Fox,3.14203,1.41875,4.56078,13.6986
2023-24,Anthony Davis,2.631,1.8875,4.5185,13.8365
2023-24,Kyrie Irving,4.71182,-0.206384,4.50543,10.3799
2023-24,Fred VanVleet,2.90076,1.50831,4.40907,13.5513
2023-24,Jimmy Butler,3.51012,0.842539,4.35266,10.2297
2023-24,Anthony Edwards,2.72215,1.49943,4.22158,13.6291
2023-24,Derrick White,2.504,1.67791,4.18191,11.6486
2023-24,Victor Wembanyama,0.990327,3.09288,4.08321,10.1617
2023-24,Kevin Durant,3.17473,0.86035,4.03508,13.3714
2023-24,Kristaps Porzingis,2.8398,1.19107,4.03086,8.09295
2023-24,Jalen Williams,1.77805,1.99119,3.76924,10.2489
2023-24,Lauri Markkanen,4.62375,-0.937648,3.68611,8.28387
2023-24,Jonathan Isaac,-0.456999,4.05585,3.59885,4.10849
2023-24,Tyrese Maxey,4.43815,-0.84834,3.58981,11.7799
2023-24,Jamal Murray,4.20191,-0.729538,3.47237,8.20051
2023-24,Franz Wagner,1.16533,2.30414,3.46947,10.2932
2023-24,Chet Holmgren,1.5401,1.88026,3.42036,10.5437
2023-24,LaMelo Ball,4.07714,-0.876694,3.20045,3.00135
2023-24,OG Anunoby,-0.0122339,3.10402,3.09179,7.05412
2023-24,Marcus Smart,-0.771045,3.73195,2.9609,2.45244
2023-24,Jalen Suggs,0.297994,2.66076,2.95875,8.20623
2023-24,Kevin Love,2.18587,0.709523,2.89539,3.70615
2023-24,Jaylen Brown,1.39855,1.49015,2.8887,9.38228
2023-24,Jusuf Nurkic,0.668586,2.16633,2.83492,8.24646
2023-24,Domantas Sabonis,2.93428,-0.24287,2.69141,11.3313
2023-24,James Harden,3.81356,-1.1658,2.64776,9.3679
2023-24,Desmond Bane,2.93475,-0.298185,2.63657,5.52947
2023-24,Rudy Gobert,0.456091,2.17136,2.62746,9.92143
2023-24,Alperen Sengun,2.11872,0.502676,2.62139,7.81865
2023-24,Khris Middleton,1.98503,0.635606,2.62064,5.68198
2023-24,Trae Young,3.98151,-1.36225,2.61926,7.41808
2023-24,Myles Turner,2.3243,0.223521,2.54782,7.83124
2023-24,Aaron Gordon,0.373623,2.14697,2.5206,8.61927
2023-24,Karl-Anthony Towns,2.57504,-0.0891629,2.48588,7.55317
2023-24,Alex Caruso,-1.00136,3.44859,2.44724,7.55401
2023-24,Daniel Gafford,0.877015,1.54235,2.41937,6.51984
2023-24,Scottie Barnes,1.55593,0.844966,2.40089,7.68708
2023-24,Bogdan Bogdanovic,1.58206,0.768194,2.35026,8.73113
2023-24,Collin Sexton,3.80102,-1.57347,2.22756,7.3689
2023-24,Draymond Green,-0.660328,2.88527,2.22494,5.28997
2023-24,Ja Morant,2.85428,-0.669059,2.18522,1.11996
2023-24,Zion Williamson,1.61197,0.559721,2.17169,7.75379
2023-24,Bam Adebayo,-0.460549,2.61622,2.15567,8.46338
2023-24,Brandon Ingram,1.80466,0.289184,2.09384,7.27531
2023-24,Pascal Siakam,2.31905,-0.261826,2.05723,9.24083
2023-24,Wendell Carter Jr.,0.31084,1.6572,1.96804,4.7445
2023-24,Jarrett Allen,1.95447,0.00332505,1.95779,8.22153
2023-24,Mike Conley,1.88768,0.0578194,1.9455,7.36622
2023-24,Max Strus,0.0526485,1.88239,1.93504,7.50361
2023-24,CJ McCollum,2.89208,-0.97115,1.92093,7.21252
2023-24,Scotty Pippen Jr.,0.378208,1.51685,1.89506,0.896927
2023-24,Malcolm Brogdon,1.98679,-0.184713,1.80208,3.6537
2023-24,Nickeil Alexander-Walker,-1.15598,2.95183,1.79586,6.25365
2023-24,Julius Randle,1.9492,-0.1606,1.7886,5.2988
2023-24,Jalen Smith,2.57934,-0.793632,1.78571,3.40005
2023-24,Keegan Murray,0.211918,1.55324,1.76515,8.37284
2023-24,Evan Mobley,-0.238922,1.94731,1.70839,4.89668
2023-24,Herbert Jones,-0.309744,2.01386,1.70411,7.41156
2023-24,Isaiah Jackson,-0.0752293,1.76876,1.69353,2.45559
2023-24,Jrue Holiday,0.355075,1.33506,1.69014,7.20403
2023-24,DeAnthony Melton,0.291145,1.3877,1.67885,3.24942
2023-24,Dereck Lively II,0.792031,0.84643,1.63846,4.07393
2023-24,Trey Murphy III,1.2204,0.393768,1.61417,5.29221
2023-24,DAngelo Russell,2.56362,-1.0089,1.55472,7.67772
2023-24,Moritz Wagner,1.8137,-0.283082,1.53062,4.34826
2023-24,Michael Porter Jr.,1.55465,-0.0630279,1.49163,7.8142
2023-24,Neemias Queta,0.955474,0.519212,1.47469,1.01134
2023-24,Amen Thompson,-0.810364,2.28442,1.47405,4.21373
2023-24,Donte DiVincenzo,2.02302,-0.556555,1.46646,7.14998
2023-24,Clint Capela,0.546728,0.907612,1.45434,5.68935
2023-24,Mark Williams,2.06485,-0.636092,1.42876,1.52709
2023-24,DeMar DeRozan,2.02197,-0.59878,1.42319,8.96492
2023-24,Goga Bitadze,-0.479844,1.90295,1.42311,2.87103
2023-24,Tre Jones,0.751202,0.654257,1.40546,6.3815
2023-24,Tyler Herro,1.62148,-0.219917,1.40156,4.20031
2023-24,T.J. McConnell,2.08319,-0.701546,1.38164,3.83605
2023-24,Dennis Smith Jr.,-1.66741,2.98723,1.31983,3.10085
2023-24,Devin Vassell,0.853133,0.437189,1.29032,6.53816
2023-24,Bradley Beal,1.06693,0.172716,1.23965,5.07758
2023-24,Obi Toppin,1.45792,-0.249055,1.20886,4.93714
2023-24,Mikal Bridges,0.353225,0.798888,1.15211,8.03908
2023-24,Aaron Nesmith,-0.0131081,1.16077,1.14766,5.60728
2023-24,Vince Williams Jr.,-0.513392,1.65473,1.14134,4.03172
2023-24,Kris Dunn,-0.457883,1.57614,1.11826,3.48613
2023-24,Ivica Zubac,0.131153,0.954411,1.08556,4.96766
2023-24,Keon Ellis,-0.885627,1.92403,1.0384,2.67709
2023-24,Dejounte Murray,2.30737,-1.30159,1.00578,7.55278
2023-24,Jose Alvarado,-0.764352,1.76282,0.998471,2.75143
2023-24,Jonathan Kuminga,0.183516,0.780874,0.96439,5.23477
2023-24,Caris LeVert,-0.718644,1.61005,0.89141,5.15972
2023-24,Jordan McLaughlin,-0.261784,1.15074,0.888952,1.64877
2023-24,Payton Pritchard,2.14081,-1.29673,0.844072,4.75166
2023-24,Luguentz Dort,-0.0624592,0.89066,0.828201,5.82096
