player_id,teamName,firstName,lastName,vitals_Face ID,vitals_Play Type 2,vitals_Portrait ID,vitals_Headshot ID,vitals_Position,vitals_Secondary Position,vitals_Play Type 1,vitals_Play Initiator,vitals_Play Type 3,vitals_Play Type 4,vitals_Used Retirement Grace,vitals_Contract Thought,attributes_Intangibles,attributes_Driving Layup,attributes_Draw Foul,attributes_Left Foot Durability,attributes_Post Fade,attributes_3pt Shot,attributes_Post Hook,attributes_Interior Defense,attributes_Post Moves,attributes_Close Shot,attributes_Midrange Shot,attributes_Right Hip Durability,attributes_Vertical,attributes_Free Throw,attributes_Ball Control,attributes_Passing IQ,attributes_Right Elbow Durability,attributes_Pass Accuracy,attributes_Right Knee Durability,attributes_Offensive Rebound,attributes_Standing Dunk,attributes_Driving Dunk,attributes_Shot IQ,attributes_Agility,attributes_Passing Vision,attributes_Hands,attributes_Defensive Rebound,attributes_Speed,attributes_Perimeter Defense,attributes_Block,attributes_Offensive Consistency,attributes_Steal,attributes_Right Ankle Durability,attributes_Speed with Ball,attributes_Strength,attributes_Stamina,attributes_Left Ankle Durability,attributes_Left Knee Durability,attributes_Hustle,attributes_Pass Perception,attributes_Defensive Consistency,attributes_Help Defense IQ,attributes_Potential,attributes_Head Durability,attributes_Left Shoulder Durability,attributes_Right Shoulder Durability,attributes_Right Foot Durability,attributes_Left Elbow Durability,attributes_Left Hand Durability,attributes_Right Hand Durability,attributes_Left Hip Durability,attributes_Miscanellous Durability,badges_Rise Up,badges_Ankle Assassin,badges_Float Game,badges_Challenger,badges_Posterizer,badges_Physical Finisher,badges_Off-Ball Pest,badges_Limitless Range,badges_Layup Mixmaster,badges_Aerial Wizard,badges_Hook Specialist,badges_Pick Dodger,badges_Paint Prodigy,badges_Laid Back,badges_Post Powerhouse,badges_Boxout Beast,badges_On-Ball Menace,badges_Post-Up Poet,badges_Post Fade Phenom,badges_Deadeye,badges_Dimer,badges_Slippery Off-Ball,badges_Mini Marksman,badges_Set Shot Specialist,badges_Shifty Shooter,badges_Reserved,badges_Bail Out,badges_Break Starter,badges_Finance Savvy,badges_Handles for Days,badges_Expressive,badges_Keep It Real,badges_Unpluckable,badges_Rebound Chaser,badges_High-Flying Denier,badges_Versatile Visionary,badges_Extremely Confident,badges_Lightning Launch,badges_Strong Handle,badges_Post Lockdown,badges_Brick Wall,badges_Glove,badges_Interceptor,badges_Pogo Stick,badges_Paint Patroller,badges_Immovable Enforcer,badges_Friendly,badges_Enforcer,badges_Team Player,badges_Pat My Back,badges_Work Ethic,badges_Unpredictable,badges_Media Ringmaster,badges_Warm Weather Fan,badges_Alpha Dog,tendencies_Contested Jumper Mid,tendencies_Spot Up Shot Mid,tendencies_Off Screen Shot Mid,tendencies_Crash,tendencies_Contested Jumper 3pt,tendencies_Driving Step Back,tendencies_Shot Close,tendencies_Drive Pull Up Mid,tendencies_Setup With Sizeup,tendencies_Driving Dunk Tendency,tendencies_Drive Pull Up 3pt,tendencies_Shot Close Left,tendencies_Spot Up Shot 3pt,tendencies_Off Screen Shot 3pt,tendencies_Shot Close Middle,tendencies_Shot Close Right,tendencies_Shot Mid Center,tendencies_Shot Mid Left,tendencies_Shot Mid Left Center,tendencies_Shot Mid Right,tendencies_Dish To Open Man,tendencies_Shot Mid Right Center,tendencies_Standing Dunk Tendency,tendencies_Shot Mid,tendencies_Driving Spin,tendencies_Shot 3pt,tendencies_Stepback Jumper Mid,tendencies_Shot 3pt Center,tendencies_Euro Step Layup,tendencies_Shot 3pt Left,tendencies_Shot 3pt Left Center,tendencies_Spin Layup,tendencies_Shot 3pt Right,tendencies_Shot 3pt Right Center,tendencies_Shot Under Basket,tendencies_Spin Jumper Tendency,tendencies_Step Through Shot,tendencies_Off Screen Drive,tendencies_Spot Up Drive,tendencies_Stepback Jumper 3pt,tendencies_Driving Layup Tendency,tendencies_Transition Pull Up 3pt,tendencies_Use Glass,tendencies_Triple Threat Jab Step,tendencies_Touches,tendencies_Flashy Dunk,tendencies_Drive Right,tendencies_Alley-Oop,tendencies_Driving Double Crossover,tendencies_Transition Spot Up,tendencies_Putback Dunk,tendencies_Hop Step Layup,tendencies_No Setup Dribble,tendencies_Floater,tendencies_Triple Threat Pump Fake,tendencies_Triple Threat Idle,tendencies_Pass Interception,tendencies_Driving Dribble Hesitation,tendencies_Setup With Hesitation,tendencies_Triple Threat Shoot,tendencies_Drive,tendencies_On Ball Steal,tendencies_Driving Behind The Back,tendencies_Driving Crossover,tendencies_Driving Half Spin,tendencies_Driving In And Out,tendencies_No Driving Dribble Move,tendencies_Attack Strong On Drive,tendencies_Flashy Pass,tendencies_Alley Oop Pass,tendencies_Post Up,tendencies_Post Shimmy Shot,tendencies_Post Face Up,tendencies_Post Back Down,tendencies_Post Aggressive Backdown,tendencies_Shoot From Post,tendencies_Post Hook Left,tendencies_Post Hook Right,tendencies_Post Fade Left,tendencies_Post Fade Right,tendencies_Post Up And Under,tendencies_Post Hop Shot Tendency,tendencies_Post Step Back Shot,tendencies_Post Drive,tendencies_Post Spin,tendencies_Post Drop Step,tendencies_Post Hop Step,tendencies_Shoot,tendencies_Roll Vs Pop,tendencies_Iso Vs Elite Defender,tendencies_Iso Vs Good Defender,tendencies_Iso Vs Average Defender,tendencies_Iso Vs Poor Defender,tendencies_Play Discipline,tendencies_Take Charge,tendencies_Contest Shot,tendencies_Block Shot,tendencies_Foul,tendencies_Hard Foul
0,Current 76ers,Tyrese,Maxey,8011,Isolation,9820,9820,PG,SG,P&R Ball Handler,Yes,Handoff Receiver,3 PT,0,0,70,94,84,77,60,82,45,52,47,85,84,81,80,88,89,82,81,80,66,29,25,70,80,90,74,98,49,90,79,51,95,70,81,90,44,98,80,79,95,68,65,69,89,76,80,74,76,80,83,82,80,75,0,2,3,0,0,1,0,1,3,0,0,1,0,1,0,0,0,0,0,3,0,2,3,3,2,0,0,0,0,2,0,0,0,0,0,2,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,30,45,45,0,15,45,52,99,30,70,99,10,95,50,45,45,34,6,15,10,30,35,0,11,10,78,10,29,35,10,28,55,9,24,54,30,55,5,25,40,99,25,10,40,95,5,60,25,5,50,30,50,5,60,50,10,50,55,75,35,95,30,5,25,10,5,55,70,25,35,0,0,0,0,0,10,0,0,15,15,0,0,0,5,5,0,0,85,0,50,50,75,99,25,5,35,20,42,15
1,Current 76ers,Quentin,Grimes,9917,3 PT,9917,9917,SG,SF,P&R Wing,No,Handoff Receiver,Cutter,0,0,85,84,78,80,58,84,39,46,42,82,79,80,75,74,79,75,80,70,80,41,25,70,75,86,65,80,61,86,83,50,95,53,80,79,63,85,80,80,80,78,80,80,85,80,80,80,80,80,80,80,80,80,0,0,1,1,0,0,2,1,2,0,0,0,0,0,0,0,1,0,0,3,0,2,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,30,30,10,35,15,5,35,5,70,50,14,95,35,68,18,44,38,6,6,35,6,0,4,10,84,0,9,55,34,16,35,25,16,22,0,25,58,10,15,40,35,0,5,60,0,15,30,5,55,30,50,35,5,5,50,70,20,60,10,30,40,5,15,10,5,75,65,15,20,0,0,0,0,45,10,0,0,15,15,0,0,0,5,5,0,0,45,0,0,0,0,5,99,5,55,10,52,5
2,Current 76ers,Paul,George,1810,Isolation,1959,1959,SF,PF,P&R Ball Handler,Yes,3 PT,Guard Post Up,0,0,45,82,40,97,70,80,40,79,75,82,88,94,88,81,87,75,96,78,95,35,55,85,60,87,70,80,68,79,84,55,70,86,96,79,70,95,96,95,75,80,80,82,90,97,95,95,98,94,96,96,98,85,0,1,1,2,1,1,1,1,1,0,0,2,0,1,0,0,1,0,0,2,0,1,0,2,2,0,1,0,0,1,0,1,0,0,1,0,0,1,2,0,0,1,2,2,0,0,1,0,0,0,0,0,0,0,1,45,60,55,25,50,55,38,99,35,75,99,16,95,70,41,43,29,9,25,11,50,26,50,27,15,85,20,21,45,15,18,60,22,24,29,45,70,10,30,20,55,25,5,60,95,40,50,30,0,45,30,60,25,10,60,15,99,65,40,25,80,55,10,20,10,20,70,50,15,30,25,15,60,40,40,20,5,0,25,25,25,25,55,50,15,0,10,80,35,50,50,75,99,25,10,70,20,58,15
3,Current 76ers,Kelly,Oubre Jr.,4449,Handoff Receiver,4449,4449,SF,PF,P&R Wing,No,Cutter,Isolation Wing,0,0,60,82,84,84,53,72,45,49,52,87,73,84,95,75,74,75,84,73,84,51,40,84,70,82,34,88,66,72,74,53,80,66,84,69,58,90,84,84,75,75,55,70,80,84,84,84,84,84,84,84,84,84,0,0,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,15,50,55,25,10,0,37,95,15,85,80,14,95,60,53,33,27,0,33,0,20,40,40,3,0,57,5,19,10,24,15,35,29,13,57,0,15,15,40,5,75,20,5,40,75,60,70,35,0,30,45,25,40,25,40,20,90,15,55,35,75,45,0,15,0,0,70,80,10,10,0,0,0,0,35,10,0,0,15,15,0,0,0,5,5,0,0,65,0,5,5,15,25,80,10,45,30,68,5
4,Current 76ers,Joel,Embiid,4090,P&R Roll Man,4090,4090,C,N/A,Isolation Wing,No,Post Up Low,Post Up High,1,0,60,84,90,75,96,75,96,92,96,96,84,84,69,88,57,82,84,74,50,70,85,80,80,69,73,90,90,69,68,72,95,40,84,62,96,95,50,84,90,64,90,94,95,84,84,70,40,84,84,84,84,50,3,0,2,0,0,3,0,0,2,2,3,0,3,0,3,3,0,3,3,3,3,0,0,2,2,0,0,2,1,0,0,0,0,1,1,0,1,0,2,3,3,0,0,2,3,1,1,0,0,0,0,1,1,0,1,80,85,50,60,10,20,86,99,65,70,75,22,90,50,51,27,54,3,24,0,20,19,80,42,40,38,25,52,70,9,20,55,4,15,68,60,85,5,50,10,75,10,5,40,99,75,50,30,0,25,60,40,10,15,50,10,55,80,20,50,90,45,20,60,20,20,70,80,15,15,99,85,20,80,80,85,75,25,15,85,70,55,35,25,75,30,45,99,45,15,30,65,99,25,5,99,60,62,40
5,Current 76ers,Guerschon,Yabusele,7232,P&R Roll Man,7232,0,PF,C,Cutter,No,P&R Wing,N/A,0,0,95,75,45,84,62,81,62,62,62,87,67,84,70,74,66,66,84,62,84,63,50,85,95,60,43,80,66,62,66,52,85,43,84,54,74,80,84,84,85,41,40,52,79,84,84,84,84,84,84,84,84,84,0,0,0,0,2,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,35,30,0,0,0,18,55,5,65,40,0,75,30,100,0,50,50,0,0,25,0,45,25,0,31,25,15,0,8,8,0,46,23,27,0,15,5,15,26,35,0,5,0,55,25,50,25,0,0,40,0,75,5,0,50,90,15,20,20,55,35,0,15,0,0,99,75,10,0,10,0,0,99,60,10,5,5,15,15,0,0,0,35,5,0,0,45,50,0,0,5,10,95,5,60,15,74,5
6,Current 76ers,Jared,McCain,1403,Isolation,10397,0,SG,PG,P&R Ball Handler,No,Handoff Receiver,Mid Range,0,0,70,84,60,80,38,82,37,45,38,84,96,80,68,88,86,73,80,73,80,36,30,70,75,76,66,85,47,76,63,25,80,41,80,75,52,90,80,80,80,60,55,60,88,80,80,80,80,80,80,80,80,80,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,2,3,2,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,30,10,5,30,16,40,5,70,60,40,95,35,43,17,0,33,34,33,45,0,0,20,5,75,0,17,20,14,25,20,13,31,25,25,40,25,20,5,60,25,5,55,75,5,45,35,5,70,25,10,25,15,5,35,60,35,65,15,60,45,5,15,5,5,75,55,10,5,0,0,0,0,0,10,0,0,15,15,0,0,0,5,5,0,0,60,0,0,5,5,10,80,5,30,25,30,15
7,Current 76ers,Justin,Edwards,1397,P&R Wing,10440,0,SF,PF,Cutter,No,N/A,N/A,0,0,75,79,50,80,40,80,40,50,40,84,90,80,81,70,70,65,80,65,80,47,40,80,75,82,37,75,51,82,68,53,75,56,80,79,59,85,80,80,80,54,50,58,79,80,80,80,80,80,80,80,80,80,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,30,30,70,0,30,11,50,5,75,45,10,95,30,61,29,20,20,0,60,25,0,0,1,20,35,25,9,20,21,16,40,25,29,31,0,15,5,70,25,40,8,5,45,40,25,55,25,25,15,45,15,40,15,45,25,99,60,55,15,40,60,15,30,20,20,75,75,35,0,0,0,0,0,45,10,0,0,15,15,0,0,0,15,15,0,0,40,80,0,0,0,0,95,10,55,30,50,5
8,Current 76ers,Eric,Gordon,1513,Handoff Receiver,1513,1513,SG,SF,P&R Ball Handler,Yes,Isolation,Cutter,0,0,60,75,60,81,63,85,35,42,50,77,80,77,82,75,79,73,80,69,60,30,30,70,60,79,43,94,39,79,73,56,50,46,80,78,60,92,79,68,85,68,50,73,76,80,81,70,82,74,81,80,81,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,30,30,10,5,30,16,40,5,70,60,40,95,35,43,17,0,33,34,33,45,0,0,1,5,75,0,17,20,14,25,20,13,31,25,25,40,25,20,5,60,25,5,55,65,5,45,35,5,70,25,10,25,15,5,35,60,35,65,15,60,45,5,15,5,5,75,55,10,5,0,0,0,0,0,10,0,0,15,15,0,0,0,5,5,0,0,50,0,0,5,5,10,80,5,30,25,30,15
9,Current 76ers,Jared,Butler,9932,Isolation Point,9932,9932,PG,N/A,P&R Point,Yes,Handoff Receiver,Cutter,0,0,70,74,60,80,41,79,28,30,37,85,83,80,78,82,82,83,80,83,80,36,25,65,70,80,79,95,47,80,60,51,80,53,80,80,50,83,80,80,80,47,50,55,76,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,30,30,20,10,35,36,60,20,75,75,3,95,30,77,20,31,16,17,12,45,24,0,2,10,50,25,8,5,43,12,45,26,11,39,0,15,5,20,25,70,8,10,5,65,5,50,25,0,65,25,25,10,65,5,50,90,40,70,20,95,60,0,15,0,5,75,55,25,75,0,0,0,0,50,10,0,0,15,15,0,0,0,5,5,0,0,60,0,5,10,20,35,65,10,60,20,74,5
