Season,PLAYER_NAME,TEAM_ABBREVIATION,PLAY_TYPE,POSS_PCT
2025-26,Aaron Gordon,DEN,Postup,0.13
2025-26,Aaron Gordon,DEN,Cut,0.124
2025-26,Aaron Gordon,DEN,PRBallHandler,0.104
2025-26,Aaron Holiday,HOU,PRBallHandler,0.196
2025-26,Aaron Nesmith,IND,OffScreen,0.124
2025-26,Aaron Nesmith,IND,Handoff,0.082
2025-26,Aaron Nesmith,IND,PRBallHandler,0.076
2025-26,Aaron Nesmith,IND,PRRollMan,0.071
2025-26,Aaron Wiggins,OKC,PRBallHandler,0.062
2025-26,Ace Bailey,UTA,OffScreen,0.181
2025-26,Ace Bailey,UTA,Handoff,0.129
2025-26,Ace Bailey,UTA,Cut,0.082
2025-26,Adem Bona,PHI,Cut,0.241
2025-26,AJ Green,MIL,Handoff,0.149
2025-26,AJ Green,MIL,OffScreen,0.088
2025-26,AJ Green,MIL,PRBallHandler,0.077
2025-26,AJ Green,MIL,PRRollMan,0.055
2025-26,Ajay Mitchell,OKC,PRBallHandler,0.348
2025-26,Ajay Mitchell,OKC,Handoff,0.077
2025-26,Ajay Mitchell,OKC,Cut,0.051
2025-26,Alex Caruso,OKC,PRBallHandler,0.135
2025-26,Alex Sarr,WAS,PRRollMan,0.239
2025-26,Alex Sarr,WAS,Cut,0.141
2025-26,Alex Sarr,WAS,Postup,0.067
2025-26,Alperen Sengun,HOU,Postup,0.214
2025-26,Alperen Sengun,HOU,Cut,0.071
2025-26,Alperen Sengun,HOU,PRRollMan,0.069
2025-26,Alperen Sengun,HOU,PRBallHandler,0.05
2025-26,Amen Thompson,HOU,PRBallHandler,0.222
2025-26,Amen Thompson,HOU,Cut,0.165
2025-26,Amen Thompson,HOU,Handoff,0.028
2025-26,Andre Drummond,PHI,Cut,0.221
2025-26,Andrew Nembhard,IND,PRBallHandler,0.419
2025-26,Andrew Nembhard,IND,Handoff,0.066
2025-26,Andrew Wiggins,MIA,Postup,0.076
2025-26,Andrew Wiggins,MIA,PRBallHandler,0.057
2025-26,Andrew Wiggins,MIA,Cut,0.035
2025-26,Anfernee Simons,BOS,PRBallHandler,0.285
