gameId,playerName,dunkScore,dunkTimeUTC
22400252,Jaylon Tyson,69.4,2024-11-21T00:41:53
22400252,Jarrett Allen,21.3,2024-11-21T00:46:11
22400252,Luke Travers,27.2,2024-11-21T00:55:33
22400253,Giannis Antetokounmpo,43.7,2024-11-21T00:58:55
22400252,Jarrett Allen,98.5,2024-11-21T01:01:49
22400252,Javonte Green,45.8,2024-11-21T01:13:03
22400255,Jared McCain,40.0,2024-11-21T01:13:35
22400252,Yves Missi,63.3,2024-11-21T01:29:23
22400253,Brook Lopez,48.2,2024-11-21T01:28:39
22400256,Alex Caruso,47.0,2024-11-21T01:45:18
22400255,Ricky Council IV,61.1,2024-11-21T01:54:37
22400253,Giannis Antetokounmpo,61.4,2024-11-21T02:06:01
22400254,Myles Turner,86.2,2024-11-21T02:30:45
22400255,Kelly Oubre Jr.,83.8,2024-11-21T03:22:22
22400254,Cam Whitmore,67.1,2024-11-21T03:26:27
22400258,Clint Capela,71.4,2024-11-21T03:46:53
22400259,Derrick Jones Jr.,71.4,2024-11-21T03:48:16
22400258,Trayce Jackson-Davis,74.8,2024-11-21T04:20:52
22400258,Trayce Jackson-Davis,78.2,2024-11-21T05:13:25
22400260,Brandon Miller,56.3,2024-11-22T00:11:23
22400261,Jaden McDaniels,61.7,2024-11-22T00:46:17
22400261,Chris Boucher,29.6,2024-11-22T01:12:31
22400261,Rudy Gobert,21.6,2024-11-22T01:16:45
22400262,Kyle Filipowski,33.2,2024-11-22T01:23:38
22400261,Jonathan Mogbo,52.3,2024-11-22T01:36:12
22400262,Charles Bassey,97.9,2024-11-22T01:41:21
22400260,Tidjane Salaün,47.5,2024-11-22T01:40:51
22400261,RJ Barrett,54.7,2024-11-22T02:56:22
22400262,Stephon Castle,73.7,2024-11-22T03:27:42
22400262,Keldon Johnson,60.9,2024-11-22T03:31:48
22400263,Moritz Wagner,96.0,2024-11-22T04:13:53
22400263,LeBron James,69.8,2024-11-22T04:14:12
