gameId,gameDate,matchup,period,gameClockTime,eventNum,playerId,playerName,firstName,lastName,teamId,teamName,teamCity,teamAbbreviation,dunkScore,jumpSubscore,powerSubscore,styleSubscore,defensiveContestSubscore,maxBallHeight,ballSpeedThroughRim,playerVertical,hangTime,takeoffDistance,reverseDunk,dunk360,throughTheLegs,alleyOop,tipIn,selfOop,playerRotation,playerLateralSpeed,ballDistanceTraveled,ballReachBack,totalBallAcceleration,dunkingHand,jumpingFoot,passLength,catchingHand,catchDistance,lateralCatchDistance,passerId,passerName,passerFirstName,passerLastName,passReleasePoint,shooterId,shooterName,shooterFirstName,shooterLastName,shotReleasePoint,shotLength,defensiveContestLevel,possibleAttemptedCharge,videoAvailable
0012400061,10/17/2024 12:00:00 AM,CHA @ IND,2,5:54,280,1641706,Brandon Miller,Brandon,Miller,1610612766,Hornets,Charlotte,CHA,103.1,86.1,72.0,0.0,84.4,11.069,20.023,32.519,0.567,6.302,False,False,False,False,False,False,83.895,2.674,1.957,1.339,0.312,right,left,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,82.027,False,True
0012400014,10/7/2024 12:00:00 AM,HOU @ UTA,2,3:47,297,1630224,Jalen Green,Jalen,Green,1610612745,Rockets,Houston,HOU,100.0,82.8,84.2,61.6,0.0,10.712,22.607,36.369,0.516,6.909,False,False,False,False,False,False,49.828,4.393,1.239,0.924,0.651,right,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,77.702,False,True
0012400052,10/15/2024 12:00:00 AM,CHA @ NYK,2,11:15,182,1630574,Ariel Hukporti,Ariel,Hukporti,1610612752,Knicks,New York,NYK,94.9,71.3,93.1,0.0,70.1,10.968,25.639,27.024,0.517,6.328,False,False,False,False,False,False,26.187,5.116,1.68,1.116,0.868,left,right,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,72.614,False,True
0012400006,10/6/2024 12:00:00 AM,NYK @ CHA,2,3:13,292,1630208,Nick Richards,Nick,Richards,1610612766,Hornets,Charlotte,CHA,94.6,54.7,84.9,79.5,0.0,10.743,18.042,27.226,0.433,4.476,False,False,False,True,False,False,15.895,3.957,1.942,1.942,1.021,both,both,9.65,both,4.594,4.534,1630163,LaMelo Ball,LaMelo,Ball,"-451.527,104.701,97.114",0,,,,,0.0,65.834,True,True
0012400062,10/17/2024 12:00:00 AM,MIL @ DAL,4,8:14,519,1641765,Olivier-Maxence Prosper,Olivier-Maxence,Prosper,1610612742,Mavericks,Dallas,DAL,93.9,90.6,15.0,0.0,86.0,11.126,8.146,34.203,0.566,6.896,False,False,False,False,False,False,77.619,4.559,3.814,0.0,0.167,right,left,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,70.01,False,True
0012400038,10/12/2024 12:00:00 AM,UTA @ SAS,3,8:44,403,1631110,Jeremy Sochan,Jeremy,Sochan,1610612759,Spurs,San Antonio,SAS,87.3,66.9,97.9,73.5,0.0,10.797,32.25,28.712,0.417,5.773,False,False,False,False,False,False,56.535,6.445,2.602,1.308,1.012,right,left,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,45.879,False,True
0012400058,10/16/2024 12:00:00 AM,BKN @ PHI,3,9:55,385,1629661,Cameron Johnson,Cameron,Johnson,1610612751,Nets,Brooklyn,BKN,86.6,65.6,93.8,0.0,52.1,10.777,24.717,27.945,0.433,5.862,False,False,False,False,False,False,35.122,6.607,2.243,1.178,1.042,right,left,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,56.067,False,True
0012400052,10/15/2024 12:00:00 AM,CHA @ NYK,2,3:25,289,1630574,Ariel Hukporti,Ariel,Hukporti,1610612752,Knicks,New York,NYK,86.5,61.5,37.8,0.0,100.0,10.76,16.186,26.23,0.5,5.755,False,False,False,False,False,False,33.338,2.618,1.507,0.315,0.403,left,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,92.391,False,True
0012400006,10/6/2024 12:00:00 AM,NYK @ CHA,1,5:04,90,1628970,Miles Bridges,Miles,Bridges,1610612766,Hornets,Charlotte,CHA,85.2,78.0,95.0,67.0,0.0,10.636,25.372,32.498,0.55,7.643,False,False,False,False,False,False,36.922,6.35,1.822,1.088,1.939,right,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,36.075,False,True
0012400067,10/18/2024 12:00:00 AM,PHI @ ORL,1,5:48,85,1626162,Kelly Oubre Jr.,Kelly,Oubre Jr.,1610612755,76ers,Philadelphia,PHI,83.3,70.8,76.0,52.1,51.7,10.775,35.477,30.135,0.384,6.252,False,False,False,False,False,False,60.111,7.01,2.304,0.496,0.929,left,right,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,56.332,False,True
0012400038,10/12/2024 12:00:00 AM,UTA @ SAS,4,8:53,569,1629640,Keldon Johnson,Keldon,Johnson,1610612759,Spurs,San Antonio,SAS,83.0,56.9,61.5,66.8,0.0,10.564,24.808,27.545,0.35,6.445,False,False,False,False,False,False,53.22,8.532,1.775,1.106,0.0,right,left,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,57.857,False,True
0012400014,10/7/2024 12:00:00 AM,HOU @ UTA,3,7.5,556,1641715,Cam Whitmore,Cam,Whitmore,1610612745,Rockets,Houston,HOU,82.5,84.8,93.5,65.7,0.0,10.695,27.271,36.806,0.533,8.928,False,False,False,False,False,False,7.254,6.822,2.078,1.247,0.755,both,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,24.858,False,True
0012400057,10/16/2024 12:00:00 AM,CLE @ DET,4,4:25,640,1641854,Craig Porter Jr.,Craig,Porter Jr.,1610612739,Cavaliers,Cleveland,CLE,81.3,89.8,93.3,0.0,8.4,10.801,25.915,39.52,0.55,7.27,False,False,False,False,False,False,92.226,7.492,3.032,0.939,1.239,right,left,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,9.086,False,True
0012400028,10/10/2024 12:00:00 AM,LAL @ MIL,2,3:21,272,203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,1610612749,Bucks,Milwaukee,MIL,80.7,75.7,99.4,66.4,0.0,11.183,32.635,26.833,0.45,9.303,False,False,False,False,False,False,85.183,9.769,1.558,1.558,2.85,right,left,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,25.145,False,True
0012400067,10/18/2024 12:00:00 AM,PHI @ ORL,3,5:50,407,1628976,Wendell Carter Jr.,Wendell,Carter Jr.,1610612753,Magic,Orlando,ORL,80.6,72.0,63.0,79.6,38.7,11.075,14.761,30.754,0.466,4.476,False,False,False,True,False,False,49.741,2.091,1.392,1.392,0.264,right,both,10.484,both,4.319,4.292,1631094,Paolo Banchero,Paolo,Banchero,"-387.545,54.365,89.703",0,,,,,0.0,41.658,False,True
0012400026,10/10/2024 12:00:00 AM,UTA @ DAL,3,1:37,495,1629655,Daniel Gafford,Daniel,Gafford,1610612742,Mavericks,Dallas,DAL,80.2,73.0,94.8,68.0,0.0,11.028,31.186,30.805,0.434,4.917,False,False,False,False,False,False,97.138,3.843,2.318,0.877,1.457,right,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,27.005,False,True
0012400041,10/13/2024 12:00:00 AM,POR @ SAC,2,4:33,285,1628368,De'Aaron Fox,De'Aaron,Fox,1610612758,Kings,Sacramento,SAC,79.2,72.3,90.8,74.2,0.0,10.611,22.992,30.219,0.484,8.031,False,False,False,False,False,False,30.509,8.433,2.733,1.212,0.878,left,right,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,24.629,False,True
0012400025,10/16/2024 12:00:00 AM,ATL @ MIA,2,11:46,184,1630552,Jalen Johnson,Jalen,Johnson,1610612737,Hawks,Atlanta,ATL,79.0,88.2,41.6,0.0,42.6,11.301,20.194,31.394,0.584,7.696,False,False,False,False,False,False,97.739,6.602,2.869,0.0,0.614,right,left,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,41.553,False,False
0012400046,10/14/2024 12:00:00 AM,PHI @ ATL,1,7:38,57,1630552,Jalen Johnson,Jalen,Johnson,1610612737,Hawks,Atlanta,ATL,78.6,88.7,99.0,0.0,0.0,11.015,33.51,32.856,0.5,9.378,False,False,False,False,False,False,28.39,8.842,2.817,1.291,1.442,right,left,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,0.0,False,True
0012400071,10/18/2024 12:00:00 AM,MIA @ MEM,3,3:03,486,1629634,Brandon Clarke,Brandon,Clarke,1610612763,Grizzlies,Memphis,MEM,77.9,65.1,54.2,76.6,50.6,10.904,10.738,29.887,0.55,3.386,False,False,False,True,False,False,43.302,2.57,1.303,1.303,0.098,left,both,10.015,both,2.586,2.466,1629630,Ja Morant,Ja,Morant,"-382.343,-19.083,102.348",0,,,,,0.0,51.143,False,True
0012400045,10/14/2024 12:00:00 AM,MEM @ IND,4,6.1,712,1631245,Quenton Jackson,Quenton,Jackson,1610612754,Pacers,Indiana,IND,75.8,79.1,55.6,0.0,0.0,10.559,15.214,32.595,0.584,8.616,False,False,False,False,False,False,30.401,8.441,2.557,0.939,0.132,both,left,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,39.576,False,True
0012400018,10/8/2024 12:00:00 AM,IND @ ATL,2,10:56,178,1630167,Obi Toppin,Obi,Toppin,1610612754,Pacers,Indiana,IND,75.3,76.9,99.1,80.8,0.0,10.902,31.829,32.218,0.416,5.752,False,False,False,False,False,False,17.219,7.518,3.914,1.576,1.432,right,left,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,0.0,False,True
0012400038,10/12/2024 12:00:00 AM,UTA @ SAS,1,10:24,23,1641707,Taylor Hendricks,Taylor,Hendricks,1610612762,Jazz,Utah,UTA,74.5,71.5,23.1,67.6,0.0,10.936,16.346,31.613,0.567,4.05,True,False,False,True,False,False,118.641,3.143,0.0,0.0,0.25,left,both,10.815,both,3.947,3.938,1642268,Isaiah Collier,Isaiah,Collier,"-378.384,-42.518,84.812",0,,,,,0.0,26.635,False,True
0012400037,10/12/2024 12:00:00 AM,MEM @ CHI,3,42.3,585,1641763,Julian Phillips,Julian,Phillips,1610612741,Bulls,Chicago,CHI,74.4,72.8,65.3,66.4,0.0,10.651,16.609,29.676,0.516,7.949,False,False,False,False,False,False,40.753,7.049,2.38,0.792,0.432,right,left,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,30.563,False,True
