,Fadeaway Msde,Fadeaway/G,Fadeaway FG%,FGA,GP
2017Paul George,294,3.92,0.371212121,792,75
2016JJ Redick,283,3.773333333,0.44149766,641,75
2016Paul George,277,3.419753086,0.337804878,820,81
2016Dirk Nowitzki,270,3.6,0.401785714,672,75
2016Klay Thompson,239,2.9875,0.330110497,724,80
2023Dejounte Murray,236,3.189189189,0.484599589,487,74
2016Pau Gasol,235,3.263888889,0.424187726,554,72
2023DeMar DeRozan,228,3.081081081,0.461538462,494,74
2016CJ McCollum,222,2.775,0.335854766,661,80
2017Isaiah Thomas,203,2.671052632,0.331158238,613,76
2017Stephen Curry,203,2.569620253,0.298529412,680,79
2016Chris Paul,199,2.689189189,0.338435374,588,74
2016James Harden,196,2.390243902,0.3136,625,82
2017Myles Turner,192,2.37037037,0.384769539,499,81
2019Rudy Gobert,190,2.345679012,0.896226415,212,81
2016Wesley Matthews,186,2.384615385,0.347663551,535,78
2017CJ Miles,183,2.407894737,0.386075949,474,76
2016Damian Lillard,178,2.373333333,0.291803279,610,75
2017Danilo Gallinari,171,2.714285714,0.381696429,448,63
2016Andre Drummond,170,2.098765432,0.576271186,295,81
2017Ersan Ilyasova,167,2.036585366,0.342213115,488,82
2016Jimmy Butler,161,2.402985075,0.320717131,502,67
2023Kevin Durant,161,3.425531915,0.521035599,309,47
2014Stephen Curry,158,2.025641026,0.603053435,262,78
2016Isaiah Thomas,157,1.914634146,0.293457944,535,82
2017Goran Dragic,153,2.095890411,0.331887202,461,73
2017Nikola Jokic,152,2.082191781,0.441860465,344,73
2019Clint Capela,152,2.268656716,0.926829268,164,67
2016Nikola Mirotic,151,2.287878788,0.35952381,420,66
2017Wilson Chandler,151,2.126760563,0.32826087,460,71
2022Rudy Gobert,151,2.287878788,0.909638554,166,66
2020Mitchell Robinson,150,2.459016393,0.882352941,170,61
2023Devin Booker,150,2.830188679,0.429799427,349,53
2014Klay Thompson,148,1.827160494,0.564885496,262,81
2016Al-Farouq Aminu,147,1.792682927,0.345882353,425,82
2023Chris Paul,145,2.457627119,0.455974843,318,59
2023Donovan Mitchell,145,2.132352941,0.414285714,350,68
2017Dario Saric,144,1.777777778,0.288,500,81
2014DeAndre Jordan,143,1.743902439,0.916666667,156,82
2017Hassan Whiteside,141,1.831168831,0.444794953,317,77
2023De'Aaron Fox,140,1.917808219,0.447284345,313,73
2016Devin Booker,139,1.828947368,0.313769752,443,76
2016Victor Oladipo,139,1.930555556,0.315909091,440,72
2018Dwight Howard,137,1.691358025,0.901315789,152,81
2018Anthony Davis,136,1.813333333,0.768361582,177,75
2017Andre Drummond,135,1.666666667,0.675,200,81
2021Rudy Gobert,134,1.887323944,0.905405405,148,71
2016Danilo Gallinari,133,2.509433962,0.361413043,368,53
2016George Hill,133,1.797297297,0.340153453,391,74
2016Gary Harris,132,1.736842105,0.346456693,381,76
2016Dwight Howard,131,1.845070423,0.909722222,144,71
2017Kevin Durant,130,2.096774194,0.325,400,62
2023Tyler Herro,129,1.925373134,0.395705521,326,67
2016Greg Monroe,127,1.607594937,0.481060606,264,79
2022Mitchell Robinson,127,1.763888889,0.90070922,141,72
2017Nik Stauskas,126,1.575,0.323907455,389,80
2016Monta Ellis,125,1.543209877,0.274725275,455,81
2023Mikal Bridges,125,1.506024096,0.434027778,288,83
2023Fred VanVleet,124,1.797101449,0.405228758,306,69
2016Hassan Whiteside,123,1.684931507,0.9609375,128,73
2023CJ McCollum,123,1.64,0.394230769,312,75
2017Clint Capela,122,1.876923077,0.917293233,133,65
2023Joel Embiid,122,1.848484848,0.514767932,237,66
2016Blake Griffin,121,3.457142857,0.389067524,311,35
2016DeAndre Jordan,120,1.558441558,0.759493671,158,77
2023Kawhi Leonard,120,2.307692308,0.538116592,223,52
2023Zach LaVine,120,1.558441558,0.397350993,302,77
2017DeAndre Jordan,119,1.469135802,0.772727273,154,81
2018Andre Drummond,118,1.512820513,0.848920863,139,78
2021Clint Capela,115,1.825396825,0.927419355,124,63
2016Enes Freedom,114,1.390243902,0.548076923,208,82
2023Paul George,113,2.017857143,0.388316151,291,56
2023Bam Adebayo,112,1.493333333,0.586387435,191,75
2015DeAndre Jordan,111,1.353658537,0.860465116,129,82
2016DeMarcus Cousins,111,1.707692308,0.47639485,233,65
2017Jameer Nelson,111,1.48,0.349056604,318,75
2017Marcus Smart,111,1.405063291,0.27680798,401,79
2022Clint Capela,111,1.5,0.776223776,143,74
2017Karl-Anthony Towns,110,1.341463415,0.539215686,204,82
2018DeAndre Jordan,109,1.415584416,0.84496124,129,77
2023Darius Garland,109,1.579710145,0.450413223,242,69
2023Trae Young,109,1.493150685,0.393501805,277,73
2016Deron Williams,108,1.661538462,0.296703297,364,65
2016Dion Waiters,108,1.384615385,0.317647059,340,78
2022Robert Williams III,108,1.770491803,0.907563025,119,61
2017Rudy Gobert,107,1.320987654,0.594444444,180,81
2018Clint Capela,106,1.432432432,0.890756303,119,74
2019Giannis Antetokounmpo,106,1.472222222,0.861788618,123,72
2019JaVale McGee,106,1.413333333,0.946428571,112,75
2018Steven Adams,105,1.381578947,0.795454545,132,76
2018Rudy Gobert,104,1.857142857,0.920353982,113,56
2017Anthony Davis,103,1.373333333,0.539267016,191,75
2019Andre Drummond,103,1.303797468,0.858333333,120,79
2014Kevin Durant,101,1.24691358,0.627329193,161,81
2023Evan Mobley,100,1.265822785,0.78125,128,79
2023Giannis Antetokounmpo,100,1.587301587,0.471698113,212,63
2023Damian Lillard,99,1.706896552,0.369402985,268,58
2023D'Angelo Russell,99,1.394366197,0.410788382,241,71
2022Daniel Gafford,98,1.361111111,0.852173913,115,72
2020Jarrett Allen,97,1.385714286,0.889908257,109,70
2017Kent Bazemore,96,1.315068493,0.31372549,306,73
2015Tyson Chandler,95,1.266666667,0.931372549,102,75
2022Jarrett Allen,95,1.696428571,0.871559633,109,56
2023Jalen Green,95,1.25,0.344202899,276,76
2016Jason Terry,94,1.305555556,0.338129496,278,72
2019DeAndre Jordan,94,1.362318841,0.824561404,114,69
2016Mario Hezonja,92,1.164556962,0.347169811,265,79
2017Greg Monroe,92,1.135802469,0.5,184,81
2016LeBron James,91,1.197368421,0.548192771,166,76
2016Thaddeus Young,91,1.246575342,0.554878049,164,73
2018Derrick Favors,91,1.181818182,0.928571429,98,77
2017Dwight Howard,89,1.202702703,0.664179104,134,74
2017Enes Freedom,89,1.236111111,0.520467836,171,72
2019Derrick Favors,88,1.157894737,0.897959184,98,76
2023Anfernee Simons,88,1.419354839,0.374468085,235,62
2023Clint Capela,88,1.353846154,0.936170213,94,65
2023De'Andre Hunter,88,1.313432836,0.491620112,179,67
2015Monta Ellis,87,1.0875,0.554140127,157,80
2016Dante Cunningham,87,1.0875,0.337209302,258,80
2019John Collins,87,1.426229508,0.861386139,101,61
2015Andre Drummond,86,1.048780488,0.868686869,99,82
2016Brook Lopez,86,1.178082192,0.593103448,145,73
2023Klay Thompson,86,1.246376812,0.373913043,230,69
2017Brook Lopez,85,1.133333333,0.620437956,137,75
2017Sergio Rodriguez,85,1.25,0.278688525,305,68
2014Dwight Howard,84,1.183098592,0.976744186,86,71
2017Rodney McGruder,84,1.076923077,0.295774648,284,78
2023Mitchell Robinson,84,1.423728814,0.893617021,94,59
2023Tyrese Haliburton,84,1.5,0.415841584,202,56
2017Thaddeus Young,83,1.121621622,0.364035088,228,74
2022Montrezl Harrell,83,1.169014085,0.965116279,86,71
2016Anthony Davis,82,1.344262295,0.845360825,97,61
2021DeAndre Jordan,82,1.438596491,0.872340426,94,57
2023Jaden Ivey,82,1.108108108,0.353448276,232,74
2016Al Horford,81,0.987804878,0.72972973,111,82
2016Clint Capela,81,1.051948052,0.648,125,77
2023Terry Rozier,81,1.285714286,0.355263158,228,63
2019Anthony Davis,80,1.428571429,0.666666667,120,56
2019Jarrett Allen,79,0.9875,0.897727273,88,80
2023Nic Claxton,79,1.039473684,0.908045977,87,76
2022Dwight Powell,78,0.951219512,0.876404494,89,82
2019Alex Len,77,1,0.855555556,90,77
2016Marcin Gortat,76,1.013333333,0.490322581,155,75
2017JaVale McGee,76,0.987012987,0.817204301,93,77
2020DeAndre Jordan,76,1.357142857,0.844444444,90,56
2023Aaron Gordon,76,1.117647059,0.730769231,104,68
2016Aaron Gordon,75,0.961538462,0.31120332,241,78
2020Anthony Davis,75,1.209677419,0.872093023,86,62
2023Anthony Davis,75,1.339285714,0.735294118,102,56
2016Zach Randolph,74,1.088235294,0.569230769,130,68
2020Dwight Howard,74,1.072463768,0.860465116,86,69
2020Nerlens Noel,74,1.213114754,0.925,80,61
2023Rudy Gobert,74,1.057142857,0.961038961,77,70
2016Alex Len,73,0.935897436,0.293172691,249,78
2016Draymond Green,73,0.901234568,0.278625954,262,81
2016Tony Snell,73,1.140625,0.32735426,223,64
2016Tyson Chandler,73,1.106060606,0.858823529,85,66
2019Deandre Ayton,73,1.028169014,0.948051948,77,71
2020Bam Adebayo,73,1.013888889,0.869047619,84,72
2016Karl-Anthony Towns,72,0.87804878,0.493150685,146,82
2017Emmanuel Mudiay,71,1.290909091,0.280632411,253,55
2014Andre Drummond,70,0.864197531,0.933333333,75,81
2017LeBron James,70,0.945945946,0.578512397,121,74
2018John Henson,70,0.921052632,0.897435897,78,76
2019Hassan Whiteside,70,0.972222222,0.864197531,81,72
2023Jordan Clarkson,70,1.147540984,0.380434783,184,61
2020John Collins,69,1.682926829,0.784090909,88,41
2023Jarrett Allen,69,1.014705882,0.8625,80,68
2014DeMar DeRozan,68,0.860759494,0.548387097,124,79
2016Tristan Thompson,68,0.829268293,0.906666667,75,82
2017Jimmy Butler,68,0.894736842,0.576271186,118,76
2019Steven Adams,68,0.85,0.839506173,81,80
2020Rudy Gobert,68,1,0.894736842,76,68
2023Gordon Hayward,68,1.36,0.444444444,153,50
2023Julius Randle,68,0.883116883,0.417177914,163,77
2022Giannis Antetokounmpo,67,1,0.917808219,73,67
2023Alec Burks,67,1.31372549,0.443708609,151,51
2014Anthony Davis,66,0.985074627,0.929577465,71,67
2015Anthony Davis,66,0.970588235,0.891891892,74,68
2016Dennis Schroder,66,0.825,0.425806452,155,80
2016Nerlens Noel,66,0.985074627,0.55,120,67
2021Deandre Ayton,66,0.956521739,0.942857143,70,69
2023Daniel Gafford,66,0.846153846,0.929577465,71,78
2023Dillon Brooks,66,0.904109589,0.323529412,204,73
2016Raymond Felton,65,0.8125,0.237226277,274,80
2017Andrew Wiggins,65,0.792682927,0.467625899,139,82
2017Taj Gibson,65,0.833333333,0.585585586,111,78
2018John Collins,65,0.878378378,0.773809524,84,74
2018Willie Cauley-Stein,65,0.890410959,0.878378378,74,73
2023Buddy Hield,65,0.8125,0.384615385,169,80
2023Malaki Branham,65,0.984848485,0.454545455,143,66
2014Rudy Gay,64,0.876712329,0.659793814,97,73
2018Bam Adebayo,64,0.927536232,0.901408451,71,69
2019Mason Plumlee,64,0.780487805,0.955223881,67,82
2016Paul Millsap,63,0.777777778,0.525,120,81
2016Steven Adams,63,0.7875,0.567567568,111,80
2017Giannis Antetokounmpo,63,0.7875,0.425675676,148,80
2018Hassan Whiteside,63,1.166666667,0.9,70,54
2023Pascal Siakam,63,0.887323944,0.417218543,151,71
2016Alexis Ajinca,62,1.050847458,0.380368098,163,59
2016Marcus Smart,62,1.016393443,0.216027875,287,61
2016Nikola Jokic,62,0.775,0.52991453,117,80
2017Caris LeVert,62,1.087719298,0.305418719,203,57
2017Zach Randolph,62,0.849315068,0.508196721,122,73
2018Dwight Powell,62,0.784810127,0.898550725,69,79
2020Hassan Whiteside,62,0.925373134,0.939393939,66,67
2021Bam Adebayo,62,0.96875,0.756097561,82,64
2023Bojan Bogdanovic,62,1.050847458,0.480620155,129,59
2023Immanuel Quickley,62,0.765432099,0.373493976,166,81
2023Ja Morant,62,1.016393443,0.333333333,186,61
2016Rudy Gay,61,0.871428571,0.521367521,117,70
2017Draymond Green,61,0.802631579,0.22761194,268,76
2017Steven Adams,61,0.7625,0.508333333,120,80
2017Tristan Thompson,61,0.782051282,0.924242424,66,78
2019Bam Adebayo,61,0.743902439,0.910447761,67,82
2019Dwight Powell,61,0.792207792,0.938461538,65,77
2023Terrence Ross,61,0.968253968,0.484126984,126,63
2017Mason Plumlee,60,0.740740741,0.517241379,116,81
2020JaVale McGee,60,0.882352941,0.9375,64,68
2021Jarrett Allen,60,0.952380952,0.821917808,73,63
2022Kevin Durant,60,1.090909091,0.517241379,116,55
2023Monte Morris,60,0.967741935,0.5,120,62
2018Mason Plumlee,59,0.797297297,0.855072464,69,74
2019Willie Cauley-Stein,59,0.728395062,0.746835443,79,81
2021John Collins,59,0.936507937,0.842857143,70,63
2021Jonas Valanciunas,59,0.951612903,0.756410256,78,62
2022Anthony Davis,59,1.475,0.662921348,89,40
2023Patrick Williams,59,0.719512195,0.5,118,82
2016Giannis Antetokounmpo,58,0.725,0.351515152,165,80
2021Julius Randle,58,0.816901408,0.464,125,71
2023Jamal Murray,58,0.892307692,0.397260274,146,65
2014Monta Ellis,57,0.695121951,0.518181818,110,82
2015Dwight Howard,57,1.390243902,0.966101695,59,41
2016Jonas Valanciunas,57,0.95,0.640449438,89,60
2017Markieff Morris,57,0.75,0.495652174,115,76
2018Giannis Antetokounmpo,57,0.76,0.904761905,63,75
2021Giannis Antetokounmpo,57,0.93442623,0.919354839,62,61
2022Deandre Ayton,57,0.982758621,0.95,60,58
2023Jalen Duren,57,0.850746269,0.850746269,67,67
2023Jaylen Nowell,57,0.876923077,0.47107438,121,65
2019Thomas Bryant,56,0.777777778,0.949152542,59,72
2020Giannis Antetokounmpo,56,0.888888889,0.918032787,61,63
2021Dwight Howard,56,0.811594203,0.811594203,69,69
2022Andre Drummond,56,0.767123288,0.823529412,68,73
2023Deandre Ayton,56,0.835820896,0.861538462,65,67
2023Shaedon Sharpe,56,0.7,0.417910448,134,80
2015Tristan Thompson,55,0.670731707,0.901639344,61,82
2016Andrew Bogut,55,0.785714286,0.808823529,68,70
2017Damian Lillard,55,0.733333333,0.5,110,75
2017Jrue Holiday,55,0.820895522,0.426356589,129,67
2017Marquese Chriss,55,0.670731707,0.567010309,97,82
2019Mitchell Robinson,55,0.833333333,0.723684211,76,66
2023Ivica Zubac,55,0.723684211,0.873015873,63,76
2015Kawhi Leonard,54,0.84375,0.666666667,81,64
2019LaMarcus Aldridge,54,0.666666667,0.593406593,91,81
2022Obi Toppin,54,0.75,0.870967742,62,72
2023Isaiah Jackson,54,0.857142857,0.870967742,62,63
2023Walker Kessler,54,0.72972973,0.981818182,55,74
2015Jarrett Jack,53,0.6625,0.602272727,88,80
2017Trevor Booker,53,0.746478873,0.350993377,151,71
2023James Harden,53,0.913793103,0.401515152,132,58
2023Jevon Carter,53,0.654320988,0.381294964,139,81
2023Kentavious Caldwell-Pope,53,0.697368421,0.481818182,110,76
2023Spencer Dinwiddie,53,0.670886076,0.323170732,164,79
2016Derrick Favors,52,0.838709677,0.962962963,54,62
2017Jonas Jerebko,52,0.666666667,0.333333333,156,78
2017Montrezl Harrell,52,0.896551724,0.825396825,63,58
2020Deandre Ayton,52,1.368421053,0.866666667,60,38
2020Lou Williams,52,0.8,0.43697479,119,65
2023Jimmy Butler,52,0.8125,0.47706422,109,64
2023Kristaps Porzingis,52,0.8,0.464285714,112,65
2014Tyson Chandler,51,0.927272727,0.962264151,53,55
2016Tim Duncan,51,0.836065574,0.662337662,77,61
2017Julius Randle,51,0.689189189,0.439655172,116,74
2017Maurice Harkless,51,0.662337662,0.485714286,105,77
2016Gorgui Dieng,50,0.609756098,0.549450549,91,82
2016Jared Sullinger,50,0.617283951,0.45045045,111,81
2017Derrick Rose,50,0.78125,0.324675325,154,64
2017Paul Millsap,50,0.724637681,0.632911392,79,69
2022Evan Mobley,50,0.724637681,0.819672131,61,69
2022Jakob Poeltl,50,0.735294118,0.806451613,62,68
2023Tyrese Maxey,50,0.833333333,0.364963504,137,60
2016Andrew Wiggins,49,0.604938272,0.39516129,124,81
2017Elfrid Payton,49,0.597560976,0.445454545,110,82
2017Michael Kidd-Gilchrist,49,0.604938272,0.411764706,119,81
