playerName,dunkScore_average,jumpSubscore_average,powerSubscore_average,styleSubscore_average,defensiveContestSubscore_average,maxBallHeight_average,ballSpeedThroughRim_average,playerVertical_average,hangTime_average,takeoffDistance_average,playerRotation_average,playerLateralSpeed_average,ballDistanceTraveled_average,ballReachBack_average,totalBallAcceleration_average,passLength_average,catchDistance_average,lateralCatchDistance_average,defensiveContestLevel_average,dunkScore_max,jumpSubscore_max,powerSubscore_max,styleSubscore_max,defensiveContestSubscore_max,maxBallHeight_max,ballSpeedThroughRim_max,playerVertical_max,hangTime_max,takeoffDistance_max,playerRotation_max,playerLateralSpeed_max,ballDistanceTraveled_max,ballReachBack_max,totalBallAcceleration_max,passLength_max,catchDistance_max,lateralCatchDistance_max,defensiveContestLevel_max,dunkScore_total,jumpSubscore_total,powerSubscore_total,styleSubscore_total,defensiveContestSubscore_total,maxBallHeight_total,ballSpeedThroughRim_total,playerVertical_total,hangTime_total,takeoffDistance_total,playerRotation_total,playerLateralSpeed_total,ballDistanceTraveled_total,ballReachBack_total,totalBallAcceleration_total,passLength_total,catchDistance_total,lateralCatchDistance_total,defensiveContestLevel_total
A.J. Lawson,46.87,63.27,33.010000000000005,35.089999999999996,2.2199999999999998,10.678700000000001,19.827199999999998,29.736,0.44000000000000006,5.7318,21.9889,6.5444,1.4486,0.1302,0.509,1.7175999999999998,0.4835,0.4504,2.4184,73.6,80.8,98.9,76.3,18.3,11.201,35.959,33.081,0.533,10.527,39.098,10.956,3.02,1.302,1.885,17.176,2.752,2.748,19.992,468.7,632.7,330.1,350.9,22.2,106.787,198.272,297.36,4.4,57.318,219.889,65.444,14.486,1.302,5.09,17.176,4.835,4.5040000000000004,24.184
AJ Johnson,51.800000000000004,64.66428571428571,35.82142857142857,42.978571428571435,7.207142857142857,10.724571428571428,18.1915,30.38564285714286,0.4367142857142857,5.197071428571428,43.644999999999996,7.032785714285715,1.4305,0.36900000000000005,0.27199999999999996,7.327785714285715,1.3889999999999998,1.3777142857142857,7.870928571428571,73.5,87.8,73.0,79.7,30.9,11.235,32.033,36.975,0.6,9.326,116.84,9.088,3.171,2.032,0.953,29.243,5.072,5.07,33.552,725.2,905.3,501.5,601.7,100.9,150.144,254.681,425.399,6.114,72.759,611.03,98.459,20.027,5.166,3.808,102.589,19.445999999999998,19.288,110.193
Aaron Gordon,36.48225806451613,36.85645161290322,21.9,37.3258064516129,10.240322580645161,10.553209677419355,13.532903225806452,23.934129032258063,0.40275806451612906,3.3577096774193547,43.63054838709677,3.5486290322580643,1.3531774193548387,0.18224193548387096,0.1330967741935484,3.032258064516129,0.7029354838709677,0.6874193548387096,11.055290322580644,72.3,74.9,97.8,82.7,61.8,10.923,27.94,31.828,0.55,8.172,116.474,7.511,2.809,2.157,1.866,38.631,4.278,4.255,64.138,2261.9,2285.1,1357.8,2314.2,634.9,654.299,839.04,1483.916,24.971,208.178,2705.094,220.015,83.897,11.299,8.252,188.0,43.582,42.62,685.428
Aaron Nesmith,42.12,56.46,25.1,27.110000000000003,6.75,10.6466,17.762999999999998,27.529000000000003,0.3833,5.470000000000001,28.698500000000003,7.4756,1.1711,0.0,0.2851,0.0,0.2814,0.2632,7.3227,62.2,70.0,56.0,41.9,33.1,11.042,27.545,30.236,0.5,7.352,61.254,9.777,2.636,0.0,1.162,0.0,2.814,2.632,35.699,421.2,564.6,251.0,271.1,67.5,106.466,177.63,275.29,3.8329999999999997,54.7,286.985,74.756,11.711,0.0,2.851,0.0,2.814,2.632,73.227
Aaron Wiggins,39.05833333333333,52.10833333333333,23.666666666666668,33.199999999999996,3.2249999999999996,10.549083333333334,14.42375,27.854583333333334,0.39999999999999997,4.495416666666666,40.33383333333334,5.718,1.2698333333333334,0.11233333333333333,0.15233333333333335,2.1495,0.5081666666666668,0.48950000000000005,3.5247500000000005,62.7,69.7,82.3,69.8,22.7,10.66,24.846,30.014,0.467,6.503,93.241,8.21,1.951,0.741,0.678,25.794,3.128,2.951,24.783,468.7,625.3,284.0,398.4,38.699999999999996,126.589,173.085,334.255,4.8,53.945,484.00600000000003,68.616,15.238,1.3479999999999999,1.828,25.794,6.098000000000001,5.8740000000000006,42.297000000000004
Adem Bona,46.29661016949152,46.293220338983055,41.389830508474574,44.51186440677966,13.216949152542371,10.786338983050847,17.34083050847458,25.38020338983051,0.3898135593220339,3.942559322033898,25.987203389830512,3.477593220338983,1.5951186440677965,0.43798305084745764,0.27128813559322035,1.8594915254237288,0.6507457627118644,0.6353389830508475,14.120372881355932,84.5,92.4,94.3,75.7,55.8,11.612,30.198,37.42,0.667,8.962,80.423,8.754,3.25,1.417,1.504,16.092,4.674,4.575,57.531,2731.5,2731.3,2442.0,2626.2,779.8,636.394,1023.109,1497.432,22.999,232.611,1533.2450000000001,205.178,94.112,25.841,16.006,109.71,38.394,37.485,833.102
Al Horford,30.3,36.3125,18.175,24.9,6.1875,10.59775,14.9095,22.908875000000002,0.331125,4.475,28.559625,5.723625,1.38,0.0,0.135125,0.0,0.0,0.0,6.75775,56.6,53.0,34.3,27.3,40.9,10.86,19.258,24.797,0.383,5.855,51.787,8.062,1.784,0.0,0.429,0.0,0.0,0.0,44.672,242.4,290.5,145.4,199.2,49.5,84.782,119.276,183.27100000000002,2.649,35.8,228.477,45.789,11.04,0.0,1.081,0.0,0.0,0.0,54.062
Alex Caruso,47.35,55.4375,46.3125,44.125,1.8125,10.536625,21.126125,27.472625,0.42075,5.311125,49.848124999999996,7.412375,2.1470000000000002,0.34575,0.330625,0.0,0.0,0.0,1.98675,64.9,66.1,91.2,74.1,8.7,10.744,31.245,29.118,0.467,6.783,89.748,8.699,3.587,1.048,0.788,0.0,0.0,0.0,9.548,378.8,443.5,370.5,353.0,14.5,84.293,169.009,219.781,3.366,42.489,398.78499999999997,59.299,17.176000000000002,2.766,2.645,0.0,0.0,0.0,15.894
Alex Len,26.814285714285713,21.771428571428572,23.257142857142856,37.24285714285714,5.2,10.565285714285713,10.071428571428571,18.980142857142855,0.33814285714285713,3.093857142857143,28.867285714285714,3.000857142857143,0.771,0.27471428571428574,0.14742857142857144,3.777857142857143,1.4177142857142857,1.3771428571428572,5.677714285714286,48.6,42.9,50.9,61.2,10.1,11.064,21.214,22.67,0.434,5.174,73.397,4.559,1.46,1.265,0.919,15.336,4.258,4.096,11.017,187.7,152.4,162.79999999999998,260.7,36.4,73.957,70.5,132.861,2.367,21.657,202.071,21.006,5.397,1.923,1.032,26.445,9.924,9.64,39.744
Alex Reese,59.1,55.4,35.6,32.3,39.0,10.723,21.612,23.241,0.467,7.926,45.36,7.963,1.942,0.0,0.366,0.0,0.0,0.0,42.642,59.1,55.4,35.6,32.3,39.0,10.723,21.612,23.241,0.467,7.926,45.36,7.963,1.942,0.0,0.366,0.0,0.0,0.0,42.642,59.1,55.4,35.6,32.3,39.0,10.723,21.612,23.241,0.467,7.926,45.36,7.963,1.942,0.0,0.366,0.0,0.0,0.0,42.642
