playerName,dunkScore_average,jumpSubscore_average,powerSubscore_average,styleSubscore_average,defensiveContestSubscore_average,maxBallHeight_average,ballSpeedThroughRim_average,playerVertical_average,hangTime_average,takeoffDistance_average,playerRotation_average,playerLateralSpeed_average,ballDistanceTraveled_average,ballReachBack_average,totalBallAcceleration_average,passLength_average,catchDistance_average,lateralCatchDistance_average,defensiveContestLevel_average,dunkScore_max,jumpSubscore_max,powerSubscore_max,styleSubscore_max,defensiveContestSubscore_max,maxBallHeight_max,ballSpeedThroughRim_max,playerVertical_max,hangTime_max,takeoffDistance_max,playerRotation_max,playerLateralSpeed_max,ballDistanceTraveled_max,ballReachBack_max,totalBallAcceleration_max,passLength_max,catchDistance_max,lateralCatchDistance_max,defensiveContestLevel_max,dunkScore_total,jumpSubscore_total,powerSubscore_total,styleSubscore_total,defensiveContestSubscore_total,maxBallHeight_total,ballSpeedThroughRim_total,playerVertical_total,hangTime_total,takeoffDistance_total,playerRotation_total,playerLateralSpeed_total,ballDistanceTraveled_total,ballReachBack_total,totalBallAcceleration_total,passLength_total,catchDistance_total,lateralCatchDistance_total,defensiveContestLevel_total
Aaron Gordon,40.65625,43.324999999999996,24.21875,37.0625,11.51875,10.547625,13.8861875,24.2629375,0.43625,4.389375,44.1051875,4.472875,1.2795625,0.2189375,0.1314375,2.924375,0.7995625000000001,0.7779375000000001,12.375687500000002,74.7,71.6,91.2,92.7,46.3,10.871,24.61,30.685,0.683,7.51,169.786,9.512,2.071,2.051,0.714,25.671,5.823,5.634,49.817,650.5,693.1999999999999,387.5,593.0,184.3,168.762,222.179,388.207,6.98,70.23,705.683,71.566,20.473,3.503,2.103,46.79,12.793000000000001,12.447000000000001,198.01100000000002
Aaron Nesmith,61.4,67.9,31.6,29.3,36.0,10.632,18.333,28.514,0.434,7.665,63.502,8.336,1.499,0.0,0.394,0.0,0.0,0.0,39.367,61.4,67.9,31.6,29.3,36.0,10.632,18.333,28.514,0.434,7.665,63.502,8.336,1.499,0.0,0.394,0.0,0.0,0.0,39.367,61.4,67.9,31.6,29.3,36.0,10.632,18.333,28.514,0.434,7.665,63.502,8.336,1.499,0.0,0.394,0.0,0.0,0.0,39.367
Aaron Wiggins,47.85,58.075,22.15,36.75,12.7,10.51925,13.0975,27.205,0.44575,6.3485,43.535250000000005,7.96625,1.9577499999999999,0.0,0.254,0.0,0.90125,0.82125,13.60725,58.8,63.4,32.8,52.8,36.8,10.607,20.743,29.156,0.517,7.716,75.046,10.229,2.436,0.0,0.448,0.0,3.605,3.285,39.083,191.4,232.3,88.6,147.0,50.8,42.077,52.39,108.82,1.783,25.394,174.14100000000002,31.865,7.8309999999999995,0.0,1.016,0.0,3.605,3.285,54.429
Ace Bailey,47.50625,52.4875,45.95,49.1,4.38125,10.5820625,19.621875,27.814,0.41331249999999997,4.48225,29.574375,5.1410625,1.7056875,0.6131875,0.3001875,3.1795625000000003,0.85375,0.8414375,4.7771875,75.4,72.7,98.2,87.5,20.4,10.781,32.4,33.006,0.566,8.601,98.368,8.249,3.799,1.748,1.514,25.774,4.746,4.741,22.323,760.1,839.8,735.2,785.6,70.1,169.313,313.95,445.024,6.6129999999999995,71.716,473.19,82.257,27.291,9.811,4.803,50.873000000000005,13.66,13.463,76.435
Adem Bona,43.51666666666667,44.96666666666667,30.349999999999998,41.949999999999996,12.483333333333334,10.779000000000002,14.237,25.114166666666666,0.43050000000000005,3.0276666666666667,26.403499999999998,2.814833333333333,1.7154999999999998,0.3175,0.1665,1.5833333333333333,1.0398333333333334,1.0058333333333334,13.308166666666667,68.4,71.0,62.4,73.2,31.7,11.07,19.761,28.771,0.5,5.685,47.415,4.701,2.786,1.19,0.625,9.5,3.83,3.829,34.667,261.1,269.8,182.1,251.7,74.9,64.674,85.422,150.685,2.583,18.166,158.421,16.889,10.293,1.905,0.999,9.5,6.239,6.035,79.849
Adou Thiero,41.0,58.1,18.2,29.75,4.6,10.6695,11.175,29.732999999999997,0.3835,4.523,41.385,5.277,1.8275000000000001,0.0,0.2125,0.0,0.0,0.0,5.037,52.8,72.4,24.7,35.3,9.2,10.804,13.357,32.598,0.4,5.251,48.004,6.832,2.358,0.0,0.36,0.0,0.0,0.0,10.074,82.0,116.2,36.4,59.5,9.2,21.339,22.35,59.465999999999994,0.767,9.046,82.77,10.554,3.6550000000000002,0.0,0.425,0.0,0.0,0.0,10.074
Ajay Mitchell,36.166666666666664,43.46666666666667,23.333333333333332,36.199999999999996,6.433333333333334,10.502,11.915000000000001,26.539,0.39999999999999997,3.6666666666666665,35.13433333333333,5.521666666666667,1.7163333333333333,0.2313333333333333,0.06933333333333334,0.0,0.0,0.0,7.036666666666666,43.8,47.6,46.4,58.6,19.1,10.561,13.425,28.731,0.417,4.121,48.513,6.37,2.324,0.694,0.127,0.0,0.0,0.0,20.942,108.5,130.4,70.0,108.6,19.3,31.506,35.745000000000005,79.617,1.2,11.0,105.40299999999999,16.565,5.149,0.694,0.20800000000000002,0.0,0.0,0.0,21.11
Alex Caruso,36.7,52.25,16.700000000000003,29.25,1.75,10.4835,15.863499999999998,26.1665,0.4415,5.6505,63.085499999999996,8.249500000000001,1.487,0.0,0.0755,0.0,0.0,0.0,1.9215,37.7,57.8,19.1,29.7,3.5,10.491,18.348,26.211,0.483,6.589,66.095,8.71,1.559,0.0,0.087,0.0,0.0,0.0,3.843,73.4,104.5,33.400000000000006,58.5,3.5,20.967,31.726999999999997,52.333,0.883,11.301,126.17099999999999,16.499000000000002,2.974,0.0,0.151,0.0,0.0,0.0,3.843
Alex Sarr,42.878571428571426,38.4,34.07142857142857,37.93214285714286,18.842857142857145,10.737357142857144,16.69932142857143,21.960107142857144,0.41421428571428576,4.1734285714285715,32.052392857142856,3.447714285714286,1.5492857142857144,0.231,0.3146071428571428,1.0580357142857142,0.6416785714285714,0.6328571428571428,20.259464285714284,83.1,83.4,98.8,72.1,66.2,11.28,31.081,29.681,0.533,8.618,65.457,7.455,3.236,1.307,1.914,12.779,4.991,4.96,67.229,1200.6,1075.2,954.0,1062.1,527.6,300.646,467.581,614.883,11.598,116.856,897.467,96.536,43.38,6.468,8.809,29.625,17.967,17.72,567.265
Alperen Sengun,36.64,27.51,43.58,44.07,9.2,10.630700000000001,18.232499999999998,19.7474,0.34850000000000003,4.0664,41.0245,5.1030999999999995,1.7137,0.5226,0.34540000000000004,0.0,0.0,0.0,9.987300000000001,68.7,63.1,96.4,67.7,43.4,11.0,26.071,24.24,0.433,7.425,120.13,7.555,3.135,1.748,1.464,0.0,0.0,0.0,46.695,366.4,275.1,435.8,440.7,92.0,106.307,182.325,197.474,3.4850000000000003,40.664,410.245,51.031,17.137,5.226,3.454,0.0,0.0,0.0,99.873
