id,firstName,lastName,multiplierBonus
4433569,Johni,Broome,0
4593043,John,Tonje,0
5103630,John,Blackwell,0.2
5174655,Chaney,Johnson,0.5
5107144,Efrem,Johnson,0.9
4432363,K.D.,Johnson,1.2
4897338,Johnathan,Massie,1
5239678,Mekai,Johnson,3
5105649,Koren,Johnson,2
5107385,Avaughn,Johnson,0
5241337,Braylon,Johnson,0
5175939,Caleb,Johnson,0
5243405,Jayden,Johnson,0.6
5144375,Larry,Johnson,0
4898278,Nate,Johnson,1.1
5108059,Tavari,Johnson,0.5
5105567,Andre,Johnson Jr.,0
4898238,John,Poulakidas,0.1
5192847,John,Seay-Oliver,0
5107210,John,Shea,0
4576060,Ryan,Kalkbrenner,0
4683751,Tyrese,Hunter,0.2
4897018,Camren,Hunter,3
4898278,Nate,Johnson,1.1
4873183,Kam,Williams,0.4
4897723,Kamari,McGee,1
5105607,Kam,Craft,0.9
4702996,Kam,Farris,3
4593043,John,Tonje,0
5060700,Joseph,Tugler,0.6
5239629,Jack,Turner,3
5175359,Josh,Townley-Thomas,3
5240379,Joseph,Teich,3
5243345,Jalen,Tatum,2.4
4701845,Kadary,Richmond,0
5242132,Will,Gibson,0
4593043,John,Tonje,0
5177097,Jeremiah,Quigley,3
5175737,Yaxel,Lendeborg,0
4432257,Darius,Maddox,0.4
4898229,Darius,Gakwasi,3
5239746,Darius,Lopes,0
5105818,Nick,Sanders,3
5107174,Nick,Townsend,0.7
4431753,Mason,Gillis,2.6
4683755,Mason,Miller,3
5240285,Tyran,Mason,2.8
5106670,Mason,Nicholson,1
5106035,RJ,Luis Jr.,0
4683941,RJ,Keene II,2.3
4432430,Rubin,Jones,3
5061575,Kon,Knueppel,0.2
5175970,Curtis,Blair III,0
5061585,Isaiah,Evans,1.4
5144372,Isaiah,Brown,3
4702973,Isaiah,Gray,0.2
4592702,Isaiah,Ihnen,0.7
5106262,Zuby,Ejiofor,0
4702384,Nique,Clifford,0
5174952,KJ,Lewis,0.4
4432363,K.D.,Johnson,1.2
5241234,Kyle,Jorgensen,2.7
5240378,KJ,Greene,3
5105649,Koren,Johnson,2
5070506,Kordelius,Jefferson,3
5080489,Thomas,Haugh,0.4
5175358,Shane,Thomas,3
5241721,Kareem,Thomas,0
4701991,Steven,Ashworth,0
4433569,Johni,Broome,0
4590360,Chucky,Hepburn,0
4432638,Daeshun,Ruffin,0
4715351,Markus,Ilver,3
4433144,Caleb,Love,0.1
5105818,Nick,Sanders,3
5107174,Nick,Townsend,0.7
5106052,Ben,Bayela,0
5174657,Alex,Condon,0
5107375,Sam,Alexis,2.2
5175065,Alex,Cotton,3
5175712,Spencer,Elliott,3
5106275,PJ,Haggerty,0
4702000,PJ,Carter,2.9
4897649,Jordan,Gainey,0.5
4894453,Mari,Jordan,1.5
4432512,Jordan,Geronimo,2.2
5241753,Jordan,Brathwaite,3
5176751,Jordan,Leaks,3
4898278,Nate,Johnson,1.1
5106035,RJ,Luis Jr.,0
4683941,RJ,Keene II,2.3
4432430,Rubin,Jones,3
5174658,Bennett,Andersen,0
5060700,Joseph,Tugler,0.6
5240379,Joseph,Teich,3
4433151,Ethan,Morton,1.5
4873196,Ethan,Lathan,0
5105471,Ethan,Potter,1.3
5243054,Ethan,Wright,0
4432282,JaKobe,Coles,0.2
5103630,John,Blackwell,0.2
4705522,David,McDaniel,3
4837237,Jamiya,Neal,0.2
5107171,Deven,Austin,0
4895779,Austin,Ball,0
5257981,Austin,Brooks,0
5241338,Austin,Maurer,3
4901961,Christian,Coleman,0.4
4873209,Patrick,Ngongba II,2.1
4901675,Patrick,Antonelli,3
5177124,Patrick,Haigh,0
5175920,Patrick,Tivnan Jr.,0
5175415,Dejour,Reaves,0
4433174,Dylan,Cardwell,0.6
4432739,Dylan,Anderson,2.7
5176678,Dylan,Canoville,2.1
5241378,Dylan,Metoyer,0
4837356,Tre,Donaldson,0.4
5105816,Tre,Holloman,0.8
4702721,Trey,Townsend,1.4
5105468,Trevan,Leonhardt,1.2
5177185,Trevor,Mullin,3
5242639,Trey,Wilson,3
4897082,Chase,Tucker,3
5101660,Chase,McCarty,0
5107173,Danny,Wolf,0
4684988,Percy,Daniels,3
5239627,Daniil,Glazkov,3
5101672,Daniel,Freitag,3
5105597,D'Ante,Bass,0.8
4707008,Dan,Luers,3
5174807,Jack,Janicki,3
5241931,Jovan,Jester Jr.,0
5243405,Jayden,Johnson,0.6
5181258,Ben,Murphy,3
5239596,Ben,Woodward,2.8
5174658,Bennett,Andersen,0
5106052,Ben,Bayela,0
5175919,Ben,Brown,0
