Player,Team(s),teamId,avg_real,total_real,morale
Kyle Kuzma,WAS,1,3.21,0,0
Tyus Jones,WAS,1,2.8,0,0
Jordan Poole,WAS,1,2.47,0,0
Deni Avdija,WAS,1,2.43,0,0
Marvin Bagley III,WAS,1,1.99,0,0
Corey Kispert,WAS,1,1.84,0,0
Bilal Coulibaly,WAS,1,1.53,0,0
Landry Shamet,WAS,1,1.18,0,0
Justin Champagnie,WAS,1,1.17,0,-13.7
Richaun Holmes,WAS,1,1.15,0,0
Jared Butler,WAS,1,1.04,0,-14
Isaiah Livers,WAS,1,0.95,0,0
Patrick Baldwin Jr.,WAS,1,0.77,0,0
Eugene Omoruyi,WAS,1,0.76,0,0
Jules Bernard,WAS,1,0.71,0,-12.7
Anthony Gill,WAS,1,0.63,0,0
Johnny Davis,WAS,1,0.57,0,0
Tristan Vukcevic,WAS,1,0.29,0,0
Miles Bridges,CHA,2,3.18,0,0
Brandon Miller,CHA,2,2.37,0,0
Nick Richards,CHA,2,1.97,0,0
Tre Mann,CHA,2,1.81,0,0
Grant Williams,CHA,2,1.73,0,0
Vasilije Micic,CHA,2,1.48,0,0
Aleksej Pokusevski,CHA,2,1.12,0,0
Davis Bertans,CHA,2,1.05,0,0
Nick Smith Jr.,CHA,2,0.9,0,-5
Bryce McGowens,CHA,2,0.82,0,-5
Leaky Black,CHA,2,0.72,0,0
JT Thor,CHA,2,0.61,0,0
Amari Bailey,CHA,2,0.28,0,0
Marques Bolden,CHA,2,0.15,0,0
LaMelo Ball,CHA,2,3.78,0,0
Mark Williams,CHA,2,2.65,0,0
Cody Martin,CHA,2,1.72,0,0
Seth Curry,CHA,2,1.07,0,0
Dejounte Murray,ATL,3,3.86,0,0
Jalen Johnson,ATL,3,3,0,0
Bogdan Bogdanovic,ATL,3,2.65,0,0
Clint Capela,ATL,3,2.6,0,0
Saddiq Bey,ATL,3,2.28,0,0
De'Andre Hunter,ATL,3,2.15,0,0
Onyeka Okongwu,ATL,3,2.13,0,0
Bruno Fernando,ATL,3,1.4,0,0
Trent Forrest,ATL,3,0.78,0,0
Garrison Mathews,ATL,3,0.77,0,0
Kobe Bufkin,ATL,3,0.76,0,0
Wesley Matthews,ATL,3,0.69,0,0
Dylan Windler,ATL,3,0.51,0,0
AJ Griffin,ATL,3,0.43,0,0
Seth Lundy,ATL,3,0.21,0,0
Mouhamed Gueye,ATL,3,0.2,5.53,-42.2
Trae Young,ATL,3,4.34,0,0
Vit Krejci,ATL,3,1.5,0,0
Jimmy Butler,MIA,4,3.61,0,0
Bam Adebayo,MIA,4,3.58,0,0
Terry Rozier,MIA,4,3.27,0,0.3
Duncan Robinson,MIA,4,2.22,0,0
