Sport,Slate_Date,Lineup_Rank,Name,Adjusted_FP,Adjusted_Rating,Multiplier_Factor,Team,Opponent,Is_Home,Game_Key,Position,Salary,Base_FP,Multiplier_Bonus,Real_Rating,Multiplier_Status,Matched_Real_Name,Matched_Real_Team,Matched_Real_ID,Rotowire_Site,Rotowire_Coverage_Games,Rotowire_Selected_Slates_Count,Rotowire_Selected_Slates,Source_Slate_ID,Source_Contest_Type,Source_Slate_Start_Date,Source_Coverage_Games
golf,2026-08-16,1,Scottie Scheffler,34.99,135.62,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,14200,34.99,0.0000,135.62,ok,Scottie Scheffler,,46046,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,2,Matti Schmid,33.99,138.53,1.3000,,,N,2026-08-16 03:00:00|TPC Southwind,G,6200,26.15,0.3000,106.56,ok,Matti Schmid,,48867,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,3,Patrick Rodgers,30.40,139.73,1.2000,,,N,2026-08-16 03:00:00|TPC Southwind,G,6000,25.33,0.2000,116.44,ok,Patrick Rodgers,,36699,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,4,Ricky Castillo,29.68,106.35,1.1000,,,N,2026-08-16 03:00:00|TPC Southwind,G,7000,26.98,0.1000,96.68,ok,Ricky Castillo,,59440,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,5,Cameron Young,28.95,129.44,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,11800,28.95,0.0000,129.44,ok,Cameron Young,,57366,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,6,Alex Smalley,28.33,106.62,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,8500,28.33,0.0000,106.62,ok,Alex Smalley,,46340,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,7,Ludvig Aberg,28.25,95.01,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,10800,28.25,0.0000,95.01,ok,Ludvig Åberg,,52955,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,8,Matt Fitzpatrick,28.14,104.74,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,11100,28.14,0.0000,104.74,ok,Matt Fitzpatrick,,40098,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,9,Harris English,27.92,121.55,1.1000,,,N,2026-08-16 03:00:00|TPC Southwind,G,7800,25.38,0.1000,110.50,ok,Harris English,,34099,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,10,Sepp Straka,27.85,118.28,1.1000,,,N,2026-08-16 03:00:00|TPC Southwind,G,6600,25.32,0.1000,107.53,ok,Sepp Straka,,49960,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,11,Keith Mitchell,27.70,97.74,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,8400,27.70,0.0000,97.74,ok,Keith Mitchell,,39546,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
