id,Name,firstName,lastName,normalized_name
54591,Ben Griffin,Ben,Griffin,ben griffin
46046,Scottie Scheffler,Scottie,Scheffler,scottie scheffler
57366,Cameron Young,Cameron,Young,cameron young
59095,Chris Gotterup,Chris,Gotterup,chris gotterup
57975,Harry Hall,Harry,Hall,harry hall
47591,Eric Cole,Eric,Cole,eric cole
39324,J.J. Spaun,J.J.,Spaun,j j spaun
51696,Rico Hoey,Rico,Hoey,rico hoey
51894,Vince Whaley,Vince,Whaley,vince whaley
37455,Si Woo Kim,Si Woo,Kim,si woo kim
55893,Sam Stevens,Sam,Stevens,sam stevens
47504,Sam Burns,Sam,Burns,sam burns
36699,Patrick Rodgers,Patrick,Rodgers,patrick rodgers
58168,Davis Thompson,Davis,Thompson,davis thompson
46442,Maverick McNealy,Maverick,McNealy,maverick mcnealy
32839,Hideki Matsuyama,Hideki,Matsuyama,hideki matsuyama
45242,Kevin Yu,Kevin,Yu,kevin yu
31646,Emiliano Grillo,Emiliano,Grillo,emiliano grillo
34099,Harris English,Harris,English,harris english
36801,Mark Hubbard,Mark,Hubbard,mark hubbard
57364,Michael Thorbjornsen,Michael,Thorbjornsen,michael thorbjornsen
54576,Patrick Fishburn,Patrick,Fishburn,patrick fishburn
52215,Robert MacIntyre,Robert,MacIntyre,robert macintyre
51950,Max McGreevy,Max,McGreevy,max mcgreevy
49771,J.T. Poston,J.T.,Poston,j t poston
39975,Michael Kim,Michael,Kim,michael kim
57586,Jesper Svensson,Jesper,Svensson,jesper svensson
56630,Akshay Bhatia,Akshay,Bhatia,akshay bhatia
59143,Mac Meissner,Mac,Meissner,mac meissner
49960,Sepp Straka,Sepp,Straka,sepp straka
60004,Jacob Bridgeman,Jacob,Bridgeman,jacob bridgeman
33948,Byeong Hun An,Byeong Hun,An,byeong hun an
30911,Tommy Fleetwood,Tommy,Fleetwood,tommy fleetwood
46340,Alex Smalley,Alex,Smalley,alex smalley
59141,Matt McCarty,Matt,McCarty,matt mccarty
48867,Matti Schmid,Matti,Schmid,matti schmid
35461,Beau Hossler,Beau,Hossler,beau hossler
57362,Austin Eckroat,Austin,Eckroat,austin eckroat
51977,Max Greyserman,Max,Greyserman,max greyserman
59018,Ryan Gerard,Ryan,Gerard,ryan gerard
45522,Christiaan Bezuidenhout,Christiaan,Bezuidenhout,christiaan bezuidenhout
51766,Wyndham Clark,Wyndham,Clark,wyndham clark
47420,Jake Knapp,Jake,Knapp,jake knapp
40250,Taylor Pendrith,Taylor,Pendrith,taylor pendrith
40098,Matt Fitzpatrick,Matt,Fitzpatrick,matt fitzpatrick
47993,Denny McCarthy,Denny,McCarthy,denny mccarthy
48117,Kurt Kitayama,Kurt,Kitayama,kurt kitayama
51997,Andrew Novak,Andrew,Novak,andrew novak
27644,Brian Harman,Brian,Harman,brian harman
39971,Sungjae Im,Sungjae,Im,sungjae im
51349,Nico Echavarria,Nico,Echavarria,nico echavarria
36884,Ben Kohles,Ben,Kohles,ben kohles
28252,Seamus Power,Seamus,Power,seamus power
39997,Corey Conners,Corey,Conners,corey conners
36799,Stephan Jaeger,Stephan,Jaeger,stephan jaeger
35658,Kristoffer Ventura,Kristoffer,Ventura,kristoffer ventura
35506,Mackenzie Hughes,Mackenzie,Hughes,mackenzie hughes
52375,Doug Ghim,Doug,Ghim,doug ghim
37275,Sam Ryder,Sam,Ryder,sam ryder
47983,Chad Ramey,Chad,Ramey,chad ramey
32102,Rickie Fowler,Rickie,Fowler,rickie fowler
39335,Kevin Roy,Kevin,Roy,kevin roy
30926,Chris Kirk,Chris,Kirk,chris kirk
51287,Ryo Hisatsune,Ryo,Hisatsune,ryo hisatsune
33448,Justin Thomas,Justin,Thomas,justin thomas
47679,Victor Perez,Victor,Perez,victor perez
31323,Gary Woodland,Gary,Woodland,gary woodland
33141,Keegan Bradley,Keegan,Bradley,keegan bradley
39546,Keith Mitchell,Keith,Mitchell,keith mitchell
52666,Sami Valimaki,Sami,Valimaki,sami valimaki
59440,Ricky Castillo,Ricky,Castillo,ricky castillo
35450,Patrick Cantlay,Patrick,Cantlay,patrick cantlay
34098,Russell Henley,Russell,Henley,russell henley
25493,Nick Taylor,Nick,Taylor,nick taylor
51890,Greyson Sigg,Greyson,Sigg,greyson sigg
57123,Steven Fisk,Steven,Fisk,steven fisk
52955,Ludvig Åberg,Ludvig,Åberg,ludvig aberg
47917,Takumi Kanaya,Takumi,Kanaya,takumi kanaya
55182,Tom Kim,Tom,Kim,tom kim
34587,Chan Kim,Chan,Kim,chan kim
39977,Max Homa,Max,Homa,max homa
36326,David Lipsky,David,Lipsky,david lipsky
63121,William Mouw,William,Mouw,william mouw
40115,Adam Svensson,Adam,Svensson,adam svensson
