provider,provider_event_id,provider_market_id,provider_league,provider_market_name,book,book_display_name,book_category,sport,market_type,stat,player_name,line,home_spread,away_spread,home_team,away_team,over_odds,under_odds,draw_odds,extra_outcomes,updated_at,period,event_date,question
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767426_13L79720Q1350842Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Scottie Scheffler,1.0,,,,,450,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Scottie Scheffler
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767434_13L79720Q141899Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Rory McIlroy,1.0,,,,,800,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Rory McIlroy
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767468_13L79720Q1222605Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Jon Rahm,1.0,,,,,1100,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Jon Rahm
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767409_13L79720Q1263245Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Xander Schauffele,1.0,,,,,1400,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Xander Schauffele
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767461_13L79720Q1559089Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Ludvig Aberg,1.0,,,,,1800,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Ludvig Aberg
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767485_13L79720Q1202156Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Cameron Young,1.0,,,,,1800,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Cameron Young
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767487_13L79720Q1261700Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Bryson DeChambeau,1.0,,,,,2200,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Bryson DeChambeau
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767414_13L79720Q1118101Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Tommy Fleetwood,1.0,,,,,2500,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Tommy Fleetwood
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767459_13L79720Q1804539Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Matt Fitzpatrick,1.0,,,,,3300,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Matt Fitzpatrick
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767465_13L79720Q1133111Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Justin Thomas,1.0,,,,,3300,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Justin Thomas
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767480_13L79720Q1383347Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Collin Morikawa,1.0,,,,,3300,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Collin Morikawa
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767410_13L79720Q1444400Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Wyndham Clark,1.0,,,,,4000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Wyndham Clark
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767427_13L79720Q1260739Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Sam Burns,1.0,,,,,4000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Sam Burns
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767466_13L79720Q118450Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Justin Rose,1.0,,,,,4000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Justin Rose
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767488_13L79720Q1124598Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Brooks Koepka,1.0,,,,,4000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Brooks Koepka
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767411_13L79720Q1199812Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Viktor Hovland,1.0,,,,,5000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Viktor Hovland
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767412_13L79720Q1183177Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Tyrrell Hatton,1.0,,,,,5000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Tyrrell Hatton
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767433_13L79720Q1118431Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Russell Henley,1.0,,,,,5000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Russell Henley
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767445_13L79720Q1124009Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Patrick Reed,1.0,,,,,5000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Patrick Reed
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767446_13L79720Q1118740Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Patrick Cantlay,1.0,,,,,5000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Patrick Cantlay
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767482_13L79720Q11592957Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Chris Gotterup,1.0,,,,,5000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Chris Gotterup
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767437_13L79720Q1353923Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Robert MacIntyre,1.0,,,,,5500,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Robert MacIntyre
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767449_13L79720Q1301616Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Min Woo Lee,1.0,,,,,6000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Min Woo Lee
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767473_13L79720Q1122583Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Hideki Matsuyama,1.0,,,,,6000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Hideki Matsuyama
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767421_13L79720Q1124719Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Si Woo Kim,1.0,,,,,6600,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Si Woo Kim
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767456_13L79720Q1180072Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Maverick McNealy,1.0,,,,,6600,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Maverick McNealy
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767467_13L79720Q1118743Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Jordan Spieth,1.0,,,,,6600,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Jordan Spieth
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767469_13L79720Q1441148Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Joaquin Niemann,1.0,,,,,6600,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Joaquin Niemann
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767923_13L79720Q1320684Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,J.J. Spaun,1.0,,,,,7000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,J.J. Spaun
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767440_13L79720Q176139Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Rickie Fowler,1.0,,,,,7000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Rickie Fowler
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767447_13L79720Q1462850Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Nicolai Hojgaard,1.0,,,,,7000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Nicolai Hojgaard
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767471_13L79720Q1261697Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Jake Knapp,1.0,,,,,7000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Jake Knapp
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767491_13L79720Q1598628Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Ben Griffin,1.0,,,,,7000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Ben Griffin
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767422_13L79720Q181619Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Shane Lowry,1.0,,,,,8000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Shane Lowry
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767425_13L79720Q1349774Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Sepp Straka,1.0,,,,,8000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Sepp Straka
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767476_13L79720Q188304Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Gary Woodland,1.0,,,,,8000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Gary Woodland
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767496_13L79720Q111076Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Adam Scott,1.0,,,,,8000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Adam Scott
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767497_13L79720Q1170211Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Aaron Rai,1.0,,,,,8000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Aaron Rai
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767417_13L79720Q1501036Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Sungjae Im,1.0,,,,,10000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Sungjae Im
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767924_13L79720Q1638827Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Akshay Bhatia,1.0,,,,,10000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Akshay Bhatia
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767460_13L79720Q1532302Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Marco Penge,1.0,,,,,10000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Marco Penge
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767462_13L79720Q1311463Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Kurt Kitayama,1.0,,,,,10000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Kurt Kitayama
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767463_13L79720Q1457766Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Kristoffer Reitan,1.0,,,,,10000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Kristoffer Reitan
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767472_13L79720Q11556575Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Jacob Bridgeman,1.0,,,,,10000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Jacob Bridgeman
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767475_13L79720Q1107524Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Harris English,1.0,,,,,10000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Harris English
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767477_13L79720Q11343052Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,David Puig,1.0,,,,,10000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,David Puig
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767479_13L79720Q1128096Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Corey Conners,1.0,,,,,10000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Corey Conners
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767486_13L79720Q1118704Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Cameron Smith,1.0,,,,,10000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Cameron Smith
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767495_13L79720Q1553236Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Alex Fitzpatrick,1.0,,,,,10000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Alex Fitzpatrick
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767431_13L79720Q11592990Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Ryan Gerard,1.0,,,,,11000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Ryan Gerard
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767416_13L79720Q1350015Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Thomas Detry,1.0,,,,,12500,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Thomas Detry
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767432_13L79720Q1118732Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Ryan Fox,1.0,,,,,12500,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Ryan Fox
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767442_13L79720Q1462849Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Rasmus Hojgaard,1.0,,,,,12500,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Rasmus Hojgaard
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767448_13L79720Q1140244Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Nick Taylor,1.0,,,,,12500,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Nick Taylor
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767452_13L79720Q1688185Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Michael Thorbjornsen,1.0,,,,,12500,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Michael Thorbjornsen
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767470_13L79720Q133338Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Jason Day,1.0,,,,,12500,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Jason Day
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767494_13L79720Q1116570Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Alex Noren,1.0,,,,,12500,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Alex Noren
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767413_13L79720Q1140233Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Tony Finau,1.0,,,,,15000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Tony Finau
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767415_13L79720Q111067Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Tiger Woods,1.0,,,,,15000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Tiger Woods
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767420_13L79720Q11926363Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Sudarshan Yellamaraju,1.0,,,,,15000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Sudarshan Yellamaraju
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767430_13L79720Q1413082Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Sahith Theegala,1.0,,,,,15000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Sahith Theegala
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767443_13L79720Q11175003Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Pierceson Coody,1.0,,,,,15000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Pierceson Coody
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767455_13L79720Q1441217Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Max Greyserman,1.0,,,,,15000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Max Greyserman
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767464_13L79720Q196893Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Keegan Bradley,1.0,,,,,15000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Keegan Bradley
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767489_13L79720Q1120036Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Brian Harman,1.0,,,,,15000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Brian Harman
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767492_13L79720Q11736995Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Angel Ayora,1.0,,,,,15000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Angel Ayora
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767493_13L79720Q1161738Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Alex Smalley,1.0,,,,,15000,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Alex Smalley
draftkings,6de1fa87-5c0a-482f-9d84-08deb1a75c41,335250574:0QA335250574#2190767453_13L79720Q1123044Q2-1,golf,Outright Winner,draftkings,DraftKings,sportsbook,golf,player_finish,winner,Michael Kim,1.0,,,,,17500,,,,2027-05-20T11:00:00.0000000Z,,2027-05-20T11:00:00.0000000Z,Michael Kim
