provider,provider_event_id,provider_market_id,provider_league,provider_market_name,book,book_display_name,book_category,sport,market_type,stat,player_name,line,home_spread,away_spread,home_team,away_team,over_odds,under_odds,draw_odds,extra_outcomes,updated_at,period,event_date,question
draftkings,34466114,1_85716198,mlb,Moneyline,draftkings,DraftKings,sportsbook,mlb,game_winner,winner,,,,,COL Rockies,KC Royals,-127,106,,"[{""key"":""Home"",""label"":""COL Rockies"",""odds"":-127},{""key"":""Away"",""label"":""KC Royals"",""odds"":106}]",2026-08-02T19:10:00.0000000Z,,2026-08-02T19:10:00.0000000Z,KC Royals @ COL Rockies
draftkings,34466115,1_85716199,mlb,Moneyline,draftkings,DraftKings,sportsbook,mlb,game_winner,winner,,,,,LA Angels,MIL Brewers,190,-234,,"[{""key"":""Home"",""label"":""LA Angels"",""odds"":190},{""key"":""Away"",""label"":""MIL Brewers"",""odds"":-234}]",2026-08-02T19:15:00.0000000Z,,2026-08-02T19:15:00.0000000Z,MIL Brewers @ LA Angels
draftkings,34466116,1_85716200,mlb,Moneyline,draftkings,DraftKings,sportsbook,mlb,game_winner,winner,,,,,Athletics,DET Tigers,105,-126,,"[{""key"":""Home"",""label"":""Athletics"",""odds"":105},{""key"":""Away"",""label"":""DET Tigers"",""odds"":-126}]",2026-08-02T20:05:00.0000000Z,,2026-08-02T20:05:00.0000000Z,DET Tigers @ Athletics
draftkings,34466117,1_85716201,mlb,Moneyline,draftkings,DraftKings,sportsbook,mlb,game_winner,winner,,,,,SD Padres,SF Giants,-131,109,,"[{""key"":""Home"",""label"":""SD Padres"",""odds"":-131},{""key"":""Away"",""label"":""SF Giants"",""odds"":109}]",2026-08-02T20:10:00.0000000Z,,2026-08-02T20:10:00.0000000Z,SF Giants @ SD Padres
draftkings,34466118,1_85716202,mlb,Moneyline,draftkings,DraftKings,sportsbook,mlb,game_winner,winner,,,,,SEA Mariners,MIN Twins,-147,122,,"[{""key"":""Home"",""label"":""SEA Mariners"",""odds"":-147},{""key"":""Away"",""label"":""MIN Twins"",""odds"":122}]",2026-08-02T20:10:00.0000000Z,,2026-08-02T20:10:00.0000000Z,MIN Twins @ SEA Mariners
draftkings,34466119,1_85716203,mlb,Moneyline,draftkings,DraftKings,sportsbook,mlb,game_winner,winner,,,,,LA Dodgers,BOS Red Sox,-186,153,,"[{""key"":""Home"",""label"":""LA Dodgers"",""odds"":-186},{""key"":""Away"",""label"":""BOS Red Sox"",""odds"":153}]",2026-08-02T23:20:00.0000000Z,,2026-08-02T23:20:00.0000000Z,BOS Red Sox @ LA Dodgers
draftkings,34466107,1_85726511,mlb,Moneyline,draftkings,DraftKings,sportsbook,mlb,game_winner,winner,,,,,TOR Blue Jays,STL Cardinals,115,-150,,"[{""key"":""Home"",""label"":""TOR Blue Jays"",""odds"":115},{""key"":""Away"",""label"":""STL Cardinals"",""odds"":-150}]",2026-08-02T17:37:17.0000000Z,,2026-08-02T17:37:17.0000000Z,STL Cardinals @ TOR Blue Jays
draftkings,34466112,1_85726516,mlb,Moneyline,draftkings,DraftKings,sportsbook,mlb,game_winner,winner,,,,,HOU Astros,TEX Rangers,-176,134,,"[{""key"":""Home"",""label"":""HOU Astros"",""odds"":-176},{""key"":""Away"",""label"":""TEX Rangers"",""odds"":134}]",2026-08-02T18:10:35.0000000Z,,2026-08-02T18:10:35.0000000Z,TEX Rangers @ HOU Astros
draftkings,34466106,1_85726517,mlb,Moneyline,draftkings,DraftKings,sportsbook,mlb,game_winner,winner,,,,,BAL Orioles,PHI Phillies,263,-374,,"[{""key"":""Home"",""label"":""BAL Orioles"",""odds"":263},{""key"":""Away"",""label"":""PHI Phillies"",""odds"":-374}]",2026-08-02T17:36:30.0000000Z,,2026-08-02T17:36:30.0000000Z,PHI Phillies @ BAL Orioles
draftkings,34466108,1_85726518,mlb,Moneyline,draftkings,DraftKings,sportsbook,mlb,game_winner,winner,,,,,CIN Reds,PIT Pirates,-5800,1120,,"[{""key"":""Home"",""label"":""CIN Reds"",""odds"":-5800},{""key"":""Away"",""label"":""PIT Pirates"",""odds"":1120}]",2026-08-02T17:41:33.0000000Z,,2026-08-02T17:41:33.0000000Z,PIT Pirates @ CIN Reds
