provider,provider_event_id,provider_market_id,provider_league,provider_market_name,book,book_display_name,book_category,sport,market_type,stat,player_name,line,home_spread,away_spread,home_team,away_team,over_odds,under_odds,draw_odds,extra_outcomes,updated_at,period,event_date,question
draftkings,34093811,1_84626412,mlb,Moneyline,draftkings,DraftKings,sportsbook,mlb,game_winner,winner,,,,,DET Tigers,BOS Red Sox,-199,163,,"[{""key"":""Home"",""label"":""DET Tigers"",""odds"":-199},{""key"":""Away"",""label"":""BOS Red Sox"",""odds"":163}]",2026-05-04T22:40:00.0000000Z,,2026-05-04T22:40:00.0000000Z,BOS Red Sox @ DET Tigers
draftkings,34093812,1_84626413,mlb,Moneyline,draftkings,DraftKings,sportsbook,mlb,game_winner,winner,,,,,MIA Marlins,PHI Phillies,-110,-110,,"[{""key"":""Home"",""label"":""MIA Marlins"",""odds"":-110},{""key"":""Away"",""label"":""PHI Phillies"",""odds"":-110}]",2026-05-04T22:40:00.0000000Z,,2026-05-04T22:40:00.0000000Z,PHI Phillies @ MIA Marlins
draftkings,34093813,1_84626414,mlb,Moneyline,draftkings,DraftKings,sportsbook,mlb,game_winner,winner,,,,,TB Rays,TOR Blue Jays,-126,104,,"[{""key"":""Home"",""label"":""TB Rays"",""odds"":-126},{""key"":""Away"",""label"":""TOR Blue Jays"",""odds"":104}]",2026-05-04T22:40:00.0000000Z,,2026-05-04T22:40:00.0000000Z,TOR Blue Jays @ TB Rays
draftkings,34093814,1_84626415,mlb,Moneyline,draftkings,DraftKings,sportsbook,mlb,game_winner,winner,,,,,NY Yankees,BAL Orioles,-219,179,,"[{""key"":""Home"",""label"":""NY Yankees"",""odds"":-219},{""key"":""Away"",""label"":""BAL Orioles"",""odds"":179}]",2026-05-04T23:05:00.0000000Z,,2026-05-04T23:05:00.0000000Z,BAL Orioles @ NY Yankees
draftkings,34093815,1_84626416,mlb,Moneyline,draftkings,DraftKings,sportsbook,mlb,game_winner,winner,,,,,CHI Cubs,CIN Reds,-207,169,,"[{""key"":""Home"",""label"":""CHI Cubs"",""odds"":-207},{""key"":""Away"",""label"":""CIN Reds"",""odds"":169}]",2026-05-04T23:40:00.0000000Z,,2026-05-04T23:40:00.0000000Z,CIN Reds @ CHI Cubs
draftkings,34093816,1_84626417,mlb,Moneyline,draftkings,DraftKings,sportsbook,mlb,game_winner,winner,,,,,KC Royals,CLE Guardians,-120,100,,"[{""key"":""Home"",""label"":""KC Royals"",""odds"":-120},{""key"":""Away"",""label"":""CLE Guardians"",""odds"":100}]",2026-05-04T23:40:00.0000000Z,,2026-05-04T23:40:00.0000000Z,CLE Guardians @ KC Royals
draftkings,34093818,1_84626429,mlb,Moneyline,draftkings,DraftKings,sportsbook,mlb,game_winner,winner,,,,,STL Cardinals,MIL Brewers,-105,-115,,"[{""key"":""Home"",""label"":""STL Cardinals"",""odds"":-105},{""key"":""Away"",""label"":""MIL Brewers"",""odds"":-115}]",2026-05-04T23:45:00.0000000Z,,2026-05-04T23:45:00.0000000Z,MIL Brewers @ STL Cardinals
draftkings,34093819,1_84626430,mlb,Moneyline,draftkings,DraftKings,sportsbook,mlb,game_winner,winner,,,,,HOU Astros,LA Dodgers,163,-199,,"[{""key"":""Home"",""label"":""HOU Astros"",""odds"":163},{""key"":""Away"",""label"":""LA Dodgers"",""odds"":-199}]",2026-05-05T00:10:00.0000000Z,,2026-05-05T00:10:00.0000000Z,LA Dodgers @ HOU Astros
draftkings,34093820,1_84626431,mlb,Moneyline,draftkings,DraftKings,sportsbook,mlb,game_winner,winner,,,,,COL Rockies,NY Mets,119,-143,,"[{""key"":""Home"",""label"":""COL Rockies"",""odds"":119},{""key"":""Away"",""label"":""NY Mets"",""odds"":-143}]",2026-05-04T21:40:00.0000000Z,,2026-05-04T21:40:00.0000000Z,NY Mets @ COL Rockies
draftkings,34093821,1_84626432,mlb,Moneyline,draftkings,DraftKings,sportsbook,mlb,game_winner,winner,,,,,LA Angels,CHI White Sox,-156,129,,"[{""key"":""Home"",""label"":""LA Angels"",""odds"":-156},{""key"":""Away"",""label"":""CHI White Sox"",""odds"":129}]",2026-05-05T01:38:00.0000000Z,,2026-05-05T01:38:00.0000000Z,CHI White Sox @ LA Angels
draftkings,34093822,1_84626433,mlb,Moneyline,draftkings,DraftKings,sportsbook,mlb,game_winner,winner,,,,,SF Giants,SD Padres,113,-136,,"[{""key"":""Home"",""label"":""SF Giants"",""odds"":113},{""key"":""Away"",""label"":""SD Padres"",""odds"":-136}]",2026-05-05T01:45:00.0000000Z,,2026-05-05T01:45:00.0000000Z,SD Padres @ SF Giants
