provider,provider_event_id,provider_market_id,provider_league,provider_market_name,book,book_display_name,book_category,sport,market_type,stat,player_name,line,home_spread,away_spread,home_team,away_team,over_odds,under_odds,draw_odds,extra_outcomes,updated_at,period,event_date,question
draftkings,33394665,1_82817715,ufc,Moneyline,draftkings,DraftKings,sportsbook,ufc,game_winner,winner,,,,,Islam Makhachev,Ian Machado Garry,-340,270,,"[{""key"":""Home"",""label"":""Islam Makhachev"",""odds"":-340},{""key"":""Away"",""label"":""Ian Machado Garry"",""odds"":270}]",2026-08-16T03:30:00.0000000Z,,2026-08-16T03:30:00.0000000Z,Islam Makhachev vs Ian Machado Garry
draftkings,34292155,1_85195070,ufc,Moneyline,draftkings,DraftKings,sportsbook,ufc,game_winner,winner,,,,,Mackenzie Dern,Gillian Robertson,-225,185,,"[{""key"":""Home"",""label"":""Mackenzie Dern"",""odds"":-225},{""key"":""Away"",""label"":""Gillian Robertson"",""odds"":185}]",2026-08-16T02:45:00.0000000Z,,2026-08-16T02:45:00.0000000Z,Mackenzie Dern vs Gillian Robertson
draftkings,34372937,1_85433276,ufc,Moneyline,draftkings,DraftKings,sportsbook,ufc,game_winner,winner,,,,,Umar Nurmagomedov,Song Yadong,-455,350,,"[{""key"":""Home"",""label"":""Umar Nurmagomedov"",""odds"":-455},{""key"":""Away"",""label"":""Song Yadong"",""odds"":350}]",2026-08-29T20:00:00.0000000Z,,2026-08-29T20:00:00.0000000Z,Umar Nurmagomedov vs Song Yadong
draftkings,34481680,1_85761274,ufc,Moneyline,draftkings,DraftKings,sportsbook,ufc,game_winner,winner,,,,,Edson Barboza,Esteban Ribovics,425,-575,,"[{""key"":""Home"",""label"":""Edson Barboza"",""odds"":425},{""key"":""Away"",""label"":""Esteban Ribovics"",""odds"":-575}]",2026-08-16T01:15:00.0000000Z,,2026-08-16T01:15:00.0000000Z,Edson Barboza vs Esteban Ribovics
draftkings,34481681,1_85761275,ufc,Moneyline,draftkings,DraftKings,sportsbook,ufc,game_winner,winner,,,,,Vicente Luque,Tresean Gore,102,-122,,"[{""key"":""Home"",""label"":""Vicente Luque"",""odds"":102},{""key"":""Away"",""label"":""Tresean Gore"",""odds"":-122}]",2026-08-15T23:15:00.0000000Z,,2026-08-15T23:15:00.0000000Z,Vicente Luque vs Tresean Gore
draftkings,34481682,1_85761276,ufc,Moneyline,draftkings,DraftKings,sportsbook,ufc,game_winner,winner,,,,,Mansur Abdul-Malik,Dustin Stoltzfus,-625,455,,"[{""key"":""Home"",""label"":""Mansur Abdul-Malik"",""odds"":-625},{""key"":""Away"",""label"":""Dustin Stoltzfus"",""odds"":455}]",2026-08-15T21:00:00.0000000Z,,2026-08-15T21:00:00.0000000Z,Mansur Abdul-Malik vs Dustin Stoltzfus
draftkings,34481683,1_85761277,ufc,Moneyline,draftkings,DraftKings,sportsbook,ufc,game_winner,winner,,,,,Jeremiah Wells,Myktybek Orolbai,650,-1000,,"[{""key"":""Home"",""label"":""Jeremiah Wells"",""odds"":650},{""key"":""Away"",""label"":""Myktybek Orolbai"",""odds"":-1000}]",2026-08-16T01:45:00.0000000Z,,2026-08-16T01:45:00.0000000Z,Jeremiah Wells vs Myktybek Orolbai
draftkings,34481684,1_85761278,ufc,Moneyline,draftkings,DraftKings,sportsbook,ufc,game_winner,winner,,,,,Neil Magny,Ramiz Brahimaj,105,-125,,"[{""key"":""Home"",""label"":""Neil Magny"",""odds"":105},{""key"":""Away"",""label"":""Ramiz Brahimaj"",""odds"":-125}]",2026-08-15T22:15:00.0000000Z,,2026-08-15T22:15:00.0000000Z,Neil Magny vs Ramiz Brahimaj
draftkings,34481685,1_85761279,ufc,Moneyline,draftkings,DraftKings,sportsbook,ufc,game_winner,winner,,,,,Jalin Turner,Kaue Fernandes,-162,136,,"[{""key"":""Home"",""label"":""Jalin Turner"",""odds"":-162},{""key"":""Away"",""label"":""Kaue Fernandes"",""odds"":136}]",2026-08-16T00:15:00.0000000Z,,2026-08-16T00:15:00.0000000Z,Jalin Turner vs Kaue Fernandes
draftkings,34481686,1_85761280,ufc,Moneyline,draftkings,DraftKings,sportsbook,ufc,game_winner,winner,,,,,Charles Johnson,Jose Ochoa,330,-425,,"[{""key"":""Home"",""label"":""Charles Johnson"",""odds"":330},{""key"":""Away"",""label"":""Jose Ochoa"",""odds"":-425}]",2026-08-15T21:00:00.0000000Z,,2026-08-15T21:00:00.0000000Z,Charles Johnson vs Jose Ochoa
draftkings,34481697,1_85761291,ufc,Moneyline,draftkings,DraftKings,sportsbook,ufc,game_winner,winner,,,,,Rafael Tobias,Lucas Fernando,235,-290,,"[{""key"":""Home"",""label"":""Rafael Tobias"",""odds"":235},{""key"":""Away"",""label"":""Lucas Fernando"",""odds"":-290}]",2026-08-15T22:45:00.0000000Z,,2026-08-15T22:45:00.0000000Z,Rafael Tobias vs Lucas Fernando
draftkings,34481698,1_85761292,ufc,Moneyline,draftkings,DraftKings,sportsbook,ufc,game_winner,winner,,,,,Donte Johnson,Eric McConico,-245,200,,"[{""key"":""Home"",""label"":""Donte Johnson"",""odds"":-245},{""key"":""Away"",""label"":""Eric McConico"",""odds"":200}]",2026-08-15T23:45:00.0000000Z,,2026-08-15T23:45:00.0000000Z,Donte Johnson vs Eric McConico
