provider,provider_event_id,provider_market_id,provider_league,provider_market_name,book,book_display_name,book_category,sport,market_type,stat,player_name,line,home_team,away_team,over_odds,under_odds,updated_at,period,event_date,question
draftkings,34012072,1_84395994,nba,Moneyline,draftkings,DraftKings,sportsbook,nba,game_winner,winner,,,CLE Cavaliers,TOR Raptors,-395,310,2026-04-20T23:10:00.0000000Z,,2026-04-20T23:10:00.0000000Z,TOR Raptors @ CLE Cavaliers
draftkings,34012074,1_84395996,nba,Moneyline,draftkings,DraftKings,sportsbook,nba,game_winner,winner,,,NY Knicks,ATL Hawks,-250,205,2026-04-21T00:10:00.0000000Z,,2026-04-21T00:10:00.0000000Z,ATL Hawks @ NY Knicks
draftkings,34012075,1_84395997,nba,Moneyline,draftkings,DraftKings,sportsbook,nba,game_winner,winner,,,DEN Nuggets,MIN Timberwolves,-285,230,2026-04-21T02:40:00.0000000Z,,2026-04-21T02:40:00.0000000Z,MIN Timberwolves @ DEN Nuggets
draftkings,34012076,1_84395999,nba,Moneyline,draftkings,DraftKings,sportsbook,nba,game_winner,winner,,,LA Lakers,HOU Rockets,160,-192,2026-04-22T02:40:00.0000000Z,,2026-04-22T02:40:00.0000000Z,HOU Rockets @ LA Lakers
draftkings,34016540,1_84408502,nba,Moneyline,draftkings,DraftKings,sportsbook,nba,game_winner,winner,,,BOS Celtics,PHI 76ers,-850,575,2026-04-21T23:10:00.0000000Z,,2026-04-21T23:10:00.0000000Z,PHI 76ers @ BOS Celtics
draftkings,34016542,1_84408507,nba,Moneyline,draftkings,DraftKings,sportsbook,nba,game_winner,winner,,,SA Spurs,POR Trail Blazers,-650,470,2026-04-22T00:10:00.0000000Z,,2026-04-22T00:10:00.0000000Z,POR Trail Blazers @ SA Spurs
draftkings,34016543,1_84408508,nba,Moneyline,draftkings,DraftKings,sportsbook,nba,game_winner,winner,,,DET Pistons,ORL Magic,-425,330,2026-04-22T23:10:00.0000000Z,,2026-04-22T23:10:00.0000000Z,ORL Magic @ DET Pistons
draftkings,34016544,1_84408509,nba,Moneyline,draftkings,DraftKings,sportsbook,nba,game_winner,winner,,,OKC Thunder,PHO Suns,-2100,1100,2026-04-23T01:40:00.0000000Z,,2026-04-23T01:40:00.0000000Z,PHO Suns @ OKC Thunder
draftkings,34012072,2_84395994:9.5,nba,Spread,draftkings,DraftKings,sportsbook,nba,game_spread,spread,,9.5,CLE Cavaliers,TOR Raptors,-110,-110,2026-04-20T23:10:00.0000000Z,,2026-04-20T23:10:00.0000000Z,Spread
draftkings,34012074,2_84395996:6.5,nba,Spread,draftkings,DraftKings,sportsbook,nba,game_spread,spread,,6.5,NY Knicks,ATL Hawks,-108,-112,2026-04-21T00:10:00.0000000Z,,2026-04-21T00:10:00.0000000Z,Spread
draftkings,34012075,2_84395997:7.5,nba,Spread,draftkings,DraftKings,sportsbook,nba,game_spread,spread,,7.5,DEN Nuggets,MIN Timberwolves,-105,-115,2026-04-21T02:40:00.0000000Z,,2026-04-21T02:40:00.0000000Z,Spread
draftkings,34012076,2_84395999:4.5,nba,Spread,draftkings,DraftKings,sportsbook,nba,game_spread,spread,,4.5,LA Lakers,HOU Rockets,-105,-115,2026-04-22T02:40:00.0000000Z,,2026-04-22T02:40:00.0000000Z,Spread
draftkings,34016540,2_84408502:13.5,nba,Spread,draftkings,DraftKings,sportsbook,nba,game_spread,spread,,13.5,BOS Celtics,PHI 76ers,-110,-110,2026-04-21T23:10:00.0000000Z,,2026-04-21T23:10:00.0000000Z,Spread
draftkings,34016542,2_84408507:11.5,nba,Spread,draftkings,DraftKings,sportsbook,nba,game_spread,spread,,11.5,SA Spurs,POR Trail Blazers,-105,-115,2026-04-22T00:10:00.0000000Z,,2026-04-22T00:10:00.0000000Z,Spread
draftkings,34016543,2_84408508:9.5,nba,Spread,draftkings,DraftKings,sportsbook,nba,game_spread,spread,,9.5,DET Pistons,ORL Magic,-108,-112,2026-04-22T23:10:00.0000000Z,,2026-04-22T23:10:00.0000000Z,Spread
draftkings,34016544,2_84408509:17.5,nba,Spread,draftkings,DraftKings,sportsbook,nba,game_spread,spread,,17.5,OKC Thunder,PHO Suns,-110,-110,2026-04-23T01:40:00.0000000Z,,2026-04-23T01:40:00.0000000Z,Spread
draftkings,34012072,3_84395994,nba,Total,draftkings,DraftKings,sportsbook,nba,game_total,total,,222.5,CLE Cavaliers,TOR Raptors,-110,-110,2026-04-20T23:10:00.0000000Z,,2026-04-20T23:10:00.0000000Z,Total
draftkings,34012074,3_84395996,nba,Total,draftkings,DraftKings,sportsbook,nba,game_total,total,,217.5,NY Knicks,ATL Hawks,-110,-110,2026-04-21T00:10:00.0000000Z,,2026-04-21T00:10:00.0000000Z,Total
draftkings,34012075,3_84395997,nba,Total,draftkings,DraftKings,sportsbook,nba,game_total,total,,230.5,DEN Nuggets,MIN Timberwolves,-110,-110,2026-04-21T02:40:00.0000000Z,,2026-04-21T02:40:00.0000000Z,Total
draftkings,34012076,3_84395999,nba,Total,draftkings,DraftKings,sportsbook,nba,game_total,total,,205.5,LA Lakers,HOU Rockets,-110,-110,2026-04-22T02:40:00.0000000Z,,2026-04-22T02:40:00.0000000Z,Total
draftkings,34016540,3_84408502,nba,Total,draftkings,DraftKings,sportsbook,nba,game_total,total,,216.5,BOS Celtics,PHI 76ers,-110,-110,2026-04-21T23:10:00.0000000Z,,2026-04-21T23:10:00.0000000Z,Total
draftkings,34016542,3_84408507,nba,Total,draftkings,DraftKings,sportsbook,nba,game_total,total,,219.5,SA Spurs,POR Trail Blazers,-115,-105,2026-04-22T00:10:00.0000000Z,,2026-04-22T00:10:00.0000000Z,Total
draftkings,34016543,3_84408508,nba,Total,draftkings,DraftKings,sportsbook,nba,game_total,total,,218.5,DET Pistons,ORL Magic,-110,-110,2026-04-22T23:10:00.0000000Z,,2026-04-22T23:10:00.0000000Z,Total
draftkings,34016544,3_84408509,nba,Total,draftkings,DraftKings,sportsbook,nba,game_total,total,,213.5,OKC Thunder,PHO Suns,-115,-105,2026-04-23T01:40:00.0000000Z,,2026-04-23T01:40:00.0000000Z,Total
draftkings,34012075,0QA327235307#570884780_13L42648Q11337895931Q20,nba,Anthony Edwards Points,draftkings,DraftKings,sportsbook,nba,player_over_under,points,Anthony Edwards,14.5,DEN Nuggets,MIN Timberwolves,-2100,2100,2026-04-21T02:40:00.0000000Z,,2026-04-21T02:40:00.0000000Z,15+
draftkings,34012075,0QA327235307#570884841_13L42648Q1-1088221744Q20,nba,Anthony Edwards Points,draftkings,DraftKings,sportsbook,nba,player_over_under,points,Anthony Edwards,17.5,DEN Nuggets,MIN Timberwolves,-800,800,2026-04-21T02:40:00.0000000Z,,2026-04-21T02:40:00.0000000Z,18+
draftkings,34012075,0QA327235307#570884866_13L42648Q1-1697847620Q20,nba,Anthony Edwards Points,draftkings,DraftKings,sportsbook,nba,player_over_under,points,Anthony Edwards,19.5,DEN Nuggets,MIN Timberwolves,-488,488,2026-04-21T02:40:00.0000000Z,,2026-04-21T02:40:00.0000000Z,20+
draftkings,34012075,0QA327235307#570885044_13L42648Q11520391110Q20,nba,Anthony Edwards Points,draftkings,DraftKings,sportsbook,nba,player_over_under,points,Anthony Edwards,24.5,DEN Nuggets,MIN Timberwolves,-173,173,2026-04-21T02:40:00.0000000Z,,2026-04-21T02:40:00.0000000Z,25+
draftkings,34012075,0QA327235307#570925848_13L42648Q1726434297Q20,nba,Anthony Edwards Points,draftkings,DraftKings,sportsbook,nba,player_over_under,points,Anthony Edwards,26.5,DEN Nuggets,MIN Timberwolves,-119,119,2026-04-21T02:40:00.0000000Z,,2026-04-21T02:40:00.0000000Z,27+
draftkings,34012075,0QA327235307#570885059_13L42648Q1-1786549384Q20,nba,Anthony Edwards Points,draftkings,DraftKings,sportsbook,nba,player_over_under,points,Anthony Edwards,29.5,DEN Nuggets,MIN Timberwolves,143,-143,2026-04-21T02:40:00.0000000Z,,2026-04-21T02:40:00.0000000Z,30+
draftkings,34012075,0QA327235307#570885184_13L42648Q147078906Q20,nba,Anthony Edwards Points,draftkings,DraftKings,sportsbook,nba,player_over_under,points,Anthony Edwards,34.5,DEN Nuggets,MIN Timberwolves,332,-332,2026-04-21T02:40:00.0000000Z,,2026-04-21T02:40:00.0000000Z,35+
draftkings,34012075,0QA327235307#570885239_13L42648Q11296223914Q20,nba,Anthony Edwards Points,draftkings,DraftKings,sportsbook,nba,player_over_under,points,Anthony Edwards,39.5,DEN Nuggets,MIN Timberwolves,770,-770,2026-04-21T02:40:00.0000000Z,,2026-04-21T02:40:00.0000000Z,40+
draftkings,34012075,0QA327235307#570885273_13L42648Q11086310480Q20,nba,Anthony Edwards Points,draftkings,DraftKings,sportsbook,nba,player_over_under,points,Anthony Edwards,44.5,DEN Nuggets,MIN Timberwolves,1620,-1620,2026-04-21T02:40:00.0000000Z,,2026-04-21T02:40:00.0000000Z,45+
draftkings,34012075,0QA327235307#570885284_13L42648Q1-286391722Q20,nba,Anthony Edwards Points,draftkings,DraftKings,sportsbook,nba,player_over_under,points,Anthony Edwards,49.5,DEN Nuggets,MIN Timberwolves,2900,-2900,2026-04-21T02:40:00.0000000Z,,2026-04-21T02:40:00.0000000Z,50+
draftkings,34016543,0QA327526294#572318534_13L42648Q1-1088221744Q20,nba,Cade Cunningham Points,draftkings,DraftKings,sportsbook,nba,player_over_under,points,Cade Cunningham,17.5,DET Pistons,ORL Magic,-1420,1420,2026-04-22T23:10:00.0000000Z,,2026-04-22T23:10:00.0000000Z,18+
draftkings,34016543,0QA327526294#572318572_13L42648Q1-1697847620Q20,nba,Cade Cunningham Points,draftkings,DraftKings,sportsbook,nba,player_over_under,points,Cade Cunningham,19.5,DET Pistons,ORL Magic,-790,790,2026-04-22T23:10:00.0000000Z,,2026-04-22T23:10:00.0000000Z,20+
draftkings,34016543,0QA327526294#572318601_13L42648Q11520391110Q20,nba,Cade Cunningham Points,draftkings,DraftKings,sportsbook,nba,player_over_under,points,Cade Cunningham,24.5,DET Pistons,ORL Magic,-243,243,2026-04-22T23:10:00.0000000Z,,2026-04-22T23:10:00.0000000Z,25+
draftkings,34016543,0QA327526294#573125527_13L42648Q1406863793Q20,nba,Cade Cunningham Points,draftkings,DraftKings,sportsbook,nba,player_over_under,points,Cade Cunningham,28.5,DET Pistons,ORL Magic,-109,109,2026-04-22T23:10:00.0000000Z,,2026-04-22T23:10:00.0000000Z,29+
draftkings,34016543,0QA327526294#572318648_13L42648Q1-1786549384Q20,nba,Cade Cunningham Points,draftkings,DraftKings,sportsbook,nba,player_over_under,points,Cade Cunningham,29.5,DET Pistons,ORL Magic,110,-110,2026-04-22T23:10:00.0000000Z,,2026-04-22T23:10:00.0000000Z,30+
draftkings,34016543,0QA327526294#572318661_13L42648Q147078906Q20,nba,Cade Cunningham Points,draftkings,DraftKings,sportsbook,nba,player_over_under,points,Cade Cunningham,34.5,DET Pistons,ORL Magic,276,-276,2026-04-22T23:10:00.0000000Z,,2026-04-22T23:10:00.0000000Z,35+
draftkings,34016543,0QA327526294#572318680_13L42648Q11296223914Q20,nba,Cade Cunningham Points,draftkings,DraftKings,sportsbook,nba,player_over_under,points,Cade Cunningham,39.5,DET Pistons,ORL Magic,680,-680,2026-04-22T23:10:00.0000000Z,,2026-04-22T23:10:00.0000000Z,40+
