provider,provider_event_id,provider_market_id,provider_league,provider_market_name,book,book_display_name,book_category,sport,market_type,stat,player_name,line,home_team,away_team,over_odds,under_odds,updated_at,period,event_date,question
kalshi,KXMLBHRR-26APR201840CINTB,KXMLBHRR-26APR201840CINTB-CINEDELACRUZ44-2,mlb,Elly De La Cruz: 2+ hits + runs + RBIs?,kalshi,Kalshi,prediction_market,mlb,player_over_under,hitsrunsrbis,Elly De La Cruz,1.5,TB,CIN,217,-217,2026-04-20T16:20:00.78967Z,,2026-04-21T01:40:00Z,"If Elly De La Cruz records 2+ total hits + runs + rbis in the Cincinnati vs Tampa Bay professional baseball game originally scheduled for Apr 20, 2026 at 6:40 PM EDT, then the market resolves to Yes."
kalshi,KXMLBHRR-26APR201840CINTB,KXMLBHRR-26APR201840CINTB-CINEDELACRUZ44-1,mlb,Elly De La Cruz: 1+ hits + runs + RBIs?,kalshi,Kalshi,prediction_market,mlb,player_over_under,hitsrunsrbis,Elly De La Cruz,0.5,TB,CIN,163,-163,2026-04-20T16:20:00.78967Z,,2026-04-21T01:40:00Z,"If Elly De La Cruz records 1+ total hits + runs + rbis in the Cincinnati vs Tampa Bay professional baseball game originally scheduled for Apr 20, 2026 at 6:40 PM EDT, then the market resolves to Yes."
kalshi,KXMLBHR-26APR201840CINTB,KXMLBHR-26APR201840CINTB-CINEDELACRUZ44-2,mlb,Elly De La Cruz: 2+ home runs?,kalshi,Kalshi,prediction_market,mlb,player_over_under,homeruns,Elly De La Cruz,1.5,TB,CIN,6567,-6567,2026-04-20T15:59:00.789903Z,,2026-04-21T01:40:00Z,"If Elly De La Cruz records 2+ home runs in Cincinnati vs Tampa Bay professional baseball game originally scheduled for Apr 20, 2026 at 6:40 PM EDT, then the market resolves to Yes."
kalshi,KXMLBHR-26APR201840CINTB,KXMLBHR-26APR201840CINTB-CINEDELACRUZ44-1,mlb,Elly De La Cruz: 1+ home runs?,kalshi,Kalshi,prediction_market,mlb,player_over_under,homeruns,Elly De La Cruz,0.5,TB,CIN,590,-590,2026-04-20T15:59:00.789903Z,,2026-04-21T01:40:00Z,"If Elly De La Cruz records 1+ home runs in Cincinnati vs Tampa Bay professional baseball game originally scheduled for Apr 20, 2026 at 6:40 PM EDT, then the market resolves to Yes."
kalshi,KXMLBHIT-26APR201840CINTB,KXMLBHIT-26APR201840CINTB-CINEDELACRUZ44-3,mlb,Elly De La Cruz: 3+ hits?,kalshi,Kalshi,prediction_market,mlb,player_over_under,hits,Elly De La Cruz,2.5,TB,CIN,1329,-1329,2026-04-20T15:48:00.789755Z,,2026-04-21T01:40:00Z,"If Elly De La Cruz records 3+ hits in the Cincinnati vs Tampa Bay professional baseball game originally scheduled for Apr 20, 2026 at 6:40 PM EDT, then the market resolves to Yes."
kalshi,KXMLBHIT-26APR201840CINTB,KXMLBHIT-26APR201840CINTB-CINEDELACRUZ44-2,mlb,Elly De La Cruz: 2+ hits?,kalshi,Kalshi,prediction_market,mlb,player_over_under,hits,Elly De La Cruz,1.5,TB,CIN,365,-365,2026-04-20T15:48:00.789755Z,,2026-04-21T01:40:00Z,"If Elly De La Cruz records 2+ hits in the Cincinnati vs Tampa Bay professional baseball game originally scheduled for Apr 20, 2026 at 6:40 PM EDT, then the market resolves to Yes."
kalshi,KXMLBHIT-26APR201840CINTB,KXMLBHIT-26APR201840CINTB-CINEDELACRUZ44-1,mlb,Elly De La Cruz: 1+ hits?,kalshi,Kalshi,prediction_market,mlb,player_over_under,hits,Elly De La Cruz,0.5,TB,CIN,-163,163,2026-04-20T15:48:00.789755Z,,2026-04-21T01:40:00Z,"If Elly De La Cruz records 1+ hits in the Cincinnati vs Tampa Bay professional baseball game originally scheduled for Apr 20, 2026 at 6:40 PM EDT, then the market resolves to Yes."
kalshi,KXMLBHRR-26APR201110DETBOS,KXMLBHRR-26APR201110DETBOS-BOSMMAYER11-5,mlb,Marcelo Mayer: 5+ hits + runs + RBIs?,kalshi,Kalshi,prediction_market,mlb,player_over_under,hitsrunsrbis,Marcelo Mayer,4.5,BOS,DET,614,-614,2026-04-20T13:13:20.789964Z,,2026-04-20T18:10:00Z,"If Marcelo Mayer records 5+ total hits + runs + rbis in the Detroit vs Boston professional baseball game originally scheduled for Apr 20, 2026 at 11:10 AM EDT, then the market resolves to Yes."
kalshi,KXMLBHRR-26APR201110DETBOS,KXMLBHRR-26APR201110DETBOS-BOSMMAYER11-4,mlb,Marcelo Mayer: 4+ hits + runs + RBIs?,kalshi,Kalshi,prediction_market,mlb,player_over_under,hitsrunsrbis,Marcelo Mayer,3.5,BOS,DET,300,-300,2026-04-20T13:13:15.789786Z,,2026-04-20T18:10:00Z,"If Marcelo Mayer records 4+ total hits + runs + rbis in the Detroit vs Boston professional baseball game originally scheduled for Apr 20, 2026 at 11:10 AM EDT, then the market resolves to Yes."
kalshi,KXMLBHRR-26APR201110DETBOS,KXMLBHRR-26APR201110DETBOS-BOSMMAYER11-3,mlb,Marcelo Mayer: 3+ hits + runs + RBIs?,kalshi,Kalshi,prediction_market,mlb,player_over_under,hitsrunsrbis,Marcelo Mayer,2.5,BOS,DET,167,-167,2026-04-20T13:13:09.790203Z,,2026-04-20T18:10:00Z,"If Marcelo Mayer records 3+ total hits + runs + rbis in the Detroit vs Boston professional baseball game originally scheduled for Apr 20, 2026 at 11:10 AM EDT, then the market resolves to Yes."
