provider,provider_event_id,provider_market_id,provider_league,provider_market_name,book,book_display_name,book_category,sport,market_type,stat,player_name,line,home_team,away_team,over_odds,under_odds,updated_at,period,event_date,question
kalshi,KXMLBHRR-26APR201840CINTB,KXMLBHRR-26APR201840CINTB-CINEDELACRUZ44-2,mlb,Elly De La Cruz: 2+ hits + runs + RBIs?,kalshi,Kalshi,prediction_market,mlb,player_over_under,hitsrunsrbis,Elly De La Cruz,1.5,TB,CIN,217,-217,2026-04-20T16:20:00.78967Z,,2026-04-21T01:40:00Z,"If Elly De La Cruz records 2+ total hits + runs + rbis in the Cincinnati vs Tampa Bay professional baseball game originally scheduled for Apr 20, 2026 at 6:40 PM EDT, then the market resolves to Yes."
kalshi,KXMLBHRR-26APR201840CINTB,KXMLBHRR-26APR201840CINTB-CINEDELACRUZ44-1,mlb,Elly De La Cruz: 1+ hits + runs + RBIs?,kalshi,Kalshi,prediction_market,mlb,player_over_under,hitsrunsrbis,Elly De La Cruz,0.5,TB,CIN,163,-163,2026-04-20T16:20:00.78967Z,,2026-04-21T01:40:00Z,"If Elly De La Cruz records 1+ total hits + runs + rbis in the Cincinnati vs Tampa Bay professional baseball game originally scheduled for Apr 20, 2026 at 6:40 PM EDT, then the market resolves to Yes."
kalshi,KXNBAAST-26APR20TORCLE,KXNBAAST-26APR20TORCLE-CLEDSCHRODER8-10,nba,Dennis Schröder: 10+ assists,kalshi,Kalshi,prediction_market,nba,player_over_under,assists,Dennis Schröder,9.5,CLE,TOR,102,-102,2026-04-20T16:06:00.789594Z,,2026-04-21T02:00:00Z,"If Dennis Schröder records 10+ Assists in the Toronto at Cleveland professional basketball game originally scheduled for Apr 20, 2026, then the market resolves to Yes."
kalshi,KXNBAAST-26APR20TORCLE,KXNBAAST-26APR20TORCLE-CLEDSCHRODER8-8,nba,Dennis Schröder: 8+ assists,kalshi,Kalshi,prediction_market,nba,player_over_under,assists,Dennis Schröder,7.5,CLE,TOR,102,-102,2026-04-20T16:06:00.789594Z,,2026-04-21T02:00:00Z,"If Dennis Schröder records 8+ Assists in the Toronto at Cleveland professional basketball game originally scheduled for Apr 20, 2026, then the market resolves to Yes."
kalshi,KXNBAAST-26APR20TORCLE,KXNBAAST-26APR20TORCLE-CLEDSCHRODER8-6,nba,Dennis Schröder: 6+ assists,kalshi,Kalshi,prediction_market,nba,player_over_under,assists,Dennis Schröder,5.5,CLE,TOR,1900,-1900,2026-04-20T16:06:00.789594Z,,2026-04-21T02:00:00Z,"If Dennis Schröder records 6+ Assists in the Toronto at Cleveland professional basketball game originally scheduled for Apr 20, 2026, then the market resolves to Yes."
kalshi,KXNBAAST-26APR20TORCLE,KXNBAAST-26APR20TORCLE-CLEDSCHRODER8-4,nba,Dennis Schröder: 4+ assists,kalshi,Kalshi,prediction_market,nba,player_over_under,assists,Dennis Schröder,3.5,CLE,TOR,545,-545,2026-04-20T16:06:00.789594Z,,2026-04-21T02:00:00Z,"If Dennis Schröder records 4+ Assists in the Toronto at Cleveland professional basketball game originally scheduled for Apr 20, 2026, then the market resolves to Yes."
kalshi,KXNBAAST-26APR20TORCLE,KXNBAAST-26APR20TORCLE-CLEDSCHRODER8-2,nba,Dennis Schröder: 2+ assists,kalshi,Kalshi,prediction_market,nba,player_over_under,assists,Dennis Schröder,1.5,CLE,TOR,-138,138,2026-04-20T16:06:00.789594Z,,2026-04-21T02:00:00Z,"If Dennis Schröder records 2+ Assists in the Toronto at Cleveland professional basketball game originally scheduled for Apr 20, 2026, then the market resolves to Yes."
kalshi,KXMLBHR-26APR201840CINTB,KXMLBHR-26APR201840CINTB-CINEDELACRUZ44-2,mlb,Elly De La Cruz: 2+ home runs?,kalshi,Kalshi,prediction_market,mlb,player_over_under,,Elly De La Cruz,1.5,TB,CIN,6567,-6567,2026-04-20T15:59:00.789903Z,,2026-04-21T01:40:00Z,"If Elly De La Cruz records 2+ home runs in Cincinnati vs Tampa Bay professional baseball game originally scheduled for Apr 20, 2026 at 6:40 PM EDT, then the market resolves to Yes."
kalshi,KXMLBHR-26APR201840CINTB,KXMLBHR-26APR201840CINTB-CINEDELACRUZ44-1,mlb,Elly De La Cruz: 1+ home runs?,kalshi,Kalshi,prediction_market,mlb,player_over_under,,Elly De La Cruz,0.5,TB,CIN,590,-590,2026-04-20T15:59:00.789903Z,,2026-04-21T01:40:00Z,"If Elly De La Cruz records 1+ home runs in Cincinnati vs Tampa Bay professional baseball game originally scheduled for Apr 20, 2026 at 6:40 PM EDT, then the market resolves to Yes."
kalshi,KXMLBHIT-26APR201840CINTB,KXMLBHIT-26APR201840CINTB-CINEDELACRUZ44-3,mlb,Elly De La Cruz: 3+ hits?,kalshi,Kalshi,prediction_market,mlb,player_over_under,,Elly De La Cruz,2.5,TB,CIN,1329,-1329,2026-04-20T15:48:00.789755Z,,2026-04-21T01:40:00Z,"If Elly De La Cruz records 3+ hits in the Cincinnati vs Tampa Bay professional baseball game originally scheduled for Apr 20, 2026 at 6:40 PM EDT, then the market resolves to Yes."
