Source Site: DraftKings
Coverage: 3 game(s)
Selected Slates:
  29272 | Classic | 2026-04-20 19:00:00 | 3/3 game(s)

Rudy Gobert: Adjusted RTG = 427.80, Adjusted FP = 77.72, Base FP = 37.01, Multiplier = 2.100, Rating = 203.71, Salary = $6000, Team = MIN, Pos = C/UTIL
Karl-Anthony Towns: Adjusted RTG = 470.55, Adjusted FP = 75.57, Base FP = 47.23, Multiplier = 1.600, Rating = 294.09, Salary = $8300, Team = NYK, Pos = PF/F/C/UTIL
Christian Braun: Adjusted RTG = 547.70, Adjusted FP = 74.62, Base FP = 28.70, Multiplier = 2.600, Rating = 210.65, Salary = $4600, Team = DEN, Pos = SG/G/UTIL
Josh Hart: Adjusted RTG = 518.72, Adjusted FP = 71.61, Base FP = 34.10, Multiplier = 2.100, Rating = 247.01, Salary = $5500, Team = NYK, Pos = SG/SF/G/F/UTIL
Onyeka Okongwu: Adjusted RTG = 389.28, Adjusted FP = 71.19, Base FP = 37.47, Multiplier = 1.900, Rating = 204.88, Salary = $6100, Team = ATL, Pos = C/UTIL
Cameron Johnson: Adjusted RTG = 452.48, Adjusted FP = 70.66, Base FP = 26.17, Multiplier = 2.700, Rating = 167.58, Salary = $4700, Team = DEN, Pos = SF/PF/F/UTIL
Ja'Kobe Walter: Adjusted RTG = 289.63, Adjusted FP = 70.44, Base FP = 17.61, Multiplier = 4.000, Rating = 72.41, Salary = $4000, Team = TOR, Pos = SG/SF/G/F/UTIL
RJ Barrett: Adjusted RTG = 376.31, Adjusted FP = 69.52, Base FP = 34.76, Multiplier = 2.000, Rating = 188.16, Salary = $6600, Team = TOR, Pos = SF/F/UTIL
Scottie Barnes: Adjusted RTG = 355.59, Adjusted FP = 68.59, Base FP = 42.87, Multiplier = 1.600, Rating = 222.24, Salary = $8100, Team = TOR, Pos = PF/F/UTIL
Jonathan Kuminga: Adjusted RTG = 310.12, Adjusted FP = 68.38, Base FP = 23.58, Multiplier = 2.900, Rating = 106.94, Salary = $4500, Team = ATL, Pos = SF/PF/F/UTIL
Nickeil Alexander-Walker: Adjusted RTG = 252.41, Adjusted FP = 68.36, Base FP = 37.98, Multiplier = 1.800, Rating = 140.23, Salary = $6800, Team = ATL, Pos = PG/SG/G/UTIL
Nikola Jokic: Adjusted RTG = 421.13, Adjusted FP = 68.14, Base FP = 68.14, Multiplier = 1.000, Rating = 421.13, Salary = $12400, Team = DEN, Pos = C/UTIL
Brandon Ingram: Adjusted RTG = 103.80, Adjusted FP = 67.81, Base FP = 37.67, Multiplier = 1.800, Rating = 57.67, Salary = $6900, Team = TOR, Pos = SG/G/UTIL
OG Anunoby: Adjusted RTG = 443.30, Adjusted FP = 66.62, Base FP = 33.31, Multiplier = 2.000, Rating = 221.65, Salary = $5800, Team = NYK, Pos = PF/F/UTIL
Evan Mobley: Adjusted RTG = 402.60, Adjusted FP = 66.19, Base FP = 41.37, Multiplier = 1.600, Rating = 251.62, Salary = $7700, Team = CLE, Pos = PF/F/C/UTIL
Donte DiVincenzo: Adjusted RTG = 321.36, Adjusted FP = 65.95, Base FP = 27.48, Multiplier = 2.400, Rating = 133.90, Salary = $5000, Team = MIN, Pos = PG/G/UTIL
CJ McCollum: Adjusted RTG = 332.33, Adjusted FP = 65.70, Base FP = 34.58, Multiplier = 1.900, Rating = 174.91, Salary = $5900, Team = ATL, Pos = PG/SG/G/UTIL
Jamal Shead: Adjusted RTG = 392.06, Adjusted FP = 65.09, Base FP = 18.08, Multiplier = 3.600, Rating = 108.91, Salary = $4300, Team = TOR, Pos = PG/G/UTIL
Jakob Poeltl: Adjusted RTG = 425.23, Adjusted FP = 64.90, Base FP = 25.96, Multiplier = 2.500, Rating = 170.09, Salary = $4800, Team = TOR, Pos = C/UTIL
Jarrett Allen: Adjusted RTG = 472.27, Adjusted FP = 64.70, Base FP = 32.35, Multiplier = 2.000, Rating = 236.14, Salary = $5700, Team = CLE, Pos = C/UTIL
Jalen Johnson: Adjusted RTG = 161.25, Adjusted FP = 63.95, Base FP = 49.19, Multiplier = 1.300, Rating = 124.04, Salary = $9400, Team = ATL, Pos = PF/F/UTIL
Bruce Brown: Adjusted RTG = 234.83, Adjusted FP = 63.53, Base FP = 17.17, Multiplier = 3.700, Rating = 63.47, Salary = $3900, Team = DEN, Pos = PG/SG/G/UTIL
Julius Randle: Adjusted RTG = 338.33, Adjusted FP = 61.74, Base FP = 38.59, Multiplier = 1.600, Rating = 211.46, Salary = $7200, Team = MIN, Pos = PF/F/UTIL
Dean Wade: Adjusted RTG = 307.21, Adjusted FP = 61.52, Base FP = 15.38, Multiplier = 4.000, Rating = 76.80, Salary = $3600, Team = CLE, Pos = SF/F/UTIL
Jaden McDaniels: Adjusted RTG = 416.37, Adjusted FP = 60.92, Base FP = 27.69, Multiplier = 2.200, Rating = 189.26, Salary = $5400, Team = MIN, Pos = SF/F/UTIL
