Season,playerName,dunkScore_average,jumpSubscore_average,powerSubscore_average,styleSubscore_average,defensiveContestSubscore_average,maxBallHeight_average,ballSpeedThroughRim_average,playerVertical_average,hangTime_average,takeoffDistance_average,playerRotation_average,playerLateralSpeed_average,ballDistanceTraveled_average,ballReachBack_average,totalBallAcceleration_average,passLength_average,catchDistance_average,lateralCatchDistance_average,defensiveContestLevel_average,dunkScore_max,jumpSubscore_max,powerSubscore_max,styleSubscore_max,defensiveContestSubscore_max,maxBallHeight_max,ballSpeedThroughRim_max,playerVertical_max,hangTime_max,takeoffDistance_max,playerRotation_max,playerLateralSpeed_max,ballDistanceTraveled_max,ballReachBack_max,totalBallAcceleration_max,passLength_max,catchDistance_max,lateralCatchDistance_max,defensiveContestLevel_max,dunkScore_total,jumpSubscore_total,powerSubscore_total,styleSubscore_total,defensiveContestSubscore_total,maxBallHeight_total,ballSpeedThroughRim_total,playerVertical_total,hangTime_total,takeoffDistance_total,playerRotation_total,playerLateralSpeed_total,ballDistanceTraveled_total,ballReachBack_total,totalBallAcceleration_total,passLength_total,catchDistance_total,lateralCatchDistance_total,defensiveContestLevel_total
2025-26,Aaron Gordon,32.3375,33.65,13.125,31.15,11.3875,10.50725,9.820125,23.53425,0.429,2.927125,38.80225,3.522875,1.23725,0.030125,0.04075,1.311625,0.2205,0.205125,12.3515,60,50.3,23.8,56.8,46.3,10.76,19.085,26.819,0.683,3.861,75.971,5.653,2.071,0.241,0.169,10.493,1.764,1.641,49.817,258.7,269.2,105,249.2,91.1,84.058,78.561,188.274,3.432,23.417,310.418,28.183,9.898,0.241,0.326,10.493,1.764,1.641,98.812
2025-26,Ace Bailey,32.66666667,39.9,18.71666667,32.65,5.466666667,10.50766667,11.496,26.01266667,0.363833333,3.412333333,22.25066667,4.7535,1.660666667,0.215,0.036166667,0,0,0,5.9815,60.1,55.3,51,76.2,20.4,10.638,14.055,29.371,0.467,3.998,32.952,6.779,3.799,1.29,0.06,0,0,0,22.323,196,239.4,112.3,195.9,32.8,63.046,68.976,156.076,2.183,20.474,133.504,28.521,9.964,1.29,0.217,0,0,0,35.889
2025-26,Adem Bona,45.925,43.125,31.975,50.425,14.65,10.77425,13.31325,24.9185,0.4625,2.3655,24.836,2.368,1.92,0.4515,0.09075,2.375,1.55975,1.50875,15.52025,68.4,62.3,62.4,73.2,31.7,11.049,16.456,28.771,0.5,2.791,47.415,2.839,2.786,1.19,0.216,9.5,3.83,3.829,34.667,183.7,172.5,127.9,201.7,58.6,43.097,53.253,99.674,1.85,9.462,99.344,9.472,7.68,1.806,0.363,9.5,6.239,6.035,62.081
2025-26,Adou Thiero,29.2,43.8,11.7,24.2,0,10.535,8.993,26.868,0.367,3.795,48.004,3.722,1.297,0,0.065,0,0,0,0,29.2,43.8,11.7,24.2,0,10.535,8.993,26.868,0.367,3.795,48.004,3.722,1.297,0,0.065,0,0,0,0,29.2,43.8,11.7,24.2,0,10.535,8.993,26.868,0.367,3.795,48.004,3.722,1.297,0,0.065,0,0,0,0
2025-26,Ajay Mitchell,35.1,42.85,28.85,41,0.1,10.4725,11.503,26.8285,0.3915,3.4395,40.7625,5.266,1.735,0.347,0.0865,0,0,0,0.084,43.8,47.6,46.4,58.6,0.2,10.546,13.425,28.731,0.4,3.973,48.513,6.37,2.324,0.694,0.127,0,0,0,0.168,70.2,85.7,57.7,82,0.2,20.945,23.006,53.657,0.783,6.879,81.525,10.532,3.47,0.694,0.173,0,0,0,0.168
2025-26,Alex Sarr,32.64615385,23.29230769,18.30769231,32.14615385,21.16923077,10.54792308,12.98123077,19.82053846,0.383307692,2.910692308,32.20761538,2.073461538,1.261,0.075230769,0.096615385,0.983,0.730230769,0.727384615,22.57138462,49.9,47.7,32.2,46.5,66.2,10.789,18.442,25.314,0.517,3.823,59.589,4.146,2.191,0.497,0.296,12.779,2.895,2.887,67.229,424.4,302.8,238,417.9,275.2,137.123,168.756,257.667,4.983,37.839,418.699,26.955,16.393,0.978,1.256,12.779,9.493,9.456,293.428
2025-26,Alperen Sengun,29.05,17.41666667,30.48333333,39.43333333,12.03333333,10.531,15.316,18.3355,0.328166667,3.072333333,41.206,3.8535,1.477833333,0.483333333,0.0985,0,0,0,13.0325,52.9,23.2,61.1,67.7,43.4,10.639,18.856,20.792,0.334,3.679,120.13,4.974,1.748,1.748,0.151,0,0,0,46.695,174.3,104.5,182.9,236.6,72.2,63.186,91.896,110.013,1.969,18.434,247.236,23.121,8.867,2.9,0.591,0,0,0,78.195
2025-26,Amen Thompson,40.96315789,45.21052632,23.18421053,38.93684211,12.75789474,10.54715789,11.50289474,27.85005263,0.393842105,2.550789474,42.55121053,2.620105263,1.583315789,0.255263158,0.060684211,0.935368421,0.412157895,0.403052632,13.69668421,58.5,65.6,67.4,73,49.4,10.845,21.355,31.767,0.55,3.789,156.436,4.648,3.257,1.114,0.203,9.043,3.504,3.451,53.238,778.3,859,440.5,739.8,242.4,200.396,218.555,529.151,7.483,48.465,808.473,49.782,30.083,4.85,1.153,17.772,7.831,7.658,260.237
2025-26,Andre Drummond,31.6,29.16,19.36,33.58,9.92,10.6618,15.3412,21.4412,0.37,3.3242,12.9114,2.8254,0.9466,0,0.1484,1.5464,1.0698,1.0016,10.8752,41.1,42.3,27.5,36,45.2,10.879,20.508,23.548,0.4,3.616,25.778,5.084,2.458,0,0.243,7.732,2.487,2.487,49.52,158,145.8,96.8,167.9,49.6,53.309,76.706,107.206,1.85,16.621,64.557,14.127,4.733,0,0.742,7.732,5.349,5.008,54.376
2025-26,Andrew Nembhard,32.1,46.4,15.4,26.3,0,10.443,15.01,26.843,0.45,3.959,104.189,6.579,0.94,0,0.081,0,0,0,0,32.1,46.4,15.4,26.3,0,10.443,15.01,26.843,0.45,3.959,104.189,6.579,0.94,0,0.081,0,0,0,0,32.1,46.4,15.4,26.3,0,10.443,15.01,26.843,0.45,3.959,104.189,6.579,0.94,0,0.081,0,0,0,0
