playerName,dunkScore_average,jumpSubscore_average,powerSubscore_average,styleSubscore_average,defensiveContestSubscore_average,maxBallHeight_average,ballSpeedThroughRim_average,playerVertical_average,hangTime_average,takeoffDistance_average,playerRotation_average,playerLateralSpeed_average,ballDistanceTraveled_average,ballReachBack_average,totalBallAcceleration_average,passLength_average,catchDistance_average,lateralCatchDistance_average,defensiveContestLevel_average,dunkScore_max,jumpSubscore_max,powerSubscore_max,styleSubscore_max,defensiveContestSubscore_max,maxBallHeight_max,ballSpeedThroughRim_max,playerVertical_max,hangTime_max,takeoffDistance_max,playerRotation_max,playerLateralSpeed_max,ballDistanceTraveled_max,ballReachBack_max,totalBallAcceleration_max,passLength_max,catchDistance_max,lateralCatchDistance_max,defensiveContestLevel_max,dunkScore_total,jumpSubscore_total,powerSubscore_total,styleSubscore_total,defensiveContestSubscore_total,maxBallHeight_total,ballSpeedThroughRim_total,playerVertical_total,hangTime_total,takeoffDistance_total,playerRotation_total,playerLateralSpeed_total,ballDistanceTraveled_total,ballReachBack_total,totalBallAcceleration_total,passLength_total,catchDistance_total,lateralCatchDistance_total,defensiveContestLevel_total
Aaron Gordon,32.3375,33.65,13.125,31.15,11.3875,10.50725,9.820124999999999,23.53425,0.429,2.927125,38.80225,3.522875,1.23725,0.030125,0.04075,1.311625,0.2205,0.205125,12.3515,60.0,50.3,23.8,56.8,46.3,10.76,19.085,26.819,0.683,3.861,75.971,5.653,2.071,0.241,0.169,10.493,1.764,1.641,49.817,258.7,269.2,105.0,249.2,91.1,84.058,78.56099999999999,188.274,3.432,23.417,310.418,28.183,9.898,0.241,0.326,10.493,1.764,1.641,98.812
Ace Bailey,34.4625,42.625,20.4,32.825,5.2,10.522874999999999,13.141124999999999,26.976,0.383125,3.12575,21.618000000000002,4.205625,1.55375,0.16125,0.08612500000000001,0.0,0.332125,0.332125,5.660875,60.1,60.4,51.0,76.2,20.4,10.638,20.2,32.698,0.516,3.998,32.952,6.779,3.799,1.29,0.401,0.0,2.657,2.657,22.323,275.7,341.0,163.2,262.6,41.6,84.18299999999999,105.12899999999999,215.808,3.065,25.006,172.94400000000002,33.645,12.43,1.29,0.6890000000000001,0.0,2.657,2.657,45.287
Adem Bona,42.440000000000005,39.760000000000005,28.18,45.46,14.98,10.7208,13.132200000000001,24.4916,0.43,2.4962,23.3638,2.4376,1.7932,0.381,0.0748,1.9,1.2478,1.207,15.969800000000001,68.4,62.3,62.4,73.2,31.7,11.049,16.456,28.771,0.5,3.019,47.415,2.839,2.786,1.19,0.216,9.5,3.83,3.829,34.667,212.20000000000002,198.8,140.9,227.3,74.9,53.604,65.661,122.458,2.15,12.481,116.819,12.188,8.966,1.905,0.374,9.5,6.239,6.035,79.849
Adou Thiero,29.2,43.8,11.7,24.2,0.0,10.535,8.993,26.868,0.367,3.795,48.004,3.722,1.297,0.0,0.065,0.0,0.0,0.0,0.0,29.2,43.8,11.7,24.2,0.0,10.535,8.993,26.868,0.367,3.795,48.004,3.722,1.297,0.0,0.065,0.0,0.0,0.0,0.0,29.2,43.8,11.7,24.2,0.0,10.535,8.993,26.868,0.367,3.795,48.004,3.722,1.297,0.0,0.065,0.0,0.0,0.0,0.0
Ajay Mitchell,35.099999999999994,42.85,28.85,41.0,0.1,10.4725,11.503,26.8285,0.3915,3.4395,40.7625,5.266,1.7349999999999999,0.347,0.0865,0.0,0.0,0.0,0.084,43.8,47.6,46.4,58.6,0.2,10.546,13.425,28.731,0.4,3.973,48.513,6.37,2.324,0.694,0.127,0.0,0.0,0.0,0.168,70.19999999999999,85.7,57.7,82.0,0.2,20.945,23.006,53.657,0.783,6.879,81.525,10.532,3.4699999999999998,0.694,0.173,0.0,0.0,0.0,0.168
Alex Sarr,33.586666666666666,23.56,19.933333333333334,33.24,22.226666666666667,10.557933333333333,13.2272,20.0218,0.3788,2.7987333333333333,33.6608,2.0234,1.3427333333333331,0.10766666666666666,0.09533333333333333,0.8519333333333333,0.6328666666666667,0.6304,23.776200000000003,49.9,47.7,39.3,52.4,66.2,10.789,18.442,25.314,0.517,3.823,65.457,4.146,2.191,0.637,0.296,12.779,2.895,2.887,67.229,503.8,353.4,299.0,498.6,333.4,158.369,198.408,300.327,5.682,41.981,504.912,30.351,20.141,1.615,1.43,12.779,9.493,9.456,356.64300000000003
Alperen Sengun,29.05,17.416666666666668,30.483333333333334,39.43333333333333,12.033333333333333,10.531,15.316,18.3355,0.32816666666666666,3.0723333333333334,41.205999999999996,3.8535,1.4778333333333336,0.48333333333333334,0.09849999999999999,0.0,0.0,0.0,13.032499999999999,52.9,23.2,61.1,67.7,43.4,10.639,18.856,20.792,0.334,3.679,120.13,4.974,1.748,1.748,0.151,0.0,0.0,0.0,46.695,174.3,104.5,182.9,236.6,72.2,63.186,91.896,110.013,1.969,18.434,247.236,23.121,8.867,2.9,0.591,0.0,0.0,0.0,78.195
Amen Thompson,41.15909090909091,45.81363636363636,24.64090909090909,40.15,11.018181818181818,10.566863636363637,11.696181818181817,27.852545454545453,0.4067727272727273,2.574227272727273,41.22563636363637,2.5987727272727272,1.4552272727272728,0.2685454545454546,0.0775,2.2774090909090905,0.7151818181818183,0.7058636363636364,11.828954545454547,60.5,68.8,67.4,73.0,49.4,11.006,21.355,32.548,0.633,3.789,156.436,4.648,3.257,1.114,0.463,14.295,3.504,3.451,53.238,905.5,1007.9,542.1,883.3,242.4,232.471,257.316,612.756,8.949,56.633,906.964,57.173,32.015,5.908,1.705,50.102999999999994,15.734000000000002,15.529,260.237
Andre Drummond,29.383333333333336,26.566666666666666,17.866666666666667,33.75,8.266666666666667,10.627,14.316333333333333,20.671333333333333,0.37233333333333335,3.0848333333333335,11.828000000000001,2.497,0.891,0.0,0.12683333333333333,1.2886666666666666,1.137,1.076,9.062666666666667,41.1,42.3,27.5,36.0,45.2,10.879,20.508,23.548,0.4,3.616,25.778,5.084,2.458,0.0,0.243,7.732,2.487,2.487,49.52,176.3,159.4,107.2,202.5,49.6,63.762,85.898,124.02799999999999,2.234,18.509,70.968,14.982,5.346,0.0,0.761,7.732,6.822,6.456,54.376000000000005
Andrew Nembhard,32.1,46.4,15.4,26.3,0.0,10.443,15.01,26.843,0.45,3.959,104.189,6.579,0.94,0.0,0.081,0.0,0.0,0.0,0.0,32.1,46.4,15.4,26.3,0.0,10.443,15.01,26.843,0.45,3.959,104.189,6.579,0.94,0.0,0.081,0.0,0.0,0.0,0.0,32.1,46.4,15.4,26.3,0.0,10.443,15.01,26.843,0.45,3.959,104.189,6.579,0.94,0.0,0.081,0.0,0.0,0.0,0.0
Andrew Wiggins,25.9,34.5,15.1,24.0,0.0,10.54,13.76,23.909,0.367,3.794,66.22,4.907,1.26,0.0,0.103,0.0,0.0,0.0,0.0,25.9,34.5,15.1,24.0,0.0,10.54,13.76,23.909,0.367,3.794,66.22,4.907,1.26,0.0,0.103,0.0,0.0,0.0,0.0,25.9,34.5,15.1,24.0,0.0,10.54,13.76,23.909,0.367,3.794,66.22,4.907,1.26,0.0,0.103,0.0,0.0,0.0,0.0
Anthony Black,37.6,40.0,29.4,38.5,10.5,10.51,11.631,26.122,0.333,3.819,23.557,5.774,1.524,0.42,0.135,0.0,0.0,0.0,11.513,37.6,40.0,29.4,38.5,10.5,10.51,11.631,26.122,0.333,3.819,23.557,5.774,1.524,0.42,0.135,0.0,0.0,0.0,11.513,37.6,40.0,29.4,38.5,10.5,10.51,11.631,26.122,0.333,3.819,23.557,5.774,1.524,0.42,0.135,0.0,0.0,0.0,11.513
Anthony Davis,40.809090909090905,33.38181818181818,32.054545454545455,44.59090909090909,16.463636363636365,10.77590909090909,14.061909090909092,21.588272727272727,0.4199090909090909,2.801090909090909,38.46181818181819,2.7196363636363636,1.2113636363636364,0.31127272727272726,0.21854545454545454,3.577545454545455,1.4984545454545455,1.4257272727272727,17.766545454545454,59.8,58.9,81.5,81.0,57.4,11.112,20.318,27.49,0.6,3.975,78.325,4.459,2.257,1.307,0.68,13.533,3.47,3.401,60.33,448.9,367.2,352.6,490.5,181.1,118.535,154.681,237.471,4.619,30.811999999999998,423.08000000000004,29.916,13.325000000000001,3.424,2.404,39.353,16.483,15.683,195.432
Anthony Edwards,28.625,43.35,11.05,23.4,0.075,10.471499999999999,10.059249999999999,27.4355,0.36624999999999996,3.29575,24.430500000000002,5.21275,1.13625,0.0,0.03275,0.0,0.0,0.0,0.09225,30.9,47.7,12.2,23.7,0.3,10.55,11.508,28.492,0.383,3.754,45.17,5.715,1.199,0.0,0.056,0.0,0.0,0.0,0.369,114.5,173.4,44.2,93.6,0.3,41.885999999999996,40.236999999999995,109.742,1.4649999999999999,13.183,97.72200000000001,20.851,4.545,0.0,0.131,0.0,0.0,0.0,0.369
