Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB
2025-26,1631260,AJ Green,1610612749,MIL,26.0,24,29.0,3.92,2.17,1.75,1.54,0.13,0.29,0.67,0.13,0.29,0.42,0.3,0.7,0.0,0.63,0.63,0.63,0.17,0.0,1.0,1.0,0.267
2025-26,1642358,AJ Johnson,1610612764,WAS,21.0,6,4.8,1.33,0.5,0.83,0.33,0.0,0.17,0.33,0.17,0.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,203932,Aaron Gordon,1610612743,DEN,30.0,13,28.3,2.54,1.77,0.77,0.62,0.0,0.69,1.62,0.23,0.31,0.54,0.429,0.571,0.08,0.23,0.31,0.31,0.23,0.25,0.75,1.0,0.75
2025-26,1628988,Aaron Holiday,1610612745,HOU,29.0,15,18.1,2.47,1.27,1.2,1.2,0.07,0.2,0.4,0.0,0.07,0.07,0.0,1.0,0.0,0.13,0.13,0.13,0.0,0.0,1.0,1.0,0.0
2025-26,1630174,Aaron Nesmith,1610612754,IND,26.0,11,30.4,3.91,2.18,1.73,1.73,0.0,0.64,1.27,0.55,0.09,0.64,0.857,0.143,0.09,0.36,0.45,0.45,0.18,0.2,0.8,1.0,0.4
2025-26,1630598,Aaron Wiggins,1610612760,OKC,26.0,13,25.4,4.23,2.54,1.69,2.0,0.0,0.23,0.54,0.46,0.46,0.92,0.5,0.5,0.0,0.08,0.08,0.08,0.08,0.0,1.0,1.0,1.0
2025-26,1642846,Ace Bailey,1610612762,UTA,19.0,23,23.2,3.48,1.7,1.78,1.35,0.0,0.09,0.17,0.43,0.13,0.57,0.769,0.231,0.0,0.48,0.48,0.43,0.17,0.0,1.0,0.909,0.364
2025-26,1641737,Adem Bona,1610612755,PHI,22.0,17,16.1,6.35,4.35,2.0,0.88,0.0,1.41,3.35,0.24,0.35,0.59,0.4,0.6,0.29,0.29,0.59,0.59,0.35,0.5,0.5,1.0,0.6
2025-26,1642876,Adou Thiero,1610612747,LAL,21.0,7,7.1,0.71,0.57,0.14,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.14,0.0,0.0,1.0,1.0,0.0
2025-26,1642349,Ajay Mitchell,1610612760,OKC,23.0,23,27.6,3.52,1.87,1.65,2.91,0.0,0.17,0.39,0.22,0.43,0.65,0.333,0.667,0.0,0.35,0.35,0.35,0.17,0.0,1.0,1.0,0.5
