Season,GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
2013-14,Players,201166,Aaron Brooks,Aaron,1610612743,DEN,29.0,17,3,14,0.176,33.88666666666666,2,13,0.154,1,6,0.167,3,3,1.0,2,6,8,5,2,0,0,2,7,4,8,-13,23.1,1,0,22.0,158,205,297,310,178,203,142,296,106,99,160,125,149,1,107,108,112,67,100,193,128,344,303,102,196,355,180,122,12,180
2013-14,Players,201189,Aaron Gray,Aaron,1610612758,SAC,29.0,5,0,5,0.0,11.7,0,0,0.0,0,0,0.0,1,2,0.5,1,0,1,0,2,0,0,0,3,1,1,-2,0.2,0,0,2.0,286,355,157,355,266,305,353,305,177,250,177,187,166,201,157,309,278,246,100,193,128,1,199,202,309,222,361,180,12,319
2013-14,Players,1733,Al Harrington,Al,1610612764,WAS,34.0,5,3,2,0.6,4.526666666666666,1,2,0.5,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,2,8,3.2,0,0,3.0,286,205,66,28,335,245,278,83,177,196,177,233,243,233,157,309,278,246,234,193,128,1,1,276,274,112,308,180,12,312
2013-14,Players,201143,Al Horford,Al,1610612737,ATL,28.0,13,5,8,0.385,40.846666666666664,11,20,0.55,0,0,0.0,4,4,1.0,6,8,14,1,3,1,2,2,5,2,26,4,50.3,5,0,47.0,206,147,207,137,161,61,93,70,177,250,177,100,123,1,25,79,58,179,75,99,29,344,259,154,77,151,90,51,12,90
2013-14,Players,2744,Al Jefferson,Al,1610612766,CHA,29.0,33,13,20,0.394,104.135,28,59,0.475,1,2,0.5,9,14,0.643,16,35,51,2,4,1,3,7,6,13,66,29,138.2,24,0,128.0,16,18,387,129,11,6,8,128,106,168,28,44,33,181,2,1,1,138,48,99,8,424,275,19,14,45,5,2,12,7
2013-14,Players,202329,Al-Farouq Aminu,Al-Farouq,1610612740,NOP,23.0,22,8,14,0.364,54.89666666666667,3,12,0.25,1,2,0.5,1,2,0.5,4,9,13,3,3,2,0,2,10,2,8,-7,31.1,4,0,29.0,105,75,297,157,117,177,150,262,106,168,28,187,166,201,52,68,63,102,75,49,128,344,377,154,196,308,149,63,12,147
2013-14,Players,101187,Alan Anderson,Alan,1610612751,BKN,31.0,15,3,12,0.2,34.263333333333335,3,12,0.25,0,5,0.0,2,2,1.0,0,5,5,0,0,1,0,2,2,3,8,2,17.0,0,0,15.0,187,205,263,287,177,177,150,262,177,114,177,149,166,1,252,123,170,246,234,99,128,344,156,136,196,163,213,180,12,215
2013-14,Players,202692,Alec Burks,Alec,1610612762,UTA,22.0,22,6,16,0.273,40.66833333333334,7,17,0.412,1,3,0.333,6,7,0.857,2,4,6,3,4,0,1,1,7,4,21,-47,31.7,0,0,33.0,105,124,332,225,162,105,106,166,106,141,89,71,84,99,107,148,147,102,48,193,59,264,303,102,109,423,143,180,12,132
2013-14,Players,203458,Alex Len,Alex,1610612756,PHX,21.0,2,1,1,0.5,3.848333333333333,2,2,1.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,4,5,6.4,0,0,6.0,355,284,17,42,343,203,278,1,177,250,177,233,243,233,157,246,241,246,234,193,128,1,1,276,245,131,275,180,12,275
2013-14,Players,203144,Alexey Shved,Alexey,1610612750,MIN,25.0,4,0,4,0.0,8.433333333333334,2,4,0.5,1,3,0.333,0,0,0.0,0,0,0,2,1,0,0,0,0,0,5,-11,7.0,0,0,8.0,302,355,133,355,296,203,232,83,106,141,89,233,243,233,252,309,330,138,157,193,128,1,1,276,224,340,271,180,12,252
