Season,CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS
2025-26,1642273,Kyshawn George,1610612764,WAS,F,22.0,24,24,0.409,2.79,7.29,0.383,0.356,0.026
2025-26,203952,Andrew Wiggins,1610612748,MIA,F,30.0,24,24,0.458,2.38,6.96,0.341,0.364,-0.022
2025-26,1629029,Luka Dončić,1610612747,LAL,F-G,26.0,21,21,0.401,2.14,6.57,0.326,0.36,-0.034
2025-26,1630578,Alperen Sengun,1610612745,HOU,C,23.0,23,23,0.353,2.57,6.48,0.396,0.362,0.034
2025-26,1642270,Donovan Clingan,1610612757,POR,C,21.0,24,23,0.381,2.46,6.46,0.381,0.369,0.012
2025-26,1629645,Kevin Porter Jr.,1610612749,MIL,G-F,25.0,9,9,0.46,2.78,6.33,0.439,0.361,0.078
2025-26,1630595,Cade Cunningham,1610612765,DET,G,24.0,25,25,0.43,1.72,6.24,0.276,0.369,-0.093
2025-26,1630183,Jaden McDaniels,1610612750,MIN,F,25.0,27,27,0.387,2.07,6.15,0.337,0.364,-0.027
2025-26,1628973,Jalen Brunson,1610612752,NYK,G,29.0,25,25,0.494,2.28,6.12,0.373,0.366,0.007
2025-26,1627750,Jamal Murray,1610612743,DEN,G,28.0,26,26,0.457,2.08,6.12,0.34,0.367,-0.027
2025-26,1630581,Josh Giddey,1610612741,CHI,G,23.0,25,25,0.415,2.08,6.04,0.344,0.355,-0.01
2025-26,1631170,Jaime Jaquez Jr.,1610612748,MIA,G,24.0,27,27,0.421,1.74,6.0,0.29,0.35,-0.06
2025-26,1628991,Jaren Jackson Jr.,1610612763,MEM,F-C,26.0,26,26,0.406,2.12,6.0,0.353,0.356,-0.004
2025-26,1627783,Pascal Siakam,1610612754,IND,F,31.0,27,26,0.399,2.26,5.96,0.379,0.356,0.023
2025-26,203468,CJ McCollum,1610612764,WAS,G,34.0,26,26,0.475,2.08,5.85,0.355,0.369,-0.014
2025-26,1628368,De'Aaron Fox,1610612759,SAS,G,28.0,19,19,0.478,2.16,5.79,0.373,0.364,0.008
2025-26,1630530,Trey Murphy III,1610612740,NOP,F,25.0,27,27,0.42,2.19,5.74,0.381,0.363,0.017
2025-26,203897,Zach LaVine,1610612758,SAC,G,30.0,23,23,0.48,2.3,5.7,0.405,0.373,0.032
2025-26,1627759,Jaylen Brown,1610612738,BOS,G-F,29.0,26,26,0.474,1.88,5.69,0.331,0.349,-0.018
2025-26,1642259,Alex Sarr,1610612764,WAS,C,20.0,18,18,0.286,2.11,5.67,0.373,0.352,0.021
2025-26,201950,Jrue Holiday,1610612757,POR,G,35.0,12,12,0.433,1.83,5.67,0.324,0.371,-0.048
2025-26,1628381,John Collins,1610612746,LAC,F-C,28.0,28,28,0.467,1.79,5.54,0.323,0.366,-0.043
2025-26,1630558,Davion Mitchell,1610612748,MIA,G,27.0,26,26,0.44,1.73,5.5,0.315,0.364,-0.049
2025-26,1630532,Franz Wagner,1610612753,ORL,F,24.0,24,24,0.407,2.29,5.5,0.417,0.367,0.05
2025-26,1630178,Tyrese Maxey,1610612755,PHI,G,25.0,25,25,0.428,2.12,5.48,0.387,0.359,0.028
2025-26,1629627,Zion Williamson,1610612740,NOP,F,25.0,13,13,0.486,2.08,5.46,0.38,0.367,0.014
