Season,CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,PLUSMINUS
2024-25,1630600,Isaiah Mobley,1610612755,PHI,F,25.0,1,1,0.588,6.0,10.0,0.6,0.606,-0.006
2024-25,1642259,Alex Sarr,1610612764,WAS,C,19.0,67,67,0.492,5.4,8.7,0.621,0.648,-0.027
2024-25,1630578,Alperen Sengun,1610612745,HOU,C,22.0,76,75,0.447,4.66,7.93,0.587,0.634,-0.047
2024-25,203999,Nikola Jokić,1610612743,DEN,C,30.0,70,70,0.386,5.17,7.91,0.653,0.647,0.006
2024-25,1641705,Victor Wembanyama,1610612759,SAS,F-C,21.0,46,46,0.427,4.0,7.87,0.508,0.644,-0.136
2024-25,1631117,Walker Kessler,1610612762,UTA,C,23.0,58,58,0.383,4.03,7.55,0.534,0.642,-0.108
2024-25,202696,Nikola Vučević,1610612741,CHI,C,34.0,73,72,0.407,4.66,7.27,0.64,0.65,-0.01
2024-25,1626167,Myles Turner,1610612754,IND,C-F,29.0,72,71,0.486,4.01,7.25,0.554,0.637,-0.083
2024-25,1630596,Evan Mobley,1610612739,CLE,C,23.0,71,71,0.414,3.86,7.1,0.544,0.631,-0.088
2024-25,201572,Brook Lopez,1610612749,MIL,C,37.0,80,80,0.373,4.16,7.1,0.586,0.642,-0.056
2024-25,1627751,Jakob Poeltl,1610612761,TOR,C,29.0,57,57,0.44,4.14,7.02,0.59,0.645,-0.055
2024-25,1631096,Chet Holmgren,1610612760,OKC,C-F,22.0,32,30,0.468,3.13,6.94,0.45,0.634,-0.183
2024-25,1627734,Domantas Sabonis,1610612758,SAC,F-C,28.0,70,68,0.402,4.17,6.84,0.61,0.642,-0.033
2024-25,1642274,Yves Missi,1610612740,NOP,C,20.0,73,73,0.45,4.27,6.71,0.637,0.645,-0.008
2024-25,203497,Rudy Gobert,1610612750,MIN,C,32.0,72,72,0.371,3.54,6.6,0.537,0.635,-0.098
2024-25,1629684,Grant Williams,1610612766,CHA,F,26.0,16,16,0.411,4.25,6.5,0.654,0.629,0.025
2024-25,1628386,Jarrett Allen,1610612739,CLE,C,26.0,81,81,0.432,3.65,6.44,0.567,0.639,-0.072
2024-25,203076,Anthony Davis,1610612742,DAL,F-C,32.0,50,49,0.388,3.38,6.42,0.526,0.645,-0.118
2024-25,1629655,Daniel Gafford,1610612742,DAL,F-C,26.0,57,57,0.436,3.11,6.39,0.486,0.631,-0.144
2024-25,1630208,Nick Richards,1610612756,PHX,C,27.0,57,57,0.443,3.82,6.35,0.602,0.639,-0.037
2024-25,1630552,Jalen Johnson,1610612737,ATL,F,23.0,36,36,0.44,3.56,6.33,0.561,0.632,-0.07
2024-25,1626157,Karl-Anthony Towns,1610612752,NYK,C-F,29.0,71,71,0.373,4.13,6.28,0.657,0.637,0.02
2024-25,1627826,Ivica Zubac,1610612746,LAC,C,28.0,80,79,0.343,3.44,6.26,0.549,0.638,-0.089
2024-25,1641726,Dereck Lively II,1610612742,DAL,C,21.0,36,35,0.418,3.47,6.25,0.556,0.635,-0.08
2024-25,204001,Kristaps Porziņģis,1610612738,BOS,F-C,29.0,42,42,0.378,2.93,6.14,0.477,0.633,-0.156
2024-25,1627749,Dejounte Murray,1610612740,NOP,G,28.0,31,31,0.469,4.03,6.13,0.658,0.63,0.028
2024-25,1628404,Josh Hart,1610612752,NYK,G,30.0,76,76,0.395,3.88,6.11,0.636,0.635,0.001
2024-25,1631109,Mark Williams,1610612766,CHA,C,23.0,43,43,0.347,3.91,6.07,0.644,0.652,-0.008
2024-25,1630530,Trey Murphy III,1610612740,NOP,F,24.0,52,51,0.419,4.04,6.0,0.673,0.635,0.038
2024-25,1630567,Scottie Barnes,1610612761,TOR,F-G,23.0,65,64,0.446,3.37,6.0,0.562,0.63,-0.069
2024-25,1641707,Taylor Hendricks,1610612762,UTA,F,21.0,3,3,0.5,3.0,6.0,0.5,0.663,-0.163
2024-25,203954,Joel Embiid,1610612755,PHI,C-F,31.0,19,19,0.371,3.58,5.89,0.607,0.637,-0.03
2024-25,1629023,P.J. Washington,1610612742,DAL,F,26.0,57,55,0.421,3.58,5.89,0.607,0.635,-0.028
2024-25,1630559,Austin Reaves,1610612747,LAL,G,26.0,72,71,0.375,3.86,5.85,0.66,0.623,0.037
2024-25,1627750,Jamal Murray,1610612743,DEN,G,28.0,67,67,0.354,3.88,5.82,0.667,0.63,0.036
2024-25,1630700,Dyson Daniels,1610612737,ATL,G,22.0,76,76,0.387,3.53,5.82,0.606,0.629,-0.022
2024-25,1630581,Josh Giddey,1610612741,CHI,G,22.0,70,70,0.406,3.56,5.73,0.621,0.627,-0.006
2024-25,1626162,Kelly Oubre Jr.,1610612755,PHI,F-G,29.0,60,59,0.426,3.58,5.73,0.625,0.637,-0.012
2024-25,1629651,Nic Claxton,1610612751,BKN,C,26.0,70,68,0.452,3.24,5.43,0.597,0.644,-0.047
2024-25,1630169,Tyrese Haliburton,1610612754,IND,G,25.0,73,73,0.456,3.23,5.41,0.597,0.615,-0.017
2024-25,1628392,Isaiah Hartenstein,1610612760,OKC,C-F,26.0,57,57,0.36,3.18,5.39,0.59,0.636,-0.046
2024-25,1627783,Pascal Siakam,1610612754,IND,F,31.0,78,77,0.366,3.17,5.38,0.588,0.63,-0.042
