Season,CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,PLUSMINUS
2025-26,1642259,Alex Sarr,1610612764,WAS,C,20.0,18,18,0.543,5.61,10.78,0.521,0.634,-0.113
2025-26,1631117,Walker Kessler,1610612762,UTA,C,24.0,5,5,0.558,5.2,8.6,0.605,0.648,-0.044
2025-26,1630596,Evan Mobley,1610612739,CLE,C,24.0,25,25,0.47,4.52,8.2,0.551,0.637,-0.086
2025-26,1631099,Keegan Murray,1610612758,SAC,F,25.0,13,13,0.5,5.08,7.92,0.641,0.635,0.006
2025-26,203999,Nikola Jokić,1610612743,DEN,C,30.0,27,27,0.414,4.96,7.59,0.654,0.632,0.022
2025-26,1627734,Domantas Sabonis,1610612758,SAC,F-C,29.0,11,11,0.466,5.27,7.55,0.699,0.662,0.037
2025-26,1642843,Cooper Flagg,1610612742,DAL,F,19.0,28,28,0.454,4.14,7.14,0.58,0.63,-0.05
2025-26,1626167,Myles Turner,1610612749,MIL,C-F,29.0,28,28,0.486,4.32,7.04,0.614,0.627,-0.013
2025-26,1630578,Alperen Sengun,1610612745,HOU,C,23.0,23,23,0.377,4.09,6.91,0.591,0.648,-0.057
2025-26,1629651,Nic Claxton,1610612751,BKN,C,26.0,26,26,0.482,3.46,6.73,0.514,0.642,-0.128
2025-26,1642852,Derik Queen,1610612740,NOP,C,20.0,29,26,0.431,4.21,6.69,0.629,0.657,-0.028
2025-26,202696,Nikola Vučević,1610612741,CHI,C,35.0,26,26,0.404,4.58,6.69,0.684,0.65,0.033
2025-26,1628436,Luke Kornet,1610612759,SAS,C-F,30.0,19,19,0.385,3.63,6.63,0.548,0.648,-0.1
2025-26,1641824,Matas Buzelis,1610612741,CHI,F,21.0,27,27,0.458,3.81,6.44,0.592,0.621,-0.029
2025-26,1629023,P.J. Washington,1610612742,DAL,F,27.0,24,23,0.404,3.75,6.38,0.588,0.634,-0.046
2025-26,1641730,Noah Clowney,1610612751,BKN,F-C,21.0,26,25,0.464,4.58,6.38,0.717,0.637,0.08
2025-26,1641750,Ryan Kalkbrenner,1610612766,CHA,C,23.0,26,26,0.409,3.42,6.35,0.539,0.642,-0.103
2025-26,1630567,Scottie Barnes,1610612761,TOR,F-G,24.0,29,29,0.436,3.83,6.24,0.613,0.638,-0.025
2025-26,1630168,Onyeka Okongwu,1610612737,ATL,F-C,25.0,28,28,0.406,3.96,6.21,0.638,0.63,0.007
2025-26,1642273,Kyshawn George,1610612764,WAS,F,22.0,24,24,0.348,3.71,6.21,0.597,0.635,-0.038
2025-26,1627751,Jakob Poeltl,1610612761,TOR,C,30.0,20,20,0.451,3.9,6.2,0.629,0.645,-0.016
2025-26,1630552,Jalen Johnson,1610612737,ATL,F,24.0,26,26,0.479,3.88,6.15,0.631,0.623,0.008
2025-26,1629029,Luka Dončić,1610612747,LAL,F-G,26.0,21,21,0.375,4.33,6.14,0.705,0.64,0.066
2025-26,1641739,Toumani Camara,1610612757,POR,F,25.0,28,28,0.416,4.0,5.96,0.671,0.63,0.04
2025-26,203497,Rudy Gobert,1610612750,MIN,C,33.0,28,28,0.357,2.86,5.93,0.482,0.625,-0.143
2025-26,1642276,Kel'el Ware,1610612748,MIA,C,21.0,28,28,0.439,3.86,5.93,0.651,0.667,-0.016
2025-26,1641706,Brandon Miller,1610612766,CHA,F,23.0,12,11,0.477,3.08,5.92,0.521,0.626,-0.105
