TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
1641891,1641891,Izan,Almansa,Izan Almansa,C,28.0,34.0,11.46,2.93,3.33,
1642921,1642921,Neoklis,Avdalas,Neoklis Avdalas,SF,27.0,33.5,10.98,2.98,3.24,
1642846,1642846,Ace,Bailey,Ace Bailey,SF-PF,27.5,34.5,10.97,2.78,3.12,
1642926,1642926,Tamar,Bates,Tamar Bates,SG,27.5,33.5,10.75,2.99,3.26,
1642866,1642866,Joan,Beringer,Joan Beringer,C,28.5,32.5,11.44,2.97,3.45,
1642886,1642886,Koby,Brea,Koby Brea,SG,27.5,34.0,11.4,3.23,3.31,
1641780,1641780,Johni,Broome,Johni Broome,SF-PF,24.5,28.0,11.52,3.23,3.37,
1642868,1642868,Carter,Bryant,Carter Bryant,SF-PF,30.5,39.5,11.25,3.14,3.07,
1642891,1642891,Miles,Byrd,Miles Byrd,SG,31.5,35.5,10.91,2.9,3.22,
1642383,1642383,Walter,Clayton Jr.,Walter Clayton Jr.,PG-SG,29.5,37.0,10.52,2.81,3.14,
1642363,1642363,Nique,Clifford,Nique Clifford,PG-SG,31.0,35.5,10.87,2.96,3.07,
1642960,1642960,Alex,Condon,Alex Condon,SF-PF,30.0,34.5,11.57,2.76,3.27,
1642907,1642907,Cedric,Coward,Cedric Coward,PG-SG,32.5,38.5,10.97,3.02,3.06,
1642856,1642856,Egor,Demin,Egor Demin,PG-SG,26.5,32.0,11.31,2.93,3.33,
1642915,1642915,Eric,Dixon,Eric Dixon,PF,28.0,32.5,11.56,3.09,3.41,
1642845,1642845,VJ,Edgecombe,VJ Edgecombe,PG-SG,30.0,38.5,11.27,2.93,3.2,
1642855,1642855,Noa,Essengue,Noa Essengue,PF,,,10.7,,3.1,
1642847,1642847,Jeremiah,Fears,Jeremiah Fears,PG-SG,32.5,36.5,10.95,3.09,3.05,
1642843,1642843,Cooper,Flagg,Cooper Flagg,SF-PF,29.0,35.5,10.64,2.92,3.3,
1642858,1642858,Boogie,Fland,Boogie Fland,PG,,,,,,
1642853,1642853,Rasheer,Fleming,Rasheer Fleming,SF-PF,27.0,32.5,10.95,2.72,3.24,
1642884,1642884,Vladislav,Goldin,Vladislav Goldin,C,26.5,30.0,11.76,2.95,3.53,
1642864,1642864,Hugo,González,Hugo González,SF,,,10.91,,3.27,
1642919,1642919,PJ,Haggerty,PJ Haggerty,SG,27.5,32.0,11.76,3.11,3.23,
1642844,1642844,Dylan,Harper,Dylan Harper,PG-SG,30.5,36.5,11.07,3.05,3.16,
1642916,1642916,Ben,Henshall,Ben Henshall,SG,30.0,36.5,10.49,3.0,3.07,
1642857,1642857,Kasparas,Jakucionis,Kasparas Jakucionis,PG-SG,28.5,35.0,10.99,2.82,3.22,
1642883,1642883,Sion,James,Sion James,SG,32.0,39.5,10.91,2.93,2.97,
1642848,1642848,Tre,Johnson,Tre Johnson,PG-SG,32.0,37.5,10.49,3.11,3.28,
1642880,1642880,Kam,Jones,Kam Jones,PG,24.5,31.5,11.42,3.11,3.27,
1641750,1641750,Ryan,Kalkbrenner,Ryan Kalkbrenner,C,29.0,33.0,12.05,3.1,3.34,
1642909,1642909,Karter,Knox,Karter Knox,SF,32.0,39.5,10.92,2.96,3.2,
