Season,CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS
2024-25,1628368,De'Aaron Fox,1610612758,SAC,G,26.0,24,24,0.548,2.88,8.13,0.354,0.356,-0.003
2024-25,1631117,Walker Kessler,1610612762,UTA,C,23.0,16,16,0.385,2.56,7.81,0.328,0.358,-0.03
2024-25,1627750,Jamal Murray,1610612743,DEN,G,27.0,17,17,0.425,2.53,7.35,0.344,0.376,-0.032
2024-25,1641727,Dariq Whitehead,1610612751,BKN,G-F,20.0,1,1,0.636,2.0,7.0,0.286,0.372,-0.087
2024-25,203468,CJ McCollum,1610612740,NOP,G,33.0,11,11,0.503,2.18,6.91,0.316,0.335,-0.019
2024-25,1628404,Josh Hart,1610612752,NYK,G,29.0,23,23,0.446,2.43,6.78,0.359,0.356,0.003
2024-25,1628384,OG Anunoby,1610612752,NYK,F-G,27.0,23,23,0.476,2.61,6.78,0.385,0.358,0.026
2024-25,1630595,Cade Cunningham,1610612765,DET,G,23.0,21,21,0.435,2.52,6.57,0.384,0.381,0.003
2024-25,1631094,Paolo Banchero,1610612753,ORL,F,22.0,5,5,0.432,3.2,6.4,0.5,0.377,0.123
2024-25,1629029,Luka Dončić,1610612742,DAL,F-G,25.0,18,18,0.442,2.33,6.39,0.365,0.354,0.011
2024-25,203078,Bradley Beal,1610612756,PHX,G,31.0,14,14,0.432,2.43,6.36,0.382,0.352,0.03
2024-25,203076,Anthony Davis,1610612747,LAL,F-C,31.0,22,22,0.356,2.0,6.14,0.326,0.365,-0.039
2024-25,1629628,RJ Barrett,1610612761,TOR,F-G,24.0,21,21,0.448,2.19,6.14,0.357,0.37,-0.014
2024-25,203992,Bogdan Bogdanović,1610612737,ATL,G,32.0,10,10,0.508,2.4,6.1,0.393,0.396,-0.002
2024-25,203897,Zach LaVine,1610612741,CHI,G,29.0,21,21,0.472,2.29,6.05,0.378,0.362,0.016
2024-25,204001,Kristaps Porziņģis,1610612738,BOS,F-C,29.0,5,5,0.366,2.8,6.0,0.467,0.385,0.082
2024-25,203114,Khris Middleton,1610612749,MIL,F,33.0,1,1,0.462,2.0,6.0,0.333,0.359,-0.026
2024-25,203954,Joel Embiid,1610612755,PHI,C-F,30.0,4,4,0.387,1.75,6.0,0.292,0.334,-0.042
2024-25,1630700,Dyson Daniels,1610612737,ATL,G,21.0,22,22,0.386,2.23,5.95,0.374,0.371,0.003
2024-25,1630208,Nick Richards,1610612766,CHA,C,27.0,8,8,0.322,2.5,5.88,0.426,0.328,0.098
2024-25,1630552,Jalen Johnson,1610612737,ATL,F,22.0,23,23,0.398,1.83,5.87,0.311,0.348,-0.036
2024-25,1628415,Dillon Brooks,1610612745,HOU,G-F,28.0,23,23,0.377,1.96,5.83,0.336,0.349,-0.013
2024-25,1631128,Christian Braun,1610612743,DEN,G,23.0,21,21,0.424,2.62,5.81,0.451,0.388,0.063
2024-25,1627826,Ivica Zubac,1610612746,LAC,C,27.0,24,24,0.319,2.04,5.79,0.353,0.356,-0.004
2024-25,1629027,Trae Young,1610612737,ATL,G,26.0,23,23,0.494,2.17,5.78,0.376,0.365,0.011
2024-25,1627783,Pascal Siakam,1610612754,IND,F,30.0,24,24,0.405,2.08,5.71,0.365,0.342,0.023
2024-25,203507,Giannis Antetokounmpo,1610612749,MIL,F,30.0,20,20,0.435,2.25,5.7,0.395,0.365,0.029
