NBA_ID,Season,Player,Deadeye,Limitless Range,Mini Marksman,Set Shot Specialist,Shifty Shooter,Aerial Wizard,Float Game,Hook Specialist,Layup Mixmaster,Paint Prodigy,Physical Finisher,Posterizer,Post Fade Phenom,Post Powerhouse,Post Up Poet,Rise Up,Ankle Assassin,Bail Out,Break Starter,Dimer,Handles for Days,Lightning Launch,Strong Handle,Unpluckable,Versatile Visionary,Challenger,Glove,High Flying Denier,Immovable Enforcer,Interceptor,Off Ball Pest,On-Ball Menace,Paint Patroller,Pick Dodger,Post Lockdown,Boxout Beast,Rebound Chaser,Brick Wall,Pogo Stick,Slippery Off Ball
708,2013-14,Kevin Garnett,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,3,0,0,0
708,2014-15,Kevin Garnett,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0
708,2015-16,Kevin Garnett,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0
951,2013-14,Ray Allen,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
959,2013-14,Steve Nash,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,2,4,3,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
965,2013-14,Derek Fisher,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
977,2013-14,Kobe Bryant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
977,2014-15,Kobe Bryant,1,0,0,0,1,0,0,3,2,2,0,0,3,0,3,0,1,1,3,0,2,1,0,2,0,1,2,0,0,0,0,1,0,0,0,0,2,0,1,0
977,2015-16,Kobe Bryant,2,0,0,2,2,0,2,1,1,2,1,0,3,1,1,0,1,0,1,2,1,0,3,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
979,2013-14,Jermaine ONeal,0,0,0,0,0,2,0,1,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,2,0,2,0
