NBA_ID,Season,Player,RotationRole,MIN,MissingBaseCount,MissingBaseColumns
708,2013-14,Kevin Garnett,,1107.0,25,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BF Floating_shot_FGM | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
708,2014-15,Kevin Garnett,,954.1,25,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BF Floating_shot_FGM | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
708,2015-16,Kevin Garnett,Rotation,554.8,5,BF Floating_shot_FGM | EE CONTESTED_SHOTS_3PT | FC DEFLECTIONS | FS Perimeter Isolation Defense | HE OFFSCREEN_POSS
951,2013-14,Ray Allen,,1934.5,24,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
959,2013-14,Steve Nash,,312.0,24,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
965,2013-14,Derek Fisher,,1425.6000000000001,25,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BF Floating_shot_FGM | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
977,2013-14,Kobe Bryant,,177.0,25,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BF Floating_shot_FGM | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
977,2014-15,Kobe Bryant,,1207.5,25,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BF Floating_shot_FGM | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
977,2015-16,Kobe Bryant,Starter,1861.2,2,EE CONTESTED_SHOTS_3PT | FC DEFLECTIONS
979,2013-14,Jermaine ONeal,,884.4000000000001,24,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
