NBA_ID,Season,Player,RotationRole,MIN,Post Control,Post Control Aggregate Z,Post Control Rating,MissingMetricCount,MissingMetrics,POST_TOUCHES Raw,POST_TOUCHES Z,POST_TOUCHES MatchedBy,Post Up Frequency% Raw,Post Up Frequency% Z,Post Up Frequency% MatchedBy,Post Up Impact Per 75 Possessions Raw,Post Up Impact Per 75 Possessions Z,Post Up Impact Per 75 Possessions MatchedBy,Post Up Shot Making Raw,Post Up Shot Making Z,Post Up Shot Making MatchedBy,Stable Post Up PPP Raw,Stable Post Up PPP Z,Stable Post Up PPP MatchedBy,PTS_PER_POST_TOUCH Raw,PTS_PER_POST_TOUCH Z,PTS_PER_POST_TOUCH MatchedBy,Post Up Shot Quality Raw,Post Up Shot Quality Z,Post Up Shot Quality MatchedBy,Post Up Draw Foul Rate Raw,Post Up Draw Foul Rate Z,Post Up Draw Foul Rate MatchedBy
708,2013-14,Kevin Garnett,Key Rotation,1107.0,0.8409011986550138,1.3001455521069878,82.97334203010243,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,2.1,0.9205856903955584,season+player,4.929577464788733,0.8733547648956892,season+player,,,,,,,,,,0.468,0.3516781642042059,season+player,,,,4.761904761904762,0.32088171127484266,season+player
708,2014-15,Kevin Garnett,Rotation,954.1,0.8436545159634947,1.3032872643646962,83.0043448709126,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,2.1,0.9205856903955584,season+player,4.906542056074767,0.8668447518230985,season+player,,,,,,,,,,0.515,0.46533462802713804,season+player,,,,4.761904761904762,0.32088171127484266,season+player
708,2015-16,Kevin Garnett,Rotation,554.8,0.26569483240514435,0.6437980668415497,74.53541315748961,0,,0.9,0.1398745933395811,season+player,2.9900332225913617,0.3252221691880313,season+player,0.1,0.6754683961983499,season+player,-0.05,-0.10425944909789085,season+player,0.89,0.3390067155388285,season+player,0.588,0.6418648803478624,season+player,-1.08,-1.2927097235724776,season+player,11.111111111111112,1.1950027194776864,season+player
951,2013-14,Ray Allen,Starter,1934.5,-0.30936306754891496,-0.012380008824796025,48.660378201607784,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,0.2,-0.31554021327640563,season+player,0.6153846153846154,-0.3458748218695995,season+player,,,,,,,,,,0.364,0.10018301021303667,season+player,,,,0.0,-0.3347090448772899,season+player
959,2013-14,Steve Nash,Rotation,312.0,-0.43678063496601405,-0.15777165408437485,44.67183726168852,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,0.1,-0.38059947136440375,season+player,0.18975332068311196,-0.46616204260081134,season+player,,,,,,,,,,0.0,-0.7800500287560551,season+player,,,,0.0,-0.3347090448772899,season+player
965,2013-14,Derek Fisher,Rotation,1425.6000000000001,-0.41310254274814295,-0.13075342689679223,45.413030506109926,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,0.1,-0.38059947136440375,season+player,0.37593984962406013,-0.41354405989443094,season+player,,,,,,,,,,0.0,-0.7800500287560551,season+player,,,,0.0,-0.3347090448772899,season+player
977,2013-14,Kobe Bryant,Too Few Games,177.0,0.32794329674875605,0.7148275710870169,75.54154852069281,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,4.8,0.47386186160255683,season+player,6.557377049180327,0.23600923787849604,season+player,,,,,,,,,,0.621,0.12773492222986413,season+player,,,,4.166666666666667,0.042291117415781225,season+player
977,2014-15,Kobe Bryant,Starter,1207.5,2.255346527286191,2.914118708463252,89.26410331894773,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,5.5,3.132600465387494,season+player,8.208955223880597,1.8001363274345787,season+player,,,,,,,,,,0.445,0.29605904361000496,season+player,,,,5.454545454545454,0.4162403667151528,season+player
977,2015-16,Kobe Bryant,Starter,1861.2,0.3100650819868122,0.6944273773677773,75.25257907714735,0,,2.6,1.2458819808355488,season+player,5.6644880174291945,1.0810470773821466,season+player,-0.05,-0.28448377337133535,season+player,0.21,0.3500249303613334,season+player,0.86,-0.3930875505140014,season+player,0.613,0.7023204462111242,season+player,-2.05,-2.391840941813667,season+player,3.8461538461538463,0.194806565860971,season+player
979,2013-14,Jermaine ONeal,Rotation,884.4000000000001,2.988539164795667,3.750738697532414,90.22153887049404,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,4.0,2.1567115940675223,season+player,17.167381974248926,4.331868061779115,season+player,,,,,,,,,,0.602,0.675719997231289,season+player,,,,7.5,0.6978463960623189,season+player
1495,2013-14,Tim Duncan,Star,2160.7999999999997,3.3906562536162124,4.209580176896314,90.74664124744764,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,7.4,4.368726369059458,season+player,12.416107382550337,2.989115255110955,season+player,,,,,,,,,,0.581,0.624937321906149,season+player,,,,9.459459459459458,0.9676131328843787,season+player
1495,2014-15,Tim Duncan,Star,2225.2999999999997,2.954977418757022,3.7124425852045944,90.17771245000718,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,6.5,3.783193046267475,season+player,11.226252158894647,2.6528514988793304,season+player,,,,,,,,,,0.509,0.45082529221995515,season+player,,,,7.6923076923076925,0.7243221765992319,season+player
1495,2015-16,Tim Duncan,Starter,1537.2,0.6752484993579223,1.1111251604866221,81.1080632806227,0,,3.8,2.026593077891526,season+player,8.616780045351472,1.9153912791512693,season+player,-0.02,-0.0924933394573983,season+player,0.05,0.07046531223258003,season+player,0.86,-0.3930875505140014,season+player,0.532,0.5064444128141561,season+player,0.02,-0.046272259587623564,season+player,7.894736842105263,0.7521914192696667,season+player
1497,2013-14,Chauncey Billups,Rotation,309.7,-0.34769240667025925,-0.05611625171132232,47.460558260099354,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,0.2,-0.31554021327640563,season+player,0.6600660066006601,-0.3332474600315767,season+player,,,,,,,,,,0.0,-0.7800500287560551,season+player,,,,0.0,-0.3347090448772899,season+player
1536,2013-14,Stephen Jackson,Garbage Time,107.10000000000001,0.0785676174585997,0.43027387072454,71.51083559785431,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,0.8,0.008012722405444542,season+player,6.153846153846154,0.13059175043813231,season+player,,,,,,,,,,1.0,0.17544828607844007,season+player,,,,12.5,0.14846380750136243,season+player
1712,2013-14,Antawn Jamison,Garbage Time,248.60000000000002,-1.3149622373940038,-1.1598333838907502,28.518195292499207,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,0.2,-1.3155402132764056,season+player,0.9174311926605505,-1.260513750528787,season+player,,,,,,,,,,0.0,-1.780050028756055,season+player,,,,0.0,-1.33470904487729,season+player
1713,2013-14,Vince Carter,Starter,1976.3999999999999,0.6107596894067137,1.0375392777099879,80.11277091063016,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,1.7,0.6603486580435659,season+player,3.953488372093023,0.5975032342210994,season+player,,,,,,,,,,0.496,0.419388397971059,season+player,,,,5.882352941176471,0.47513835978122687,season+player
1713,2014-15,Vince Carter,Rotation,1089.0,-0.12250202628027734,0.20084046599427827,66.79804748201246,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,0.4,-0.18542169710040943,season+player,1.5625,-0.07821152092023216,season+player,,,,,,,,,,0.429,0.25736748145751737,season+player,,,,0.0,-0.3347090448772899,season+player
1713,2015-16,Vince Carter,Rotation,1008.0,-0.32516330588331355,-0.03040909769769658,48.16578472651078,0,,0.9,0.1398745933395811,season+player,3.4090909090909096,0.44365162929254,season+player,-0.17,-1.0524455090270834,season+player,-0.07,-0.13920440136398504,season+player,0.82,-1.3692132385844413,season+player,0.529,0.49918974491056467,season+player,-0.62,-0.7714722386333568,season+player,11.111111111111112,1.1950027194776864,season+player
1713,2016-17,Vince Carter,Starter,1803.1,0.5183284997303175,0.9320693412422792,78.61878564405372,0,,1.0,0.2049338514275792,season+player,2.898550724637681,0.29936839489703543,season+player,0.12,0.8034620188076412,season+player,-0.08,-0.1566768774970321,season+player,0.94,1.5591638256268756,season+player,0.542,0.5306266391594608,season+player,-0.52,-0.658159741907461,season+player,10.0,1.0420315430421885,season+player
