NBA_ID,Season,Player,RotationRole,MIN,Post Hook,Post Hook Aggregate Z,Post Hook Rating,MissingMetricCount,MissingMetrics,Hook_Shot_FGM Raw,Hook_Shot_FGM Z,Hook_Shot_FGM MatchedBy,Hook_Shot_PG Raw,Hook_Shot_PG Z,Hook_Shot_PG MatchedBy,Hook_Shot_FG% Raw,Hook_Shot_FG% Z,Hook_Shot_FG% MatchedBy,Post Up Shot Making Raw,Post Up Shot Making Z,Post Up Shot Making MatchedBy,Post Up Impact Per 75 Possessions Raw,Post Up Impact Per 75 Possessions Z,Post Up Impact Per 75 Possessions MatchedBy,POST_TOUCHES Raw,POST_TOUCHES Z,POST_TOUCHES MatchedBy,Post Up Shot Making Efficiency Raw,Post Up Shot Making Efficiency Z,Post Up Shot Making Efficiency MatchedBy,Stable Post Up PPP Raw,Stable Post Up PPP Z,Stable Post Up PPP MatchedBy
708,2013-14,Kevin Garnett,Key Rotation,1107.0,0.1466918849025947,0.6112527107596039,66.34508367237129,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,4.0,-0.14668895491182313,season+player,0.07407407407407407,-0.12733037189355007,season+player,0.5714285714285714,0.45613037968216935,season+player,,,,,,,2.1,0.9205856903955584,season+player,,,,,,
708,2014-15,Kevin Garnett,Rotation,954.1,0.35649333376174447,0.8808683560194503,71.57504146200893,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,5.0,-0.08212117839710183,season+player,0.10638297872340426,0.022154360245531104,season+player,0.7142857142857143,0.9414160338921995,season+player,,,,,,,2.1,0.9205856903955584,season+player,,,,,,
708,2015-16,Kevin Garnett,Rotation,554.8,-0.10326029171958462,0.290039402889004,58.371749330414694,0,,1.0,-0.34039228445598707,season+player,0.02631578947368421,-0.3482952872441944,season+player,0.5,0.21348755257715446,season+player,-0.05,-0.10425944909789085,season+player,0.1,0.6754683961983499,season+player,0.9,0.1398745933395811,season+player,-0.46,-0.0696261598718829,season+player,0.89,0.3390067155388285,season+player
951,2013-14,Ray Allen,Starter,1934.5,-0.2551525779317502,0.09484276826242515,52.286144832481625,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,2.0,-0.27582450794126573,season+player,0.0273972602739726,-0.34329160870256675,season+player,0.4,-0.1262124053698665,season+player,,,,,,,0.2,-0.31554021327640563,season+player,,,,,,
959,2013-14,Steve Nash,Rotation,312.0,-0.12461211106406272,0.26260019986472954,57.69063826051623,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,1.0,-0.34039228445598707,season+player,0.06666666666666667,-0.16160248121324183,season+player,0.5,0.21348755257715446,season+player,,,,,,,0.1,-0.38059947136440375,season+player,,,,,,
965,2013-14,Derek Fisher,Rotation,1425.6000000000001,-0.4318151338639697,-0.1321861167616061,43.88975310851897,5,Hook_Shot_FG% | Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,0.0,-0.40496006097070836,season+player,0.0,-0.47005146509046786,season+player,,,season+player,,,,,,,0.1,-0.38059947136440375,season+player,,,,,,
977,2013-14,Kobe Bryant,Too Few Games,177.0,-1.5606209428054825,-1.582813403683491,25.732228549563466,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,0.0,-1.4049600609707085,season+player,0.0,-1.470051465090468,season+player,0.0,-2.4850122371579504,season+player,,,,,,,4.8,0.47386186160255683,season+player,,,,,,
977,2014-15,Kobe Bryant,Starter,1207.5,0.6150616496138914,1.213154256337665,76.83540573212828,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,5.0,-0.08212117839710183,season+player,0.14285714285714285,0.19091064321787354,season+player,0.7142857142857143,0.9414160338921995,season+player,,,,,,,5.5,3.0,season+player,,,,,,
977,2015-16,Kobe Bryant,Starter,1861.2,0.019263855737473495,0.447495069931251,62.280200962404315,0,,5.0,-0.08212117839710183,season+player,0.07575757575757576,-0.11954125613907464,season+player,0.38461538461538464,-0.17847393736171588,season+player,0.21,0.3500249303613334,season+player,-0.05,-0.28448377337133535,season+player,2.6,1.2458819808355488,season+player,-0.12,0.47324654637775815,season+player,0.86,-0.3930875505140014,season+player
979,2013-14,Jermaine ONeal,Rotation,884.4000000000001,0.628004511318093,1.2297871157810236,77.09871783607844,5,Hook_Shot_PG | Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,14.0,0.49898881023538993,season+player,,,season+player,0.56,0.41730752734536725,season+player,,,,,,,4.0,2.1567115940675223,season+player,,,,,,
