NBA_ID,Season,Player,RotationRole,MIN,Standing Dunk,Standing Dunk Aggregate Z,Standing Dunk Rating,MissingMetricCount,MissingMetrics,Standing_dunk_PG Raw,Standing_dunk_PG Z,Standing_dunk_PG MatchedBy,Standing_dunk_FGM Raw,Standing_dunk_FGM Z,Standing_dunk_FGM MatchedBy,dunkScore_total Raw,dunkScore_total Z,dunkScore_total MatchedBy,dunkScore_average Raw,dunkScore_average Z,dunkScore_average MatchedBy,dunkScore_max Raw,dunkScore_max Z,dunkScore_max MatchedBy,Putback Scoring Impact Per 75 Possessions Raw,Putback Scoring Impact Per 75 Possessions Z,Putback Scoring Impact Per 75 Possessions MatchedBy,Stable Putback Points Per 75 Raw,Stable Putback Points Per 75 Z,Stable Putback Points Per 75 MatchedBy,Offensive Rebound Raw,Offensive Rebound Z,Offensive Rebound MatchedBy,Offensive Rebounding Crashing Skill Raw,Offensive Rebounding Crashing Skill Z,Offensive Rebounding Crashing Skill MatchedBy,PLAYER_HEIGHT_INCHES Raw,PLAYER_HEIGHT_INCHES Z,PLAYER_HEIGHT_INCHES MatchedBy,Putback Frequency% Z,Putback per Offensive Rebound Z
708,2013-14,Kevin Garnett,Key Rotation,1107.0,0.21185358845188895,0.7095739766357915,72.51738876784023,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.24074074074074073,0.031132755860441053,season+player,13.0,0.0002971963407541323,season+player,,,,,,,,,,,,,,,,0.314416637,0.314416637,season+player,,,,83.0,1.292408204451765,season+player,,
708,2014-15,Kevin Garnett,Rotation,954.1,-0.12338480277387118,0.3074686098961577,61.892831322881776,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.06382978723404255,-0.41555271886150347,season+player,3.0,-0.387684215296616,season+player,,,,,,,,,,,,,,,,-0.030423211,-0.030423211,season+player,,,,83.0,1.292408204451765,season+player,,
708,2015-16,Kevin Garnett,Rotation,554.8,-0.4213395625226914,-0.049916495975966334,44.01974609205971,3,dunkScore_total | dunkScore_average | dunkScore_max,0.0,-0.5767176340173052,season+player,0.0,-0.504078638787827,season+player,,,,,,,,,,0.0,0.04089566359792068,season+player,0.13,-0.6893005405348979,season+player,-0.515873696,-0.515873696,season+player,-0.84,-0.9893469723326912,season+player,83.0,1.292408204451765,season+player,,
951,2013-14,Ray Allen,Starter,1934.5,-0.4461325269577757,-0.0796546892069993,42.40478696491443,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.0410958904109589,-0.4729539215197342,season+player,3.0,-0.387684215296616,season+player,,,,,,,,,,,,,,,,-0.664135886,-0.664135886,season+player,,,,77.0,-0.4951375465764251,season+player,,
959,2013-14,Steve Nash,Rotation,312.0,-0.6208715037633573,-0.28924727224979013,30.451813959774086,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.0,-0.5767176340173052,season+player,0.0,-0.504078638787827,season+player,,,,,,,,,,,,,,,,-0.849756336,-0.849756336,season+player,,,,75.0,-1.0909861302524886,season+player,,
965,2013-14,Derek Fisher,Rotation,1425.6000000000001,-0.6811637784728652,-0.36156550270361326,29.737107058672322,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.0,-0.5767176340173052,season+player,0.0,-0.504078638787827,season+player,,,,,,,,,,,,,,,,-0.73624595,-0.73624595,season+player,,,,73.0,-1.686834713928552,season+player,,
977,2013-14,Kobe Bryant,Too Few Games,177.0,-1.2877937268240953,-1.0891944504655862,26.771202957067608,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.0,-1.5767176340173052,season+player,0.0,-1.5040786387878269,season+player,,,,,,,,,,,,,,,,-1.478906996,-1.478906996,season+player,,,,78.0,-0.1972132547383934,season+player,,
977,2014-15,Kobe Bryant,Starter,1207.5,-0.2675013664571776,0.13460641627554004,53.578538320723446,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.14285714285714285,-0.21601520485908215,season+player,5.0,-0.31008793296914194,season+player,,,,,,,,,,,,,,,,-0.469708891,-0.469708891,season+player,,,,78.0,-0.1972132547383934,season+player,,
977,2015-16,Kobe Bryant,Starter,1861.2,-0.4245442305076524,-0.05376037015356227,43.81100107387788,3,dunkScore_total | dunkScore_average | dunkScore_max,0.015151515151515152,-0.5384613157732513,season+player,1.0,-0.46528049762409,season+player,,,,,,,,,,0.02,0.14756731423156924,season+player,0.59,-0.16420097378229886,season+player,-0.469454001,-0.469454001,season+player,-0.64,-0.7813910010825368,season+player,78.0,-0.1972132547383934,season+player,,
979,2013-14,Jermaine ONeal,Rotation,884.4000000000001,0.5631841392834,1.1309812607848353,80.64034679187493,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.45454545454545453,0.5709719133043136,season+player,20.0,0.2718841844869132,season+player,,,,,,,,,,,,,,,,0.853067836,0.853067836,season+player,,,,83.0,1.292408204451765,season+player,,
