NBA_ID,Season,Player,Standing Dunk Rating
708,2013-14,Kevin Garnett,72.51738876784023
708,2014-15,Kevin Garnett,61.892831322881776
708,2015-16,Kevin Garnett,44.01974609205971
951,2013-14,Ray Allen,42.40478696491443
959,2013-14,Steve Nash,30.451813959774086
965,2013-14,Derek Fisher,29.737107058672322
977,2013-14,Kobe Bryant,26.771202957067608
977,2014-15,Kobe Bryant,53.578538320723446
977,2015-16,Kobe Bryant,43.81100107387788
979,2013-14,Jermaine ONeal,80.64034679187493
1495,2013-14,Tim Duncan,82.36640771696521
1495,2014-15,Tim Duncan,83.20630336180538
1495,2015-16,Tim Duncan,64.59496314034378
1497,2013-14,Chauncey Billups,32.57731132091958
1536,2013-14,Stephen Jackson,27.10350508534504
1712,2013-14,Antawn Jamison,27.499244193569787
1713,2013-14,Vince Carter,56.88128715211907
1713,2014-15,Vince Carter,45.81991675607184
1713,2015-16,Vince Carter,64.53380794919187
1713,2016-17,Vince Carter,42.60150004652121
1713,2017-18,Vince Carter,48.79171059216189
1713,2018-19,Vince Carter,52.22186021498792
1713,2019-20,Vince Carter,46.44800981142835
1717,2013-14,Dirk Nowitzki,61.44731798145222
1717,2014-15,Dirk Nowitzki,56.81690282108916
1717,2015-16,Dirk Nowitzki,50.34274357247394
1717,2016-17,Dirk Nowitzki,47.886588524267125
1717,2017-18,Dirk Nowitzki,51.86605007402654
1717,2018-19,Dirk Nowitzki,48.993916351344765
1718,2013-14,Paul Pierce,54.69417095407461
1718,2014-15,Paul Pierce,47.452994560544155
1718,2015-16,Paul Pierce,39.03613642198699
1718,2016-17,Paul Pierce,26.888333254042358
1733,2013-14,Al Harrington,56.4195558816143
1737,2013-14,Nazr Mohammed,29.14184959347877
1737,2014-15,Nazr Mohammed,28.1393718244317
1737,2015-16,Nazr Mohammed,27.401776086958467
1740,2013-14,Rashard Lewis,59.253715757059425
1882,2013-14,Elton Brand,66.30133969666592
1882,2014-15,Elton Brand,55.089673116194334
1882,2015-16,Elton Brand,26.842827790579214
1889,2013-14,Andre Miller,31.722987443021225
1889,2014-15,Andre Miller,32.48721771716197
1889,2015-16,Andre Miller,26.88718194168453
1890,2013-14,Shawn Marion,82.38752015973334
1890,2014-15,Shawn Marion,77.06959937357573
1891,2013-14,Jason Terry,29.847134160966455
1891,2014-15,Jason Terry,29.966459596970864
1891,2015-16,Jason Terry,35.817617839198014
1891,2016-17,Jason Terry,35.281335797154426
1891,2017-18,Jason Terry,35.88162270754976
1897,2013-14,Metta World Peace,47.52486056588793
1897,2015-16,Metta World Peace,42.066566776776924
1897,2016-17,Metta World Peace,27.115680475793678
1905,2013-14,Andrei Kirilenko,81.1411383931958
1905,2014-15,Andrei Kirilenko,27.708859305954658
1938,2013-14,Manu Ginobili,55.042736435002986
1938,2014-15,Manu Ginobili,41.69981241212652
1938,2015-16,Manu Ginobili,46.272794100341336
1938,2016-17,Manu Ginobili,44.13099717374722
1938,2017-18,Manu Ginobili,47.560996358862816
2030,2013-14,Kenyon Martin,83.11665548016462
2030,2014-15,Kenyon Martin,28.114410819102176
2034,2013-14,Mike Miller,47.96950373761394
2034,2014-15,Mike Miller,42.81846737629565
2034,2015-16,Mike Miller,27.12974366416336
2034,2016-17,Mike Miller,27.1398279083761
2037,2013-14,Jamal Crawford,42.87207794039196
2037,2014-15,Jamal Crawford,38.27353573526567
2037,2015-16,Jamal Crawford,39.79258534627697
2037,2016-17,Jamal Crawford,40.38743749474717
2037,2017-18,Jamal Crawford,38.524883546011104
2037,2018-19,Jamal Crawford,39.506216423509365
2037,2019-20,Jamal Crawford,26.941030874765325
2045,2013-14,Hedo Turkoglu,51.09710787659851
2045,2014-15,Hedo Turkoglu,49.08104032179207
2199,2013-14,Tyson Chandler,97.05137859511525
2199,2014-15,Tyson Chandler,98.61180960920272
2199,2015-16,Tyson Chandler,97.03892651892554
2199,2016-17,Tyson Chandler,95.07114758011893
2199,2017-18,Tyson Chandler,91.90278051242724
2199,2018-19,Tyson Chandler,82.49417932727332
2199,2019-20,Tyson Chandler,42.62161882240354
2200,2013-14,Pau Gasol,82.46596202998155
2200,2014-15,Pau Gasol,86.89163642701463
2200,2015-16,Pau Gasol,70.93038637124165
2200,2016-17,Pau Gasol,69.05670955717275
2200,2017-18,Pau Gasol,75.87531257311602
2200,2018-19,Pau Gasol,65.1474276167918
2202,2014-15,Jason Richardson,48.29738074506103
2203,2013-14,Shane Battier,49.56880715763713
2207,2013-14,Joe Johnson,44.200175681021996
2207,2014-15,Joe Johnson,45.83212890095776
2207,2015-16,Joe Johnson,40.798178070672385
2207,2016-17,Joe Johnson,43.97676487603522
2207,2017-18,Joe Johnson,40.17444789406077
2207,2021-22,Joe Johnson,27.095094250425504
2210,2013-14,Richard Jefferson,71.75353762947346
2210,2014-15,Richard Jefferson,54.741329817414226
2210,2015-16,Richard Jefferson,53.89147657662173
2210,2016-17,Richard Jefferson,73.77093979109304
2210,2017-18,Richard Jefferson,27.413609034334566
2215,2013-14,Jason Collins,28.35581806804368
2216,2013-14,Zach Randolph,67.82413453038619
2216,2014-15,Zach Randolph,68.9027620902909
2216,2015-16,Zach Randolph,61.97905038647056
2216,2016-17,Zach Randolph,69.5001241358674
2216,2017-18,Zach Randolph,60.95479634384875
2217,2014-15,Brendan Haywood,28.74567981292016
2222,2013-14,Gerald Wallace,53.47523724516846
2222,2014-15,Gerald Wallace,27.502034510525164
2223,2013-14,Samuel Dalembert,92.7757245154227
2223,2014-15,Samuel Dalembert,81.58916575688563
2224,2013-14,Jamaal Tinsley,26.241503483694217
2225,2013-14,Tony Parker,29.6278402927715
2225,2014-15,Tony Parker,29.73673793455933
2225,2015-16,Tony Parker,30.250535484109257
2225,2016-17,Tony Parker,31.542693123946187
2225,2017-18,Tony Parker,29.88445683994277
2225,2018-19,Tony Parker,29.913386055380034
2229,2013-14,Mike James,25.732921816387705
2248,2013-14,Earl Watson,26.02552169806762
2365,2013-14,Chris Andersen,91.94490220047444
2365,2014-15,Chris Andersen,86.9048316845698
2365,2015-16,Chris Andersen,66.45409921243663
2365,2016-17,Chris Andersen,36.41320613840959
2399,2013-14,Mike Dunleavy,54.003629488738596
2399,2014-15,Mike Dunleavy,49.34623744424881
2399,2015-16,Mike Dunleavy,44.499605988611464
2399,2016-17,Mike Dunleavy,44.63217130578818
2400,2013-14,Drew Gooden,66.16993290980655
2400,2014-15,Drew Gooden,62.815684327399524
2400,2015-16,Drew Gooden,60.19362309460092
2403,2013-14,Nene,80.97563551279983
2403,2014-15,Nene,82.6920582713614
2403,2015-16,Nene,74.7356656419511
2403,2016-17,Nene,89.18842391407787
2403,2017-18,Nene,81.99984466211905
2403,2018-19,Nene,69.49441987069085
2405,2013-14,Amare Stoudemire,89.22974284501812
2405,2014-15,Amare Stoudemire,87.4007806184587
2405,2015-16,Amare Stoudemire,82.21126190016817
2406,2013-14,Caron Butler,44.79857719804371
2406,2014-15,Caron Butler,41.95962385670829
2406,2015-16,Caron Butler,26.84919178648535
2408,2013-14,Melvin Ely,31.127589797829337
2419,2013-14,Tayshaun Prince,70.63138121704498
2419,2014-15,Tayshaun Prince,62.385885159736794
2419,2015-16,Tayshaun Prince,51.728958618169635
2422,2013-14,John Salmons,38.518370411093585
2422,2014-15,John Salmons,26.609741092889376
2427,2013-14,Roger Mason Jr,26.329289344284014
2430,2013-14,Carlos Boozer,70.14678561320758
2430,2014-15,Carlos Boozer,66.87349318834328
2440,2013-14,Matt Barnes,64.17169216108267
2440,2014-15,Matt Barnes,59.82547858160828
2440,2015-16,Matt Barnes,53.40669455511089
2440,2016-17,Matt Barnes,56.04882125944559
2446,2013-14,Rasual Butler,27.51328908077302
2446,2014-15,Rasual Butler,62.65247785234596
2446,2015-16,Rasual Butler,26.878037024049757
2449,2013-14,Luis Scola,57.62481583256883
2449,2014-15,Luis Scola,65.91695687428289
2449,2015-16,Luis Scola,51.722643694524336
2449,2016-17,Luis Scola,67.45403927755866
2457,2013-14,Jannero Pargo,25.57158865426223
2457,2014-15,Jannero Pargo,25.579874149941666
2501,2013-14,Reggie Evans,70.68626615924775
2501,2014-15,Reggie Evans,69.32665504938154
2544,2013-14,LeBron James,91.68431055569154
2544,2014-15,LeBron James,83.17088668837421
2544,2015-16,LeBron James,83.23657940727759
2544,2016-17,LeBron James,87.6979702215983
2544,2017-18,LeBron James,83.91778445193751
2544,2018-19,LeBron James,78.99173706912048
2544,2019-20,LeBron James,70.10425585778036
2544,2020-21,LeBron James,78.45938816988861
2544,2021-22,LeBron James,84.5350252432392
2544,2022-23,LeBron James,79.71357192045363
2544,2023-24,LeBron James,74.3711018361141
2544,2024-25,LeBron James,69.72271397073348
2544,2025-26,Lebron James,72.1506668730961
2546,2013-14,Carmelo Anthony,72.74040537865315
2546,2014-15,Carmelo Anthony,74.10980690182046
2546,2015-16,Carmelo Anthony,61.074800965746576
2546,2016-17,Carmelo Anthony,58.58712782954875
2546,2017-18,Carmelo Anthony,61.787203880137056
2546,2018-19,Carmelo Anthony,52.83388047690251
2546,2019-20,Carmelo Anthony,57.60775745710281
2546,2020-21,Carmelo Anthony,48.43964882396837
2546,2021-22,Carmelo Anthony,60.97614791122706
2547,2013-14,Chris Bosh,85.6777472986507
2547,2014-15,Chris Bosh,71.71993014432965
2547,2015-16,Chris Bosh,67.14088414090088
2548,2013-14,Dwyane Wade,75.0258407095327
2548,2014-15,Dwyane Wade,59.80968497051376
2548,2015-16,Dwyane Wade,68.1619822814106
2548,2016-17,Dwyane Wade,60.06211795754827
2548,2017-18,Dwyane Wade,66.22723045809543
2548,2018-19,Dwyane Wade,50.2187363519816
2549,2013-14,Chris Kaman,71.7622753183088
2549,2014-15,Chris Kaman,72.276239358112
2549,2015-16,Chris Kaman,27.650575687679083
2550,2013-14,Kirk Hinrich,35.126873286751305
