Season,Player,FT_PCT
2025-26,A.J. Lawson,0.778
2025-26,AJ Green,0.855
2025-26,AJ Johnson,0.85
2025-26,Aaron Gordon,0.767
2025-26,Aaron Holiday,0.854
2025-26,Aaron Nesmith,0.829
2025-26,Aaron Wiggins,0.736
2025-26,Ace Bailey,0.75
2025-26,Adama Bal,0.9
2025-26,Adem Bona,0.708
2025-26,Adou Thiero,0.636
2025-26,Ajay Mitchell,0.87
2025-26,Al Horford,0.846
2025-26,Alex Antetokounmpo,0.733
2025-26,Alex Caruso,0.804
2025-26,Alex Morales,1.0
2025-26,Alex Sarr,0.692
2025-26,Alijah Martin,0.789
2025-26,Alondes Williams,0.875
2025-26,Alperen Sengun,0.691
2025-26,Amari Williams,0.714
2025-26,Amen Thompson,0.779
2025-26,Amir Coffey,0.786
2025-26,Andersson Garcia,0.778
2025-26,Andre Drummond,0.631
2025-26,Andre Jackson Jr.,0.625
2025-26,Andrew Nembhard,0.825
2025-26,Andrew Wiggins,0.784
2025-26,Anfernee Simons,0.896
2025-26,Anthony Black,0.732
2025-26,Anthony Davis,0.728
2025-26,Anthony Edwards,0.796
2025-26,Anthony Gill,0.739
2025-26,Antonio Reeves,0.0
2025-26,Ariel Hukporti,0.788
2025-26,Asa Newell,0.552
2025-26,Ausar Thompson,0.571
2025-26,Austin Reaves,0.871
2025-26,Ayo Dosunmu,0.876
2025-26,Bam Adebayo,0.778
2025-26,Baylor Scheierman,0.903
2025-26,Ben Saraf,0.83
2025-26,Ben Sheppard,0.765
2025-26,Bennedict Mathurin,0.869
2025-26,Bez Mbeng,0.64
2025-26,Bilal Coulibaly,0.746
2025-26,Bismack Biyombo,0.714
2025-26,Blake Hinson,0.75
2025-26,Blake Wesley,0.553
2025-26,Bobby Portis,0.706
2025-26,Bobi Klintman,0.0
2025-26,Bogdan Bogdanović,0.8
2025-26,Bones Hyland,0.78
2025-26,Bradley Beal,0.75
2025-26,Branden Carlson,0.577
2025-26,Brandin Podziemski,0.797
2025-26,Brandon Clarke,0.5
2025-26,Brandon Ingram,0.82
2025-26,Brandon Miller,0.892
2025-26,Brandon Williams,0.793
2025-26,Brice Sensabaugh,0.826
2025-26,Bronny James,0.857
2025-26,Brook Lopez,0.757
2025-26,Brooks Barnhizer,0.7
2025-26,Bruce Brown,0.762
2025-26,Bryce McGowens,0.779
2025-26,Bub Carrington,0.73
2025-26,Buddy Boeheim,0.0
2025-26,Buddy Hield,0.811
2025-26,CJ Huntley,0.0
2025-26,CJ McCollum,0.772
2025-26,Cade Cunningham,0.812
2025-26,Caleb Houstan,1.0
2025-26,Caleb Love,0.735
2025-26,Caleb Martin,0.607
2025-26,Cam Christie,0.76
2025-26,Cam Spencer,0.94
2025-26,Cam Thomas,0.811
2025-26,Cam Whitmore,0.742
