NBA_ID,Season,Player,FT_PCT,MatchedBy,SourcePlayerID,SourcePlayer,SourceTeam,SourceFile
708,2013-14,Kevin Garnett,0.809,season+player,708,Kevin Garnett,BKN,general_traditional.csv
708,2014-15,Kevin Garnett,0.8,season+player,708,Kevin Garnett,MIN,general_traditional.csv
708,2015-16,Kevin Garnett,0.667,season+player,708,Kevin Garnett,MIN,general_traditional.csv
951,2013-14,Ray Allen,0.905,season+player,951,Ray Allen,MIA,general_traditional.csv
959,2013-14,Steve Nash,0.917,season+player,959,Steve Nash,LAL,general_traditional.csv
965,2013-14,Derek Fisher,0.775,season+player,965,Derek Fisher,OKC,general_traditional.csv
977,2013-14,Kobe Bryant,0.857,season+player,977,Kobe Bryant,LAL,general_traditional.csv
977,2014-15,Kobe Bryant,0.813,season+player,977,Kobe Bryant,LAL,general_traditional.csv
977,2015-16,Kobe Bryant,0.826,season+player,977,Kobe Bryant,LAL,general_traditional.csv
979,2013-14,Jermaine ONeal,0.75,season+player,979,Jermaine O'Neal,GSW,general_traditional.csv
1495,2013-14,Tim Duncan,0.731,season+player,1495,Tim Duncan,SAS,general_traditional.csv
1495,2014-15,Tim Duncan,0.74,season+player,1495,Tim Duncan,SAS,general_traditional.csv
1495,2015-16,Tim Duncan,0.702,season+player,1495,Tim Duncan,SAS,general_traditional.csv
1497,2013-14,Chauncey Billups,0.833,season+player,1497,Chauncey Billups,DET,general_traditional.csv
1536,2013-14,Stephen Jackson,0.5,season+player,1536,Stephen Jackson,LAC,general_traditional.csv
1712,2013-14,Antawn Jamison,0.72,season+player,1712,Antawn Jamison,LAC,general_traditional.csv
1713,2013-14,Vince Carter,0.821,season+player,1713,Vince Carter,DAL,general_traditional.csv
1713,2014-15,Vince Carter,0.789,season+player,1713,Vince Carter,MEM,general_traditional.csv
1713,2015-16,Vince Carter,0.833,season+player,1713,Vince Carter,MEM,general_traditional.csv
1713,2016-17,Vince Carter,0.765,season+player,1713,Vince Carter,MEM,general_traditional.csv
1713,2017-18,Vince Carter,0.757,season+player,1713,Vince Carter,SAC,general_traditional.csv
1713,2018-19,Vince Carter,0.712,season+player,1713,Vince Carter,ATL,general_traditional.csv
1713,2019-20,Vince Carter,0.793,season+player,1713,Vince Carter,ATL,general_traditional.csv
1717,2013-14,Dirk Nowitzki,0.899,season+player,1717,Dirk Nowitzki,DAL,general_traditional.csv
1717,2014-15,Dirk Nowitzki,0.882,season+player,1717,Dirk Nowitzki,DAL,general_traditional.csv
1717,2015-16,Dirk Nowitzki,0.893,season+player,1717,Dirk Nowitzki,DAL,general_traditional.csv
1717,2016-17,Dirk Nowitzki,0.875,season+player,1717,Dirk Nowitzki,DAL,general_traditional.csv
1717,2017-18,Dirk Nowitzki,0.898,season+player,1717,Dirk Nowitzki,DAL,general_traditional.csv
1717,2018-19,Dirk Nowitzki,0.78,season+player,1717,Dirk Nowitzki,DAL,general_traditional.csv
1718,2013-14,Paul Pierce,0.826,season+player,1718,Paul Pierce,BKN,general_traditional.csv
1718,2014-15,Paul Pierce,0.781,season+player,1718,Paul Pierce,WAS,general_traditional.csv
1718,2015-16,Paul Pierce,0.818,season+player,1718,Paul Pierce,LAC,general_traditional.csv
1718,2016-17,Paul Pierce,0.769,season+player,1718,Paul Pierce,LAC,general_traditional.csv
1733,2013-14,Al Harrington,0.771,season+player,1733,Al Harrington,WAS,general_traditional.csv
1737,2013-14,Nazr Mohammed,0.533,season+player,1737,Nazr Mohammed,CHI,general_traditional.csv
1737,2014-15,Nazr Mohammed,0.333,season+player,1737,Nazr Mohammed,CHI,general_traditional.csv
1737,2015-16,Nazr Mohammed,1.0,season+player,1737,Nazr Mohammed,OKC,general_traditional.csv
1740,2013-14,Rashard Lewis,0.788,season+player,1740,Rashard Lewis,MIA,general_traditional.csv
1882,2013-14,Elton Brand,0.649,season+player,1882,Elton Brand,ATL,general_traditional.csv
1882,2014-15,Elton Brand,0.522,season+player,1882,Elton Brand,ATL,general_traditional.csv
1882,2015-16,Elton Brand,0.889,season+player,1882,Elton Brand,PHI,general_traditional.csv
1889,2013-14,Andre Miller,0.779,season+player,1889,Andre Miller,WAS,general_traditional.csv
1889,2014-15,Andre Miller,0.753,season+player,1889,Andre Miller,SAC,general_traditional.csv
1889,2015-16,Andre Miller,0.75,season+player,1889,Andre Miller,SAS,general_traditional.csv
