NBA_ID,Season,Player,Team(s),Overall Impact Rating,Offensive Impact Rating,Defensive Impact Rating
708,2013-14,Kevin Garnett,BRK,74.35885497062235,52.47081263069488,93.77078589962376
708,2014-15,Kevin Garnett,2TM,84.8201584065215,64.82849432477212,92.91182632812718
708,2015-16,Kevin Garnett,MIN,87.50040641186038,62.10766772818429,95.18232259103226
951,2013-14,Ray Allen,MIA,81.52109280495024,90.54570149789666,58.91053756048347
959,2013-14,Steve Nash,LAL,64.54055069675945,79.15424720162649,47.24376400056124
965,2013-14,Derek Fisher,OKC,81.45867080400566,79.44365992361071,75.0199602016072
977,2013-14,Kobe Bryant,LAL,36.977699754816356,45.27164763753251,52.68981604129099
977,2014-15,Kobe Bryant,LAL,70.53990356280742,88.43944178404331,54.78293342585345
977,2015-16,Kobe Bryant,LAL,55.04699338140627,81.04736317366122,38.300390367400496
979,2013-14,Jermaine ONeal,GSW,70.0,66.16322211379492,77.39838335800195
1495,2013-14,Tim Duncan,SAS,97.22724813825661,88.34157353315227,95.39614912917338
1495,2014-15,Tim Duncan,SAS,98.3043344352447,91.59756413548875,96.41509570575857
1495,2015-16,Tim Duncan,SAS,96.87229578661284,79.68331086142975,97.45375832274783
1497,2013-14,Chauncey Billups,DET,56.79367940904706,67.60571455992145,57.978299464556656
1536,2013-14,Stephen Jackson,LAC,35.053761700228435,31.784764835633403,60.0988583894997
1712,2013-14,Antawn Jamison,LAC,40.0,42.05463866512595,56.55728616545421
1713,2013-14,Vince Carter,DAL,87.7854947399033,91.03728248254727,66.84323417600899
1713,2014-15,Vince Carter,MEM,70.67563735633647,69.46687748332751,77.34668136409972
1713,2015-16,Vince Carter,MEM,72.62437769540402,80.9134404188371,61.50077212250563
1713,2016-17,Vince Carter,MEM,81.17814182652494,80.72220133724446,72.17643380053339
1713,2017-18,Vince Carter,SAC,70.0,66.74739674604068,75.50321858676752
1713,2018-19,Vince Carter,ATL,66.13987135199895,65.33070543854294,67.70492927338235
1713,2019-20,Vince Carter,ATL,46.969958087560705,54.497963226941906,60.18287871653251
1717,2013-14,Dirk Nowitzki,DAL,98.56672817549736,98.13284973067549,80.00978207783719
1717,2014-15,Dirk Nowitzki,DAL,96.6926606976086,96.26723577568194,71.87658419902257
1717,2015-16,Dirk Nowitzki,DAL,96.82776832323852,94.69500047891985,78.91491986784467
1717,2016-17,Dirk Nowitzki,DAL,83.88118540424954,84.19996221410648,77.05593875833921
1717,2017-18,Dirk Nowitzki,DAL,91.2821650915979,81.0137013623784,83.09920984586357
1717,2018-19,Dirk Nowitzki,DAL,63.931587645390515,71.98892709035107,62.91226914405703
1718,2013-14,Paul Pierce,BRK,93.33444269638292,86.24112614445541,86.39816392306797
1718,2014-15,Paul Pierce,WAS,94.60079993683026,89.26951941117908,83.07080230208965
1718,2015-16,Paul Pierce,LAC,59.2349954272115,62.16982528073238,69.04566411682026
1718,2016-17,Paul Pierce,LAC,31.542586688410665,37.11138503999154,57.09920227153604
1733,2013-14,Al Harrington,WAS,59.81381357699155,67.74215911136884,60.02947277708542
1737,2013-14,Nazr Mohammed,CHI,40.0,26.685296522472818,78.35724665517392
1737,2014-15,Nazr Mohammed,CHI,40.0,30.894869268558484,61.71720967023464
1737,2015-16,Nazr Mohammed,OKC,28.885551820714017,30.375347028742883,42.22655086434737
1740,2013-14,Rashard Lewis,MIA,73.14758219440733,71.01022350669153,71.6498001193709
1882,2013-14,Elton Brand,ATL,75.8410196916461,61.20092774093015,86.81632554265333
