NBA_ID,Season,Player,Team(s),RotationRole,MIN,MissingCount,MissingMetrics
708,2013-14,Kevin Garnett,BKN,Key Rotation,1107.0,38,Speed::INV_THREE_QUARTER_SPRINT | Speed::Movement Speed Rating | Speed::Offensive Transition Frequency Impact | Speed::TRANSITION_POSS | Speed::TRANSITION_POSS_PCT | Speed::Transition Frequency Impact | Speed::Transition Shot Creation | Agility::CUT_POSS | Agility::CUT_POSS_PCT | Agility::INV_LANE_AGILITY_TIME | Agility::INV_MODIFIED_LANE_AGILITY_TIME | Agility::INV_THREE_QUARTER_SPRINT | Agility::Movement Speed Rating | Agility::OFFSCREEN_POSS | Agility::OFFSCREEN_POSS_PCT | Agility::Perimeter Isolation Defense | Agility::TRANSITION_POSS | Agility::TRANSITION_POSS_PCT | Agility::Transition Shot Creation | Strength::BOX_OUTS | Strength::Finishing Talent | Strength::Post Defense | Strength::SCREEN_ASSISTS | Strength::Screen Assists Per 75 Possessions | Strength::Screening Talent | Strength::Stable And 1s Per 75 | Vertical::VERTICAL_LEAP | Vertical::jumpSubscore_average | Vertical::jumpSubscore_max | Vertical::jumpSubscore_total | Stamina::Stable True Usage% | Stamina::TOTAL MIN | Stamina::True Usage | Hustle::BOX_OUTS | Hustle::CONTESTED_SHOTS | Hustle::DEFLECTIONS | Hustle::Defensive Playmaking | Hustle::LOOSE_BALLS_RECOVERED
708,2014-15,Kevin Garnett,MIN,Rotation,954.1,38,Speed::INV_THREE_QUARTER_SPRINT | Speed::Movement Speed Rating | Speed::Offensive Transition Frequency Impact | Speed::TRANSITION_POSS | Speed::TRANSITION_POSS_PCT | Speed::Transition Frequency Impact | Speed::Transition Shot Creation | Agility::CUT_POSS | Agility::CUT_POSS_PCT | Agility::INV_LANE_AGILITY_TIME | Agility::INV_MODIFIED_LANE_AGILITY_TIME | Agility::INV_THREE_QUARTER_SPRINT | Agility::Movement Speed Rating | Agility::OFFSCREEN_POSS | Agility::OFFSCREEN_POSS_PCT | Agility::Perimeter Isolation Defense | Agility::TRANSITION_POSS | Agility::TRANSITION_POSS_PCT | Agility::Transition Shot Creation | Strength::BOX_OUTS | Strength::Finishing Talent | Strength::Post Defense | Strength::SCREEN_ASSISTS | Strength::Screen Assists Per 75 Possessions | Strength::Screening Talent | Strength::Stable And 1s Per 75 | Vertical::VERTICAL_LEAP | Vertical::jumpSubscore_average | Vertical::jumpSubscore_max | Vertical::jumpSubscore_total | Stamina::Stable True Usage% | Stamina::TOTAL MIN | Stamina::True Usage | Hustle::BOX_OUTS | Hustle::CONTESTED_SHOTS | Hustle::DEFLECTIONS | Hustle::Defensive Playmaking | Hustle::LOOSE_BALLS_RECOVERED
708,2015-16,Kevin Garnett,MIN,Rotation,554.8,13,Speed::INV_THREE_QUARTER_SPRINT | Agility::INV_LANE_AGILITY_TIME | Agility::INV_MODIFIED_LANE_AGILITY_TIME | Agility::INV_THREE_QUARTER_SPRINT | Agility::OFFSCREEN_POSS | Agility::OFFSCREEN_POSS_PCT | Agility::Perimeter Isolation Defense | Strength::Screen Assists Per 75 Possessions | Vertical::VERTICAL_LEAP | Vertical::jumpSubscore_average | Vertical::jumpSubscore_max | Vertical::jumpSubscore_total | Stamina::TOTAL MIN
951,2013-14,Ray Allen,MIA,Starter,1934.5,38,Speed::INV_THREE_QUARTER_SPRINT | Speed::Movement Speed Rating | Speed::Offensive Transition Frequency Impact | Speed::TRANSITION_POSS | Speed::TRANSITION_POSS_PCT | Speed::Transition Frequency Impact | Speed::Transition Shot Creation | Agility::CUT_POSS | Agility::CUT_POSS_PCT | Agility::INV_LANE_AGILITY_TIME | Agility::INV_MODIFIED_LANE_AGILITY_TIME | Agility::INV_THREE_QUARTER_SPRINT | Agility::Movement Speed Rating | Agility::OFFSCREEN_POSS | Agility::OFFSCREEN_POSS_PCT | Agility::Perimeter Isolation Defense | Agility::TRANSITION_POSS | Agility::TRANSITION_POSS_PCT | Agility::Transition Shot Creation | Strength::BOX_OUTS | Strength::Finishing Talent | Strength::Post Defense | Strength::SCREEN_ASSISTS | Strength::Screen Assists Per 75 Possessions | Strength::Screening Talent | Strength::Stable And 1s Per 75 | Vertical::VERTICAL_LEAP | Vertical::jumpSubscore_average | Vertical::jumpSubscore_max | Vertical::jumpSubscore_total | Stamina::Stable True Usage% | Stamina::TOTAL MIN | Stamina::True Usage | Hustle::BOX_OUTS | Hustle::CONTESTED_SHOTS | Hustle::DEFLECTIONS | Hustle::Defensive Playmaking | Hustle::LOOSE_BALLS_RECOVERED
959,2013-14,Steve Nash,LAL,Rotation,312.0,38,Speed::INV_THREE_QUARTER_SPRINT | Speed::Movement Speed Rating | Speed::Offensive Transition Frequency Impact | Speed::TRANSITION_POSS | Speed::TRANSITION_POSS_PCT | Speed::Transition Frequency Impact | Speed::Transition Shot Creation | Agility::CUT_POSS | Agility::CUT_POSS_PCT | Agility::INV_LANE_AGILITY_TIME | Agility::INV_MODIFIED_LANE_AGILITY_TIME | Agility::INV_THREE_QUARTER_SPRINT | Agility::Movement Speed Rating | Agility::OFFSCREEN_POSS | Agility::OFFSCREEN_POSS_PCT | Agility::Perimeter Isolation Defense | Agility::TRANSITION_POSS | Agility::TRANSITION_POSS_PCT | Agility::Transition Shot Creation | Strength::BOX_OUTS | Strength::Finishing Talent | Strength::Post Defense | Strength::SCREEN_ASSISTS | Strength::Screen Assists Per 75 Possessions | Strength::Screening Talent | Strength::Stable And 1s Per 75 | Vertical::VERTICAL_LEAP | Vertical::jumpSubscore_average | Vertical::jumpSubscore_max | Vertical::jumpSubscore_total | Stamina::Stable True Usage% | Stamina::TOTAL MIN | Stamina::True Usage | Hustle::BOX_OUTS | Hustle::CONTESTED_SHOTS | Hustle::DEFLECTIONS | Hustle::Defensive Playmaking | Hustle::LOOSE_BALLS_RECOVERED
965,2013-14,Derek Fisher,OKC,Rotation,1425.6000000000001,38,Speed::INV_THREE_QUARTER_SPRINT | Speed::Movement Speed Rating | Speed::Offensive Transition Frequency Impact | Speed::TRANSITION_POSS | Speed::TRANSITION_POSS_PCT | Speed::Transition Frequency Impact | Speed::Transition Shot Creation | Agility::CUT_POSS | Agility::CUT_POSS_PCT | Agility::INV_LANE_AGILITY_TIME | Agility::INV_MODIFIED_LANE_AGILITY_TIME | Agility::INV_THREE_QUARTER_SPRINT | Agility::Movement Speed Rating | Agility::OFFSCREEN_POSS | Agility::OFFSCREEN_POSS_PCT | Agility::Perimeter Isolation Defense | Agility::TRANSITION_POSS | Agility::TRANSITION_POSS_PCT | Agility::Transition Shot Creation | Strength::BOX_OUTS | Strength::Finishing Talent | Strength::Post Defense | Strength::SCREEN_ASSISTS | Strength::Screen Assists Per 75 Possessions | Strength::Screening Talent | Strength::Stable And 1s Per 75 | Vertical::VERTICAL_LEAP | Vertical::jumpSubscore_average | Vertical::jumpSubscore_max | Vertical::jumpSubscore_total | Stamina::Stable True Usage% | Stamina::TOTAL MIN | Stamina::True Usage | Hustle::BOX_OUTS | Hustle::CONTESTED_SHOTS | Hustle::DEFLECTIONS | Hustle::Defensive Playmaking | Hustle::LOOSE_BALLS_RECOVERED
977,2013-14,Kobe Bryant,LAL,Too Few Games,177.0,38,Speed::INV_THREE_QUARTER_SPRINT | Speed::Movement Speed Rating | Speed::Offensive Transition Frequency Impact | Speed::TRANSITION_POSS | Speed::TRANSITION_POSS_PCT | Speed::Transition Frequency Impact | Speed::Transition Shot Creation | Agility::CUT_POSS | Agility::CUT_POSS_PCT | Agility::INV_LANE_AGILITY_TIME | Agility::INV_MODIFIED_LANE_AGILITY_TIME | Agility::INV_THREE_QUARTER_SPRINT | Agility::Movement Speed Rating | Agility::OFFSCREEN_POSS | Agility::OFFSCREEN_POSS_PCT | Agility::Perimeter Isolation Defense | Agility::TRANSITION_POSS | Agility::TRANSITION_POSS_PCT | Agility::Transition Shot Creation | Strength::BOX_OUTS | Strength::Finishing Talent | Strength::Post Defense | Strength::SCREEN_ASSISTS | Strength::Screen Assists Per 75 Possessions | Strength::Screening Talent | Strength::Stable And 1s Per 75 | Vertical::VERTICAL_LEAP | Vertical::jumpSubscore_average | Vertical::jumpSubscore_max | Vertical::jumpSubscore_total | Stamina::Stable True Usage% | Stamina::TOTAL MIN | Stamina::True Usage | Hustle::BOX_OUTS | Hustle::CONTESTED_SHOTS | Hustle::DEFLECTIONS | Hustle::Defensive Playmaking | Hustle::LOOSE_BALLS_RECOVERED
977,2014-15,Kobe Bryant,LAL,Starter,1207.5,38,Speed::INV_THREE_QUARTER_SPRINT | Speed::Movement Speed Rating | Speed::Offensive Transition Frequency Impact | Speed::TRANSITION_POSS | Speed::TRANSITION_POSS_PCT | Speed::Transition Frequency Impact | Speed::Transition Shot Creation | Agility::CUT_POSS | Agility::CUT_POSS_PCT | Agility::INV_LANE_AGILITY_TIME | Agility::INV_MODIFIED_LANE_AGILITY_TIME | Agility::INV_THREE_QUARTER_SPRINT | Agility::Movement Speed Rating | Agility::OFFSCREEN_POSS | Agility::OFFSCREEN_POSS_PCT | Agility::Perimeter Isolation Defense | Agility::TRANSITION_POSS | Agility::TRANSITION_POSS_PCT | Agility::Transition Shot Creation | Strength::BOX_OUTS | Strength::Finishing Talent | Strength::Post Defense | Strength::SCREEN_ASSISTS | Strength::Screen Assists Per 75 Possessions | Strength::Screening Talent | Strength::Stable And 1s Per 75 | Vertical::VERTICAL_LEAP | Vertical::jumpSubscore_average | Vertical::jumpSubscore_max | Vertical::jumpSubscore_total | Stamina::Stable True Usage% | Stamina::TOTAL MIN | Stamina::True Usage | Hustle::BOX_OUTS | Hustle::CONTESTED_SHOTS | Hustle::DEFLECTIONS | Hustle::Defensive Playmaking | Hustle::LOOSE_BALLS_RECOVERED
977,2015-16,Kobe Bryant,LAL,Starter,1861.2,10,Speed::INV_THREE_QUARTER_SPRINT | Agility::INV_LANE_AGILITY_TIME | Agility::INV_MODIFIED_LANE_AGILITY_TIME | Agility::INV_THREE_QUARTER_SPRINT | Strength::Screen Assists Per 75 Possessions | Vertical::VERTICAL_LEAP | Vertical::jumpSubscore_average | Vertical::jumpSubscore_max | Vertical::jumpSubscore_total | Stamina::TOTAL MIN
979,2013-14,Jermaine ONeal,GSW,Rotation,884.4000000000001,38,Speed::INV_THREE_QUARTER_SPRINT | Speed::Movement Speed Rating | Speed::Offensive Transition Frequency Impact | Speed::TRANSITION_POSS | Speed::TRANSITION_POSS_PCT | Speed::Transition Frequency Impact | Speed::Transition Shot Creation | Agility::CUT_POSS | Agility::CUT_POSS_PCT | Agility::INV_LANE_AGILITY_TIME | Agility::INV_MODIFIED_LANE_AGILITY_TIME | Agility::INV_THREE_QUARTER_SPRINT | Agility::Movement Speed Rating | Agility::OFFSCREEN_POSS | Agility::OFFSCREEN_POSS_PCT | Agility::Perimeter Isolation Defense | Agility::TRANSITION_POSS | Agility::TRANSITION_POSS_PCT | Agility::Transition Shot Creation | Strength::BOX_OUTS | Strength::Finishing Talent | Strength::Post Defense | Strength::SCREEN_ASSISTS | Strength::Screen Assists Per 75 Possessions | Strength::Screening Talent | Strength::Stable And 1s Per 75 | Vertical::VERTICAL_LEAP | Vertical::jumpSubscore_average | Vertical::jumpSubscore_max | Vertical::jumpSubscore_total | Stamina::Stable True Usage% | Stamina::TOTAL MIN | Stamina::True Usage | Hustle::BOX_OUTS | Hustle::CONTESTED_SHOTS | Hustle::DEFLECTIONS | Hustle::Defensive Playmaking | Hustle::LOOSE_BALLS_RECOVERED
