NBA_ID,Season,Player,RotationRole,MIN,WorkbookMIN,LiveMIN,LiveMINPerGame,LiveGP,MinutesMatchedBy,CurrentSeason,Free Throw,FreeThrowAggregateZ,FreeThrowRating,MissingMetricCount,MissingMetrics,FT_PCT Raw,FT_PCT Z,FT_PCT MatchedBy,FT_PCT Mean,FT_PCT Stdev,Stable FT% Raw,Stable FT% Z,Stable FT% MatchedBy,Stable FT% Mean,Stable FT% Stdev,FTM Raw,FTM Z,FTM MatchedBy,FTM Mean,FTM Stdev
708,2013-14,Kevin Garnett,Key Rotation,1107.0,1107.0,1107.0,20.5,54.0,season+player,2025-26,0.2123211295646644,0.22535878603921655,79.59375518611118,1,Stable FT%,0.809,0.4733658616571286,season+player,0.7091340579710145,0.21096988633565875,,,,76.41010466712423,6.81018738445983,0.7,-0.4872360252779976,season+player,1.3670869565217392,1.3691248633372826
708,2014-15,Kevin Garnett,Rotation,954.1,954.1,954.1,20.3,47.0,season+player,2025-26,0.19464303900858188,0.20529070401939772,79.36278264348685,1,Stable FT%,0.8,0.43070574482092394,season+player,0.7091340579710145,0.21096988633565875,,,,76.41010466712423,6.81018738445983,0.8,-0.41419666803760163,season+player,1.3670869565217392,1.3691248633372826
708,2015-16,Kevin Garnett,Rotation,554.8,554.8,554.8,14.6,38.0,season+player,2025-26,-0.4490506274357469,-0.5254272008845391,70.29752992627132,0,,0.667,-0.1997159817585436,season+player,0.7091340579710145,0.21096988633565875,71.66,-0.697499848236702,season+player,76.41010466712423,6.81018738445983,0.4,-0.7063540969991853,season+player,1.3670869565217392,1.3691248633372826
951,2013-14,Ray Allen,Starter,1934.5,1934.5,1934.5,26.5,73.0,season+player,2025-26,0.46540552772522725,0.5126589581992211,83.24869087395783,1,Stable FT%,0.905,0.9284071079099772,season+player,0.7091340579710145,0.21096988633565875,,,,76.41010466712423,6.81018738445983,1.4,0.024039475404773688,season+player,1.3670869565217392,1.3691248633372826
959,2013-14,Steve Nash,Rotation,312.0,312.0,312.0,20.8,15.0,season+player,2025-26,0.4974975734780502,0.5490896917282923,83.55646172716438,1,Stable FT%,0.917,0.9852872636915834,season+player,0.7091340579710145,0.21096988633565875,,,,76.41010466712423,6.81018738445983,1.5,0.09707883264516966,season+player,1.3670869565217392,1.3691248633372826
965,2013-14,Derek Fisher,Rotation,1425.6000000000001,1425.6,1425.6000000000001,17.6,81.0,season+player,2025-26,0.13174090887405568,0.133884513245776,78.54093681757219,1,Stable FT%,0.775,0.31220542027591114,season+player,0.7091340579710145,0.21096988633565875,,,,76.41010466712423,6.81018738445983,0.7,-0.4872360252779976,season+player,1.3670869565217392,1.3691248633372826
977,2013-14,Kobe Bryant,Too Few Games,177.0,177.0,177.0,29.5,6.0,season+player,2025-26,0.07258357624591671,0.06672939830341448,77.7680185270675,1,Stable FT%,0.857,0.12405690780668881,season+player,0.7091340579710145,0.21096988633565875,,,,76.41010466712423,6.81018738445983,3.0,0.21110244685144616,season+player,1.3670869565217392,1.3691248633372826
977,2014-15,Kobe Bryant,Starter,1207.5,1207.5,1207.5,34.5,35.0,season+player,2025-26,0.39616295679216507,0.4340551300120358,82.33727943738653,1,Stable FT%,0.813,0.4923259135843301,season+player,0.7091340579710145,0.21096988633565875,,,,76.41010466712423,6.81018738445983,5.6,3.0,season+player,1.3670869565217392,1.3691248633372826
977,2015-16,Kobe Bryant,Starter,1861.2,1861.2,1861.2,28.2,66.0,season+player,2025-26,0.7268756192001606,0.8094785284351641,85.73548025509353,0,,0.826,0.5539460823477368,season+player,0.7091340579710145,0.21096988633565875,82.04,0.8266872870080839,season+player,76.41010466712423,6.81018738445983,3.5,1.5578659774530876,season+player,1.3670869565217392,1.3691248633372826
979,2013-14,Jermaine ONeal,Rotation,884.4000000000001,884.4,884.4000000000001,20.1,44.0,season+player,2025-26,0.13092223239386602,0.1329551557057169,78.53024042546942,1,Stable FT%,0.75,0.19370509573089836,season+player,0.7091340579710145,0.21096988633565875,,,,76.41010466712423,6.81018738445983,2.3,0.6813936905683368,season+player,1.3670869565217392,1.3691248633372826
