NBA_ID,Season,Player,Free Throw Rating
708,2013-14,Kevin Garnett,79.59375518611118
708,2014-15,Kevin Garnett,79.36278264348685
708,2015-16,Kevin Garnett,70.29752992627132
951,2013-14,Ray Allen,83.24869087395783
959,2013-14,Steve Nash,83.55646172716438
965,2013-14,Derek Fisher,78.54093681757219
977,2013-14,Kobe Bryant,77.7680185270675
977,2014-15,Kobe Bryant,82.33727943738653
977,2015-16,Kobe Bryant,85.73548025509353
979,2013-14,Jermaine ONeal,78.53024042546942
1495,2013-14,Tim Duncan,78.32361812955028
1495,2014-15,Tim Duncan,78.55459067217461
1495,2015-16,Tim Duncan,71.69919169318446
1497,2013-14,Chauncey Billups,80.28281998135262
1536,2013-14,Stephen Jackson,58.685632405407844
1712,2013-14,Antawn Jamison,75.89515688920699
1713,2013-14,Vince Carter,80.68585179863169
1713,2014-15,Vince Carter,78.97445026344118
1713,2015-16,Vince Carter,84.89436430966434
1713,2016-17,Vince Carter,78.63380066854063
1713,2017-18,Vince Carter,77.70674270296274
1713,2018-19,Vince Carter,73.09300877003467
1713,2019-20,Vince Carter,80.64675272998008
1717,2013-14,Dirk Nowitzki,84.09296942520939
1717,2014-15,Dirk Nowitzki,83.3913673773633
1717,2015-16,Dirk Nowitzki,90.82413478669824
1717,2016-17,Dirk Nowitzki,87.9137525142863
1717,2017-18,Dirk Nowitzki,88.83619128334047
1717,2018-19,Dirk Nowitzki,79.83118721689092
1718,2013-14,Paul Pierce,81.64950058896055
1718,2014-15,Paul Pierce,79.44244838303074
1718,2015-16,Paul Pierce,83.50080903100651
1718,2016-17,Paul Pierce,76.30011139045692
1733,2013-14,Al Harrington,78.46479050561535
1737,2013-14,Nazr Mohammed,60.10637779408347
1737,2014-15,Nazr Mohammed,51.36311837954488
1737,2015-16,Nazr Mohammed,75.81417654910318
1740,2013-14,Rashard Lewis,78.80034099957618
1882,2013-14,Elton Brand,74.49594352568116
1882,2014-15,Elton Brand,69.69028642056168
1882,2015-16,Elton Brand,77.60110715126388
1889,2013-14,Andre Miller,78.8079418198377
1889,2014-15,Andre Miller,77.8597014026352
1889,2015-16,Andre Miller,68.49631740296283
1890,2013-14,Shawn Marion,78.85058927890718
1890,2014-15,Shawn Marion,78.13585501108285
1891,2013-14,Jason Terry,74.84108247771283
1891,2014-15,Jason Terry,79.62218682549083
