NBA_ID,Season,Player,RotationRole,MIN,MissingCount,MissingMetrics
708,2013-14,Kevin Garnett,Key Rotation,1107.0,1,Stable FT%
708,2014-15,Kevin Garnett,Rotation,954.1,1,Stable FT%
951,2013-14,Ray Allen,Starter,1934.5,1,Stable FT%
959,2013-14,Steve Nash,Rotation,312.0,1,Stable FT%
965,2013-14,Derek Fisher,Rotation,1425.6000000000001,1,Stable FT%
977,2013-14,Kobe Bryant,Too Few Games,177.0,1,Stable FT%
977,2014-15,Kobe Bryant,Starter,1207.5,1,Stable FT%
979,2013-14,Jermaine ONeal,Rotation,884.4000000000001,1,Stable FT%
1495,2013-14,Tim Duncan,Star,2160.7999999999997,1,Stable FT%
1495,2014-15,Tim Duncan,Star,2225.2999999999997,1,Stable FT%
1497,2013-14,Chauncey Billups,Rotation,309.7,1,Stable FT%
1536,2013-14,Stephen Jackson,Garbage Time,107.10000000000001,1,Stable FT%
1712,2013-14,Antawn Jamison,Garbage Time,248.60000000000002,1,Stable FT%
1713,2013-14,Vince Carter,Starter,1976.3999999999999,1,Stable FT%
1713,2014-15,Vince Carter,Rotation,1089.0,1,Stable FT%
1717,2013-14,Dirk Nowitzki,Star,2632.0,1,Stable FT%
1717,2014-15,Dirk Nowitzki,Star,2279.2000000000003,1,Stable FT%
1718,2013-14,Paul Pierce,Starter,2100.0,1,Stable FT%
1718,2014-15,Paul Pierce,Starter,1912.6,1,Stable FT%
1733,2013-14,Al Harrington,Rotation,510.0,1,Stable FT%
1737,2013-14,Nazr Mohammed,Garbage Time,560.0,1,Stable FT%
1737,2014-15,Nazr Mohammed,Garbage Time,128.79999999999998,1,Stable FT%
1740,2013-14,Rashard Lewis,Rotation,972.0,1,Stable FT%
1882,2013-14,Elton Brand,Rotation,1416.1999999999998,1,Stable FT%
1882,2014-15,Elton Brand,Rotation,486.0,1,Stable FT%
1889,2013-14,Andre Miller,Rotation,980.1999999999999,1,Stable FT%
1889,2014-15,Andre Miller,Rotation,1255.5,1,Stable FT%
1890,2013-14,Shawn Marion,Starter,2409.2,1,Stable FT%
1890,2014-15,Shawn Marion,Rotation,1100.1000000000001,1,Stable FT%
1891,2013-14,Jason Terry,Rotation,570.5,1,Stable FT%
1891,2014-15,Jason Terry,Rotation,1640.1000000000001,1,Stable FT%
1897,2013-14,Metta World Peace,Rotation,388.6,1,Stable FT%
1905,2013-14,Andrei Kirilenko,Rotation,859.5000000000001,1,Stable FT%
1905,2014-15,Andrei Kirilenko,Too Few Games,36.4,1,Stable FT%
1938,2013-14,Manu Ginobili,Key Rotation,1550.4,1,Stable FT%
1938,2014-15,Manu Ginobili,Key Rotation,1589.0,1,Stable FT%
2030,2013-14,Kenyon Martin,Rotation,633.6,1,Stable FT%
2030,2014-15,Kenyon Martin,Garbage Time,104.5,1,Stable FT%
2034,2013-14,Mike Miller,Key Rotation,1705.6000000000001,1,Stable FT%
2034,2014-15,Mike Miller,Rotation,702.0,1,Stable FT%
2037,2013-14,Jamal Crawford,Starter,2097.6,1,Stable FT%
2037,2014-15,Jamal Crawford,Key Rotation,1702.4,1,Stable FT%
2045,2013-14,Hedo Turkoglu,Rotation,391.40000000000003,1,Stable FT%
2045,2014-15,Hedo Turkoglu,Rotation,706.8000000000001,1,Stable FT%
2199,2013-14,Tyson Chandler,Starter,1661.0,1,Stable FT%
2199,2014-15,Tyson Chandler,Starter,2287.5,1,Stable FT%
2200,2013-14,Pau Gasol,Starter,1884.0,1,Stable FT%
2200,2014-15,Pau Gasol,Starter,2683.2,1,Stable FT%
2202,2014-15,Jason Richardson,Key Rotation,416.09999999999997,1,Stable FT%
2203,2013-14,Shane Battier,Key Rotation,1467.3000000000002,1,Stable FT%
2207,2013-14,Joe Johnson,Starter,2575.4,1,Stable FT%
2207,2014-15,Joe Johnson,Starter,2792.0,1,Stable FT%
2210,2013-14,Richard Jefferson,Starter,2214.0,1,Stable FT%
2210,2014-15,Richard Jefferson,Rotation,1243.2,1,Stable FT%
2215,2013-14,Jason Collins,Garbage Time,171.6,1,Stable FT%
2216,2013-14,Zach Randolph,Starter,2701.8,1,Stable FT%
2216,2014-15,Zach Randolph,Starter,2300.4,1,Stable FT%
2217,2014-15,Brendan Haywood,Garbage Time,118.80000000000001,1,Stable FT%
2222,2013-14,Gerald Wallace,Key Rotation,1415.1999999999998,1,Stable FT%
2222,2014-15,Gerald Wallace,Garbage Time,284.8,1,Stable FT%
2223,2013-14,Samuel Dalembert,Key Rotation,1616.0,1,Stable FT%
2223,2014-15,Samuel Dalembert,Rotation,544.0,1,Stable FT%
2224,2013-14,Jamaal Tinsley,Too Few Games,110.4,1,Stable FT%
2225,2013-14,Tony Parker,Starter,1999.1999999999998,1,Stable FT%
2225,2014-15,Tony Parker,Starter,1951.6,1,Stable FT%
2229,2013-14,Mike James,Garbage Time,77.0,1,Stable FT%
2248,2013-14,Earl Watson,Garbage Time,160.8,1,Stable FT%
2365,2013-14,Chris Andersen,Rotation,1396.8,1,Stable FT%
2365,2014-15,Chris Andersen,Rotation,1134.0,1,Stable FT%
2399,2013-14,Mike Dunleavy,Starter,2583.0,1,Stable FT%
2399,2014-15,Mike Dunleavy,Starter,1839.6,1,Stable FT%
2400,2013-14,Drew Gooden,Rotation,396.0,1,Stable FT%
2400,2014-15,Drew Gooden,Rotation,861.9,1,Stable FT%
2403,2013-14,Nene,Starter,1558.1999999999998,1,Stable FT%
2403,2014-15,Nene,Starter,1695.1000000000001,1,Stable FT%
2405,2013-14,Amare Stoudemire,Rotation,1469.0,1,Stable FT%
2405,2014-15,Amare Stoudemire,Key Rotation,1244.9,1,Stable FT%
2406,2013-14,Caron Butler,Key Rotation,1416.8,1,Stable FT%
2406,2014-15,Caron Butler,Key Rotation,1622.4,1,Stable FT%
2408,2013-14,Melvin Ely,Too Few Games,27.2,1,Stable FT%
2419,2013-14,Tayshaun Prince,Starter,1945.6000000000001,1,Stable FT%
2419,2014-15,Tayshaun Prince,Key Rotation,1397.8000000000002,1,Stable FT%
2422,2013-14,John Salmons,Rotation,1723.8000000000002,1,Stable FT%
2422,2014-15,John Salmons,Garbage Time,268.8,1,Stable FT%
2427,2013-14,Roger Mason Jr,Garbage Time,260.0,1,Stable FT%
2430,2013-14,Carlos Boozer,Key Rotation,2143.2,1,Stable FT%
2430,2014-15,Carlos Boozer,Key Rotation,1689.8,1,Stable FT%
2440,2013-14,Matt Barnes,Key Rotation,1732.5,1,Stable FT%
2440,2014-15,Matt Barnes,Starter,2272.4,1,Stable FT%
2446,2013-14,Rasual Butler,Garbage Time,380.0,1,Stable FT%
2446,2014-15,Rasual Butler,Key Rotation,1507.5,1,Stable FT%
2449,2013-14,Luis Scola,Rotation,1402.2,1,Stable FT%
2449,2014-15,Luis Scola,Key Rotation,1660.5,1,Stable FT%
2457,2013-14,Jannero Pargo,Garbage Time,240.70000000000002,1,Stable FT%
2457,2014-15,Jannero Pargo,Garbage Time,72.89999999999999,1,Stable FT%
2501,2013-14,Reggie Evans,Rotation,896.4000000000001,1,Stable FT%
2501,2014-15,Reggie Evans,Rotation,766.1,1,Stable FT%
2544,2013-14,LeBron James,Star,2902.9,1,Stable FT%
2544,2014-15,LeBron James,Star,2490.9,1,Stable FT%
2546,2013-14,Carmelo Anthony,Starter,2979.9,1,Stable FT%
2546,2014-15,Carmelo Anthony,Starter,1428.0,1,Stable FT%
2547,2013-14,Chris Bosh,Star,2528.0,1,Stable FT%
2547,2014-15,Chris Bosh,Starter,1557.6,1,Stable FT%
2548,2013-14,Dwyane Wade,Starter,1776.6,1,Stable FT%
2548,2014-15,Dwyane Wade,Starter,1971.6000000000001,1,Stable FT%
2549,2013-14,Chris Kaman,Rotation,737.0999999999999,1,Stable FT%
2549,2014-15,Chris Kaman,Key Rotation,1398.6,1,Stable FT%
2550,2013-14,Kirk Hinrich,Key Rotation,2117.0,1,Stable FT%
2550,2014-15,Kirk Hinrich,Key Rotation,1610.3999999999999,1,Stable FT%
2555,2013-14,Nick Collison,Rotation,1352.7,1,Stable FT%
2555,2014-15,Nick Collison,Rotation,1102.2,1,Stable FT%
2557,2013-14,Luke Ridnour,Key Rotation,1140.7,1,Stable FT%
2557,2014-15,Luke Ridnour,Rotation,681.5,1,Stable FT%
2561,2013-14,David West,Starter,2472.0,1,Stable FT%
2561,2014-15,David West,Starter,1894.2,1,Stable FT%
2563,2014-15,Dahntay Jones,Garbage Time,122.10000000000001,1,Stable FT%
2564,2013-14,Boris Diaw,Starter,1975.0,1,Stable FT%
2564,2014-15,Boris Diaw,Starter,1984.5,1,Stable FT%
2566,2013-14,Travis Outlaw,Rotation,1064.6999999999998,1,Stable FT%
