NBA_ID,Season,Player,RotationRole,MIN,MissingCount,MissingMetrics
708,2013-14,Kevin Garnett,Key Rotation,1107.0,12,Midrange Talent | Midrange Shot Making | Midrange Shot Creation | Midrange Pull Up Talent | Midrange Pull Up Shot Making | Midrange Pull Up Shot Making Efficiency | Stable Long Midrange FG% | Stable Short Midrange FG% | Midrange FGM Per 75 | Midrange Pull Up FGM Per 75 | Midrange Shot Making Efficiency | Midrange Pull Up FG%
708,2014-15,Kevin Garnett,Rotation,954.1,12,Midrange Talent | Midrange Shot Making | Midrange Shot Creation | Midrange Pull Up Talent | Midrange Pull Up Shot Making | Midrange Pull Up Shot Making Efficiency | Stable Long Midrange FG% | Stable Short Midrange FG% | Midrange FGM Per 75 | Midrange Pull Up FGM Per 75 | Midrange Shot Making Efficiency | Midrange Pull Up FG%
951,2013-14,Ray Allen,Starter,1934.5,12,Midrange Talent | Midrange Shot Making | Midrange Shot Creation | Midrange Pull Up Talent | Midrange Pull Up Shot Making | Midrange Pull Up Shot Making Efficiency | Stable Long Midrange FG% | Stable Short Midrange FG% | Midrange FGM Per 75 | Midrange Pull Up FGM Per 75 | Midrange Shot Making Efficiency | Midrange Pull Up FG%
959,2013-14,Steve Nash,Rotation,312.0,12,Midrange Talent | Midrange Shot Making | Midrange Shot Creation | Midrange Pull Up Talent | Midrange Pull Up Shot Making | Midrange Pull Up Shot Making Efficiency | Stable Long Midrange FG% | Stable Short Midrange FG% | Midrange FGM Per 75 | Midrange Pull Up FGM Per 75 | Midrange Shot Making Efficiency | Midrange Pull Up FG%
965,2013-14,Derek Fisher,Rotation,1425.6000000000001,12,Midrange Talent | Midrange Shot Making | Midrange Shot Creation | Midrange Pull Up Talent | Midrange Pull Up Shot Making | Midrange Pull Up Shot Making Efficiency | Stable Long Midrange FG% | Stable Short Midrange FG% | Midrange FGM Per 75 | Midrange Pull Up FGM Per 75 | Midrange Shot Making Efficiency | Midrange Pull Up FG%
977,2013-14,Kobe Bryant,Too Few Games,177.0,12,Midrange Talent | Midrange Shot Making | Midrange Shot Creation | Midrange Pull Up Talent | Midrange Pull Up Shot Making | Midrange Pull Up Shot Making Efficiency | Stable Long Midrange FG% | Stable Short Midrange FG% | Midrange FGM Per 75 | Midrange Pull Up FGM Per 75 | Midrange Shot Making Efficiency | Midrange Pull Up FG%
977,2014-15,Kobe Bryant,Starter,1207.5,12,Midrange Talent | Midrange Shot Making | Midrange Shot Creation | Midrange Pull Up Talent | Midrange Pull Up Shot Making | Midrange Pull Up Shot Making Efficiency | Stable Long Midrange FG% | Stable Short Midrange FG% | Midrange FGM Per 75 | Midrange Pull Up FGM Per 75 | Midrange Shot Making Efficiency | Midrange Pull Up FG%
979,2013-14,Jermaine ONeal,Rotation,884.4000000000001,12,Midrange Talent | Midrange Shot Making | Midrange Shot Creation | Midrange Pull Up Talent | Midrange Pull Up Shot Making | Midrange Pull Up Shot Making Efficiency | Stable Long Midrange FG% | Stable Short Midrange FG% | Midrange FGM Per 75 | Midrange Pull Up FGM Per 75 | Midrange Shot Making Efficiency | Midrange Pull Up FG%
1495,2013-14,Tim Duncan,Star,2160.7999999999997,12,Midrange Talent | Midrange Shot Making | Midrange Shot Creation | Midrange Pull Up Talent | Midrange Pull Up Shot Making | Midrange Pull Up Shot Making Efficiency | Stable Long Midrange FG% | Stable Short Midrange FG% | Midrange FGM Per 75 | Midrange Pull Up FGM Per 75 | Midrange Shot Making Efficiency | Midrange Pull Up FG%
1495,2014-15,Tim Duncan,Star,2225.2999999999997,12,Midrange Talent | Midrange Shot Making | Midrange Shot Creation | Midrange Pull Up Talent | Midrange Pull Up Shot Making | Midrange Pull Up Shot Making Efficiency | Stable Long Midrange FG% | Stable Short Midrange FG% | Midrange FGM Per 75 | Midrange Pull Up FGM Per 75 | Midrange Shot Making Efficiency | Midrange Pull Up FG%
