NBA_ID,Season,Player,3-Point Shot Rating
708,2013-14,Kevin Garnett,25.0
708,2014-15,Kevin Garnett,25.0
708,2015-16,Kevin Garnett,25.0
951,2013-14,Ray Allen,84.5947968648664
959,2013-14,Steve Nash,75.80098479049677
965,2013-14,Derek Fisher,81.88641332659297
977,2013-14,Kobe Bryant,57.96904748092601
977,2014-15,Kobe Bryant,82.89301000161362
977,2015-16,Kobe Bryant,75.67888638740554
979,2013-14,Jermaine ONeal,25.0
1495,2013-14,Tim Duncan,25.0
1495,2014-15,Tim Duncan,32.755572615193486
1495,2015-16,Tim Duncan,25.0
1497,2013-14,Chauncey Billups,76.4546462058363
1536,2013-14,Stephen Jackson,51.441830980326124
1712,2013-14,Antawn Jamison,57.2784898685609
1713,2013-14,Vince Carter,86.21347360773686
1713,2014-15,Vince Carter,79.08817252816607
1713,2015-16,Vince Carter,78.6189705836559
1713,2016-17,Vince Carter,83.78090403827629
1713,2017-18,Vince Carter,78.7518274850927
1713,2018-19,Vince Carter,85.51345924511435
1713,2019-20,Vince Carter,75.12772326093024
1717,2013-14,Dirk Nowitzki,84.92529686632805
1717,2014-15,Dirk Nowitzki,83.70114558692792
1717,2015-16,Dirk Nowitzki,79.03303416582565
1717,2016-17,Dirk Nowitzki,78.7181729086144
1717,2017-18,Dirk Nowitzki,84.88268150934387
1717,2018-19,Dirk Nowitzki,74.54267998765255
1718,2013-14,Paul Pierce,84.08330818213292
1718,2014-15,Paul Pierce,84.79597077879959
1718,2015-16,Paul Pierce,71.85832377724935
1718,2016-17,Paul Pierce,70.70779682524824
1733,2013-14,Al Harrington,80.08592596849303
1737,2013-14,Nazr Mohammed,25.0
1737,2014-15,Nazr Mohammed,25.0
1737,2015-16,Nazr Mohammed,25.0
1740,2013-14,Rashard Lewis,78.56596702747036
1882,2013-14,Elton Brand,25.0
1882,2014-15,Elton Brand,25.0
1882,2015-16,Elton Brand,25.0
1889,2013-14,Andre Miller,78.05254119557665
1889,2014-15,Andre Miller,66.68236007475629
1889,2015-16,Andre Miller,25.0
1890,2013-14,Shawn Marion,78.94033558284748
1890,2014-15,Shawn Marion,70.10857089598888
1891,2013-14,Jason Terry,81.77039548469449
1891,2014-15,Jason Terry,84.81034034408053
