NBA ID,Season,Player,3-Point Shot Rating,,Three-Point Shot,FG3A,3PT Shooting Talent,3PT Shot Making,C&S 3PT Shot Making,3PT Pull Up Talent,3PT Pull Up Shot Making,3PT Pull Up Shot Creation,3PT Shot Creation,3PT Shot Making Efficiency,C&S 3PT Shot Making Efficiency,Stable FG3%,Stable C&S 3PT%,Stable ATB 3PT%,Stable Pull Up 3PT%,FG3M,3PT Functional Versatility,Stable 3PTA Per 75,Off-Ball Gravity,Stable Corner 3PT%,3PT Attempt Rate,FG3_PCT
708,2013-14,Kevin Garnett,25.0,-3.0,-1.3535801073263478,0.1,,,,,,,,,,,,,,-1.0544371366708367,,,,,,-1.9091313385437252
708,2014-15,Kevin Garnett,25.0,-3.0,-1.0215355696897481,0.1,,,,,,,,,,,,,,-1.0544371366708367,,,,,,-0.960432659582012
708,2015-16,Kevin Garnett,25.0,-3.0,-0.8119419675480823,0.0,-0.5252626457481752,0.019619730871148242,-0.07014684964530098,-0.7892062971094266,,,-1.1904140994477725,0.2645304176095455,0.13439737336727692,-0.568517856801227,-0.30974031505274047,0.03296708738613037,-1.8722579412047635,-1.0544371366708367,-0.862870636522523,-1.7032844954952044,-1.7250460538912142,-0.5628785459153631,-1.6507875931848217,-1.9091313385437252
951,2013-14,Ray Allen,84.5947968648664,1.3059837120592337,0.7652923597229653,4.2,,,,,,,,,,,,,,0.865757173972809,,,,,,0.5787148475446838
959,2013-14,Steve Nash,75.80098479049677,0.18522759986964485,-0.19031804334057967,1.6,,,,,,,,,,,,,,-0.4543764145946975,,,,,,0.30007607470278214
965,2013-14,Derek Fisher,81.88641332659297,0.873048218828268,0.39615079833661737,2.8,,,,,,,,,,,,,,0.2656964518966698,,,,,,0.6384231560108057
977,2013-14,Kobe Bryant,57.96904748092601,-1.3824633973451979,-1.5270065605245444,2.7,,,,,,,,,,,,,,-1.4543764145946976,,,,,,-1.6618911172514028
977,2014-15,Kobe Bryant,82.89301000161362,0.9911866673058122,0.4968813044111008,5.3,,,,,,,,,,,,,,0.7457450295575812,,,,,,0.03470581485335162
977,2015-16,Kobe Bryant,75.67888638740554,0.17190489432967992,-0.20167762092617053,7.1,0.7410628064133052,-1.3375917291133466,-0.28875116268798207,0.5162547919985985,-2.265655465601454,2.3057951002889654,2.9125844813772734,-0.5422497626823995,-0.06410003591159168,-3.0,-0.30974031505274047,-2.941568693732064,-3.0,1.3458057516337205,1.0958631987662146,1.6828690840392744,-0.039801428785974646,-1.6519425208733929,0.19237609808746736,-0.018368237116534483
979,2013-14,Jermaine ONeal,25.0,-3.0,-1.3535801073263478,0.0,,,,,,,,,,,,,,-1.0544371366708367,,,,,,-1.9091313385437252
