NBA_ID,Season,Player,RotationRole,MIN,MissingCount,MissingMetrics
708,2013-14,Kevin Garnett,Key Rotation,1107.0,18,3PT Shooting Talent | 3PT Shot Making | C&S 3PT Shot Making | 3PT Pull Up Talent | 3PT Pull Up Shot Making | 3PT Pull Up Shot Creation | 3PT Shot Creation | 3PT Shot Making Efficiency | C&S 3PT Shot Making Efficiency | Stable FG3% | Stable C&S 3PT% | Stable ATB 3PT% | Stable Pull Up 3PT% | 3PT Functional Versatility | Stable 3PTA Per 75 | Off-Ball Gravity | Stable Corner 3PT% | 3PT Attempt Rate
708,2014-15,Kevin Garnett,Rotation,954.1,18,3PT Shooting Talent | 3PT Shot Making | C&S 3PT Shot Making | 3PT Pull Up Talent | 3PT Pull Up Shot Making | 3PT Pull Up Shot Creation | 3PT Shot Creation | 3PT Shot Making Efficiency | C&S 3PT Shot Making Efficiency | Stable FG3% | Stable C&S 3PT% | Stable ATB 3PT% | Stable Pull Up 3PT% | 3PT Functional Versatility | Stable 3PTA Per 75 | Off-Ball Gravity | Stable Corner 3PT% | 3PT Attempt Rate
708,2015-16,Kevin Garnett,Rotation,554.8,2,3PT Pull Up Shot Making | 3PT Pull Up Shot Creation
951,2013-14,Ray Allen,Starter,1934.5,18,3PT Shooting Talent | 3PT Shot Making | C&S 3PT Shot Making | 3PT Pull Up Talent | 3PT Pull Up Shot Making | 3PT Pull Up Shot Creation | 3PT Shot Creation | 3PT Shot Making Efficiency | C&S 3PT Shot Making Efficiency | Stable FG3% | Stable C&S 3PT% | Stable ATB 3PT% | Stable Pull Up 3PT% | 3PT Functional Versatility | Stable 3PTA Per 75 | Off-Ball Gravity | Stable Corner 3PT% | 3PT Attempt Rate
959,2013-14,Steve Nash,Rotation,312.0,18,3PT Shooting Talent | 3PT Shot Making | C&S 3PT Shot Making | 3PT Pull Up Talent | 3PT Pull Up Shot Making | 3PT Pull Up Shot Creation | 3PT Shot Creation | 3PT Shot Making Efficiency | C&S 3PT Shot Making Efficiency | Stable FG3% | Stable C&S 3PT% | Stable ATB 3PT% | Stable Pull Up 3PT% | 3PT Functional Versatility | Stable 3PTA Per 75 | Off-Ball Gravity | Stable Corner 3PT% | 3PT Attempt Rate
965,2013-14,Derek Fisher,Rotation,1425.6000000000001,18,3PT Shooting Talent | 3PT Shot Making | C&S 3PT Shot Making | 3PT Pull Up Talent | 3PT Pull Up Shot Making | 3PT Pull Up Shot Creation | 3PT Shot Creation | 3PT Shot Making Efficiency | C&S 3PT Shot Making Efficiency | Stable FG3% | Stable C&S 3PT% | Stable ATB 3PT% | Stable Pull Up 3PT% | 3PT Functional Versatility | Stable 3PTA Per 75 | Off-Ball Gravity | Stable Corner 3PT% | 3PT Attempt Rate
977,2013-14,Kobe Bryant,Too Few Games,177.0,18,3PT Shooting Talent | 3PT Shot Making | C&S 3PT Shot Making | 3PT Pull Up Talent | 3PT Pull Up Shot Making | 3PT Pull Up Shot Creation | 3PT Shot Creation | 3PT Shot Making Efficiency | C&S 3PT Shot Making Efficiency | Stable FG3% | Stable C&S 3PT% | Stable ATB 3PT% | Stable Pull Up 3PT% | 3PT Functional Versatility | Stable 3PTA Per 75 | Off-Ball Gravity | Stable Corner 3PT% | 3PT Attempt Rate
977,2014-15,Kobe Bryant,Starter,1207.5,18,3PT Shooting Talent | 3PT Shot Making | C&S 3PT Shot Making | 3PT Pull Up Talent | 3PT Pull Up Shot Making | 3PT Pull Up Shot Creation | 3PT Shot Creation | 3PT Shot Making Efficiency | C&S 3PT Shot Making Efficiency | Stable FG3% | Stable C&S 3PT% | Stable ATB 3PT% | Stable Pull Up 3PT% | 3PT Functional Versatility | Stable 3PTA Per 75 | Off-Ball Gravity | Stable Corner 3PT% | 3PT Attempt Rate
979,2013-14,Jermaine ONeal,Rotation,884.4000000000001,18,3PT Shooting Talent | 3PT Shot Making | C&S 3PT Shot Making | 3PT Pull Up Talent | 3PT Pull Up Shot Making | 3PT Pull Up Shot Creation | 3PT Shot Creation | 3PT Shot Making Efficiency | C&S 3PT Shot Making Efficiency | Stable FG3% | Stable C&S 3PT% | Stable ATB 3PT% | Stable Pull Up 3PT% | 3PT Functional Versatility | Stable 3PTA Per 75 | Off-Ball Gravity | Stable Corner 3PT% | 3PT Attempt Rate
1495,2013-14,Tim Duncan,Star,2160.7999999999997,18,3PT Shooting Talent | 3PT Shot Making | C&S 3PT Shot Making | 3PT Pull Up Talent | 3PT Pull Up Shot Making | 3PT Pull Up Shot Creation | 3PT Shot Creation | 3PT Shot Making Efficiency | C&S 3PT Shot Making Efficiency | Stable FG3% | Stable C&S 3PT% | Stable ATB 3PT% | Stable Pull Up 3PT% | 3PT Functional Versatility | Stable 3PTA Per 75 | Off-Ball Gravity | Stable Corner 3PT% | 3PT Attempt Rate
1495,2014-15,Tim Duncan,Star,2225.2999999999997,18,3PT Shooting Talent | 3PT Shot Making | C&S 3PT Shot Making | 3PT Pull Up Talent | 3PT Pull Up Shot Making | 3PT Pull Up Shot Creation | 3PT Shot Creation | 3PT Shot Making Efficiency | C&S 3PT Shot Making Efficiency | Stable FG3% | Stable C&S 3PT% | Stable ATB 3PT% | Stable Pull Up 3PT% | 3PT Functional Versatility | Stable 3PTA Per 75 | Off-Ball Gravity | Stable Corner 3PT% | 3PT Attempt Rate
