NBA_ID,Season,Player,MetricKey,Metric,Source,MatchedBy
708,2013-14,Kevin Garnett,AO,CHARGES_DRAWN,hustle.csv -> CHARGES_DRAWN with season-aware zero fill,
708,2013-14,Kevin Garnett,AS,CONTESTED_SHOTS,hustle.csv -> CONTESTED_SHOTS with season-aware zero fill,
708,2014-15,Kevin Garnett,AO,CHARGES_DRAWN,hustle.csv -> CHARGES_DRAWN with season-aware zero fill,
708,2014-15,Kevin Garnett,AS,CONTESTED_SHOTS,hustle.csv -> CONTESTED_SHOTS with season-aware zero fill,
951,2013-14,Ray Allen,AO,CHARGES_DRAWN,hustle.csv -> CHARGES_DRAWN with season-aware zero fill,
951,2013-14,Ray Allen,AS,CONTESTED_SHOTS,hustle.csv -> CONTESTED_SHOTS with season-aware zero fill,
959,2013-14,Steve Nash,AO,CHARGES_DRAWN,hustle.csv -> CHARGES_DRAWN with season-aware zero fill,
959,2013-14,Steve Nash,AS,CONTESTED_SHOTS,hustle.csv -> CONTESTED_SHOTS with season-aware zero fill,
965,2013-14,Derek Fisher,AO,CHARGES_DRAWN,hustle.csv -> CHARGES_DRAWN with season-aware zero fill,
965,2013-14,Derek Fisher,AS,CONTESTED_SHOTS,hustle.csv -> CONTESTED_SHOTS with season-aware zero fill,
977,2013-14,Kobe Bryant,AO,CHARGES_DRAWN,hustle.csv -> CHARGES_DRAWN with season-aware zero fill,
977,2013-14,Kobe Bryant,AS,CONTESTED_SHOTS,hustle.csv -> CONTESTED_SHOTS with season-aware zero fill,
977,2014-15,Kobe Bryant,AO,CHARGES_DRAWN,hustle.csv -> CHARGES_DRAWN with season-aware zero fill,
977,2014-15,Kobe Bryant,AS,CONTESTED_SHOTS,hustle.csv -> CONTESTED_SHOTS with season-aware zero fill,
979,2013-14,Jermaine ONeal,AO,CHARGES_DRAWN,hustle.csv -> CHARGES_DRAWN with season-aware zero fill,
979,2013-14,Jermaine ONeal,AS,CONTESTED_SHOTS,hustle.csv -> CONTESTED_SHOTS with season-aware zero fill,
1495,2013-14,Tim Duncan,AO,CHARGES_DRAWN,hustle.csv -> CHARGES_DRAWN with season-aware zero fill,
1495,2013-14,Tim Duncan,AS,CONTESTED_SHOTS,hustle.csv -> CONTESTED_SHOTS with season-aware zero fill,
