Season,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,TEAM_COUNT
2025-26,1630639,A.J. Lawson,A.J.,1610612761,TOR,25.0,2,0,2,0.0,8.2,119.5,121.9,121.9,138.1,139.4,139.4,-18.6,-17.5,-17.5,0.0,0.0,0.0,0.067,0.211,0.147,0.0,0.0,0.5,0.551,0.314,0.314,96.83,95.42,79.52,95.42,0.078,32,4,10,2.0,5.0,0.4,470,474,59,474,413,69,48,48,490,492,492,456,448,448,472,448,472,121,43,50,1,1,332,309,16,19,470,488,488,304,436,435,305,281,370,1
2025-26,1631260,AJ Green,AJ,1610612749,MIL,26.0,24,10,14,0.417,29.0,116.3,117.2,117.2,114.5,116.6,116.6,1.9,0.6,0.6,0.095,2.55,19.9,0.001,0.096,0.049,7.8,7.8,0.713,0.724,0.126,0.13,102.26,100.92,84.1,100.92,0.071,1463,86,176,3.6,7.3,0.489,26,168,417,305,109,125,117,117,311,366,366,195,224,224,318,88,184,462,326,413,138,137,33,31,405,408,265,351,351,345,133,145,193,206,181,1
2025-26,1642358,AJ Johnson,AJ,1610612764,WAS,21.0,10,0,10,0.0,4.5,97.1,98.9,98.9,122.3,120.2,120.2,-25.2,-21.3,-21.3,0.125,2.0,19.0,0.042,0.083,0.063,9.5,9.6,0.154,0.237,0.16,0.163,96.23,96.14,80.12,96.14,-0.006,91,2,13,0.2,1.3,0.154,370,474,320,474,460,464,449,449,461,434,434,475,466,466,231,172,199,221,374,344,225,237,483,480,281,289,476,482,482,484,457,418,480,459,483,1
2025-26,203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,13,10,3,0.769,28.3,124.9,125.7,125.7,105.1,105.0,105.0,19.8,20.7,20.7,0.062,0.94,7.9,0.053,0.147,0.102,8.4,8.4,0.623,0.676,0.221,0.228,101.34,101.0,84.17,101.0,0.13,777,82,154,6.3,11.8,0.532,323,168,83,53,123,25,23,23,75,79,79,27,25,25,411,395,445,163,155,148,167,167,79,56,110,111,330,340,340,74,144,170,69,97,96,1
2025-26,1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,16,13,3,0.813,17.1,121.3,121.2,121.2,104.9,104.3,104.3,16.3,16.9,16.9,0.095,1.27,13.0,0.008,0.046,0.028,10.3,10.2,0.599,0.642,0.194,0.201,100.45,100.76,83.97,100.76,0.086,571,46,101,2.9,6.3,0.455,267,97,83,40,283,50,57,57,73,70,70,41,41,41,320,332,350,454,466,476,272,269,117,97,170,168,385,362,362,257,247,247,242,233,259,1
2025-26,1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,11,1,10,0.091,30.4,107.9,109.6,109.6,113.2,116.6,116.6,-5.3,-7.0,-7.0,0.079,2.13,9.1,0.042,0.099,0.067,4.3,4.2,0.473,0.518,0.199,0.207,104.63,102.3,85.25,102.3,0.079,716,54,147,4.9,13.4,0.367,354,441,320,469,84,350,312,312,270,365,365,325,339,339,372,151,433,220,317,310,53,53,386,376,158,153,107,247,247,298,217,184,124,72,407,1
2025-26,1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,13,12,1,0.923,25.4,121.0,121.1,121.1,104.9,103.3,103.3,16.1,17.8,17.8,0.119,1.87,14.8,0.035,0.085,0.062,7.9,7.9,0.604,0.614,0.206,0.209,101.2,101.99,84.99,101.99,0.098,697,68,140,5.2,10.8,0.486,323,124,20,29,168,53,58,58,71,59,59,42,38,38,249,207,296,259,371,349,143,145,106,140,144,147,345,267,267,192,182,196,106,115,188,1
2025-26,1642846,Ace Bailey,Ace,1610612762,UTA,19.0,23,8,15,0.348,23.2,109.2,109.7,109.7,120.0,120.5,120.5,-10.8,-10.8,-10.8,0.112,1.25,13.9,0.054,0.083,0.068,11.1,11.1,0.532,0.547,0.185,0.189,104.81,104.3,86.92,104.3,0.062,1162,92,206,4.0,9.0,0.447,78,221,434,340,200,320,306,306,437,439,439,407,402,402,265,336,330,157,380,307,318,319,263,319,201,208,103,124,124,381,124,120,167,158,282,1
2025-26,1641737,Adem Bona,Adem,1610612755,PHI,22.0,17,11,6,0.647,16.1,110.4,112.2,112.2,108.5,109.5,109.5,1.9,2.6,2.6,0.014,0.25,4.6,0.09,0.121,0.106,18.5,18.3,0.563,0.583,0.092,0.095,104.3,102.96,85.8,102.96,0.054,584,22,40,1.3,2.4,0.55,248,143,179,132,300,282,240,240,134,155,155,192,176,176,468,442,467,74,235,133,471,470,170,208,467,468,126,204,204,402,343,352,376,409,80,1
2025-26,1642876,Adou Thiero,Adou,1610612747,LAL,21.0,8,6,2,0.75,6.4,119.2,116.8,116.8,135.2,133.3,133.3,-16.0,-16.5,-16.5,0.027,0.33,9.1,0.089,0.054,0.073,27.3,26.8,0.6,0.694,0.085,0.09,99.54,101.28,84.4,101.28,0.008,107,3,5,0.4,0.6,0.6,393,267,59,60,443,72,125,125,487,487,487,444,445,445,464,440,433,75,461,272,489,488,113,44,477,474,423,318,318,475,447,461,473,484,53,1
2025-26,1642349,Ajay Mitchell,Ajay,1610612760,OKC,23.0,24,23,1,0.958,26.6,118.3,117.6,117.6,99.8,99.4,99.4,18.5,18.2,18.2,0.191,2.23,20.5,0.021,0.094,0.06,9.2,9.1,0.515,0.572,0.223,0.23,102.07,102.58,85.48,102.58,0.118,1367,124,267,5.2,11.1,0.464,26,1,20,20,146,96,110,110,31,30,30,32,36,36,123,134,171,376,330,358,208,205,310,248,105,104,276,227,227,112,67,63,112,110,234,1
2025-26,201143,Al Horford,Al,1610612744,GSW,39.0,13,7,6,0.538,21.5,106.0,106.9,106.9,114.4,114.5,114.5,-8.4,-7.6,-7.6,0.139,1.63,21.1,0.037,0.167,0.099,13.0,13.0,0.429,0.453,0.144,0.148,103.25,102.82,85.68,102.82,0.068,596,25,78,1.9,6.0,0.321,323,242,179,233,221,388,368,368,310,300,300,369,354,354,210,248,167,248,107,156,399,402,425,434,339,351,200,214,214,360,322,293,315,247,458,1
2025-26,1627936,Alex Caruso,Alex,1610612760,OKC,31.0,15,15,0,1.0,18.8,125.1,124.5,124.5,96.4,95.3,95.3,28.8,29.2,29.2,0.16,2.53,28.8,0.019,0.105,0.065,11.4,11.3,0.513,0.535,0.142,0.147,102.46,103.32,86.1,103.32,0.088,604,30,75,2.0,5.0,0.4,290,36,1,1,258,23,29,29,26,24,24,15,12,12,179,90,55,381,286,323,332,329,313,340,347,357,255,173,173,241,308,297,305,281,370,1
