Season,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS,DEF_WS_RAW,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,PCT_DREB_RANK,STL_RANK,PCT_STL_RANK,BLK_RANK,PCT_BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,DEF_WS_RANK
2025-26,1630639,A.J. Lawson,A.J.,1610612761,TOR,25.0,2,0,2,0.0,8.2,139.4,2.0,0.211,0.444,0.0,0.0,1.0,0.5,1.0,3.0,7.0,11.0,-0.034,-0.03416703418988262,470,475,57,475,416,492,265,47,4,452,452,42,39,15,104,291,119,492
2025-26,1631260,AJ Green,AJ,1610612749,MIL,26.0,24,10,14,0.417,29.0,116.6,2.8,0.096,0.15,0.5,0.107,0.1,0.044,10.6,8.4,7.3,28.9,0.062,0.062086749394821755,45,176,413,310,108,366,192,327,330,293,411,348,394,383,358,309,377,219
2025-26,1642358,AJ Johnson,AJ,1610612764,WAS,21.0,10,0,10,0.0,4.5,120.2,0.4,0.083,0.138,0.0,0.0,0.0,0.0,2.3,1.9,1.2,4.0,0.005,0.004568633834698161,372,475,312,475,461,432,459,377,361,452,452,416,416,57,50,31,28,459
2025-26,203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,13,10,3,0.769,28.3,105.0,4.5,0.147,0.2,0.8,0.179,0.2,0.094,6.8,6.2,6.6,29.4,0.153,0.15320481928802535,328,176,82,54,121,76,79,155,212,195,272,273,313,219,253,273,382,15
2025-26,1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,17,14,3,0.824,17.1,104.7,0.9,0.047,0.077,0.5,0.133,0.2,0.094,4.9,7.0,3.2,16.5,0.097,0.09694722199475658,254,73,82,37,283,74,417,466,469,323,370,314,313,143,292,113,204,94
2025-26,1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,11,1,10,0.091,30.4,116.6,2.9,0.099,0.149,0.8,0.205,0.3,0.12,11.2,8.5,10.0,34.0,0.065,0.06463081600494669,357,444,312,472,84,365,182,319,336,168,202,239,278,407,360,425,433,207
2025-26,1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,14,13,1,0.929,25.1,102.1,2.4,0.088,0.129,0.6,0.111,0.6,0.216,8.4,5.6,5.6,18.7,0.159,0.1589392167906329,314,100,20,29,173,49,220,362,385,251,404,112,168,290,224,225,232,12
2025-26,1642846,Ace Bailey,Ace,1610612762,UTA,19.0,23,8,15,0.348,23.2,120.6,1.9,0.083,0.123,0.8,0.207,0.3,0.242,8.5,8.0,7.7,26.2,0.023,0.023077771511953272,99,222,433,342,199,439,286,381,401,164,198,190,148,295,342,327,339,408
2025-26,1641737,Adem Bona,Adem,1610612755,PHI,22.0,17,11,6,0.647,16.1,109.5,2.2,0.121,0.204,0.4,0.115,1.5,0.578,6.4,5.6,5.1,13.4,0.068,0.06837466855659168,254,145,173,131,300,155,249,235,202,365,399,15,20,200,225,199,162,197
2025-26,1642876,Adou Thiero,Adou,1610612747,LAL,21.0,9,6,3,0.667,5.8,131.5,0.2,0.054,0.087,0.3,0.2,0.0,0.0,2.2,0.9,2.8,6.0,-0.012,-0.012407343483554894,381,270,82,112,445,486,476,462,460,368,210,416,416,54,19,93,51,481
2025-26,1642349,Ajay Mitchell,Ajay,1610612760,OKC,23.0,25,24,1,0.96,26.3,99.1,2.7,0.094,0.136,1.4,0.269,0.3,0.138,8.5,5.4,4.6,20.2,0.189,0.18870565129623199,11,1,20,20,147,31,195,333,368,38,96,210,253,294,217,183,258,6
2025-26,201143,Al Horford,Al,1610612744,GSW,39.0,13,7,6,0.538,21.5,114.5,3.5,0.167,0.274,1.0,0.191,1.0,0.419,9.6,9.8,6.2,24.0,0.06,0.05997266191285904,328,244,173,230,222,296,125,107,97,102,246,42,67,331,434,249,310,227
2025-26,1627936,Alex Caruso,Alex,1610612760,OKC,31.0,16,16,0,1.0,18.5,95.9,1.9,0.102,0.153,1.7,0.365,0.3,0.156,4.4,5.1,2.8,13.5,0.152,0.15167014515227992,275,26,1,1,264,25,275,303,321,14,26,219,231,121,201,90,163,16
2025-26,1642259,Alex Sarr,Alex,1610612764,WAS,20.0,16,2,14,0.125,29.7,120.4,6.2,0.19,0.304,0.8,0.188,2.0,0.508,13.3,9.7,9.9,34.1,0.031,0.03111538698738353,275,412,413,459,94,435,26,69,65,174,254,3,38,467,421,418,439,360
2025-26,1642918,Alijah Martin,Alijah,1610612761,TOR,23.0,2,0,2,0.0,3.3,83.3,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.033,0.03314751704065138,470,475,57,475,481,9,483,483,483,299,1,416,416,1,21,18,3,352
2025-26,1630578,Alperen Sengun,Alperen,1610612745,HOU,23.0,20,15,5,0.75,35.9,111.2,6.4,0.176,0.274,1.5,0.201,1.0,0.317,14.2,12.9,10.7,34.7,0.132,0.13177149023831652,191,43,144,58,7,201,22,96,98,37,209,51,109,483,495,456,453,40
2025-26,1642873,Amari Williams,Amari,1610612738,BOS,23.0,6,4,2,0.667,5.2,111.8,0.8,0.128,0.238,0.2,0.2,0.3,0.5,1.2,3.3,1.2,5.3,0.02,0.019744211025605737,423,339,57,112,450,213,423,206,139,424,210,193,39,22,116,30,46,415
2025-26,1641708,Amen Thompson,Amen,1610612745,HOU,22.0,22,16,6,0.727,36.2,107.7,4.5,0.117,0.186,1.4,0.192,0.5,0.136,13.7,12.3,10.0,36.0,0.172,0.17195210550221696,127,26,173,81,6,113,73,247,243,51,243,127,257,475,493,428,467,8
2025-26,1629599,Amir Coffey,Amir,1610612749,MIL,28.0,19,9,10,0.474,7.8,110.0,0.6,0.066,0.112,0.0,0.0,0.1,0.083,2.8,2.5,4.3,7.3,0.032,0.0323419528353884,217,188,312,283,423,172,444,444,420,452,452,408,338,73,74,162,70,356
2025-26,203083,Andre Drummond,Andre,1610612755,PHI,32.0,22,13,9,0.591,21.7,110.8,6.0,0.269,0.412,0.7,0.185,0.9,0.377,7.3,5.7,7.7,23.2,0.081,0.08148947437301195,127,100,275,176,216,188,27,6,8,234,260,55,76,232,234,333,303,148
2025-26,1641748,Andre Jackson Jr.,Andre,1610612749,MIL,24.0,12,4,8,0.333,6.5,116.3,0.4,0.081,0.132,0.4,0.294,0.2,0.167,4.1,1.4,3.1,6.2,0.015,0.014769279295284902,344,339,251,346,440,353,458,391,377,345,71,320,210,109,38,108,54,430
2025-26,1629614,Andrew Nembhard,Andrew,1610612754,IND,25.0,16,4,12,0.25,31.0,123.2,1.8,0.059,0.098,0.9,0.208,0.2,0.051,11.6,9.9,10.1,36.8,0.008,0.00805205465771544,275,339,377,398,71,462,295,456,448,132,193,306,383,423,436,429,474,451
2025-26,203952,Andrew Wiggins,Andrew,1610612748,MIA,30.0,22,11,11,0.5,32.9,113.9,3.4,0.092,0.15,1.0,0.183,1.1,0.358,11.1,11.8,10.5,37.4,0.095,0.09544150172634504,127,145,349,248,48,272,136,342,332,95,266,35,80,404,484,451,481,96
2025-26,1629014,Anfernee Simons,Anfernee,1610612738,BOS,26.0,25,15,10,0.6,23.7,116.2,1.8,0.078,0.128,0.5,0.122,0.2,0.082,6.8,7.4,7.0,22.3,0.053,0.05300878962796797,11,43,312,156,193,351,297,396,388,315,387,327,343,218,321,290,290,253
2025-26,1641710,Anthony Black,Anthony,1610612753,ORL,21.0,25,15,10,0.6,28.2,111.6,3.2,0.11,0.166,1.3,0.282,0.6,0.2,9.8,7.2,9.5,30.7,0.101,0.10077967102896418,11,43,312,156,124,210,157,274,291,54,79,96,180,340,314,403,394,89
2025-26,203076,Anthony Davis,Anthony,1610612742,DAL,32.0,10,5,5,0.5,29.3,116.5,7.2,0.243,0.381,1.2,0.255,1.6,0.516,10.2,6.1,9.9,35.4,0.062,0.06198948976433597,372,313,144,248,101,360,12,17,15,72,112,12,37,351,245,419,460,219
2025-26,1630162,Anthony Edwards,Anthony,1610612750,MIN,24.0,20,13,7,0.65,34.4,116.4,4.2,0.117,0.18,1.2,0.22,0.8,0.239,11.9,8.5,11.6,37.2,0.075,0.07496789729520217,191,100,216,128,22,357,91,242,256,72,176,67,150,428,365,478,480,164
2025-26,1630264,Anthony Gill,Anthony,1610612764,WAS,33.0,9,0,9,0.0,3.6,91.5,0.6,0.139,0.208,0.0,0.0,0.1,0.2,2.0,1.0,1.3,3.6,0.034,0.033937789427088375,381,475,275,475,476,17,446,173,196,452,452,364,180,40,21,35,24,347
2025-26,1641810,Antonio Reeves,Antonio,1610612766,CHA,25.0,6,1,5,0.167,8.8,100.0,0.7,0.083,0.129,0.2,0.1,0.0,0.0,1.8,3.5,2.5,6.7,0.055,0.055206796274162466,423,444,144,438,405,33,433,377,387,424,416,416,416,36,121,79,61,242
2025-26,1630574,Ariel Hukporti,Ariel,1610612752,NYK,23.0,16,12,4,0.75,7.9,108.9,1.5,0.171,0.258,0.1,0.1,0.5,0.5,3.2,2.4,3.3,6.4,0.035,0.03546418550094805,275,125,109,58,422,135,331,102,109,435,416,127,39,85,71,114,56,342
2025-26,1642854,Asa Newell,Asa,1610612737,ATL,20.0,15,11,4,0.733,8.5,102.2,0.7,0.081,0.13,0.4,0.207,0.2,0.231,2.7,2.8,2.1,8.3,0.053,0.05307779937515346,296,145,109,76,411,51,433,388,382,350,195,292,159,70,92,61,85,253
2025-26,1641709,Ausar Thompson,Ausar,1610612765,DET,22.0,20,15,5,0.75,28.0,109.8,4.0,0.133,0.203,1.5,0.303,0.7,0.171,11.0,9.0,8.0,24.6,0.114,0.11387376529532836,191,43,144,58,128,167,100,192,207,28,62,95,209,393,391,342,317,59
