Season,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM,FGA,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,TEAM_COUNT
2025-26,1630639,A.J. Lawson,A.J.,1610612761,TOR,25.0,2,0,2,0.0,8.2,0.6,0.4,0.333,0.0,0.5,0.417,0.167,0.0,0.333,0.5,0.5,1.0,0.0,0.75,0.25,4,10,0.4,470,475,57,475,416,200,292,382,330,131,12,196,448,332,289,163,1,231,183,298,437,438,367,1
2025-26,1631260,AJ Green,AJ,1610612749,MIL,26.0,24,10,14,0.417,29.0,0.074,0.926,0.052,0.0,0.878,0.081,0.07,0.119,0.052,0.571,0.429,0.924,0.076,0.895,0.105,86,176,0.489,45,176,413,310,108,483,14,474,330,10,341,401,359,471,236,235,260,163,61,425,137,146,181,1
2025-26,1642358,AJ Johnson,AJ,1610612764,WAS,21.0,10,0,10,0.0,4.5,0.769,0.231,0.571,0.0,0.0,0.571,0.429,0.0,0.571,1.0,0.0,0.0,0.0,1.0,0.0,2,13,0.154,372,475,312,475,461,90,407,149,330,423,6,5,448,121,1,451,422,231,1,452,458,418,484,1
2025-26,203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,13,10,3,0.769,28.3,0.591,0.409,0.443,0.049,0.344,0.078,0.213,0.107,0.393,0.574,0.426,0.786,0.214,0.646,0.354,82,154,0.532,328,176,82,54,121,212,285,280,164,253,346,102,386,268,234,242,337,83,296,190,148,173,93,1
2025-26,1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,17,14,3,0.824,17.1,0.327,0.673,0.215,0.013,0.627,0.152,0.158,0.177,0.203,0.353,0.647,0.939,0.061,0.74,0.26,50,110,0.455,254,73,82,37,283,430,67,443,312,58,181,223,179,424,397,79,241,181,198,288,237,236,256,1
2025-26,1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,11,1,10,0.091,30.4,0.435,0.565,0.271,0.035,0.547,0.206,0.182,0.076,0.235,0.826,0.174,0.935,0.065,0.889,0.111,54,147,0.367,357,444,312,472,84,367,130,417,215,104,81,164,425,409,48,426,247,176,62,421,221,186,407,1
2025-26,1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,14,13,1,0.929,25.1,0.456,0.544,0.378,0.032,0.568,0.168,0.054,0.276,0.346,0.6,0.4,0.886,0.114,0.743,0.257,70,147,0.476,314,100,20,29,173,349,148,350,229,94,142,417,51,316,208,259,294,129,192,294,181,186,207,1
2025-26,1642846,Ace Bailey,Ace,1610612762,UTA,19.0,23,8,15,0.348,23.2,0.534,0.466,0.483,0.119,0.445,0.114,0.072,0.11,0.364,0.702,0.298,0.943,0.057,0.793,0.207,92,206,0.447,99,222,433,342,199,267,230,244,47,168,266,397,377,293,135,341,236,187,145,341,125,122,278,1
2025-26,1641737,Adem Bona,Adem,1610612755,PHI,22.0,17,11,6,0.647,16.1,0.925,0.075,0.712,0.0,0.051,0.034,0.237,0.169,0.712,0.476,0.524,1.0,0.0,0.5,0.5,22,40,0.55,254,145,173,131,300,55,442,80,330,412,411,71,207,67,324,149,1,231,390,77,343,354,77,1
2025-26,1642876,Adou Thiero,Adou,1610612747,LAL,21.0,9,6,3,0.667,5.8,1.0,0.0,0.6,0.0,0.0,0.3,0.4,0.3,0.6,1.0,0.0,0.0,0.0,1.0,0.0,3,5,0.6,381,270,82,112,445,1,458,126,330,423,29,11,33,106,1,451,422,231,1,452,447,461,53,1
