Season,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
2025-26,1631260,AJ Green,AJ,1610612749,MIL,26.0,17,8,9,0.471,47.1,5.7,11.9,0.48,5.2,10.9,0.482,1.5,1.8,0.789,0.1,4.3,4.4,2.9,1.3,0.7,0.1,0.2,5.0,2.5,18.1,1.9,28.8,0,0,32.2,16,151,92,277,180,337,371,198,32,78,46,346,371,200,434,343,414,340,397,402,377,387,162,316,275,192,426,133,16,382,1
2025-26,1642358,AJ Johnson,AJ,1610612764,WAS,20.0,8,0,8,0.0,48.2,2.6,14.1,0.182,0.0,2.6,0.0,3.8,5.1,0.75,2.6,3.8,6.4,5.1,1.3,0.0,0.0,5.1,3.8,3.8,9.0,-16.7,23.1,0,0,20.5,340,447,110,447,69,453,272,463,402,398,402,151,152,253,164,376,307,166,395,423,380,4,288,193,440,424,456,133,16,459,1
2025-26,203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,13,10,3,0.769,47.4,10.6,19.8,0.532,3.6,8.1,0.444,6.7,7.7,0.867,2.4,7.5,9.9,2.2,2.3,1.3,0.4,0.6,3.1,5.7,31.4,21.2,49.3,2,0,50.5,222,62,334,61,133,65,107,88,109,196,64,63,74,105,175,133,150,386,252,292,310,291,380,97,54,21,133,55,16,87,1
2025-26,1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,9,8,1,0.889,47.8,7.9,14.7,0.536,4.2,9.9,0.421,7.3,7.9,0.933,0.0,2.1,2.1,3.7,2.6,1.0,0.5,0.0,4.2,4.7,27.2,11.0,37.3,0,0,40.3,324,151,410,37,103,194,255,85,63,106,95,53,72,55,435,445,457,256,215,345,254,398,251,135,91,71,312,133,16,245,1
2025-26,1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,11,1,10,0.091,46.7,7.5,20.5,0.367,4.3,11.6,0.373,4.3,5.4,0.795,2.4,4.5,6.8,2.4,1.1,1.3,0.4,1.4,3.8,5.3,23.7,-6.0,39.4,0,0,40.6,289,400,80,432,241,211,94,396,60,56,161,130,134,190,182,325,279,374,410,295,298,91,295,105,145,302,289,133,16,234,1
2025-26,1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,9,8,1,0.889,47.5,9.8,21.3,0.459,4.8,11.5,0.417,1.1,1.7,0.667,1.7,4.6,6.3,3.8,1.7,0.8,1.3,0.8,3.8,1.1,25.5,17.2,43.4,0,0,44.6,324,151,410,37,120,91,76,248,41,60,100,379,379,327,245,314,311,243,341,388,121,248,290,419,112,34,206,133,16,172,1
2025-26,1642846,Ace Bailey,Ace,1610612762,UTA,19.0,16,5,11,0.313,46.1,7.8,17.8,0.438,2.6,7.9,0.328,1.9,2.3,0.824,4.0,3.6,7.5,3.7,2.9,1.8,0.3,0.4,5.3,2.1,20.1,-12.6,38.0,0,0,38.1,82,228,56,336,312,196,165,291,209,202,261,313,337,158,88,388,241,255,178,171,350,349,135,354,229,383,305,133,16,283,1
2025-26,1641737,Adem Bona,Adem,1610612755,PHI,22.0,12,7,5,0.583,46.6,2.4,5.3,0.45,0.0,0.3,0.0,2.1,4.2,0.5,3.9,6.8,10.8,0.8,1.8,1.3,5.3,0.8,4.7,3.4,6.8,-8.2,38.9,0,0,31.6,256,183,230,201,261,456,465,264,402,429,402,297,202,388,90,164,130,442,328,286,7,237,196,231,457,324,299,133,16,387,1
2025-26,1642876,Adou Thiero,Adou,1610612747,LAL,21.0,2,2,0,1.0,45.7,11.1,11.1,1.0,0.0,0.0,0.0,11.1,11.1,1.0,5.6,0.0,5.6,0.0,0.0,0.0,0.0,0.0,11.1,5.6,33.3,-27.8,40.0,0,0,38.9,447,349,453,1,356,47,401,1,402,433,402,8,21,1,43,457,344,448,441,423,380,398,6,100,41,457,276,133,16,264,1
2025-26,1642349,Ajay Mitchell,Ajay,1610612760,OKC,23.0,18,17,1,0.944,47.1,9.9,21.5,0.461,2.1,6.1,0.338,5.5,6.1,0.892,1.1,5.1,6.2,6.5,3.1,3.0,0.6,0.9,3.9,5.8,27.4,16.8,52.2,1,0,49.3,1,1,410,25,191,82,73,246,265,279,232,91,114,81,331,272,314,109,155,41,241,193,285,86,88,38,98,84,16,99,1
