RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Rim Shot Making,Rim Shot Making Efficiency,Rim Shot Attempts Per 75 Possessions,Stable Rim FG%,Stable Short Midrange FG%,Floater Talent,Paint Shooting Talent,Paint Shot Making,Paint Shot Making Efficiency,Short Mid Range FG%,Rim Shot Making_percentile,Rim Shot Making Efficiency_percentile,Rim Shot Attempts Per 75 Possessions_percentile,Stable Rim FG%_percentile,Stable Short Midrange FG%_percentile,Floater Talent_percentile,Paint Shooting Talent_percentile,Paint Shot Making_percentile,Paint Shot Making Efficiency_percentile,Short Mid Range FG%_percentile,Rim FG%,Rim FG%_percentile
1,2015-16,Andrew Bogut,31,GSW,1451,Key Rotation,Roll + Cut Big,Anchor Big,0.32,0.36,4.94,70.61,37.55,-1.21,-1,-0.68,-0.82,34.62,81.44,79.15,76.02,94.32,22.2,7.8,5.7,5.19,28.49,44.15,74.49,90.59
2,2018-19,Andrew Bogut,34,GSW,134,Garbage Time,Athletic Finisher,Helper,-0.46,-1.32,6.43,60.85,40.77,-0.4,-0.73,-0.25,-0.57,45.45,14.56,9.96,89.76,33.49,48.42,57.57,21.67,27.79,44.98,77.24,54.17,32.1
3,2017-18,Andrew Bogut,33,LAL,216,Garbage Time,Athletic Finisher,Helper,0,-0.13,3.04,66.04,39.51,-0.68,-0.9,-0.04,-0.42,33.33,60.92,61.84,48.19,72.05,35.01,32.06,9.12,55.54,54.73,39.52,77.78,94.71
4,2016-17,Andrew Bogut,32,DAL/CLE,583,Key Rotation,Roll + Cut Big,Helper,-0.56,-1.48,3.13,59.38,39.65,-0.7,-0.85,-0.52,-1.26,35.29,10.75,7.12,49.34,26.25,36.3,30.18,11.68,9.96,11.08,45.61,56.52,37.44
5,2019-20,Marvin Williams,33,CHO/MIL,1129,Rotation,Versatile Big,Helper,0.49,1.7,1.36,69.91,42.37,-0.25,-0.5,0.48,-0.01,46.67,86.1,98.29,24.22,92.73,64.51,66.76,47.38,86.63,75.56,80.68,80.95,96.49
6,2015-16,Marvin Williams,29,CHO,2338,Starter,Movement Shooter,Helper,-0.07,-0.08,2.76,56.82,46.49,0.82,-0.16,0.41,0.87,52.68,49.3,64.39,43.73,18.79,93.84,90.84,70.45,85.25,93.31,93.04,55.29,34.61
7,2016-17,Marvin Williams,30,CHO,2295,Starter,Movement Shooter,Helper,-0.16,-0.28,2.85,60.27,41.09,1,-0.32,0.18,0.37,41.09,37.39,54.02,45.18,30.25,51.9,92.55,61.43,78.32,85.68,63.82,59.88,47.14
8,2017-18,Marvin Williams,31,CHO,2006,Starter,Movement Shooter,Helper,-0.8,-1.72,2.56,58.76,44.19,1.23,-0.08,0.48,1.19,48.94,4.62,3.87,40.67,23.96,81.88,93.97,73.85,86.63,96.25,86.12,56.43,37.34
9,2018-19,Marvin Williams,32,CHO,2133,Starter,Movement Shooter,Helper,-0.4,-0.85,2.12,60.73,41.18,-0.07,-0.81,-0.37,-1.04,41.94,17.36,24.4,33.81,32.8,52.87,73.9,14.66,17.98,17.65,66.38,59.35,45.91
10,2023-24,Chris Paul,38,GSW,1531,Key Rotation,Primary Ball Handler,Chaser,-0.31,-0.65,0.31,69.15,50.88,0.12,0.39,0.17,0.03,56.69,23.63,33.12,17.38,90.59,99.28,79.99,86.15,77.96,77.02,95.75,84.62,97.31
