RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Screener Rim Defense,Rim Protection,Rim Contests Per 75 Possessions,Rim Points Saved Per 75 Possessions,Stable Rim DFGA Per 75 Possessions,Help Defensive Activity,Help Defense Talent,Help Effectiveness Rating,Percentage of Shots at Rim Contested,Post Defense,Screener Rim Defense_percentile,Rim Protection_percentile,Rim Contests Per 75 Possessions_percentile,Rim Points Saved Per 75 Possessions_percentile,Stable Rim DFGA Per 75 Possessions_percentile,Help Defensive Activity_percentile,Help Defense Talent_percentile,Help Effectiveness Rating_percentile,Percentage of Shots at Rim Contested_percentile,Post Defense_percentile,Stable Rim dFG% vs. Expected,Perimeter Isolation Defense,Matchup Difficulty,Guarded Shooting Talent,Passing Lane Defense,Deflections Per 75 Possessions,% of Time Guarding Primary Ball Handlers,Guarded 3PT Shooting Talent,Guarded Midrange Talent,% of Time Guarding Usage Tier 1 Players,Stable Rim dFG% vs. Expected_percentile,Perimeter Isolation Defense_percentile,Matchup Difficulty_percentile,Guarded Shooting Talent_percentile,Passing Lane Defense_percentile,Deflections Per 75 Possessions_percentile,% of Time Guarding Primary Ball Handlers_percentile,Guarded 3PT Shooting Talent_percentile,Guarded Midrange Talent_percentile,% of Time Guarding Usage Tier 1 Players_percentile,Off-Ball Chaser Defense,Ball Screen Navigation,Guarded 3PT Shot Creation,3PT Contests Per 75 Possessions,Steals Per 75 Possessions,Pickpocket Rating,Defensive Miles Per 75 Possessions,Loose Ball Recovery Rate,Stable Steals Per 75,Stable Bad Pass Steals Per 75,Off-Ball Chaser Defense_percentile,Ball Screen Navigation_percentile,Guarded 3PT Shot Creation_percentile,3PT Contests Per 75 Possessions_percentile,Steals Per 75 Possessions_percentile,Pickpocket Rating_percentile,Defensive Miles Per 75 Possessions_percentile,Loose Ball Recovery Rate_percentile,Stable Steals Per 75_percentile,Stable Bad Pass Steals Per 75_percentile,Stable Lost Ball Steals Per 75,Blocks Per 75 Possessions,Stable Blocks Per 75,Stable Recovered Blocks Per 75,Stable Recovered Blocks%,Block Rate on Contests,Defensive Playmaking,Screener Mobile Defense,Rim Deterrence,Rim Deterrence Per 100,Stable Lost Ball Steals Per 75_percentile,Blocks Per 75 Possessions_percentile,Stable Blocks Per 75_percentile,Stable Recovered Blocks Per 75_percentile,Stable Recovered Blocks%_percentile,Block Rate on Contests_percentile,Defensive Playmaking_percentile,Screener Mobile Defense_percentile,Rim Deterrence_percentile,Rim Deterrence Per 100_percentile,DHO Coverage Versatility,Defensive Role Versatility,Overall Coverage Versatility,P&R Coverage Versatility,DHO Coverage Versatility_percentile,Defensive Role Versatility_percentile,Overall Coverage Versatility_percentile,P&R Coverage Versatility_percentile
1,2015-16,Andrew Bogut,31,GSW,1451,Key Rotation,Roll + Cut Big,Anchor Big,2.37,1.71,8.64,1.56,7.8,2.36,2.94,2.3,49.1,0.89,98.2,99.11,93.35,94.85,97.34,96.01,98.91,99.69,93.36,90.25,-0.1,-0.91,-0.87,-0.21,0.53,0.03,1.74,-0.74,-0.24,12.48,98.8,22.67,21.6,30.64,20.71,30.61,22.65,4.84,21.89,59.03,-0.99,-0.84,-0.82,0,0.83,0.33,1.14,0,0.9,0.58,25.6,22.47,2.82,0,37.85,51.54,26.31,0,16.86,12.88,0.35,2.87,2.77,1.73,59.43,0,3.42,1.1,1.34,0.46,38.74,98.34,98.82,99.26,93.78,0,75.44,92.24,94.87,86.1,26.62,26.81,88.62,24.62,14.72,2.88,4.22,5.72
2,2018-19,Andrew Bogut,34,GSW,134,Garbage Time,Athletic Finisher,Helper,-0.27,0.67,9.11,0.95,5.97,2.06,1.92,-0.08,37,1.34,61.35,89.19,95.34,88.66,89.11,93.01,92.05,65.75,51.06,94.36,-0.02,0.17,0.46,0.01,1.61,1.07,3.2,-0.66,0.19,26.39,78.12,73.14,81.45,67.64,37.7,36.47,30.07,7.56,88.24,95.34,-1.74,-1.02,-0.47,1.61,0.8,0.27,0.99,50,1.04,0.71,4.79,10.45,27.56,34.71,35.53,42.24,19.61,50.35,34.72,43.09,0.36,2.14,1.65,0.76,57.04,15.38,3.35,0.07,0.54,0.24,41.88,95.47,92.15,88.16,27.97,90.93,72.86,74.94,79.43,73.54,30,32,89.4,26.74,25.43,5.45,5.26,7.84
3,2017-18,Andrew Bogut,33,LAL,216,Garbage Time,Athletic Finisher,Helper,-0.91,0.49,6.03,0.69,5.5,2.42,2.51,0.79,31.6,1.08,35.29,84.42,75.26,84.16,86.32,96.51,96.95,93.9,23.72,92.35,-0.01,0.42,0.57,-0.1,1.67,1.17,2.87,-0.47,-0.03,23.09,69.88,79.61,83.44,50.67,38.73,38.28,27.56,19.95,59.19,91.55,-0.95,-1.22,-0.49,2.01,0.67,0.17,1.12,57.14,0.97,0.69,27.17,3.67,25.62,40.19,28.01,29.18,24.47,61.89,24.81,36.65,0.35,2.18,1.81,0.9,58.16,18.06,3.42,-0.6,0.91,0.36,38.74,95.68,93.81,91.99,61.75,94.62,75.44,48.01,88.69,81.09,33.33,41.81,89.09,25.67,38.86,14.12,4.9,6.85
4,2016-17,Andrew Bogut,32,DAL/CLE,583,Key Rotation,Roll + Cut Big,Helper,1.76,0.56,7.24,0.52,5.84,2.34,2.73,1.68,50,0.85,96.82,86.7,85.68,80.17,88.39,95.84,98.22,98.76,94.14,89.62,0,-0.61,-0.62,-0.19,2.64,2.03,1.63,-0.8,-0.21,15.15,59.35,38.32,34.11,34.04,61.76,64.02,22.34,3.24,26.64,70.99,-1.42,-1.13,-0.82,0.81,0.88,0.27,1.14,0,0.99,0.69,12.11,5.66,2.82,31.41,41.24,42.24,26.31,0,27.51,36.65,0.34,1.69,1.58,1.07,58.91,15.24,3.75,0.87,1.21,0.75,36.37,91.42,91.1,95.21,87.49,90.7,83.72,90.07,93.35,94.16,32.67,28.96,87.86,21.6,37.39,3.96,3.31,3.81
5,2019-20,Marvin Williams,33,CHO/MIL,1129,Rotation,Versatile Big,Helper,0.02,-0.16,5.62,0.63,4.6,0.36,0.16,-0.87,40.8,-0.09,73.18,46.86,69.59,82.95,79.45,76.07,72.42,14.09,71.95,65.5,0.02,-1.39,-1.01,-0.23,3.27,2.34,5.33,-0.21,-0.17,12.45,37.58,6.49,15.24,27.26,76.34,72.97,46.16,36.27,33.53,58.81,-0.51,-0.53,-0.41,4.33,1.16,0.22,1.19,63.64,1.15,0.87,41.86,40,33.09,90.63,62.08,35.37,35.46,73.23,52.06,80.65,0.28,0.96,0.95,0.59,59.01,8.65,3.38,-0.33,-0.4,-0.04,23.92,77.74,75.36,81.65,89.08,69.95,73.93,59.83,27.17,42.3,36.14,66.5,100.38,58.69,52.7,95.7,28.15,94.12
6,2015-16,Marvin Williams,29,CHO,2338,Starter,Movement Shooter,Helper,0.09,0.45,5.3,0.48,4.65,0.01,0.23,0.53,37.9,-0.57,75.42,83.31,64.76,78.9,79.74,70.01,73.46,90.27,56.57,36.2,-0.04,-0.01,-0.08,-0.04,0.56,0,0.88,-0.16,-0.01,16.6,87.96,67.68,65.11,60.4,21.27,0,18.89,40.31,62.88,76.85,-0.35,-0.41,-0.53,0,0.95,0.39,1.2,0,0.98,0.6,47.06,44.08,21.42,0,46.77,60.01,37.74,0,26.13,16.03,0.4,1.26,1.24,0.72,57.46,0,2.29,1.01,0.36,0.03,55.17,85.02,84.68,86.93,39.57,0,30.28,91.34,72.57,51.98,39.2,52.88,99.27,53.01,64.67,47.54,25.18,84.41
7,2016-17,Marvin Williams,30,CHO,2295,Starter,Movement Shooter,Helper,1.65,0.27,4.39,0.12,3.67,0.08,0.47,1.11,31.1,-0.39,96.42,76.44,47.72,65.93,69.36,72.04,75.94,96.41,22.49,48.19,0.01,-0.43,-0.05,-0.02,2.88,2.09,1.69,-0.21,0.02,17.32,47.26,48.65,66.68,63.65,67.56,65.97,22.5,36.27,67.8,79.15,-0.04,-0.42,-0.54,4.1,0.96,0.17,1.2,0,0.99,0.79,57.74,43.72,20.34,87.68,47.59,29.18,37.74,0,27.51,66.05,0.21,0.88,0.87,0.54,58.38,7.36,3.03,1.6,0.68,0.39,15.81,75.05,71.48,78.42,71.12,63.53,58.7,95.46,83.7,82.7,41.27,54.66,98.7,53.59,74.03,55.02,23.63,85.84
8,2017-18,Marvin Williams,31,CHO,2006,Starter,Movement Shooter,Helper,-1.6,0.29,4.83,-0.07,3.8,-0.21,-0.42,-0.98,36,0.25,15.05,77.44,55.89,33.22,71.29,62.51,40.23,10.93,45.02,77.71,0.02,1.49,0.76,0.1,3.14,2.41,2.98,-0.1,0.12,17.57,37.58,94.7,86.8,78.56,73.55,74.77,28.42,46.26,81.71,79.9,0.73,-0.6,-0.38,3.31,1.02,0.29,1.19,66.2,1.05,0.74,82,36.82,35.56,70.28,52.1,45.34,35.46,77.76,36.14,52.06,0.32,0.69,0.7,0.35,57.2,6.92,3.09,0.74,0.34,0.14,31.57,66.77,60.21,57.19,32.13,60.9,61.72,88.42,71.63,64.9,40.47,56.93,97.93,51.99,71.53,64.91,22.09,81.61
9,2018-19,Marvin Williams,32,CHO,2133,Starter,Movement Shooter,Helper,0.32,0.13,5.63,0.52,4.82,0.17,-0.02,-0.91,38.5,-0.39,81.99,68.87,69.82,80.17,81.24,73.68,66.89,12.9,59.43,48.19,-0.02,-0.05,0.09,-0.07,3.3,2.4,4.48,-0.19,-0.11,14.76,78.12,66.2,71.85,55.65,77.02,74.46,39.74,37.73,44.91,69.41,0.1,-0.38,-0.31,4.27,1.23,0.33,1.24,71.43,1.22,0.87,62.52,45.19,41.18,89.83,67.32,51.54,52.19,86.58,62.9,80.65,0.34,1.06,1.05,0.6,57.3,9.16,3.52,-0.19,-0.85,-0.72,36.37,80.46,78.96,82.1,34.88,72.55,78.26,65.42,12,6.31,43.33,69.17,100.65,48.71,80.08,98.39,28.66,71.5
10,2023-24,Chris Paul,38,GSW,1531,Key Rotation,Primary Ball Handler,Chaser,0.24,-0.25,5.01,-0.06,2.37,-0.32,-0.27,-0.06,37.9,0.11,79.58,36.87,59.73,33.75,39.13,57.31,54.06,67.09,56.57,73.1,0.02,-0.83,-1.26,-0.21,3.67,2.8,11.25,-0.1,-0.16,9.77,37.58,26.64,7.01,30.64,82.68,82.96,71.09,46.26,35.47,45.12,0.15,0.76,-0.16,2.02,1.7,0.83,1.09,49.4,1.61,0.83,64.1,80.67,54.59,40.39,87.51,92.31,22.75,50.27,91.08,73.82,0.72,0.15,0.18,0.08,57.88,5.13,3.47,-0.67,0.21,0.02,96.44,26.72,4.49,15.95,52.52,51.06,76.89,44.88,65.06,50.32,34,55.71,106.59,40.64,43.47,59.17,52.42,40.45
