RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Stable FT%,Stable FT%_percentile
1,2015-16,Andrew Bogut,31,GSW,1451,Key Rotation,Roll + Cut Big,Anchor Big,57.11,1.55
2,2018-19,Andrew Bogut,34,GSW,134,Garbage Time,Athletic Finisher,Helper,79.55,68.43
3,2017-18,Andrew Bogut,33,LAL,216,Garbage Time,Athletic Finisher,Helper,78.76,63.34
4,2016-17,Andrew Bogut,32,DAL/CLE,583,Key Rotation,Roll + Cut Big,Helper,61.42,3.43
5,2019-20,Marvin Williams,33,CHO/MIL,1129,Rotation,Versatile Big,Helper,83.3,86.91
6,2015-16,Marvin Williams,29,CHO,2338,Starter,Movement Shooter,Helper,82.28,83.11
7,2016-17,Marvin Williams,30,CHO,2295,Starter,Movement Shooter,Helper,85.9,94.36
8,2017-18,Marvin Williams,31,CHO,2006,Starter,Movement Shooter,Helper,81.96,81.58
9,2018-19,Marvin Williams,32,CHO,2133,Starter,Movement Shooter,Helper,76.8,47.65
10,2023-24,Chris Paul,38,GSW,1531,Key Rotation,Primary Ball Handler,Chaser,81.21,77.96
11,2017-18,Chris Paul,32,HOU,1847,Star,Shot Creator,Point of Attack,90.39,99.61
12,2018-19,Chris Paul,33,HOU,1857,Star,Shot Creator,Chaser,85.23,92.68
13,2015-16,Chris Paul,30,LAC,2420,Star,Shot Creator,Point of Attack,88.7,98.7
14,2016-17,Chris Paul,31,LAC,1921,Star,Shot Creator,Point of Attack,88.19,98.25
15,2025-26,Chris Paul,40,LAC,228,Rotation,Primary Ball Handler,Chaser,75.86,41.49
16,2019-20,Chris Paul,34,OKC,2208,Star,Shot Creator,Low Activity,89.59,99.33
17,2020-21,Chris Paul,35,PHO,2199,Star,Shot Creator,Chaser,91.56,99.94
18,2021-22,Chris Paul,36,PHO,2139,Star,Primary Ball Handler,Low Activity,82.95,85.55
19,2022-23,Chris Paul,37,PHO,1889,Star,Primary Ball Handler,Low Activity,82.45,83.73
20,2024-25,Chris Paul,39,SAS,2292,Starter,Primary Ball Handler,Low Activity,89.4,99.26
21,2016-17,Raymond Felton,32,LAC,1700,Key Rotation,Primary Ball Handler,Point of Attack,77.82,55.98
22,2017-18,Raymond Felton,33,OKC,1365,Rotation,Primary Ball Handler,Point of Attack,80.11,72.08
23,2018-19,Raymond Felton,34,OKC,379,Rotation,Secondary Ball Handler,Point of Attack,82.36,83.31
24,2015-16,Raymond Felton,31,DAL,2192,Starter,Primary Ball Handler,Chaser,83.62,88.2
25,2015-16,Charlie Villanueva,31,DAL,665,Rotation,Off Screen Shooter,Helper,83.82,88.71
26,2017-18,Channing Frye,34,CLE/LAL,695,Rotation,Stationary Shooter,Helper,82.5,83.88
27,2015-16,Channing Frye,32,ORL/CLE,1199,Rotation,Stationary Shooter,Mobile Big,81.75,80.58
28,2016-17,Channing Frye,33,CLE,1398,Rotation,Stationary Shooter,Anchor Big,83.14,86.38
29,2018-19,Channing Frye,35,CLE,341,Garbage Time,Versatile Big,Anchor Big,77.58,54.78
30,2016-17,Deron Williams,32,DAL/CLE,1657,Starter,Shot Creator,Point of Attack,81.56,79.64
31,2015-16,Deron Williams,31,DAL,2106,Starter,Shot Creator,Point of Attack,85.75,94.01
32,2017-18,Gerald Green,32,HOU,929,Key Rotation,Off Screen Shooter,Low Activity,82.71,84.67
33,2018-19,Gerald Green,33,HOU,1473,Rotation,Movement Shooter,Low Activity,82.04,82.02
34,2015-16,Gerald Green,30,MIA,1557,Key Rotation,Movement Shooter,Chaser,77.79,55.81
35,2016-17,Gerald Green,31,BOS,538,Garbage Time,Off Screen Shooter,Chaser,79.2,66.65
36,2015-16,Nate Robinson,31,NOP,23,Too Few Games,Low Minute,Point of Attack,76,43.09
37,2016-17,Jarrett Jack,33,NOP,33,Too Few Games,Low Minute,Point of Attack,78.76,63.34
38,2017-18,Jarrett Jack,34,NYK,1548,Starter,Primary Ball Handler,Point of Attack,82.3,83.2
39,2015-16,Jarrett Jack,32,BRK,1027,Starter,Primary Ball Handler,Point of Attack,86.93,96.43
40,2015-16,Ian Mahinmi,29,IND,1816,Starter,Roll + Cut Big,Anchor Big,60.34,2.86
41,2016-17,Ian Mahinmi,30,WAS,555,Rotation,Post Scorer,Mobile Big,62.12,3.82
42,2017-18,Ian Mahinmi,31,WAS,1145,Rotation,Roll + Cut Big,Mobile Big,71.37,20.59
43,2018-19,Ian Mahinmi,32,WAS,498,Rotation,Roll + Cut Big,Anchor Big,71.16,19.91
44,2019-20,Ian Mahinmi,33,WAS,808,Rotation,Roll + Cut Big,Anchor Big,64.59,6.29
45,2016-17,David Lee,33,SAS,1477,Rotation,Post Scorer,Helper,71.89,22.43
46,2015-16,David Lee,32,BOS/DAL,903,Rotation,Post Scorer,Helper,76.27,44.87
47,2016-17,Brandon Bass,31,LAC,577,Garbage Time,Post Scorer,Helper,85.24,92.7
48,2015-16,Brandon Bass,30,LAL,1342,Key Rotation,Roll + Cut Big,Helper,83.27,86.81
49,2015-16,CJ Miles,28,IND,1464,Starter,Off Screen Shooter,Low Activity,75.16,38.18
50,2016-17,CJ Miles,29,IND,1776,Key Rotation,Off Screen Shooter,Low Activity,87.58,97.25
51,2018-19,CJ Miles,31,TOR/MEM,856,Rotation,Off Screen Shooter,Low Activity,81.07,77.22
52,2021-22,CJ Miles,34,BOS,2,Too Few Games,Low Minute,Helper,77,48.94
53,2017-18,CJ Miles,30,TOR,1336,Rotation,Off Screen Shooter,Low Activity,82.21,82.81
54,2019-20,CJ Miles,32,WAS,161,Garbage Time,Off Screen Shooter,Helper,76.09,43.93
55,2016-17,Ersan Ilyasova,29,OKC/PHI/ATL,2142,Starter,Stretch Big,Helper,77.7,55.52
56,2018-19,Ersan Ilyasova,31,MIL,1231,Rotation,Stretch Big,Helper,81.1,77.41
57,2019-20,Ersan Ilyasova,32,MIL,986,Rotation,Stretch Big,Helper,81.51,79.36
58,2015-16,Ersan Ilyasova,28,DET/ORL,1880,Key Rotation,Stretch Big,Helper,72.61,25.5
59,2017-18,Ersan Ilyasova,30,ATL/PHI,1730,Starter,Stretch Big,Helper,77.66,55.33
60,2020-21,Ersan Ilyasova,33,UTA,148,Garbage Time,Movement Shooter,Helper,81.78,80.69
61,2015-16,Monta Ellis,30,IND,2734,Starter,Primary Ball Handler,Chaser,78.36,61.17
62,2016-17,Monta Ellis,31,IND,1998,Starter,Secondary Ball Handler,Chaser,73.34,28.75
63,2020-21,Lou Williams,34,LAC/ATL,1423,Key Rotation,Slasher,Low Activity,85.64,93.69
64,2021-22,Lou Williams,35,ATL,799,Rotation,Secondary Ball Handler,Low Activity,83.8,88.63
65,2016-17,Lou Williams,30,LAL/HOU,1993,Key Rotation,Primary Ball Handler,Low Activity,87.42,97.06
66,2017-18,Lou Williams,31,LAC,2589,Starter,Primary Ball Handler,Low Activity,87.47,97.14
67,2018-19,Lou Williams,32,LAC,1993,Key Rotation,Slasher,Low Activity,87.13,96.7
68,2019-20,Lou Williams,33,LAC,1864,Starter,Primary Ball Handler,Low Activity,85.53,93.49
69,2015-16,Lou Williams,29,LAL,1907,Starter,Secondary Ball Handler,Chaser,82.64,84.4
70,2015-16,Amir Johnson,28,BOS,1800,Key Rotation,Roll + Cut Big,Anchor Big,60.18,2.78
71,2016-17,Amir Johnson,29,BOS,1608,Key Rotation,Roll + Cut Big,Anchor Big,68.94,13.56
72,2017-18,Amir Johnson,30,PHI,1170,Rotation,Roll + Cut Big,Anchor Big,64.67,6.42
73,2018-19,Amir Johnson,31,PHI,529,Rotation,Roll + Cut Big,Anchor Big,76.12,44.09
74,2018-19,Marcin Gortat,34,LAC,751,Rotation,Roll + Cut Big,Anchor Big,74.28,33.2
75,2015-16,Marcin Gortat,31,WAS,2256,Starter,Post Scorer,Anchor Big,71.1,19.61
76,2016-17,Marcin Gortat,32,WAS,2556,Star,Post Scorer,Anchor Big,66.39,8.94
77,2017-18,Marcin Gortat,33,WAS,2075,Key Rotation,Post Scorer,Mobile Big,68.71,13.06
78,2015-16,Ronnie Price,32,PHO,1211,Rotation,Primary Ball Handler,Point of Attack,75.75,40.81
79,2016-17,Ronnie Price,33,PHO,134,Garbage Time,Shot Creator,Chaser,76.72,46.91
80,2016-17,Jose Calderon,35,LAL/ATL,539,Garbage Time,Primary Ball Handler,Point of Attack,81.87,81.16
81,2015-16,Jose Calderon,34,NYK,2024,Starter,Primary Ball Handler,Point of Attack,83.65,88.32
82,2017-18,Jose Calderon,36,CLE,914,Rotation,Primary Ball Handler,Point of Attack,78.66,62.86
83,2018-19,Jose Calderon,37,DET,632,Rotation,Primary Ball Handler,Low Activity,78.51,62.08
84,2016-17,Alan Anderson,34,LAC,308,Garbage Time,Movement Shooter,Chaser,76.2,44.45
85,2015-16,Alan Anderson,33,WAS,192,Garbage Time,Movement Shooter,Wing Stopper,74.98,36.98
86,2015-16,Chuck Hayes,32,HOU,24,Too Few Games,Low Minute,Anchor Big,77.84,56.08
87,2016-17,John Lucas III,34,MIN,11,Too Few Games,Low Minute,Point of Attack,77,48.94
88,2015-16,Tim Duncan,39,SAS,1537,Starter,Post Scorer,Anchor Big,71.13,19.81
89,2024-25,Jahlil Okafor,29,IND,3,Too Few Games,Low Minute,Helper,78,57.44
90,2018-19,Jahlil Okafor,23,NOP,935,Rotation,Post Scorer,Anchor Big,68.57,12.83
91,2019-20,Jahlil Okafor,24,NOP,467,Rotation,Post Scorer,Anchor Big,68.01,11.74
92,2015-16,Jahlil Okafor,20,PHI,1591,Starter,Post Scorer,Helper,69.38,14.75
93,2016-17,Jahlil Okafor,21,PHI,1134,Key Rotation,Post Scorer,Anchor Big,68.4,12.51
94,2017-18,Jahlil Okafor,22,PHI/BRK,353,Rotation,Post Scorer,Anchor Big,74.5,34.24
95,2020-21,Jahlil Okafor,25,DET,347,Rotation,Post Scorer,Anchor Big,74.42,33.85
96,2017-18,Emmanuel Mudiay,21,DEN/NYK,1244,Rotation,Slasher,Point of Attack,76.13,44.14
97,2018-19,Emmanuel Mudiay,22,NYK,1607,Starter,Slasher,Point of Attack,77.37,53.39
98,2021-22,Emmanuel Mudiay,25,SAC,11,Too Few Games,Low Minute,Point of Attack,76.72,46.91
99,2019-20,Emmanuel Mudiay,23,UTA,850,Rotation,Slasher,Point of Attack,76.15,44.27
100,2015-16,Emmanuel Mudiay,19,DEN,2068,Starter,Slasher,Point of Attack,67.92,11.63
101,2016-17,Emmanuel Mudiay,20,DEN,1406,Key Rotation,Primary Ball Handler,Point of Attack,78.26,60.46
102,2019-20,Tyus Jones,23,MEM,1232,Key Rotation,Primary Ball Handler,Point of Attack,74.98,36.98
103,2020-21,Tyus Jones,24,MEM,1222,Rotation,Primary Ball Handler,Point of Attack,86.54,95.85
104,2021-22,Tyus Jones,25,MEM,1549,Key Rotation,Primary Ball Handler,Point of Attack,80.53,74.52
105,2022-23,Tyus Jones,26,MEM,1940,Key Rotation,Primary Ball Handler,Low Activity,80.1,71.96
106,2015-16,Tyus Jones,19,MIN,573,Rotation,Primary Ball Handler,Point of Attack,73.4,28.99
107,2016-17,Tyus Jones,20,MIN,774,Garbage Time,Secondary Ball Handler,Point of Attack,76.84,47.91
108,2017-18,Tyus Jones,21,MIN,1467,Rotation,Primary Ball Handler,Point of Attack,85.21,92.65
109,2018-19,Tyus Jones,22,MIN,1560,Key Rotation,Primary Ball Handler,Point of Attack,82.23,82.85
110,2025-26,Tyus Jones,29,ORL/DAL/DEN,934,Rotation,Primary Ball Handler,Point of Attack,77.94,56.92
111,2024-25,Tyus Jones,28,PHO,2174,Starter,Primary Ball Handler,Point of Attack,86.06,94.74
112,2023-24,Tyus Jones,27,WAS,1933,Starter,Primary Ball Handler,Point of Attack,79.25,67.01
113,2015-16,Cliff Alexander,20,POR,36,Too Few Games,Low Minute,Anchor Big,76,43.09
114,2018-19,Justin Anderson,25,ATL,463,Garbage Time,Movement Shooter,Helper,75.39,38.99
115,2021-22,Justin Anderson,28,CLE/IND,316,Garbage Time,Movement Shooter,Helper,77.86,56.28
116,2016-17,Justin Anderson,23,DAL/PHI,1227,Rotation,Movement Shooter,Wing Stopper,78.74,63.2
117,2017-18,Justin Anderson,24,PHI,519,Rotation,Movement Shooter,Low Activity,74.97,36.72
118,2019-20,Justin Anderson,26,BRK,107,Garbage Time,Stationary Shooter,Helper,73.16,27.45
119,2015-16,Justin Anderson,22,DAL,647,Rotation,Movement Shooter,Chaser,78.78,64.16
120,2015-16,Anthony Brown,23,LAL,599,Key Rotation,Movement Shooter,Chaser,80.08,71.87
121,2017-18,Anthony Brown,25,MIN,4,Too Few Games,Low Minute,Chaser,77,48.94
122,2016-17,Anthony Brown,24,NOP/ORL,159,Garbage Time,Movement Shooter,Wing Stopper,77,48.94
123,2015-16,Montrezl Harrell,22,HOU,379,Garbage Time,Post Scorer,Helper,60.37,2.91
124,2016-17,Montrezl Harrell,23,HOU,1064,Rotation,Roll + Cut Big,Mobile Big,65.17,7.1
125,2017-18,Montrezl Harrell,24,LAC,1293,Rotation,Post Scorer,Mobile Big,64.02,5.6
126,2018-19,Montrezl Harrell,25,LAC,2158,Key Rotation,Post Scorer,Anchor Big,64.95,6.78
127,2019-20,Montrezl Harrell,26,LAC,1749,Star,Shot Creator,Anchor Big,66.53,9.34
128,2020-21,Montrezl Harrell,27,LAL,1580,Key Rotation,Post Scorer,Mobile Big,71.33,20.49
129,2022-23,Montrezl Harrell,29,PHI,681,Rotation,Post Scorer,Anchor Big,70.98,19.29
130,2021-22,Montrezl Harrell,28,WAS/CHO,1640,Key Rotation,Post Scorer,Anchor Big,72.03,23.05
131,2016-17,Andrew Harrison,22,MEM,1474,Rotation,Shot Creator,Point of Attack,76.37,45.28
132,2017-18,Andrew Harrison,23,MEM,1326,Key Rotation,Primary Ball Handler,Point of Attack,77.86,56.28
133,2018-19,Andrew Harrison,24,MEM/CLE/NOP,186,Garbage Time,Shot Creator,Point of Attack,84.46,90.56
134,2015-16,Aaron Harrison,21,CHO,93,Garbage Time,Low Minute,Low Activity,64.59,6.29
135,2016-17,Aaron Harrison,22,CHO,17,Too Few Games,Low Minute,Chaser,74.93,35.49
136,2017-18,Aaron Harrison,23,DAL,233,Starter,Movement Shooter,Chaser,76.78,47.53
137,2021-22,Delon Wright,29,ATL,1452,Rotation,Primary Ball Handler,Point of Attack,83.3,86.91
138,2018-19,Delon Wright,26,TOR/MEM,1698,Rotation,Primary Ball Handler,Chaser,79.01,65.52
139,2023-24,Delon Wright,31,WAS/MIA,742,Rotation,Secondary Ball Handler,Point of Attack,80.75,75.43
140,2024-25,Delon Wright,32,MIL/NYK,634,Rotation,Secondary Ball Handler,Chaser,68.84,13.25
141,2020-21,Delon Wright,28,DET/SAC,1748,Star,Primary Ball Handler,Point of Attack,79.81,70.67
142,2015-16,Delon Wright,23,TOR,229,Garbage Time,Slasher,Point of Attack,74.98,36.98
143,2016-17,Delon Wright,24,TOR,446,Rotation,Slasher,Point of Attack,76.56,46.31
144,2017-18,Delon Wright,25,TOR,1433,Star,Primary Ball Handler,Point of Attack,81.9,81.29
145,2022-23,Delon Wright,30,WAS,1221,Key Rotation,Primary Ball Handler,Point of Attack,84.18,89.86
146,2019-20,Delon Wright,27,DAL,1570,Key Rotation,Primary Ball Handler,Point of Attack,77,48.94
147,2017-18,RJ Hunter,24,HOU,45,Too Few Games,Low Minute,Chaser,78.76,63.34
148,2015-16,RJ Hunter,22,BOS,314,Garbage Time,Movement Shooter,Low Activity,78.19,60.07
