RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Playmaking Talent,Touches Per 75,Playmaking Talent_percentile,Touches Per 75_percentile
1,2015-16,Andrew Bogut,31,GSW,1451,Key Rotation,Roll + Cut Big,Anchor Big,-0.35,64.63,61.46,72.22
2,2018-19,Andrew Bogut,34,GSW,134,Garbage Time,Athletic Finisher,Helper,-0.38,64.29,59.97,71.71
3,2017-18,Andrew Bogut,33,LAL,216,Garbage Time,Athletic Finisher,Helper,-0.87,61.15,23.79,66.58
4,2016-17,Andrew Bogut,32,DAL/CLE,583,Key Rotation,Roll + Cut Big,Helper,-0.36,66.09,60.94,74.46
5,2019-20,Marvin Williams,33,CHO/MIL,1129,Rotation,Versatile Big,Helper,-0.88,44.04,22.72,31.25
6,2015-16,Marvin Williams,29,CHO,2338,Starter,Movement Shooter,Helper,-1,74.48,13.15,84.47
7,2016-17,Marvin Williams,30,CHO,2295,Starter,Movement Shooter,Helper,-1.17,77.41,4.59,87.72
8,2017-18,Marvin Williams,31,CHO,2006,Starter,Movement Shooter,Helper,-1.3,64.34,1.67,71.83
9,2018-19,Marvin Williams,32,CHO,2133,Starter,Movement Shooter,Helper,-1.03,48.09,11.23,39.84
10,2023-24,Chris Paul,38,GSW,1531,Key Rotation,Primary Ball Handler,Chaser,1.54,80.87,95.57,90.85
11,2017-18,Chris Paul,32,HOU,1847,Star,Shot Creator,Point of Attack,3.07,84.17,99.43,93.41
12,2018-19,Chris Paul,33,HOU,1857,Star,Shot Creator,Chaser,3.26,80.72,99.65,90.67
13,2015-16,Chris Paul,30,LAC,2420,Star,Shot Creator,Point of Attack,3.83,98.66,99.9,99.26
14,2016-17,Chris Paul,31,LAC,1921,Star,Shot Creator,Point of Attack,3.57,102.8,99.78,99.61
15,2025-26,Chris Paul,40,LAC,228,Rotation,Primary Ball Handler,Chaser,0.71,84.44,88.15,93.71
16,2019-20,Chris Paul,34,OKC,2208,Star,Shot Creator,Low Activity,2.3,83.08,98.31,92.57
17,2020-21,Chris Paul,35,PHO,2199,Star,Shot Creator,Chaser,2.91,91.69,99.22,97.57
18,2021-22,Chris Paul,36,PHO,2139,Star,Primary Ball Handler,Low Activity,3.65,82.11,99.81,91.76
19,2022-23,Chris Paul,37,PHO,1889,Star,Primary Ball Handler,Low Activity,2.53,86.95,98.69,95.18
20,2024-25,Chris Paul,39,SAS,2292,Starter,Primary Ball Handler,Low Activity,1.49,78.32,95.26,88.52
21,2016-17,Raymond Felton,32,LAC,1700,Key Rotation,Primary Ball Handler,Point of Attack,0.15,74.58,78.86,84.57
22,2017-18,Raymond Felton,33,OKC,1365,Rotation,Primary Ball Handler,Point of Attack,0.95,80.91,90.86,90.86
23,2018-19,Raymond Felton,34,OKC,379,Rotation,Secondary Ball Handler,Point of Attack,0.17,60.04,79.49,64.4
24,2015-16,Raymond Felton,31,DAL,2192,Starter,Primary Ball Handler,Chaser,0.87,77.92,89.96,88.19
25,2015-16,Charlie Villanueva,31,DAL,665,Rotation,Off Screen Shooter,Helper,-0.81,64.21,29.05,71.63
26,2017-18,Channing Frye,34,CLE/LAL,695,Rotation,Stationary Shooter,Helper,-0.87,61.94,23.79,67.9
27,2015-16,Channing Frye,32,ORL/CLE,1199,Rotation,Stationary Shooter,Mobile Big,-0.94,67.06,17.63,75.63
28,2016-17,Channing Frye,33,CLE,1398,Rotation,Stationary Shooter,Anchor Big,-0.85,64.5,25.72,72.03
29,2018-19,Channing Frye,35,CLE,341,Garbage Time,Versatile Big,Anchor Big,-0.77,65.05,32.73,72.87
30,2016-17,Deron Williams,32,DAL/CLE,1657,Starter,Shot Creator,Point of Attack,1.11,97.26,92.24,99.12
31,2015-16,Deron Williams,31,DAL,2106,Starter,Shot Creator,Point of Attack,1.49,105.2,95.26,99.74
