RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,LEBRON,O-LEBRON,D-LEBRON,LEBRON WAR,LEBRON Box Impact,O-LEBRON Box Impact,D-LEBRON Box Impact,LEBRON Vs Role Average,O-LEBRON Vs Role Average,D-LEBRON Vs Role Average,LEBRON_percentile,O-LEBRON_percentile,D-LEBRON_percentile,LEBRON WAR_percentile,LEBRON Box Impact_percentile,O-LEBRON Box Impact_percentile,D-LEBRON Box Impact_percentile,LEBRON Vs Role Average_percentile,O-LEBRON Vs Role Average_percentile,D-LEBRON Vs Role Average_percentile
1,2015-16,Andrew Bogut,31,GSW,1451,Key Rotation,Roll + Cut Big,Anchor Big,1.23,-2.01,3.24,3.45,2.07,-0.96,3.03,1.25,-1.07,2.33,89.4,6.62,99.78,83.01,94.81,31.28,99.76,84.29,13.88,99.26
2,2018-19,Andrew Bogut,34,GSW,134,Garbage Time,Athletic Finisher,Helper,-1.38,-1.48,0.1,0.09,-1.18,-1.2,0.03,0.02,-0.08,0.11,20.69,15.93,60.63,22.24,24.84,23.31,58.09,53.23,47.58,57.35
3,2017-18,Andrew Bogut,33,LAL,216,Garbage Time,Athletic Finisher,Helper,-1.4,-2.39,0.99,0.13,-1.25,-2.16,0.91,-0.29,-1.25,0.95,20.2,2.89,86.39,26.32,22.79,3.91,87.2,41.96,10.36,89.08
4,2016-17,Andrew Bogut,32,DAL/CLE,583,Key Rotation,Roll + Cut Big,Helper,-0.37,-3.65,3.29,0.76,-0.28,-2.88,2.6,0.43,-2.66,3.09,49.89,0.1,99.81,50.25,54.17,0.39,99.19,66.91,0.63,99.88
5,2019-20,Marvin Williams,33,CHO/MIL,1129,Rotation,Versatile Big,Helper,-0.95,-1.83,0.88,1.04,-1.17,-1.71,0.54,-0.36,-1.22,0.86,32.34,8.82,84,56.28,25.21,10.14,78.74,39.57,10.95,87.27
6,2015-16,Marvin Williams,29,CHO,2338,Starter,Movement Shooter,Helper,1.45,0.55,0.9,5.91,1.86,0.71,1.14,2.03,1.29,0.74,91.19,83.48,84.48,93.2,93.8,86.36,90.69,93.01,90.15,83.92
7,2016-17,Marvin Williams,30,CHO,2295,Starter,Movement Shooter,Helper,1.02,0.13,0.88,5.09,0.62,-0.27,0.89,1.63,0.95,0.68,87.32,76.1,84,91.05,84.69,62.61,86.88,89.52,85.22,82.23
8,2017-18,Marvin Williams,31,CHO,2006,Starter,Movement Shooter,Helper,-0.24,-0.23,-0.02,2.77,0.43,-0.23,0.66,0.58,0.63,-0.05,53.77,63.52,53.79,77.95,82.26,64.54,81.7,71.02,78.5,48.56
9,2018-19,Marvin Williams,32,CHO,2133,Starter,Movement Shooter,Helper,0.5,-0.1,0.6,3.98,0.31,-0.4,0.72,1.32,0.71,0.6,81.68,69.48,77.57,86.34,80.35,55.53,83.04,85.58,80.53,79.52
10,2023-24,Chris Paul,38,GSW,1531,Key Rotation,Primary Ball Handler,Chaser,0.46,0.35,0.12,2.8,1.37,0.73,0.64,0.86,0.23,0.63,80.87,80.4,61.44,78.3,91.29,86.58,81.08,77.3,64.37,80.67
