RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Finishing Talent,Rim Shot Creation,Drives Per 75 Possessions,Rim Shot Making,Rim Shot Making Efficiency,Paint Shooting Talent,Rim Makes Consistency,Stable Rim FG%,Contact Finish Rate,Rim Attempt Consistency,Finishing Talent_percentile,Rim Shot Creation_percentile,Drives Per 75 Possessions_percentile,Rim Shot Making_percentile,Rim Shot Making Efficiency_percentile,Paint Shooting Talent_percentile,Rim Makes Consistency_percentile,Stable Rim FG%_percentile,Contact Finish Rate_percentile,Rim Attempt Consistency_percentile,Rim FG%,Drive Foul Drawn Rate,Rim FG%_percentile,Drive Foul Drawn Rate_percentile
1,2015-16,Andrew Bogut,31,GSW,1451,Key Rotation,Roll + Cut Big,Anchor Big,0.13,-0.84,0.25,0.32,0.36,-1,102.3,70.61,16.67,101.03,77.47,24.24,19.45,81.44,79.15,5.7,76.16,94.32,40.78,68.8,74.49,30,90.59,98.61
2,2018-19,Andrew Bogut,34,GSW,134,Garbage Time,Athletic Finisher,Helper,-0.5,-0.32,0.54,-0.46,-1.32,-0.73,99.38,60.85,100,100.71,45.43,50.47,22.26,14.56,9.96,21.67,52.65,33.49,99.18,65.17,54.17,0,32.1,0
3,2017-18,Andrew Bogut,33,LAL,216,Garbage Time,Athletic Finisher,Helper,-0.41,-0.37,0.34,0,-0.13,-0.9,91.17,66.04,0,89.89,51.96,47.72,20.27,60.92,61.84,9.12,14.91,72.05,0,8.8,77.78,0,94.71,0
4,2016-17,Andrew Bogut,32,DAL/CLE,583,Key Rotation,Roll + Cut Big,Helper,-0.88,-0.35,0.48,-0.56,-1.48,-0.85,99.84,59.38,33.33,99.77,16.96,48.94,21.59,10.75,7.12,11.68,56.39,26.25,86.9,56.27,56.52,0,37.44,0
5,2019-20,Marvin Williams,33,CHO/MIL,1129,Rotation,Versatile Big,Helper,-0.32,-1.35,1.65,0.49,1.7,-0.5,95.05,69.91,46.15,94.74,57.6,5.75,33.42,86.1,98.29,47.38,27.28,92.73,96.14,22.36,80.95,3.92,96.49,37.5
6,2015-16,Marvin Williams,29,CHO,2338,Starter,Movement Shooter,Helper,-0.49,-0.39,2.71,-0.07,-0.08,-0.16,100.17,56.82,23.91,100.15,45.99,46.57,43.11,49.3,64.39,70.45,59,18.79,64.05,59.98,55.29,6.59,34.61,57.54
7,2016-17,Marvin Williams,30,CHO,2295,Starter,Movement Shooter,Helper,-0.7,-1.01,2.69,-0.16,-0.28,-0.32,99.43,60.27,31.48,100.78,30.84,16.95,42.96,37.39,54.02,61.43,53.13,30.25,85.22,65.98,59.88,8.64,47.14,71.76
8,2017-18,Marvin Williams,31,CHO,2006,Starter,Movement Shooter,Helper,-1.29,-1.05,1.83,-0.8,-1.72,-0.08,99.54,58.76,21.57,100.4,4.62,15.31,34.88,4.62,3.87,73.85,54.06,23.96,56.54,62.36,56.43,7,37.34,60.46
9,2018-19,Marvin Williams,32,CHO,2133,Starter,Movement Shooter,Helper,-0.99,-1.1,1.74,-0.4,-0.85,-0.81,96.85,60.73,12.5,98.01,11.44,13.38,34.07,17.36,24.4,14.66,35.98,32.8,34.11,40.69,59.35,8.91,45.91,73.39
10,2023-24,Chris Paul,38,GSW,1531,Key Rotation,Primary Ball Handler,Chaser,-0.93,-0.17,7.36,-0.31,-0.65,0.39,82.99,69.15,44.44,77.44,14.13,57.28,74.14,23.63,33.12,86.15,4.52,90.59,95.79,1.07,84.62,1.97,97.31,27.49
