RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Midrange Talent,Midrange Shot Making,Midrange Shot Creation,Midrange Pull Up Talent,Midrange Pull Up Shot Making,Midrange Pull Up Shot Making Efficiency,Stable Long Midrange FG%,Stable Short Midrange FG%,Midrange FGM Per 75,Midrange Pull Up FGM Per 75,Midrange Talent_percentile,Midrange Shot Making_percentile,Midrange Shot Creation_percentile,Midrange Pull Up Talent_percentile,Midrange Pull Up Shot Making_percentile,Midrange Pull Up Shot Making Efficiency_percentile,Stable Long Midrange FG%_percentile,Stable Short Midrange FG%_percentile,Midrange FGM Per 75_percentile,Midrange Pull Up FGM Per 75_percentile,Midrange Shot Making Efficiency,Midrange Pull Up FG%,Midrange Shot Making Efficiency_percentile,Midrange Pull Up FG%_percentile
1,2015-16,Andrew Bogut,31,GSW,1451,Key Rotation,Roll + Cut Big,Anchor Big,-1.21,-0.53,-1.46,-1.17,-0.45,-1.27,39.62,37.55,0.71,0.08,3.28,9.87,10.88,4.25,12.51,12.32,32.02,22.2,32.08,36.12,-1.43,23.08,8.49,25.26
2,2018-19,Andrew Bogut,34,GSW,134,Garbage Time,Athletic Finisher,Helper,-0.73,-0.19,-1.27,-0.77,-0.16,-0.69,40.05,40.77,,0,23.41,36.17,15.89,19.89,39.11,39.54,38.7,48.42,,0,-0.69,0,38.09,0
3,2017-18,Andrew Bogut,33,LAL,216,Garbage Time,Athletic Finisher,Helper,-0.87,-0.05,-1.69,-0.94,-0.11,-0.55,40.71,39.51,0.51,0,12.19,56.77,6.21,9.31,46.92,48.42,55.31,35.01,25.59,0,-0.32,0,60.23,0
4,2016-17,Andrew Bogut,32,DAL/CLE,583,Key Rotation,Roll + Cut Big,Helper,-0.89,-0.42,-0.86,-0.89,-0.47,-1.51,40.59,39.65,,0.14,11.24,15.22,30.26,11.59,11.32,6.87,51.06,36.3,,41.39,-1.25,33.33,12.48,38.25
5,2019-20,Marvin Williams,33,CHO/MIL,1129,Rotation,Versatile Big,Helper,-0.26,0.24,-0.99,-0.39,0.13,0.23,38.89,42.37,0.94,0.26,64.52,81.74,24.81,57.46,77.81,82.33,24.08,64.51,40.31,50.69,0.51,32,87.86,36.73
6,2015-16,Marvin Williams,29,CHO,2338,Starter,Movement Shooter,Helper,0.06,0.62,-0.81,0.01,0.54,1.28,39.23,46.49,1.5,0.36,78.2,89.61,32.13,76.81,88.66,96.61,27.48,93.84,59.53,56.67,1.18,48.89,96.01,84.93
7,2016-17,Marvin Williams,30,CHO,2295,Starter,Movement Shooter,Helper,-0.32,0.13,-0.81,-0.27,0.18,0.34,39.06,41.09,1.16,0.32,60.61,77.81,32.13,64.68,80.06,85.43,25.77,51.9,48.21,54.29,0.19,33.93,80.82,43.31
8,2017-18,Marvin Williams,31,CHO,2006,Starter,Movement Shooter,Helper,-0.17,0.36,-0.79,0.05,0.59,1.35,38.65,44.19,0.97,0.46,69.28,85.06,32.91,77.95,89.6,97.06,22.4,81.88,41.32,61.37,0.74,52.08,91.41,92.03
9,2018-19,Marvin Williams,32,CHO,2133,Starter,Movement Shooter,Helper,-0.6,-0.22,-0.8,-0.73,-0.35,-0.82,40.78,41.18,1.07,0.31,36.98,32.27,32.51,23.66,18.47,31.59,56.43,52.87,45.17,53.74,-0.5,39.13,49.85,56.8
10,2023-24,Chris Paul,38,GSW,1531,Key Rotation,Primary Ball Handler,Chaser,0.36,0.33,0.72,0.4,0.33,0.13,40.43,50.88,2.83,2.27,85,84.35,86.96,85.92,84.19,79.59,48.03,99.28,87.82,95.99,0.19,47,80.82,81.48
