RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Transition Shot Creation,Avg Speed Offense,Avg Speed Defense,Movement Speed Rating,Offensive Transition Frequency Impact,Transition Frequency Impact,Perimeter Isolation Defense,Stable And 1s Per 75,Post Defense,Screen Assists Per 75 Possessions,Transition Shot Creation_percentile,Avg Speed Offense_percentile,Avg Speed Defense_percentile,Movement Speed Rating_percentile,Offensive Transition Frequency Impact_percentile,Transition Frequency Impact_percentile,Perimeter Isolation Defense_percentile,Stable And 1s Per 75_percentile,Post Defense_percentile,Screen Assists Per 75 Possessions_percentile,Finishing Talent,Screening Talent,Usage Rate,True Usage,Stable True Usage%,Defensive Playmaking,Finishing Talent_percentile,Screening Talent_percentile,Usage Rate_percentile,True Usage_percentile,Stable True Usage%_percentile,Defensive Playmaking_percentile
1,2015-16,Andrew Bogut,31,GSW,1451,Key Rotation,Roll + Cut Big,Anchor Big,-1.69,4.2,3.5,-0.27,0.15,0.29,-0.91,0.1,0.89,0.13,1.47,10.49,2.88,14.4,69.63,78.89,22.67,15.2,90.25,39.74,0.13,1.76,11.4,23.92,24.19,3.42,77.47,97.49,6.84,41.95,29.82,75.44
2,2018-19,Andrew Bogut,34,GSW,134,Garbage Time,Athletic Finisher,Helper,-0.56,4.33,3.61,-0.23,-0.2,-0.14,0.17,0.33,1.34,6.16,50.25,19.35,6.06,17.92,29.98,31.77,73.14,60.87,94.36,97.82,-0.5,0.56,14.5,24.04,24.89,3.35,45.43,82.44,23.92,42.47,33.46,72.86
3,2017-18,Andrew Bogut,33,LAL,216,Garbage Time,Athletic Finisher,Helper,-0.69,4.13,3.76,-0.43,-0.25,-0.46,0.42,0.21,1.08,5.24,43.79,7.12,16.81,5.67,25.94,15.5,79.61,29.21,92.35,95.44,-0.41,1.81,8.8,17.54,18.56,3.42,51.96,97.8,1.78,19.67,5.67,75.44
4,2016-17,Andrew Bogut,32,DAL/CLE,583,Key Rotation,Roll + Cut Big,Helper,,3.92,3.75,-0.55,-0.55,-0.44,-0.61,0.17,0.85,5.3,,2.01,15.88,2.59,9.28,16.28,38.32,22.04,89.62,95.65,-0.88,1.2,10.4,22.29,22.87,3.75,16.96,93.56,4.05,35.1,22.7,83.72
5,2019-20,Marvin Williams,33,CHO/MIL,1129,Rotation,Versatile Big,Helper,-1.37,4.27,3.88,-0.04,-0.52,-0.57,-1.39,0.23,-0.09,1.23,8.69,14.66,33.94,41.59,10.28,11.77,6.49,33.81,65.5,77.77,-0.32,-0.29,12.5,18.48,18.51,3.38,57.6,43.82,11.21,21.81,5.59,73.93
6,2015-16,Marvin Williams,29,CHO,2338,Starter,Movement Shooter,Helper,-0.71,4.63,3.83,-0.01,-0.58,-0.03,-0.01,0.2,-0.57,0,42.85,58.01,25.62,46.28,8.35,40.97,67.68,27.26,36.2,0,-0.49,1.67,16.8,24.17,24.48,2.29,45.99,97.22,41.93,43.14,31.28,30.28
7,2016-17,Marvin Williams,30,CHO,2295,Starter,Movement Shooter,Helper,-1.01,4.8,3.86,0.16,-0.34,0.09,-0.43,0.29,-0.39,2.21,26.6,79.4,30.57,71.7,20.04,67.09,48.65,49.24,48.19,83.05,-0.7,-0.12,16.3,24.11,24.28,3.03,30.84,53.43,37.51,42.85,30.37,58.7
8,2017-18,Marvin Williams,31,CHO,2006,Starter,Movement Shooter,Helper,-1.08,4.77,3.93,0.13,-0.02,0.02,1.49,0.28,0.25,1.77,22.77,76.44,43.39,67.93,49.57,60.95,94.7,46.45,77.71,80.84,-1.29,-0.27,14.8,21.66,21.89,3.09,4.62,44.92,25.96,32.41,17.42,61.72
9,2018-19,Marvin Williams,32,CHO,2133,Starter,Movement Shooter,Helper,-1.22,4.28,3.83,-0.36,-0.26,-0.1,-0.05,0.09,-0.39,2.31,15.16,15.29,25.62,8.97,25.14,34.77,66.2,14.63,48.19,83.43,-0.99,1.01,14.9,20.62,20.8,3.52,11.44,91.22,26.84,28,12.64,78.26
10,2023-24,Chris Paul,38,GSW,1531,Key Rotation,Primary Ball Handler,Chaser,0,4.2,3.35,-0.47,-0.8,-0.49,-0.83,0.14,0.11,0.89,71.68,10.49,1.04,4.27,3.34,14.4,26.64,17.92,73.1,73.96,-0.93,0.67,15.6,43.49,43.69,3.47,14.13,84.95,31.77,91.4,91.69,76.89
