RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,On-Ball Action Share,P&R Creation Rate,Overall Shot Creation,Guarded On-Ball %,Average Dribbles Per Touch,Dribbles Per Second on Offense,Pull-Up Shot Creation,Isolation Shooting Talent,PnR Ball Handler Shot Making Efficiency,One on One Shooting Talent,On-Ball Action Share_percentile,P&R Creation Rate_percentile,Overall Shot Creation_percentile,Guarded On-Ball %_percentile,Average Dribbles Per Touch_percentile,Dribbles Per Second on Offense_percentile,Pull-Up Shot Creation_percentile,Isolation Shooting Talent_percentile,PnR Ball Handler Shot Making Efficiency_percentile,One on One Shooting Talent_percentile,Self-Created Shot Making,Midrange Pull Up Shot Creation,On-Ball Gravity,Stable Isolation PPP,Self-Created Shot Making Efficiency,Guarded by Perimeter Isolation Defense,Self-Created Openness Rating,Overall Shot Making Efficiency,Transition Shot Creation,Transition Frequency Impact,Self-Created Shot Making_percentile,Midrange Pull Up Shot Creation_percentile,On-Ball Gravity_percentile,Stable Isolation PPP_percentile,Self-Created Shot Making Efficiency_percentile,Guarded by Perimeter Isolation Defense_percentile,Self-Created Openness Rating_percentile,Overall Shot Making Efficiency_percentile,Transition Shot Creation_percentile,Transition Frequency Impact_percentile,Offensive Transition Frequency Impact,Movement Speed Rating,Passing Efficiency,Passing Creation Quality,Potential Assists Per 100 Passes,Role-Adjusted Potential Assists Per 100 Passes,Turnovers Per 100 Touches,Offensive eFG% Impact on Teammates,Offense Impact on Teammate Shot Quality,Stable Bad Pass Turnovers Per 75,Offensive Transition Frequency Impact_percentile,Movement Speed Rating_percentile,Passing Efficiency_percentile,Passing Creation Quality_percentile,Potential Assists Per 100 Passes_percentile,Role-Adjusted Potential Assists Per 100 Passes_percentile,Turnovers Per 100 Touches_percentile,Offensive eFG% Impact on Teammates_percentile,Offense Impact on Teammate Shot Quality_percentile,Stable Bad Pass Turnovers Per 75_percentile,High Value Assists Per 75 Possessions,Stable At Rim Assists Per 75,Passing Versatility,Passing Creation Volume,Box Creation,Assists Per 75 Possessions,Stable Assists Per 75,High Value Assists Per 75 Possessions_percentile,Stable At Rim Assists Per 75_percentile,Passing Versatility_percentile,Passing Creation Volume_percentile,Box Creation_percentile,Assists Per 75 Possessions_percentile,Stable Assists Per 75_percentile
1,2015-16,Andrew Bogut,31,GSW,1451,Key Rotation,Roll + Cut Big,Anchor Big,5.64,-0.9,-0.99,10.55,0.46,0.03,-2.06,-0.61,-0.48,-0.47,34.8,30.23,25.65,6.04,13.55,28.85,3.72,28.64,52.1,46.53,-0.37,-2.14,-0.52,0.85,-0.96,-0.74,-0.45,-0.25,-1.69,0.29,17.61,3.16,3.93,16.27,22.97,6.82,4.17,61.14,1.47,78.89,0.15,-0.28,-1.02,0.58,14.29,5.32,3.24,-0.5,-0.79,1.01,69.63,13.9,15.03,88.32,56.33,90.64,40.95,27.26,11.99,13.41,3.43,1.46,-0.36,-0.12,1.35,4.09,4.08,73.88,71.4,37.48,71.7,42.79,75.13,71.37
2,2018-19,Andrew Bogut,34,GSW,134,Garbage Time,Athletic Finisher,Helper,5.14,-0.97,-0.6,13.77,0.59,0.04,-1.48,-0.47,,-0.53,31.89,10.58,45.13,27.96,22.17,39.22,15.25,49.32,,36.83,-0.16,-1.51,-0.04,0.85,-0.7,-0.01,-0.26,-0.78,-0.56,-0.14,38.4,13.31,65.05,16.27,37.37,66.03,18.49,30.93,50.25,31.77,-0.2,-0.23,0.51,0.16,9.74,-2.5,3.33,0.17,-0.55,0.65,29.98,17.97,78.47,76.71,29.82,29.99,38.03,60.45,18.68,43.88,2.95,1.58,-0.33,-0.85,0,2.95,3.07,67.27,75.37,38.31,37.81,1.45,60.68,53.55
3,2017-18,Andrew Bogut,33,LAL,216,Garbage Time,Athletic Finisher,Helper,1.18,-0.97,-0.71,14.02,0.53,0.03,-1.95,-1.07,,-0.61,5.83,10.58,40.05,30.48,18.46,28.85,5.06,0.93,,25.14,0,-2,-0.19,0.85,-0.17,-0.26,-0.3,-0.1,-0.69,-0.46,66.49,4.77,45.99,16.27,68.76,35.19,14.52,67.98,43.79,15.5,-0.25,-0.43,-0.38,-0.32,10,-0.71,5.25,-1.18,-0.55,0.71,25.94,5.73,36.64,34.66,31.31,45.6,6.74,9.72,18.68,36.25,2.03,1.24,-0.58,-1.01,0,2.53,2.65,49.4,61.91,30.05,26.22,1.45,53.03,43.36
4,2016-17,Andrew Bogut,32,DAL/CLE,583,Key Rotation,Roll + Cut Big,Helper,2.71,-0.89,-0.36,10.41,0.47,0.02,-1.02,-0.68,,-0.43,17.25,31.5,55.55,5.3,14.25,18.39,33.91,18.94,,52.03,-0.42,-1.01,-0.44,0.85,-1.34,-0.72,-0.4,-1.21,,-0.44,14.58,31.26,13.35,16.27,9.73,7.46,6.87,13.54,,16.28,-0.55,-0.56,-1.41,0.52,13.73,4.16,4.42,-1.63,-0.73,1.08,9.28,2.46,7.34,87.15,53.52,86.54,13.96,3.91,13.23,10.89,2.86,1.55,-1.15,-0.05,0,3.33,3.34,65.87,74.59,14.84,73.6,1.45,66.28,59.13
5,2019-20,Marvin Williams,33,CHO/MIL,1129,Rotation,Versatile Big,Helper,2.85,-0.99,-1.36,13.71,0.43,0.02,-1.4,-0.46,-0.34,0.01,18.26,2.95,8.69,27.29,11.11,18.39,17.79,50.54,64.95,80.15,0.15,-1.31,-0.32,0.85,0.44,-0.29,-0.29,0.29,-1.37,-0.57,79.24,19.41,29.91,16.27,86.47,31.45,15.58,80.06,8.69,11.77,-0.52,-0.04,-1.25,-0.05,9.21,-2.8,2.43,0.2,-0.36,0.46,10.28,41.71,10.53,62.42,26.78,27.3,65.87,61.81,26.32,67.98,1.78,0.75,-0.98,-0.89,0.91,1.94,1.98,42.17,34.11,18.67,34.77,35.46,38.29,22.45
6,2015-16,Marvin Williams,29,CHO,2338,Starter,Movement Shooter,Helper,2.41,-0.89,-1.15,12.24,0.36,0.02,-0.92,-0.54,-0.28,-0.24,15.07,31.5,17.86,13.88,6.15,18.39,38.06,39.13,69,69.35,0.28,-0.83,-0.38,0.85,0.62,-0.22,-0.36,1.17,-0.71,-0.03,83.68,39.23,21.72,16.27,90.02,40.62,9.48,94.76,42.85,40.97,-0.58,-0.01,-0.14,-1.1,6.27,-5.98,1.35,-0.01,0.13,0.35,8.35,46.32,48.33,7.69,13.56,9.69,80.46,50.62,63.54,78.87,1.58,0.51,-1.12,-0.62,1.66,1.79,1.81,36.28,20.59,15.5,52.74,48.1,33.87,16.05
7,2016-17,Marvin Williams,30,CHO,2295,Starter,Movement Shooter,Helper,2.26,-0.86,-1.18,12.66,0.28,0.02,-1.07,-0.33,-0.95,-0.63,14.17,36.76,16.52,16.79,2.31,18.39,31.65,64.52,15.43,22.7,0.07,-0.99,-0.47,0.85,0.29,-0.24,-0.28,-0.36,-1.01,0.09,75.02,32.24,9.51,16.27,83.41,37.92,16.61,55.32,26.6,67.09,-0.34,0.16,0.26,-2.06,6.26,-5.67,1.29,-1.15,-0.69,0.33,20.04,71.67,68.88,0.74,13.52,10.77,80.77,10.07,14.38,80.26,1.58,0.67,-1.03,-0.54,1.34,1.76,1.78,36.28,29.11,17.28,56.87,42.57,33.07,15.07
8,2017-18,Marvin Williams,31,CHO,2006,Starter,Movement Shooter,Helper,1.91,-0.94,-1.29,14.64,0.3,0.02,-1.18,-0.44,0.12,-0.05,11.6,21.78,11.42,36.2,2.96,18.39,26.56,53.4,85.05,78.27,0.02,-1.03,-0.36,0.85,0.12,0.12,-0.27,0.9,-1.08,0.02,70.02,30.54,24.34,16.27,79.39,76.61,17.56,91.78,22.77,60.95,-0.02,0.13,-0.89,-1.55,6.82,-4.12,1.88,-0.74,-0.26,0.51,49.57,67.95,18.64,3.17,15.43,17.86,76.33,19.03,31.49,61.66,1.3,0.72,-1.38,-0.75,1.31,1.76,1.78,28.72,32.34,10.86,44.4,42.08,33.07,15.07
9,2018-19,Marvin Williams,32,CHO,2133,Starter,Movement Shooter,Helper,1.81,-0.97,-1.27,15.16,0.47,0.02,-1.08,-0.38,-0.59,-0.22,10.68,10.58,12.3,40.63,14.25,18.39,31.12,59.87,41.53,70.45,-0.51,-1,-0.47,0.85,-1.34,-0.04,-0.28,-0.3,-1.22,-0.1,9.79,31.7,9.51,16.27,9.73,62.95,16.61,58.74,15.16,34.77,-0.26,-0.36,-0.64,-0.27,7.43,-4.61,1.69,-0.09,0.01,0.24,25.14,9.07,26.71,38.01,17.93,15.47,78.39,45.56,53.08,84.73,1.31,0.63,-1.77,-0.9,0.98,1.59,1.61,28.92,26.48,5.34,34.02,36.51,28.79,10.61
10,2023-24,Chris Paul,38,GSW,1531,Key Rotation,Primary Ball Handler,Chaser,51.26,2.62,0.58,20.44,4.05,0.34,0.68,0.04,-0.07,0.18,94.78,98.87,83.24,76.68,87.01,93.03,88.72,82.5,79.09,84.58,0.1,0.65,1.08,0.96,-0.11,-0.01,0.54,0.3,0,-0.49,76.84,88.35,93.6,95.31,71.45,66.03,99.17,80.35,71.68,14.4,-0.8,-0.47,2.39,-1.8,27.56,7.94,2.27,1.02,0.98,0.86,3.34,4.32,99.55,1.66,98.06,95.53,69.66,86.56,90.88,22.27,7.68,2.96,0.43,2.54,7.54,9.49,9.39,97.92,95.52,71.12,98.93,92.99,98.94,99.04
11,2017-18,Chris Paul,32,HOU,1847,Star,Shot Creator,Point of Attack,58.23,2.76,1.99,21.7,5.1,0.38,1.92,4.6,1.89,4.31,97.56,99.09,99.01,82.19,96.85,96.21,99.55,99.7,99.3,99.7,2.36,1.23,1.6,1.06,1.49,0.39,0.5,1.28,0.89,0.55,98.41,96.96,95.97,99.38,97.83,89.89,98.81,95.61,91.42,87.46,0.22,-0.25,2.63,0.35,30.59,11.6,3.09,2.96,1.82,1.07,74.64,16.2,99.72,82.76,99.07,98.26,46.2,99.7,97.54,11.25,9.17,3.25,0.02,2.95,12.37,9.29,9.21,99.26,96.92,52.84,99.44,98.67,98.64,98.81
12,2018-19,Chris Paul,33,HOU,1857,Star,Shot Creator,Chaser,56.92,2.77,1.73,20.05,5.23,0.38,1.59,0.78,-0.82,0.98,97.16,99.1,97.62,74.92,97.62,96.21,98.89,93.16,21.91,93.69,0.37,0.94,2.34,0.91,0.06,0.24,0.47,0.31,0.51,-0.3,86.25,93.34,97.94,89.93,77.21,83.49,98.59,80.61,85.04,22.62,0.06,-0.32,-0.04,1.13,30.76,11.03,3.73,1.28,1.74,1.62,61.69,11.19,53.41,94.81,99.1,98.02,27.14,91.35,97.09,1.69,8.93,3.78,0.68,2.98,10.25,9.37,9.28,99.13,98.55,80.02,99.48,97.19,98.71,98.87
13,2015-16,Chris Paul,30,LAC,2420,Star,Shot Creator,Point of Attack,73.51,3.18,2.25,32.25,5.49,0.48,2.07,0.73,0.79,0.28,99.71,99.53,99.51,98.94,98.71,99.6,99.77,92.79,94.26,86.65,1.52,1.86,2.46,0.9,0.65,0.89,0.59,0.95,1.25,1.27,96.19,99.63,98.16,88.3,90.52,98.97,99.45,92.5,95.28,97.56,0.53,-0.19,1.99,0.67,30.81,11.48,3.03,2.81,2.64,1.4,88.91,22.06,98.55,89.73,99.12,98.18,48.17,99.53,99.31,3.98,9.67,4.47,0.35,3.51,15.03,11.38,11.29,99.57,99.46,68.47,99.83,99.44,99.86,99.93
14,2016-17,Chris Paul,31,LAC,1921,Star,Shot Creator,Point of Attack,66.72,3.26,1.77,28.4,4.92,0.44,1.7,1.72,1.03,2.15,99.17,99.61,97.98,96.34,95.75,98.63,99.15,97,96.23,97.78,2.34,1.34,2.1,1.04,1.57,0.78,0.63,1.52,0.93,0.4,98.38,97.71,97.41,99.02,98.21,98.23,99.66,97.07,91.86,82.76,-0.05,-0.16,3.63,0.45,26.69,7.17,2.8,1.43,2.02,1.15,45.69,25.62,99.98,85.7,97.73,94.46,55.5,93.38,98.28,8.99,9.29,4.66,1.27,3.14,15.18,11.02,10.91,99.36,99.61,93.48,99.61,99.48,99.73,99.78
15,2025-26,Chris Paul,40,LAC,228,Rotation,Primary Ball Handler,Chaser,45.73,2.45,0.34,20.56,4.26,0.34,-0.13,-0.52,-1.11,-0.41,91.3,98.58,78.1,77.17,89.47,93.03,67.74,42.42,10.03,54.42,-0.38,-0.23,1.74,0.85,-1.37,0.02,0.51,-1.07,-1.19,-0.58,16.95,62.38,96.5,16.27,9.17,68.84,98.9,18.24,16.56,11.45,-0.38,-0.6,-1.26,-0.64,26.08,7.36,3.14,-0.44,-0.25,1.41,17.57,1.89,10.38,19.41,97.15,94.69,44.53,29.49,32.03,3.82,6.79,1.74,1.74,1.18,4.69,8.77,8.26,95.98,79.64,98.24,92.03,82.31,98.11,97.65
16,2019-20,Chris Paul,34,OKC,2208,Star,Shot Creator,Low Activity,53.6,2.51,1.68,17.4,4.52,0.34,1.57,1.69,2.42,1.91,96.01,98.7,97.24,58.43,92.62,93.03,98.78,96.92,99.82,97.19,2.74,1.53,1.76,0.96,2.12,0.42,0.41,1.97,0.64,0.38,98.93,98.67,96.55,95.31,99.43,90.95,97.36,98.88,87.25,82.21,-0.14,-0.29,1.36,0.61,24.11,3.45,3.22,1.67,2.17,1.21,34.99,13.2,95.24,88.82,94.69,83.3,41.74,95.67,98.62,7.48,7.15,3.3,1.15,2.04,9.7,7.83,7.78,96.93,97.09,91.43,97.73,96.6,96.43,96.51
17,2020-21,Chris Paul,35,PHO,2199,Star,Shot Creator,Chaser,62.99,2.91,1.75,18.42,4.84,0.41,1.62,1.03,1.57,1.11,98.6,99.29,97.86,65.77,95.4,97.61,98.96,94.77,98.51,94.57,2.2,1.61,2.13,1.01,1.67,0.44,0.45,1.61,0.7,0.46,98.1,99.02,97.48,98.06,98.6,91.46,98.26,97.62,88.51,84.74,0.16,-0.27,2.15,-0.64,29.47,8.23,2.88,1.43,1.89,1.4,70.37,14.54,99.02,19.41,98.77,95.75,52.99,93.38,97.9,3.98,8.75,3.66,1.52,3.33,12.79,10.53,10.44,99.02,98.26,96.71,99.73,98.8,99.51,99.61
18,2021-22,Chris Paul,36,PHO,2139,Star,Primary Ball Handler,Low Activity,63.67,4.26,1.56,16.69,5.21,0.41,1.34,-0.13,1.73,0.84,98.72,99.97,96.51,53.4,97.49,97.61,97.27,76.69,98.86,92.82,2.18,1.39,3.27,0.8,1.71,0.33,0.43,1.51,0.27,0.33,98.04,98.04,98.95,7.69,98.71,87.24,97.71,96.99,79.27,80.39,-0.09,-0.56,2.89,-0.15,34.39,14.43,3.19,1.14,1.89,1.44,40.36,2.46,99.86,49.24,99.62,99.19,42.7,88.96,97.9,3.41,9.17,4.36,2.25,3.7,10.81,12,11.9,99.26,99.39,99.71,99.9,97.79,99.93,100
