RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Offensive Rebounding Talent,Offensive Rebounding Chances Per 75 Possessions,Offensive Rebounding Crashing Skill,Offensive Rebounds Per Game,Stable Offensive Rebounds Per 75,Offensive Rebounding Conversion Skill,Adjusted Offensive Rebounding Success Rate,Percentage of Offensive Rebounds Contested,Defensive Rebounding Talent,Defensive Reb Per 75 Possessions,Offensive Rebounding Talent_percentile,Offensive Rebounding Chances Per 75 Possessions_percentile,Offensive Rebounding Crashing Skill_percentile,Offensive Rebounds Per Game_percentile,Stable Offensive Rebounds Per 75_percentile,Offensive Rebounding Conversion Skill_percentile,Adjusted Offensive Rebounding Success Rate_percentile,Percentage of Offensive Rebounds Contested_percentile,Defensive Rebounding Talent_percentile,Defensive Reb Per 75 Possessions_percentile,Defensive Rebounding Conversion Skill,Defensive Rebounding Crashing Skill,Defensive Rebounds Per Game,Stable Defensive Rebounds Per 75,Percentage of Defensive Rebounds Contested,Adjusted Defensive Rebounding Success Rate,Defensive Rebounding Conversion Skill_percentile,Defensive Rebounding Crashing Skill_percentile,Defensive Rebounds Per Game_percentile,Stable Defensive Rebounds Per 75_percentile,Percentage of Defensive Rebounds Contested_percentile,Adjusted Defensive Rebounding Success Rate_percentile
1,2015-16,Andrew Bogut,31,GSW,1451,Key Rotation,Roll + Cut Big,Anchor Big,1.07,5.1,1.69,1.73,3.01,1.83,60.8,75.21,0.56,9.35,89.39,77.35,93.52,89.76,86.09,96.85,93.16,94.26,82.75,96.24,-0.22,-1.8,5.3,9.2,36.66,63.31,46.49,5.7,92.57,96.87,94.5,41.79
2,2018-19,Andrew Bogut,34,GSW,134,Garbage Time,Athletic Finisher,Helper,-1.22,5.36,0.32,1.09,2.77,-0.73,60,50,-0.79,11.52,18.33,78.67,64.67,77.47,82.58,16.73,92.42,58.42,37.25,99.28,-0.12,-1.34,3.91,9.75,16.28,82.69,52.24,10.52,82.75,97.94,42.59,92.23
3,2017-18,Andrew Bogut,33,LAL,216,Garbage Time,Athletic Finisher,Helper,-0.42,8.78,0.59,1.08,3.85,0.6,52,73.08,-1.05,8.71,50.91,92.81,74.2,77.22,93.57,80.84,85.28,92.36,26.87,94.49,0.3,-1.96,2.17,8.02,30.77,69.33,74.56,4.61,53.02,92.76,85.71,68.21
4,2016-17,Andrew Bogut,32,DAL/CLE,583,Key Rotation,Roll + Cut Big,Helper,0.47,7.55,-0.48,2.07,3.62,0.38,51.85,67.86,1.36,10.97,79.69,88.37,26.92,93.26,91.71,74,85,86.75,93.78,99.05,-0.32,-1.36,6,10.45,30.86,70.43,41.04,10.3,95,99.04,86.06,72.73
5,2019-20,Marvin Williams,33,CHO/MIL,1129,Rotation,Versatile Big,Helper,-0.18,2.23,-0.35,0.52,0.99,-0.64,46.15,56.67,-0.2,4.91,60.47,41.13,32.85,50.28,34.12,19.66,70.57,70.09,59.77,62.88,0.05,-0.53,2.64,4.92,20.26,69.23,63.62,24.25,63.18,55.38,56.83,67.46
6,2015-16,Marvin Williams,29,CHO,2338,Starter,Movement Shooter,Helper,1.15,4,1.15,1.57,2.05,1.86,52.48,61.42,0.52,6.45,90.2,68.53,86.56,87.52,71.63,96.97,86.06,77.08,81.84,80.62,0.28,-0.02,4.86,6.42,24.11,63.96,73.85,43.25,90.21,79.79,69.24,44.48
7,2016-17,Marvin Williams,30,CHO,2295,Starter,Movement Shooter,Helper,0.12,3.65,-0.07,1.17,1.48,0.04,41.98,58.43,0.93,6.8,70.27,64.38,45.91,79.74,56.5,58.69,57.57,72.52,89.37,83.62,0.76,-0.22,5.41,6.76,22.14,67.49,86.82,34.11,93.07,83.63,62.94,60.48
8,2017-18,Marvin Williams,31,CHO,2006,Starter,Movement Shooter,Helper,0.36,3.35,0.33,0.95,1.36,0.07,43.02,67.57,-0.08,5.41,77.01,60.56,65.08,72.21,51.44,60.5,61.23,86.32,64.37,69.39,0.81,-0.36,3.79,5.41,18.24,64.91,87.7,28.88,81.48,65.39,49.98,48.52
9,2018-19,Marvin Williams,32,CHO,2133,Starter,Movement Shooter,Helper,0.37,3.25,0.25,1.01,1.32,0.4,42.46,59.21,0.14,5.75,77.27,59.06,62.13,75.13,49.92,74.57,59.07,73.74,72.61,73.3,0.48,-0.37,4.41,5.74,24.77,65.67,79.8,28.7,87.39,70.7,71.19,52.12
10,2023-24,Chris Paul,38,GSW,1531,Key Rotation,Primary Ball Handler,Chaser,-0.59,1.35,-0.54,0.31,0.47,-0.6,33.96,0,0.35,5.04,43.14,24.58,23.97,33.75,4.69,21.46,36.47,0,78.12,64.66,0.47,0.31,3.57,5.04,19.81,64.49,79.38,61.21,78.96,57.9,54.9,46.75
