RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Putback Scoring Impact Per 75 Possessions,Stable Putback Points Per 75,Offensive Rebounding Crashing Skill,Putback Scoring Impact Per 75 Possessions_percentile,Stable Putback Points Per 75_percentile,Offensive Rebounding Crashing Skill_percentile
1,2015-16,Andrew Bogut,31,GSW,1451,Key Rotation,Roll + Cut Big,Anchor Big,-0.1,1.79,1.69,11.89,89.66,93.52
2,2018-19,Andrew Bogut,34,GSW,134,Garbage Time,Athletic Finisher,Helper,-1.07,1.65,0.32,0.2,88.24,64.67
3,2017-18,Andrew Bogut,33,LAL,216,Garbage Time,Athletic Finisher,Helper,0,0.25,0.59,21.65,43.99,74.2
4,2016-17,Andrew Bogut,32,DAL/CLE,583,Key Rotation,Roll + Cut Big,Helper,-0.52,1.53,-0.48,1.19,87.26,26.92
5,2019-20,Marvin Williams,33,CHO/MIL,1129,Rotation,Versatile Big,Helper,0,0.06,-0.35,21.65,26.78,32.85
6,2015-16,Marvin Williams,29,CHO,2338,Starter,Movement Shooter,Helper,0.01,1.36,1.15,81.11,85.45,86.56
7,2016-17,Marvin Williams,30,CHO,2295,Starter,Movement Shooter,Helper,-0.07,0.82,-0.07,14.77,76.3,45.91
8,2017-18,Marvin Williams,31,CHO,2006,Starter,Movement Shooter,Helper,-0.18,0.72,0.33,7.06,71.95,65.08
9,2018-19,Marvin Williams,32,CHO,2133,Starter,Movement Shooter,Helper,-0.19,0.63,0.25,6.64,67.55,62.13
10,2023-24,Chris Paul,38,GSW,1531,Key Rotation,Primary Ball Handler,Chaser,0,0.05,-0.54,21.65,24.82,23.97
11,2017-18,Chris Paul,32,HOU,1847,Star,Shot Creator,Point of Attack,0,0.04,-0.84,21.65,22.88,12.66
12,2018-19,Chris Paul,33,HOU,1857,Star,Shot Creator,Chaser,0.12,0.4,-0.88,90.35,54.46,11.53
13,2015-16,Chris Paul,30,LAC,2420,Star,Shot Creator,Point of Attack,0.11,0.36,-1.21,89.79,51.84,4.97
14,2016-17,Chris Paul,31,LAC,1921,Star,Shot Creator,Point of Attack,0,0.04,-0.56,21.65,22.88,23.05
15,2025-26,Chris Paul,40,LAC,228,Rotation,Primary Ball Handler,Chaser,0,0,-0.76,21.65,0,15.16
16,2019-20,Chris Paul,34,OKC,2208,Star,Shot Creator,Low Activity,-0.03,0.19,-0.63,18.71,39.67,19.7
17,2020-21,Chris Paul,35,PHO,2199,Star,Shot Creator,Chaser,0,0.03,-0.76,21.65,22.11,15.16
18,2021-22,Chris Paul,36,PHO,2139,Star,Primary Ball Handler,Low Activity,0,0.04,-0.69,21.65,22.88,17.49
19,2022-23,Chris Paul,37,PHO,1889,Star,Primary Ball Handler,Low Activity,0.07,0.36,-0.27,87.07,51.84,36.57
20,2024-25,Chris Paul,39,SAS,2292,Starter,Primary Ball Handler,Low Activity,0,0.03,-0.57,21.65,22.11,22.68
21,2016-17,Raymond Felton,32,LAC,1700,Key Rotation,Primary Ball Handler,Point of Attack,0,0.05,-0.58,21.65,24.82,22.22
22,2017-18,Raymond Felton,33,OKC,1365,Rotation,Primary Ball Handler,Point of Attack,0,0.05,-0.79,21.65,24.82,14.29
23,2018-19,Raymond Felton,34,OKC,379,Rotation,Secondary Ball Handler,Point of Attack,0,0.17,-0.65,21.65,38.05,18.92
24,2015-16,Raymond Felton,31,DAL,2192,Starter,Primary Ball Handler,Chaser,0,0.04,-1.16,21.65,22.88,5.58
25,2015-16,Charlie Villanueva,31,DAL,665,Rotation,Off Screen Shooter,Helper,-0.02,1.04,0.73,19.52,81.52,78.05
26,2017-18,Channing Frye,34,CLE/LAL,695,Rotation,Stationary Shooter,Helper,0,0.1,0.05,21.65,32.41,53.18
27,2015-16,Channing Frye,32,ORL/CLE,1199,Rotation,Stationary Shooter,Mobile Big,-0.09,0.37,0.02,13.12,52.6,51.28
28,2016-17,Channing Frye,33,CLE,1398,Rotation,Stationary Shooter,Anchor Big,-0.35,0.31,0,2.88,48.26,50.01
29,2018-19,Channing Frye,35,CLE,341,Garbage Time,Versatile Big,Anchor Big,0,0.19,-0.44,21.65,39.67,28.68
30,2016-17,Deron Williams,32,DAL/CLE,1657,Starter,Shot Creator,Point of Attack,0,0.05,-1.04,21.65,24.82,7.88
31,2015-16,Deron Williams,31,DAL,2106,Starter,Shot Creator,Point of Attack,0,0.04,-1.24,21.65,22.88,4.56
32,2017-18,Gerald Green,32,HOU,929,Key Rotation,Off Screen Shooter,Low Activity,0,0.07,-0.23,21.65,28.47,38.23
33,2018-19,Gerald Green,33,HOU,1473,Rotation,Movement Shooter,Low Activity,0,0.38,-0.03,21.65,53.32,48.35
34,2015-16,Gerald Green,30,MIA,1557,Key Rotation,Movement Shooter,Chaser,-0.01,0.52,-0.52,20.64,62.08,24.87
35,2016-17,Gerald Green,31,BOS,538,Garbage Time,Off Screen Shooter,Chaser,0.13,1.03,-0.71,90.92,81.32,16.71
36,2015-16,Nate Robinson,31,NOP,23,Too Few Games,Low Minute,Point of Attack,0,0.73,-0.09,21.65,72.38,45.04
37,2016-17,Jarrett Jack,33,NOP,33,Too Few Games,Low Minute,Point of Attack,0,0.66,-0.17,21.65,69.17,40.96
38,2017-18,Jarrett Jack,34,NYK,1548,Starter,Primary Ball Handler,Point of Attack,0,0.05,-0.83,21.65,24.82,13.1
39,2015-16,Jarrett Jack,32,BRK,1027,Starter,Primary Ball Handler,Point of Attack,0,0.07,-0.8,21.65,28.47,13.99
40,2015-16,Ian Mahinmi,29,IND,1816,Starter,Roll + Cut Big,Anchor Big,0.16,1.43,0.57,92.45,86.22,73.61
41,2016-17,Ian Mahinmi,30,WAS,555,Rotation,Post Scorer,Mobile Big,-0.03,1.81,1.07,18.71,89.85,85.25
42,2017-18,Ian Mahinmi,31,WAS,1145,Rotation,Roll + Cut Big,Mobile Big,0.29,3.34,2.12,96.15,98.19,96.25
43,2018-19,Ian Mahinmi,32,WAS,498,Rotation,Roll + Cut Big,Anchor Big,-0.52,2.01,0.8,1.19,91.5,79.79
44,2019-20,Ian Mahinmi,33,WAS,808,Rotation,Roll + Cut Big,Anchor Big,0.25,2.65,0.28,95.42,95.56,63.23
45,2016-17,David Lee,33,SAS,1477,Rotation,Post Scorer,Helper,0.13,2.5,0.69,90.92,94.75,77.18
46,2015-16,David Lee,32,BOS/DAL,903,Rotation,Post Scorer,Helper,-0.1,2.44,0.14,11.89,94.48,57.26
47,2016-17,Brandon Bass,31,LAC,577,Garbage Time,Post Scorer,Helper,-0.12,1.94,0.79,10.34,91.01,79.47
48,2015-16,Brandon Bass,30,LAL,1342,Key Rotation,Roll + Cut Big,Helper,-0.19,1.37,0.08,6.64,85.57,54.62
49,2015-16,CJ Miles,28,IND,1464,Starter,Off Screen Shooter,Low Activity,-0.01,0.5,-0.08,20.64,60.85,45.45
50,2016-17,CJ Miles,29,IND,1776,Key Rotation,Off Screen Shooter,Low Activity,0.24,0.69,0.19,95.2,70.53,59.71
51,2018-19,CJ Miles,31,TOR/MEM,856,Rotation,Off Screen Shooter,Low Activity,0,0.08,0.38,21.65,29.99,67.16
52,2021-22,CJ Miles,34,BOS,2,Too Few Games,Low Minute,Helper,0,0.87,0.02,21.65,78.05,51.28
53,2017-18,CJ Miles,30,TOR,1336,Rotation,Off Screen Shooter,Low Activity,0.05,0.39,0.02,85.31,53.85,51.28
54,2019-20,CJ Miles,32,WAS,161,Garbage Time,Off Screen Shooter,Helper,0,0.29,-0.44,21.65,46.78,28.68
55,2016-17,Ersan Ilyasova,29,OKC/PHI/ATL,2142,Starter,Stretch Big,Helper,-0.37,1.4,0.56,2.63,85.91,73.37
56,2018-19,Ersan Ilyasova,31,MIL,1231,Rotation,Stretch Big,Helper,-0.19,1.75,2,6.64,89.23,95.61
57,2019-20,Ersan Ilyasova,32,MIL,986,Rotation,Stretch Big,Helper,-0.28,1.26,1.62,4.06,84.44,92.81
58,2015-16,Ersan Ilyasova,28,DET/ORL,1880,Key Rotation,Stretch Big,Helper,-0.33,2.15,0.94,3.28,92.49,82.74
59,2017-18,Ersan Ilyasova,30,ATL/PHI,1730,Starter,Stretch Big,Helper,-0.1,1.85,0.58,11.89,90.34,73.94
60,2020-21,Ersan Ilyasova,33,UTA,148,Garbage Time,Movement Shooter,Helper,0,0.32,2.05,21.65,49.01,95.83
61,2015-16,Monta Ellis,30,IND,2734,Starter,Primary Ball Handler,Chaser,0.04,0.32,-0.65,84.27,49.01,18.92
62,2016-17,Monta Ellis,31,IND,1998,Starter,Secondary Ball Handler,Chaser,0,0.04,-1.01,21.65,22.88,8.46
63,2020-21,Lou Williams,34,LAC/ATL,1423,Key Rotation,Slasher,Low Activity,0,0.05,-0.83,21.65,24.82,13.1
64,2021-22,Lou Williams,35,ATL,799,Rotation,Secondary Ball Handler,Low Activity,0,0.09,-0.1,21.65,31.16,44.4
65,2016-17,Lou Williams,30,LAL/HOU,1993,Key Rotation,Primary Ball Handler,Low Activity,0,0.04,-0.75,21.65,22.88,15.6
66,2017-18,Lou Williams,31,LAC,2589,Starter,Primary Ball Handler,Low Activity,0.01,0.44,-0.73,81.11,57.35,16.16
67,2018-19,Lou Williams,32,LAC,1993,Key Rotation,Slasher,Low Activity,-0.17,0.27,-1.31,7.48,45.34,3.75
68,2019-20,Lou Williams,33,LAC,1864,Starter,Primary Ball Handler,Low Activity,0.01,0.31,-1.1,81.11,48.26,6.65
69,2015-16,Lou Williams,29,LAL,1907,Starter,Secondary Ball Handler,Chaser,0.1,0.43,-0.84,89.27,56.62,12.66
70,2015-16,Amir Johnson,28,BOS,1800,Key Rotation,Roll + Cut Big,Anchor Big,0.04,2.2,1.25,84.27,92.84,88.18
71,2016-17,Amir Johnson,29,BOS,1608,Key Rotation,Roll + Cut Big,Anchor Big,0.11,1.67,1.38,89.79,88.49,90.07
72,2017-18,Amir Johnson,30,PHI,1170,Rotation,Roll + Cut Big,Anchor Big,-0.1,2.02,2.43,11.89,91.58,97.63
73,2018-19,Amir Johnson,31,PHI,529,Rotation,Roll + Cut Big,Anchor Big,-0.14,2.14,2.68,9.26,92.41,98.49
74,2018-19,Marcin Gortat,34,LAC,751,Rotation,Roll + Cut Big,Anchor Big,-0.66,1.41,2.12,0.69,85.97,96.25
75,2015-16,Marcin Gortat,31,WAS,2256,Starter,Post Scorer,Anchor Big,-0.11,1.7,3.44,11.09,88.79,99.54
76,2016-17,Marcin Gortat,32,WAS,2556,Star,Post Scorer,Anchor Big,0.16,2.04,2.94,92.45,91.74,98.98
77,2017-18,Marcin Gortat,33,WAS,2075,Key Rotation,Post Scorer,Mobile Big,-0.16,1.35,2.01,7.97,85.34,95.66
78,2015-16,Ronnie Price,32,PHO,1211,Rotation,Primary Ball Handler,Point of Attack,0,0.06,-0.47,21.65,26.78,27.46
79,2016-17,Ronnie Price,33,PHO,134,Garbage Time,Shot Creator,Chaser,0,0.35,-0.18,21.65,51.14,40.46
80,2016-17,Jose Calderon,35,LAL/ATL,539,Garbage Time,Primary Ball Handler,Point of Attack,0,0.13,-0.57,21.65,35.05,22.68
81,2015-16,Jose Calderon,34,NYK,2024,Starter,Primary Ball Handler,Point of Attack,0,0.04,-0.57,21.65,22.88,22.68
82,2017-18,Jose Calderon,36,CLE,914,Rotation,Primary Ball Handler,Point of Attack,0,0.08,-0.21,21.65,29.99,39.09
83,2018-19,Jose Calderon,37,DET,632,Rotation,Primary Ball Handler,Low Activity,0,0.11,-0.33,21.65,33.54,33.67
84,2016-17,Alan Anderson,34,LAC,308,Garbage Time,Movement Shooter,Chaser,0,0.21,0.32,21.65,41.08,64.67
85,2015-16,Alan Anderson,33,WAS,192,Garbage Time,Movement Shooter,Wing Stopper,0,0.29,0.06,21.65,46.78,53.6
86,2015-16,Chuck Hayes,32,HOU,24,Too Few Games,Low Minute,Anchor Big,0,0.72,-0.1,21.65,71.95,44.4
87,2016-17,John Lucas III,34,MIN,11,Too Few Games,Low Minute,Point of Attack,0,0.79,-0.03,21.65,74.97,48.35
88,2015-16,Tim Duncan,39,SAS,1537,Starter,Post Scorer,Anchor Big,0.37,1.62,-0.47,97.34,88.03,27.46
89,2024-25,Jahlil Okafor,29,IND,3,Too Few Games,Low Minute,Helper,0,0.84,0.07,21.65,77.02,54.04
90,2018-19,Jahlil Okafor,23,NOP,935,Rotation,Post Scorer,Anchor Big,0.07,2.31,1.69,87.07,93.68,93.52
91,2019-20,Jahlil Okafor,24,NOP,467,Rotation,Post Scorer,Anchor Big,0.44,2.14,0.16,98.15,92.41,58.08
92,2015-16,Jahlil Okafor,20,PHI,1591,Starter,Post Scorer,Helper,0.45,2.5,0.13,98.28,94.75,56.79
93,2016-17,Jahlil Okafor,21,PHI,1134,Key Rotation,Post Scorer,Anchor Big,0.1,2.03,-0.03,89.27,91.68,48.35
94,2017-18,Jahlil Okafor,22,PHI/BRK,353,Rotation,Post Scorer,Anchor Big,0.06,1.47,0.13,86.04,86.67,56.79
95,2020-21,Jahlil Okafor,25,DET,347,Rotation,Post Scorer,Anchor Big,0.15,2.22,-0.75,92,92.96,15.6
96,2017-18,Emmanuel Mudiay,21,DEN/NYK,1244,Rotation,Slasher,Point of Attack,0,0.06,-1.15,21.65,26.78,5.8
