RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,3PT Shooting Talent,3PT Shot Making,C&S 3PT Shot Making,3PT Pull Up Talent,3PT Pull Up Shot Making,3PT Pull Up Shot Creation,3PT Shot Creation,3PT Shot Making Efficiency,C&S 3PT Shot Making Efficiency,Stable FG3%,3PT Shooting Talent_percentile,3PT Shot Making_percentile,C&S 3PT Shot Making_percentile,3PT Pull Up Talent_percentile,3PT Pull Up Shot Making_percentile,3PT Pull Up Shot Creation_percentile,3PT Shot Creation_percentile,3PT Shot Making Efficiency_percentile,C&S 3PT Shot Making Efficiency_percentile,Stable FG3%_percentile,Stable C&S 3PT%,Stable ATB 3PT%,Stable Pull Up 3PT%,3PT Functional Versatility,Stable 3PTA Per 75,Off-Ball Gravity,Stable Corner 3PT%,3PT Attempt Rate,Stable C&S 3PT%_percentile,Stable ATB 3PT%_percentile,Stable Pull Up 3PT%_percentile,3PT Functional Versatility_percentile,Stable 3PTA Per 75_percentile,Off-Ball Gravity_percentile,Stable Corner 3PT%_percentile,3PT Attempt Rate_percentile
1,2015-16,Andrew Bogut,31,GSW,1451,Key Rotation,Roll + Cut Big,Anchor Big,-0.57,0.11,,-0.38,0.12,-1.23,-0.81,0.1,,35.27,38.9,75.03,,61.29,80.05,23.75,34.89,76.13,,38.68,0,35.24,31.23,-0.98,0.06,-1.01,38,0.36,0,69.93,13.28,26.65,0.96,0.91,28.01,8.49
2,2018-19,Andrew Bogut,34,GSW,134,Garbage Time,Athletic Finisher,Helper,-2.04,,,-0.96,,,,,,36,2.42,,,13.05,,,,,,59.16,0,35,33,,0.45,-0.57,38,0,0,59.36,49.31,,8.3,3.59,28.01,0
3,2017-18,Andrew Bogut,33,LAL,216,Garbage Time,Athletic Finisher,Helper,-1.83,,,-0.97,,,,,,36,4.3,,,10.85,,,,,,59.16,0,35,33,,0.28,-0.06,39,0,0,59.36,49.31,,6.6,21.67,59.49,0
4,2016-17,Andrew Bogut,32,DAL/CLE,583,Key Rotation,Roll + Cut Big,Helper,-0.86,0,-0.11,-0.9,,,-1.31,-0.18,-0.13,35.85,20.65,61.14,59.47,19.08,,,1.27,61.21,61.26,53.94,0,34.87,33,-1.07,0.17,-0.85,39,1.23,0,54,49.31,20.89,4.55,1.35,59.49,11.4
5,2019-20,Marvin Williams,33,CHO/MIL,1129,Rotation,Versatile Big,Helper,-0.39,-0.08,-0.13,-0.65,-0.06,-1.63,-0.92,-0.4,-0.3,35.96,51.35,42.24,55.13,31.03,36.82,4.6,22.29,44.76,49.17,58.12,0,33.74,32.59,-0.69,5.05,0.76,40.5,58.43,0,27.94,33.35,43.49,53.78,66.62,91.68,84.22
6,2015-16,Marvin Williams,29,CHO,2338,Starter,Movement Shooter,Helper,0.89,0.91,1.01,-0.7,-0.1,-1.7,-0.97,0.96,1.12,38.17,91.01,93.91,96.8,26.52,29.23,2.66,16.21,93.2,94.14,92.58,0,36.69,30.21,-0.09,6.13,1.24,40.56,50.6,0,91.76,1.55,70.98,69.41,81.57,92.05,73.91
7,2016-17,Marvin Williams,30,CHO,2295,Starter,Movement Shooter,Helper,-0.31,-0.26,-0.35,-0.55,0.04,-1.66,-0.84,-0.48,-0.49,35.42,56.18,22.71,18.7,43.64,68.81,3.61,31.86,39.45,36.08,42.17,0,34.73,33.22,-0.73,5.86,0.7,38.28,50.28,0,49.04,66.07,41.44,65.36,64.1,38.74,73.41
8,2017-18,Marvin Williams,31,CHO,2006,Starter,Movement Shooter,Helper,0.73,0.86,0.82,-0.62,0.06,-1.9,-0.91,1.13,1.15,38.96,89.2,93.4,95.3,34.7,73.43,0.44,23.58,94.92,94.58,96.2,0,38.27,33.22,0.05,5.57,2.21,38.94,54.17,0,98.19,66.07,75.35,61.27,95.65,58.47,79.51
9,2018-19,Marvin Williams,32,CHO,2133,Starter,Movement Shooter,Helper,0.05,0.11,0.18,-0.76,-0.18,-1.65,-0.88,0,0.18,36.4,73.09,75.03,82.03,23.32,19.91,3.92,27.04,71.74,76.98,71.76,0,34.76,32.28,-0.6,6.58,0.83,39.22,58.59,0,51.28,27.29,48.58,75.39,69.28,74.66,84.44
10,2023-24,Chris Paul,38,GSW,1531,Key Rotation,Primary Ball Handler,Chaser,0.22,0.22,0.15,0.24,0.02,0.34,0.65,0.18,0.32,37.07,78.96,80.38,80.73,85.77,63.81,85.83,87.36,78.78,80.77,83.22,0,37.6,33.26,0.47,5.07,1.11,36.5,44.97,0,96.34,68.72,87.56,54.11,78.01,5.31,63.7
11,2017-18,Chris Paul,32,HOU,1847,Star,Shot Creator,Point of Attack,2.47,1.22,0.01,4.2,1.86,2.63,3.79,1.07,-0.04,37.22,98.92,96.35,73.8,99.64,99.16,99.77,99.84,94.41,67.25,85,0,35.56,35.56,0.67,7.68,1.71,41.19,47.49,0,75.63,98.41,91.25,86.8,90.69,95.4,68.19
12,2018-19,Chris Paul,33,HOU,1857,Star,Shot Creator,Chaser,1.48,0.58,0.22,2.01,0.54,2.17,3.2,0.51,0.46,35.87,95.68,89.48,83.57,97.92,93.76,99.45,99.64,86.54,83.97,56.04,0,35.37,33.72,0.45,7.01,1.18,36.99,49.31,0,72.51,77.43,87.35,80.87,79.94,9.17,71.14
13,2015-16,Chris Paul,30,LAC,2420,Star,Shot Creator,Point of Attack,1.36,0.65,0.61,1.34,0.09,1.8,2.89,0.63,1.14,36.2,94.99,90.64,92.59,95.92,77.33,98.73,99.44,88.5,94.4,67.98,0,36.16,31.99,0.66,5.06,1.29,37.63,29.53,0,86.61,20.9,91.13,53.95,82.65,19.1,36.44
