Season,Player,Team,Pos,PG,SG,SF,PF,C,Primary_Position,Second_Position,SourceURL
2013-14,A.J. Price,MIN,SG,79,21,0,0,0,PG,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Aaron Brooks,2TM,PG,100,0,0,0,0,PG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Aaron Brooks,DEN,PG,100,0,0,0,0,PG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Aaron Brooks,HOU,PG,100,0,0,0,0,PG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Aaron Gray,2TM,C,0,0,0,0,100,C,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Aaron Gray,SAC,C,0,0,0,0,100,C,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Aaron Gray,TOR,C,0,0,0,0,100,C,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Adonis Thomas,2TM,SF,0,8,92,0,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Adonis Thomas,ORL,SF,0,12,88,0,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Adonis Thomas,PHI,SF,0,0,100,0,0,SF,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Al Harrington,WAS,PF,0,0,0,94,6,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Al Horford,ATL,C,0,0,0,12,88,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Al Jefferson,CHA,C,0,0,0,0,100,C,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Al-Farouq Aminu,NOP,SF,0,0,77,23,0,SF,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Alan Anderson,BRK,SF,0,26,73,1,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Alec Burks,UTA,SG,6,89,5,0,0,SG,PG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Alex Len,PHO,C,0,0,0,3,97,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
